why do you ask silly questions
why do you ask silly questions
Basic
Radial

0.6 0.6
432 388.8
Began 2725.553 308 565 -0.1203704 0.4552468
Stationary 2725.584 308 565 -0.1203704 0.4552468
Stationary 2725.615 308 565 -0.1203704 0.4552468
Stationary 2725.646 308 565 -0.1203704 0.4552468
Stationary 2725.676 308 565 -0.1203704 0.4552468
Stationary 2725.707 308 565 -0.1203704 0.4552468
Stationary 2725.738 308 565 -0.1203704 0.4552468
Stationary 2725.769 308 565 -0.1203704 0.4552468
Stationary 2725.799 308 565 -0.1203704 0.4552468
Stationary 2725.83 308 565 -0.1203704 0.4552468
Stationary 2725.861 308 565 -0.1203704 0.4552468
Stationary 2725.891 308 565 -0.1203704 0.4552468
Moved 2725.922 316.2299 555.7414 -0.1013197 0.4314335
Moved 2725.953 317.2357 555 -0.09899145 0.4295266
Moved 2725.983 317 553.6266 -0.09953702 0.4259942
Moved 2726.014 318 553.3525 -0.09722222 0.4252892
Moved 2726.045 318 552.5 -0.09722222 0.4230966
Moved 2726.075 319 551.5 -0.09490739 0.4205247
Stationary 2726.106 319 551.5 -0.09490739 0.4205247
Moved 2726.137 320.3745 551 -0.09172569 0.4192385
Stationary 2726.168 320.3745 551 -0.09172569 0.4192385
Moved 2726.198 321.4962 550 -0.08912922 0.4166666
Moved 2726.229 321 548.9407 -0.09027779 0.4139421
Stationary 2726.26 321 548.9407 -0.09027779 0.4139421
Stationary 2726.291 321 548.9407 -0.09027779 0.4139421
Moved 2726.321 322.3353 548 -0.08718679 0.4115225
Moved 2726.352 322 546.9396 -0.08796295 0.4087951
Stationary 2726.383 322 546.9396 -0.08796295 0.4087951
Stationary 2726.413 322 547 -0.08796295 0.4089505
Stationary 2726.444 322 546.5607 -0.08796295 0.4078208
Moved 2726.475 322 546 -0.08796295 0.4063785
Moved 2726.505 302.9363 545 -0.1320919 0.4038065
Moved 2726.536 286.742 545 -0.1695787 0.4038065
Moved 2726.567 272.0092 545 -0.2036824 0.4038065
Moved 2726.598 257.6965 545 -0.2368136 0.4038065
Moved 2726.628 242.3084 545 -0.2724343 0.4038065
Moved 2726.659 233.2012 545 -0.2935156 0.4038065
Moved 2726.69 227.2712 545 -0.3072425 0.4038065
Moved 2726.72 225 544.3989 -0.3125 0.4022605
Moved 2726.751 224 542.5239 -0.3148148 0.3974379
Moved 2726.782 224 538.9028 -0.3148148 0.3881243
Moved 2726.813 236.6352 517.5837 -0.2855667 0.3332913
Moved 2726.843 263.9089 492.6729 -0.2224331 0.2692202
Moved 2726.874 293.5 468.5 -0.1539352 0.2070472
Moved 2726.905 331.3222 445.6454 -0.06638388 0.1482648
Moved 2726.935 369.0663 429.5079 0.02098669 0.1067588
Moved 2726.966 394.6264 418.1868 0.08015374 0.07764074
Moved 2726.997 410.9532 410.0234 0.1179472 0.05664456
Moved 2727.028 434.3918 399.975 0.1722032 0.03079975
Moved 2727.058 448.0459 393.5816 0.20381 0.01435594
Moved 2727.089 456.1442 389.9279 0.2225561 0.004958518
Moved 2727.12 461.2401 387.3799 0.2343521 -0.001594834
Moved 2727.15 465.4966 386 0.2442051 -0.005144111
Moved 2727.181 468.3796 383.6204 0.2508786 -0.01126442
Moved 2727.212 469.3734 384 0.2531793 -0.01028807
Moved 2727.242 469 394.7648 0.2523148 0.01739918
Moved 2727.273 452.4811 424.9269 0.2140766 0.09497662
Moved 2727.304 440 450.5 0.1851852 0.1607509
Moved 2727.335 429.616 470.6143 0.1611482 0.2124853
Moved 2727.365 420.1433 487.7612 0.1392207 0.2565872
