the union will go on strike
the union will go on strike
Basic
Radial

0.6 0.6
432 388.8
Began 1545.14 302 523 -0.1342593 0.3472221
Stationary 1545.171 302 523 -0.1342593 0.3472221
Stationary 1545.202 302 523 -0.1342593 0.3472221
Moved 1545.232 327.9677 493.4388 -0.07414887 0.2711903
Moved 1545.263 361.4866 449.9752 0.003441274 0.1594011
Moved 1545.294 394.2418 404.8377 0.07926334 0.04330686
Moved 1545.325 408.7141 378.9146 0.1127641 -0.02336785
Moved 1545.355 411.8562 368.7189 0.1200375 -0.04959122
Moved 1545.386 414.7265 360.5469 0.1266818 -0.07060973
Moved 1545.417 415 352.7931 0.1273148 -0.09055282
Moved 1545.447 415 346.0486 0.1273148 -0.1078996
Moved 1545.478 415 342.97 0.1273148 -0.115818
Moved 1545.509 395.5101 342 0.08219928 -0.1183128
Moved 1545.54 374.6085 348.9319 0.0338159 -0.1004837
Moved 1545.57 354.0999 359.8445 -0.01365766 -0.07241653
Moved 1545.601 325.3987 374.8007 -0.08009572 -0.03394908
Moved 1545.632 297.6885 397.2492 -0.1442396 0.02378911
Moved 1545.662 268.9077 419.2939 -0.2108617 0.08048847
Moved 1545.693 251.1846 435.8154 -0.2518875 0.122982
Moved 1545.724 240.9636 445.0364 -0.2755473 0.1466986
Moved 1545.755 232.5695 451.4305 -0.2949781 0.1631444
Moved 1545.785 229.1852 455.8148 -0.302812 0.1744206
Moved 1545.816 227 459.2703 -0.3078704 0.1833082
Ended 1545.847 225 464 -0.3125 0.1954732
Candidates 1545.969 13 the else there what rubber this that terms tube tribes where river these
Began 1546.461 267 422 -0.2152778 0.08744851
Stationary 1546.492 267 422 -0.2152778 0.08744851
Stationary 1546.522 267 422 -0.2152778 0.08744851
Moved 1546.553 287.3736 422 -0.1681167 0.08744851
Moved 1546.584 324.955 429 -0.08112267 0.1054526
Moved 1546.614 334.9663 429 -0.05794843 0.1054526
Moved 1546.645 349.1494 430 -0.02511705 0.1080246
Moved 1546.676 356.9707 430 -0.007012337 0.1080246
Moved 1546.707 362.7238 430 0.006305178 0.1080246
Moved 1546.737 366.7369 430 0.01559466 0.1080246
Ended 1546.768 368.1726 430 0.01891812 0.1080246
Accept 1546.829 0 the
Began 1547.966 370 509 0.02314816 0.3112139
Stationary 1547.996 370 509 0.02314816 0.3112139
Stationary 1548.027 370 509 0.02314816 0.3112139
Stationary 1548.057 370 509 0.02314816 0.3112139
Stationary 1548.088 370 509 0.02314816 0.3112139
Moved 1548.119 370 468.3401 0.02314816 0.2066359
Moved 1548.15 378.4344 404.0095 0.04267216 0.04117655
Moved 1548.181 383.629 354.0247 0.05469669 -0.08738498
Moved 1548.211 389.5394 318.8425 0.06837815 -0.1778744
Moved 1548.242 397.1673 288.0532 0.08603543 -0.2570648
Moved 1548.273 403.6119 262.3288 0.1009534 -0.3232284
Moved 1548.303 407.0886 250.6456 0.1090014 -0.3532777
Moved 1548.334 409 245.0134 0.113426 -0.3677639
Moved 1548.365 410.3724 243.6277 0.1166027 -0.371328
Moved 1548.396 411 244 0.1180555 -0.3703704
