I can still feel your presence
I can still feel your presence
Basic
Radial

0.6 0.6
432 388.8
Began 1879.921 142 333 -0.5046296 -0.141461
Stationary 1879.952 142 333 -0.5046296 -0.141461
Stationary 1879.983 142 333 -0.5046296 -0.141461
Stationary 1880.013 142 333 -0.5046296 -0.141461
Stationary 1880.044 142 333 -0.5046296 -0.141461
Stationary 1880.075 142 333 -0.5046296 -0.141461
Stationary 1880.105 142 333 -0.5046296 -0.141461
Stationary 1880.136 142 333 -0.5046296 -0.141461
Stationary 1880.167 142 333 -0.5046296 -0.141461
Stationary 1880.198 142 333 -0.5046296 -0.141461
Stationary 1880.228 142 333 -0.5046296 -0.141461
Stationary 1880.259 142 333 -0.5046296 -0.141461
Ended 1880.29 142 333 -0.5046296 -0.141461
Candidates 1880.351 3 a s z
Began 1881.089 384 278 0.0555556 -0.2829219
Stationary 1881.119 384 278 0.0555556 -0.2829219
Stationary 1881.15 384 278 0.0555556 -0.2829219
Moved 1881.181 367.4965 278 0.017353 -0.2829219
Moved 1881.211 346.3901 278 -0.03150433 -0.2829219
Moved 1881.242 310.2625 295.2011 -0.1151331 -0.2386803
Moved 1881.273 290.8684 302.2526 -0.1600268 -0.2205437
Moved 1881.304 280.3018 306.1746 -0.1844864 -0.2104564
Moved 1881.334 276.385 307 -0.1935533 -0.2083334
Moved 1881.365 274 309 -0.199074 -0.2031893
Ended 1881.396 272.7809 309 -0.2018962 -0.2031893
Cancel 1881.457
Began 1881.703 462 445 0.2361111 0.1466049
Stationary 1881.734 462 445 0.2361111 0.1466049
Stationary 1881.764 462 445 0.2361111 0.1466049
Stationary 1881.795 462 445 0.2361111 0.1466049
Stationary 1881.826 462 445 0.2361111 0.1466049
Stationary 1881.856 462 445 0.2361111 0.1466049
Stationary 1881.887 462 445 0.2361111 0.1466049
Stationary 1881.918 462 445 0.2361111 0.1466049
Ended 1881.949 462 445 0.2361111 0.1466049
Candidates 1882.01 10 j I k h u o l y p g
Began 1882.778 366 305 0.01388888 -0.2134774
Stationary 1882.809 366 305 0.01388888 -0.2134774
Stationary 1882.839 366 305 0.01388888 -0.2134774
Stationary 1882.87 366 305 0.01388888 -0.2134774
Moved 1882.901 375.1503 320.8627 0.03507008 -0.1726782
Moved 1882.932 387.0017 342.2531 0.06250401 -0.117662
Moved 1882.962 398.4684 361.0557 0.08904716 -0.06930128
Moved 1882.993 408.3185 379.9777 0.1118483 -0.02063366
Moved 1883.024 416.1996 392.2661 0.1300916 0.01097247
