is there any indication of this
is there any indication of this
Basic
Radial

0.6 0.6
432 388.8
Began 2023.14 452 500 0.2129629 0.2880658
Stationary 2023.171 452 500 0.2129629 0.2880658
Stationary 2023.202 452 500 0.2129629 0.2880658
Moved 2023.232 440.7126 500 0.1868347 0.2880658
Moved 2023.263 408.2954 475.0494 0.111795 0.2238923
Moved 2023.294 357.5594 442.7062 -0.005649576 0.1407052
Moved 2023.324 320.3036 419.2024 -0.09188986 0.08025299
Moved 2023.355 287.9323 400.3267 -0.1668234 0.03170449
Moved 2023.386 268.9094 391.841 -0.2108578 0.009879123
Moved 2023.417 242.4764 384.8953 -0.2720454 -0.007985511
Moved 2023.447 223.7772 382.3967 -0.3153305 -0.01441178
Moved 2023.478 208.2282 382 -0.3513235 -0.01543218
Moved 2023.509 197.3153 382 -0.376585 -0.01543218
Moved 2023.539 188.0959 382 -0.3979263 -0.01543218
Moved 2023.57 183 382 -0.4097222 -0.01543218
Moved 2023.601 179.9563 382 -0.4167679 -0.01543218
Moved 2023.632 179 382 -0.4189815 -0.01543218
Ended 2023.662 179 382 -0.4189815 -0.01543218
Candidates 2023.785 13 usa is us oa pass id its pa odds ideas ha idea has
Began 2024.523 337 285 -0.05324075 -0.2649178
Stationary 2024.553 337 285 -0.05324075 -0.2649178
Stationary 2024.584 337 285 -0.05324075 -0.2649178
Stationary 2024.615 337 285 -0.05324075 -0.2649178
Moved 2024.646 343.7925 301.3962 -0.03751735 -0.2227463
Moved 2024.676 352.2442 315.4274 -0.01795317 -0.1866579
Moved 2024.707 360.4102 332.218 0.0009496014 -0.1434725
Moved 2024.738 366.2963 345.7407 0.01457473 -0.1086918
Moved 2024.768 371.3944 355.7889 0.02637605 -0.08284753
Moved 2024.799 374.9614 363.8455 0.03463288 -0.06212572
Moved 2024.83 379 370.5 0.04398147 -0.04501037
Moved 2024.86 380.051 374.051 0.04641443 -0.03587707
Moved 2024.891 381 376.5903 0.04861106 -0.02934585
Moved 2024.922 381.8245 378 0.0505197 -0.02572024
Ended 2024.953 382 379.0888 0.05092591 -0.02291974
Accept 2025.014 1 is
Began 2025.383 261 479 -0.2291666 0.2340534
Stationary 2025.414 261 479 -0.2291666 0.2340534
Stationary 2025.444 261 479 -0.2291666 0.2340534
Stationary 2025.475 261 479 -0.2291666 0.2340534
Stationary 2025.506 261 479 -0.2291666 0.2340534
Moved 2025.536 286.5 458.5 -0.1701389 0.181327
