healthy food is good for you
healthy food is good for you
FixStart
List

0.6 0.6
432 388.8
Began 743.2926 420 394 0.1388889 0.01543206
Stationary 743.3234 420 394 0.1388889 0.01543206
Moved 743.3541 434.3618 394 0.1721339 0.01543206
Moved 743.3826 444.9366 389.8887 0.1966126 0.004857734
Moved 743.4155 456.3645 384.5452 0.223066 -0.008885928
Moved 743.4462 462.6605 381.6697 0.2376401 -0.01628161
Moved 743.4769 465.5 381 0.244213 -0.01800419
Moved 743.5076 466 381 0.2453704 -0.01800419
Stationary 743.5384 466 381 0.2453704 -0.01800419
Moved 743.5691 452.607 393.8716 0.214368 0.01510188
Moved 743.5999 439.9951 408.0059 0.1851739 0.05145548
Moved 743.6306 421.9289 429.9384 0.1433539 0.1078662
Moved 743.6613 405.5459 447.7118 0.1054303 0.1535796
Moved 743.692 389.9326 460.8404 0.06928851 0.1873466
Moved 743.7228 378.2268 467.5799 0.04219164 0.2046807
Moved 743.7535 368.8125 472.0625 0.02039919 0.21621
Moved 743.7842 359.2634 478.3683 -0.001705041 0.2324287
Moved 743.8149 357 479.5 -0.006944438 0.2353394
Moved 743.8457 352.318 481.341 -0.0177824 0.2400745
Moved 743.8765 346.3629 482 -0.03156731 0.2417695
Moved 743.9072 325.0794 467.8033 -0.08083462 0.2052552
Moved 743.9379 291.3275 436.7229 -0.1589642 0.1253161
Moved 743.9686 265.1992 407.7242 -0.2194462 0.05073088
Moved 743.9994 249.258 388.9096 -0.2563472 0.002339485
Moved 744.0301 238.3567 374.1423 -0.2815816 -0.03564214
Moved 744.0608 233.2407 367.4813 -0.2934244 -0.05277445
Moved 744.0916 232 363.371 -0.2962963 -0.06334618
Moved 744.1223 235.4948 362 -0.2882065 -0.06687243
Moved 744.153 275.3662 370.1221 -0.1959115 -0.04598241
Moved 744.1838 354.9564 379.7849 -0.01167511 -0.0211295
Moved 744.2144 403.2518 380 0.10012 -0.02057613
Moved 744.2452 445.4755 380 0.1978599 -0.02057613
Moved 744.2759 477.4376 380 0.2718463 -0.02057613
Moved 744.3066 496.3664 380 0.3156629 -0.02057613
Moved 744.3374 512.7756 380 0.3536473 -0.02057613
Moved 744.3682 522.5 380 0.3761573 -0.02057613
Moved 744.3989 526.3439 382.3439 0.3850552 -0.01454773
Moved 744.4296 526 390.8829 0.3842592 0.007414758
Moved 744.4603 512.4964 405.5036 0.3530009 0.04501951
Moved 744.491 487.8219 425.3836 0.295884 0.09615117
Moved 744.5217 460.7116 442.3824 0.2331288 0.1398724
Moved 744.5525 433.2381 454.0357 0.1695326 0.1698449
Moved 744.5833 412.5265 458.2105 0.1215892 0.1805826
Moved 744.614 395.1761 460.7648 0.08142631 0.1871521
Moved 744.6447 383.0861 462.638 0.05344003 0.1919701
Moved 744.6754 372 464 0.02777775 0.1954732
Moved 744.7061 365.9579 466.0211 0.01379142 0.2006713
Moved 744.7369 357.2993 467 -0.006251732 0.2031892
Moved 744.7676 353.2227 468 -0.01568824 0.2057612
Moved 744.7983 351.5 468 -0.01967594 0.2057612
Moved 744.8291 352 470.2101 -0.01851852 0.2114458
Moved 744.8598 375.7036 477.1759 0.03635098 0.2293618
Moved 744.8906 394.8044 481.9609 0.08056581 0.2416688
Moved 744.9213 403.5 483 0.1006944 0.2443414
Moved 744.952 410.7533 484 0.1174844 0.2469135
Moved 744.9828 415.2441 485 0.1278799 0.2494856
Moved 745.0135 418.1157 485 0.134527 0.2494856
Moved 745.0442 419.5 486.5 0.1377314 0.2533436
Moved 745.075 421 486 0.1412037 0.2520575
Moved 745.1057 423.3663 486 0.1466813 0.2520575
Moved 745.1364 424.2418 487 0.1487078 0.2546296
Stationary 745.167 424 487 0.1481481 0.2546296
Moved 745.1979 425.3745 487 0.1513299 0.2546296
Moved 745.2286 427.2639 487 0.1557033 0.2546296
Moved 745.2593 428.0134 487 0.1574383 0.2546296
Moved 745.29 429.3734 487 0.1605866 0.2546296
Moved 745.3208 430.1758 487 0.1624439 0.2546296
Moved 745.3516 432.6616 487 0.1681982 0.2546296
