please provide your date of birth
please provide your date of birth
FixStart
List

0.6 0.6
432 388.8
Began 1304.965 363 461 0.006944438 0.1877571
Stationary 1304.996 363 461 0.006944438 0.1877571
Moved 1305.026 386.7883 477.3149 0.0620099 0.2297194
Moved 1305.057 428.456 506.0564 0.1584629 0.3036429
Moved 1305.088 465.972 527.8734 0.2453057 0.3597565
Moved 1305.119 492.829 544.2383 0.3074746 0.4018475
Moved 1305.149 513.5 557.5 0.3553241 0.4359567
Moved 1305.18 523.0984 562.0656 0.3775426 0.4476995
Moved 1305.211 530.3286 567.3286 0.3942791 0.4612359
Moved 1305.242 532.7679 567.7679 0.3999258 0.462366
Moved 1305.272 535.2578 569.2578 0.4056894 0.466198
Moved 1305.303 536.5 569 0.4085648 0.4655349
Moved 1305.334 537 559.2651 0.4097222 0.4404967
Moved 1305.365 537 535.7883 0.4097222 0.3801138
Moved 1305.395 519.5894 508.6609 0.3694199 0.3103417
Moved 1305.426 510.2996 483.5486 0.3479157 0.2457524
Moved 1305.457 505.5641 465.4743 0.3369539 0.1992651
Moved 1305.488 503.2089 453.8354 0.331502 0.1693296
Moved 1305.518 496.8111 440.2167 0.3166924 0.1343023
Moved 1305.549 483.1776 433.5296 0.2851334 0.1171028
Moved 1305.58 459.9128 433 0.2312797 0.1157406
Moved 1305.611 429.6262 451.9546 0.1611717 0.1644921
Moved 1305.641 398.757 467.7468 0.08971541 0.2051099
Moved 1305.672 370.5159 480.4374 0.02434244 0.2377504
Moved 1305.703 347.6101 496.9056 -0.02868031 0.280107
Moved 1305.734 328.0009 509.9995 -0.07407208 0.3137845
Moved 1305.764 310.6653 522.4677 -0.1142006 0.3458531
Moved 1305.795 297.3126 532.2125 -0.1451097 0.3709167
Moved 1305.826 288.2966 537.2345 -0.1659802 0.3838335
Moved 1305.856 277.3288 539 -0.1913686 0.3883744
Moved 1305.887 256.6805 529.6805 -0.2391655 0.3644044
Moved 1305.918 226.0043 500.913 -0.3101752 0.2904141
Moved 1305.949 204.4627 475.5784 -0.36004 0.225253
Moved 1305.979 191.7784 455.8621 -0.389402 0.1745424
Moved 1306.01 183.4894 443.3192 -0.4085893 0.1422818
Moved 1306.041 178.4815 426.4445 -0.4201818 0.09887985
Moved 1306.072 175 411.3298 -0.4282407 0.06000448
Moved 1306.102 174 400.3609 -0.4305556 0.0317924
Moved 1306.133 174 394.4452 -0.4305556 0.01657706
Moved 1306.164 174 392 -0.4305556 0.01028803
Moved 1306.195 189.7305 397.4063 -0.3941423 0.02419315
Moved 1306.225 216.3758 430.1107 -0.3324635 0.1083093
Moved 1306.256 241.6026 470.0044 -0.274068 0.2109166
Moved 1306.287 260.4235 504.094 -0.2305012 0.2985956
Moved 1306.318 277.6972 529.2629 -0.1905158 0.3633304
Moved 1306.348 289.6473 545.6473 -0.1628535 0.4054713
Ended 1306.379 291 547 -0.1597222 0.4089505
Candidates 1306.471 13 please play last page place part okay phase post past holiday phrase plate
Began 1307.67 291 437 -0.1597222 0.1260288
Stationary 1307.701 291 437 -0.1597222 0.1260288
Stationary 1307.732 291 437 -0.1597222 0.1260288
Stationary 1307.762 291 437 -0.1597222 0.1260288
Moved 1307.793 307.1043 447.7362 -0.1224437 0.1536424
Moved 1307.824 341.3343 466.6671 -0.04320775 0.202333
Moved 1307.855 375.9671 480.3868 0.03696084 0.2376204
Moved 1307.885 405.1482 493.9784 0.1045096 0.2725781
Moved 1307.916 428.2554 504.3952 0.1579987 0.2993703
Moved 1307.947 447.059 512.6863 0.2015254 0.3206952
Moved 1307.978 457.6273 517.2091 0.2259891 0.3323278
Moved 1308.008 463.5069 520.7534 0.2395994 0.3414439
Moved 1308.039 466.6181 522.6181 0.2468013 0.3462399
Moved 1308.07 467 525.4867 0.2476852 0.353618
Moved 1308.101 467 527.9907 0.2476852 0.3600583
Moved 1308.131 455.6939 533.7225 0.2215136 0.3748005
Moved 1308.162 440.6056 539.4648 0.186587 0.3895698
Moved 1308.193 420.0096 540 0.1389112 0.3909464
Moved 1308.224 402.8226 540 0.0991265 0.3909464
