the five boxing wizards jump quickly
the five boxing wizards jump quickly
Basic
List

0.6 0.6
432 388.8
Began 1838.826 347 478 -0.0300926 0.2314814
Stationary 1838.857 347 478 -0.0300926 0.2314814
Stationary 1838.887 347 478 -0.0300926 0.2314814
Stationary 1838.918 347 478 -0.0300926 0.2314814
Stationary 1838.949 347 478 -0.0300926 0.2314814
Stationary 1838.98 347 478 -0.0300926 0.2314814
Stationary 1839.01 347 478 -0.0300926 0.2314814
Stationary 1839.041 347 478 -0.0300926 0.2314814
Moved 1839.072 367.3663 452.7604 0.0170517 0.1665647
Moved 1839.103 386.1638 430.3609 0.06056428 0.1089529
Moved 1839.133 401.465 408.6863 0.09598375 0.05320541
Moved 1839.164 410.5611 391.8777 0.1170397 0.009973588
Moved 1839.195 421.1197 372.7607 0.1414807 -0.03919578
Moved 1839.226 426.9146 356.4272 0.1548948 -0.08120572
Moved 1839.256 430.5 346 0.1631944 -0.1080248
Moved 1839.287 432.3242 338.3517 0.167417 -0.1276964
Moved 1839.318 432 334 0.1666667 -0.1388889
Stationary 1839.349 432 334 0.1666667 -0.1388889
Moved 1839.379 407.6722 349.7525 0.1103523 -0.09837319
Moved 1839.41 376.1747 380.264 0.03744135 -0.01989718
Moved 1839.441 351.4322 405.8888 -0.0198328 0.04601019
Moved 1839.472 331.7141 423.1022 -0.06547675 0.09028344
Moved 1839.502 311.6809 442.0389 -0.1118498 0.138989
Moved 1839.533 296.5944 456.4056 -0.1467723 0.1759401
Moved 1839.564 285.1434 467.8566 -0.1732791 0.2053923
Moved 1839.595 278.0302 473.9799 -0.1897448 0.2211416
Moved 1839.625 272.2873 480.7126 -0.2030386 0.2384584
Moved 1839.656 268.5592 486.4408 -0.2116685 0.2531914
Moved 1839.687 266 490.6019 -0.2175926 0.2638937
Moved 1839.718 265 492 -0.2199074 0.2674896
Ended 1839.748 265 492 -0.2199074 0.2674896
Candidates 1839.841 13 the there june time one under this tune she enter they home he
Began 1841.162 319 296 -0.09490739 -0.2366256
Stationary 1841.193 319 296 -0.09490739 -0.2366256
Stationary 1841.224 319 296 -0.09490739 -0.2366256
Stationary 1841.255 319 296 -0.09490739 -0.2366256
Stationary 1841.285 319 296 -0.09490739 -0.2366256
Stationary 1841.316 319 296 -0.09490739 -0.2366256
Stationary 1841.347 319 296 -0.09490739 -0.2366256
Stationary 1841.378 319 296 -0.09490739 -0.2366256
Stationary 1841.408 319 296 -0.09490739 -0.2366256
Stationary 1841.439 319 296 -0.09490739 -0.2366256
Stationary 1841.47 319 296 -0.09490739 -0.2366256
Stationary 1841.501 319 296 -0.09490739 -0.2366256
Moved 1841.531 327.4947 309.2139 -0.07524376 -0.2026391
Moved 1841.562 336.4675 329.935 -0.05447338 -0.1493442
Moved 1841.593 348.0089 346.5134 -0.02775714 -0.1067044
Moved 1841.624 367.1886 367.1885 0.01664023 -0.0535275
Moved 1841.654 386.4348 390.4349 0.06119182 0.006262461
Moved 1841.685 401.7313 404.785 0.09660026 0.04317138
Moved 1841.716 411.5341 414.0228 0.119292 0.06693087
Moved 1841.746 418.7451 419.7452 0.1359841 0.08164904
Moved 1841.777 423.5129 423.2565 0.1470207 0.09068014
Moved 1841.808 424 423 0.1481481 0.09002049
Moved 1841.839 425 423 0.150463 0.09002049
Moved 1841.87 425 406.2989 0.150463 0.04706504
Moved 1841.9 425 374.5443 0.150463 -0.03460841
Moved 1841.931 417.77 344.4437 0.1337268 -0.1120275
Moved 1841.962 416.2244 313.5705 0.130149 -0.191434
Moved 1841.993 416 283.3823 0.1296297 -0.2690784
Moved 1842.023 414.5 259.5 0.1261574 -0.3305041
Moved 1842.054 415 247.7338 0.1273148 -0.360767
Moved 1842.085 414 238.1852 0.125 -0.3853261
Moved 1842.115 412.2049 234.205 0.1208447 -0.3955635
Moved 1842.146 408.5398 234 0.1123605 -0.3960905
Moved 1842.177 388.4479 254.9402 0.06585161 -0.3422321
Moved 1842.208 354.5096 302.7845 -0.01270915 -0.2191756
Moved 1842.239 326.5921 346.1859 -0.077333 -0.1075468
Moved 1842.269 306.5469 380.9196 -0.1237341 -0.01821094
Moved 1842.3 293.9268 408.8619 -0.1529473 0.05365701
Moved 1842.331 284.3168 436.2774 -0.1751927 0.1241702
Moved 1842.361 282 451.7509 -0.1805555 0.1639682
Moved 1842.392 281 467.1431 -0.1828704 0.2035574
Moved 1842.423 281 478.0112 -0.1828704 0.2315103
Ended 1842.454 281 486 -0.1828704 0.2520575
Accept 1842.546 0 the
