we run the risk of failure
we run the risk of failure
Basic
List

0.6 0.6
432 388.8
Began 2209.379 191 390 -0.3912037 0.005143954
Stationary 2209.41 191 390 -0.3912037 0.005143954
Stationary 2209.44 191 390 -0.3912037 0.005143954
Stationary 2209.471 191 390 -0.3912037 0.005143954
Stationary 2209.502 191 390 -0.3912037 0.005143954
Stationary 2209.533 191 390 -0.3912037 0.005143954
Stationary 2209.563 191 390 -0.3912037 0.005143954
Stationary 2209.594 191 390 -0.3912037 0.005143954
Stationary 2209.625 191 390 -0.3912037 0.005143954
Stationary 2209.656 191 390 -0.3912037 0.005143954
Stationary 2209.686 191 390 -0.3912037 0.005143954
Stationary 2209.717 191 390 -0.3912037 0.005143954
Stationary 2209.748 191 390 -0.3912037 0.005143954
Stationary 2209.779 191 390 -0.3912037 0.005143954
Moved 2209.809 212.8034 402.6011 -0.340733 0.03755432
Moved 2209.84 226.6579 408.9935 -0.3086622 0.05399547
Moved 2209.871 239.0812 414.0406 -0.2799047 0.06697679
Moved 2209.902 250.5746 417.3936 -0.2532996 0.07560078
Moved 2209.932 259.7307 420.9327 -0.232105 0.08470335
Moved 2209.963 268.4125 423.8041 -0.2120081 0.09208875
Moved 2209.994 273.3426 425.6713 -0.2005959 0.09689107
Moved 2210.024 277.1458 426 -0.1917921 0.09773654
Moved 2210.055 281.0665 428 -0.1827165 0.1028806
Moved 2210.086 283.9274 429.9274 -0.1760941 0.1078378
Moved 2210.117 287.8049 431 -0.1671183 0.1105966
Moved 2210.147 291.3872 433.3872 -0.158826 0.1167366
Ended 2210.178 292 433 -0.1574074 0.1157406
Candidates 2210.271 13 add ad as s at sat ads see af sd added adds d
Began 2210.67 290 373 -0.162037 -0.03858032
Moved 2210.701 270.4778 369.7572 -0.2072273 -0.04692085
Moved 2210.732 246.095 357.5237 -0.2636689 -0.07838551
Moved 2210.762 222.7926 349.5975 -0.3176098 -0.09877177
Moved 2210.793 198.8167 344.4024 -0.3731094 -0.1121338
Moved 2210.824 179.2373 342.5396 -0.4184321 -0.1169251
Moved 2210.855 162.3366 342 -0.4575541 -0.1183128
