I just cannot figure this out
I just cannot figure this out
FixStart
List

0.6 0.6
432 388.8
Began 457.8099 447 272 0.2013889 -0.2983539
Stationary 457.8406 447 272 0.2013889 -0.2983539
Stationary 457.8713 447 272 0.2013889 -0.2983539
Moved 457.9016 465.8686 300.707 0.2450662 -0.2245191
Moved 457.9328 485 322.5 0.2893518 -0.1684671
Moved 457.9635 504.4621 343.4621 0.334403 -0.1145522
Moved 457.9943 524.55 360.4125 0.3809028 -0.07095557
Moved 458.025 538.7678 375.7097 0.4138143 -0.03161081
Moved 458.0557 549.3996 386.6796 0.4384249 -0.003396219
Moved 458.0864 559.7897 396.7897 0.4624762 0.0226073
Moved 458.1171 567.2798 404.2798 0.4798143 0.04187183
Moved 458.1479 571.0244 410.0244 0.4884823 0.05664692
Moved 458.1786 573 412.5319 0.4930556 0.06309646
Moved 458.2093 574 415.4135 0.4953703 0.07050793
Moved 458.2401 575 417 0.4976852 0.0745884
Moved 458.2708 576.5 418.5 0.5011575 0.07844638
Moved 458.3015 576.7261 420 0.5016809 0.08230445
Stationary 458.3322 577 420 0.5023147 0.08230445
Ended 458.3629 577 420 0.5023147 0.08230445
Candidates 458.3937 13 I go o ii iii gi ip hi you up u iu p
Began 459.1926 454 348 0.2175926 -0.1028807
Stationary 459.2233 454 348 0.2175926 -0.1028807
Stationary 459.254 454 348 0.2175926 -0.1028807
Stationary 459.2848 454 348 0.2175926 -0.1028807
Moved 459.3155 471.115 340.377 0.2572108 -0.1224872
Moved 459.3462 487.0062 339 0.2939959 -0.1260288
Moved 459.377 505.5291 337.6387 0.3368728 -0.12953
Moved 459.4077 518.6487 338 0.3672425 -0.1286009
Moved 459.4384 527.5621 338 0.3878754 -0.1286009
Moved 459.4691 533.6557 338 0.4019808 -0.1286009
Moved 459.4998 537.5315 338 0.4109525 -0.1286009
Moved 459.5305 541.0466 338 0.4190894 -0.1286009
Moved 459.5613 542.921 338 0.4234283 -0.1286009
Moved 459.592 544.7949 338 0.427766 -0.1286009
Moved 459.6228 546.3309 338 0.4313216 -0.1286009
Stationary 459.6535 546 338 0.4305556 -0.1286009
Moved 459.6842 537.0637 351.3511 0.4098697 -0.09426164
Moved 459.7149 523.0852 372.8466 0.3775121 -0.03897482
Moved 459.7457 511.9097 393.6581 0.3516428 0.0145526
Moved 459.7764 502.8154 410.3692 0.3305912 0.05753387
Moved 459.8071 496.467 423.0659 0.3158959 0.09019004
Moved 459.8379 490.7129 434.5742 0.3025762 0.1197895
Moved 459.8685 486.7039 443.5922 0.2932961 0.1429838
Moved 459.8993 483.4781 451.0438 0.2858289 0.1621497
Moved 459.9301 479.2134 456.3932 0.275957 0.1759084
Moved 459.9608 478.0412 459.9588 0.2732435 0.1850792
Moved 459.9915 474.369 461 0.2647431 0.1877571
Moved 460.0222 456.1009 453.411 0.2224559 0.1682381
Moved 460.0529 419.9552 419.9551 0.1387852 0.08218906
Moved 460.0836 389.7339 386.553 0.06882846 -0.003721684
Moved 460.1143 364.2554 353.332 0.009850563 -0.08916666
Moved 460.1451 347.6719 331.0078 -0.02853732 -0.1465849
Moved 460.1758 335 313.5 -0.05787035 -0.1916154
Moved 460.2065 327.6882 301.3765 -0.07479578 -0.2227972
Moved 460.2373 322.9109 293.9109 -0.08585443 -0.2419987
Moved 460.268 320.0842 289.0842 -0.09239762 -0.254413
Moved 460.2988 317.6615 285.323 -0.09800578 -0.264087
Moved 460.3295 315.6701 284 -0.1026156 -0.2674897
Moved 460.3602 314.9022 281.9022 -0.1043931 -0.2728852
Stationary 460.3909 315 282 -0.1041667 -0.2726338
Moved 460.4216 320.7755 299.7756 -0.09079734 -0.2269147
Moved 460.4524 340.6941 335.3881 -0.04468968 -0.1353187
Moved 460.4831 358.6071 367.5358 -0.003224214 -0.05263434
Moved 460.5138 372.6067 390.3116 0.02918204 0.005945551
Moved 460.5446 385.9742 410.4614 0.06012559 0.05777092
Moved 460.5753 396.8438 425.0729 0.0852865 0.09535212
Moved 460.606 407.9712 439.464 0.1110444 0.1323662
Moved 460.6367 415.9922 450.9902 0.1296116 0.1620118
Moved 460.6675 426.6036 461.6036 0.1541751 0.1893096
Moved 460.6982 436.2495 470.2496 0.1765035 0.2115471
Moved 460.7289 443 475.5 0.1921296 0.2250513
Moved 460.7597 448.3933 480.1967 0.2046142 0.2371312
Ended 460.7904 449 481 0.2060185 0.2391974
Accept 460.8518 0 I
Candidates 460.8518 13 just use user jay lay jersey usage guest last judy leader judge hyde
Began 461.7429 453 371 0.2152778 -0.04372435
Stationary 461.7736 453 371 0.2152778 -0.04372435
Stationary 461.8044 453 371 0.2152778 -0.04372435
Moved 461.8351 435.0379 351.4719 0.1736988 -0.09395105
Moved 461.8658 412.3862 322.0792 0.1212643 -0.1695494
Moved 461.8965 396.2301 298.4602 0.08386602 -0.2302979
Moved 461.9272 386.7891 282.1837 0.06201188 -0.2721615
Moved 461.958 379.5 266 0.0451389 -0.3137861
Moved 461.9887 375.7775 255.5551 0.03652205 -0.3406506
Moved 462.0194 373.0109 247.0217 0.03011773 -0.3625985
Moved 462.0502 371.1274 241.2548 0.02575785 -0.3774312
Moved 462.0809 369.7106 237.7106 0.0224782 -0.3865469
Moved 462.1116 367.7357 232.4713 0.01790663 -0.4000224
Moved 462.1424 366.8657 229.8657 0.01589278 -0.4067239
Moved 462.1731 364.9954 230 0.0115633 -0.4063786
Moved 462.2037 357.6714 235.2394 -0.005390247 -0.3929029
Moved 462.2345 340.8617 255.5867 -0.04430165 -0.3405693
Moved 462.2652 318.4132 281.9102 -0.09626573 -0.2728648
Moved 462.296 305.5189 298.3773 -0.1261136 -0.2305111
Moved 462.3267 294.0419 313.6976 -0.1526809 -0.191107
Moved 462.3574 286.7838 326.4325 -0.169482 -0.1583526
Moved 462.3882 281.5169 337.4493 -0.1816739 -0.1300171
Moved 462.4189 278.0144 343.9569 -0.1897815 -0.1132796
Moved 462.4496 277 350.6944 -0.1921296 -0.0959507
Moved 462.4803 277 354.7291 -0.1921296 -0.08557332
Moved 462.5111 277 357.5 -0.1921296 -0.07844657
Moved 462.5418 277 359.0761 -0.1921296 -0.07439272
Moved 462.5725 277 360.3745 -0.1921296 -0.07105321
Moved 462.6032 289.5139 360 -0.1631622 -0.07201654
Moved 462.634 316.0906 346.4547 -0.1016421 -0.1068552
Moved 462.6647 367.2521 324.8739 0.01678735 -0.1623615
Moved 462.6954 403.4476 303.035 0.1005731 -0.2185315
Moved 462.7262 431.4969 284.7018 0.1655022 -0.2656846
Moved 462.7568 448.7317 272.5122 0.2053974 -0.2970366
Moved 462.7876 462.9336 262.5499 0.2382722 -0.3226599
Moved 462.8183 470.7251 256.2749 0.2563081 -0.3387991
Moved 462.8491 474.8393 252.0803 0.2658318 -0.3495878
Moved 462.8798 477.5 248 0.2719907 -0.3600824
Moved 462.9105 478.1078 247.8922 0.2733977 -0.3603595
Stationary 462.9412 478 248 0.2731481 -0.3600824
Stationary 462.9719 478 248 0.2731481 -0.3600824
Stationary 463.0027 478 248 0.2731481 -0.3600824
Stationary 463.0334 478 248 0.2731481 -0.3600824
Stationary 463.0641 478 248 0.2731481 -0.3600824
Stationary 463.0949 478 248 0.2731481 -0.3600824
Moved 463.1256 480.0788 243.8425 0.2779601 -0.3707754
Moved 463.1563 483.8812 237.1188 0.2867619 -0.388069
Moved 463.187 488.6968 228.6063 0.2979094 -0.4099631
Moved 463.2178 495.6806 220.3195 0.3140754 -0.4312772
Moved 463.2485 500.406 214.594 0.3250139 -0.446003
Moved 463.2792 502.0357 211.9642 0.3287864 -0.452767
Moved 463.31 503.6383 210 0.3324962 -0.457819
Moved 463.3407 504 208.9266 0.3333333 -0.4605797
Moved 463.3714 505.374 207.6261 0.3365138 -0.4639247
Moved 463.4021 506.249 206.7511 0.3385393 -0.4661752
Stationary 463.4328 506.249 206.7511 0.3385393 -0.4661752
Stationary 463.4636 506.249 206.7511 0.3385393 -0.4661752
Moved 463.4943 496.9198 240.2406 0.316944 -0.3800397
Moved 463.525 489.9346 279.5888 0.3007745 -0.2788354
Moved 463.5558 490 325.5695 0.300926 -0.1605722
Moved 463.5865 497.6343 360.2148 0.3185978 -0.07146396
Moved 463.6172 503.5 385.5 0.3321759 -0.006430119
Moved 463.648 510.5329 407.4211 0.3484558 0.04995122
Moved 463.6787 518.1552 424.2587 0.3661001 0.09325796
Moved 463.7088 523.7815 436.6359 0.3791238 0.1250922
Moved 463.7401 527.6591 444.9886 0.3880999 0.1465756
Moved 463.7708 533.6339 455.9507 0.4019302 0.1747703
Moved 463.8016 536 461.3696 0.4074074 0.1887076
Moved 463.8323 539.0605 464.0605 0.4144919 0.1956287
Moved 463.863 539.6404 466.6404 0.4158344 0.2022644
