in sharp contrast to your words
in sharp contrast to your words
FixStart
List

0.6 0.6
432 388.8
Began 483.298 418 311 0.1342593 -0.1980453
Stationary 483.3287 418 311 0.1342593 -0.1980453
Stationary 483.3595 418 311 0.1342593 -0.1980453
Stationary 483.3902 418 311 0.1342593 -0.1980453
Moved 483.421 445.1927 353.9901 0.1972053 -0.08747414
Moved 483.4516 466.4898 386.7347 0.2465042 -0.003254384
Moved 483.4824 481.6916 409.6299 0.2816935 0.05563249
Moved 483.5131 495.073 426.6876 0.3126691 0.09950512
Moved 483.5439 506.089 440.452 0.3381689 0.1349074
Moved 483.5746 523.0217 459.0217 0.3773651 0.182669
Moved 483.6053 527.3316 463.3316 0.3873417 0.193754
Moved 483.636 533.2206 468.831 0.4009738 0.2078986
Moved 483.6668 536.4858 472.4858 0.4085319 0.2172987
Moved 483.6975 538.5 474.5 0.4131944 0.2224794
Moved 483.7282 539 475 0.4143518 0.2237653
Stationary 483.7589 539 475 0.4143518 0.2237653
Moved 483.7897 505.5686 437.8739 0.3369643 0.1282765
Moved 483.8204 473.672 391.885 0.2631297 0.00999223
Moved 483.8511 457.7043 356.3495 0.2261674 -0.08140548
Moved 483.8818 449.1039 320.6236 0.2062591 -0.1732933
Moved 483.9126 447 289.1332 0.2013889 -0.2542871
Moved 483.9433 447 266.0702 0.2013889 -0.3136055
Moved 483.9741 447 248.5526 0.2013889 -0.358661
Moved 484.0048 455.0778 235.6888 0.2200875 -0.3917468
Moved 484.0355 456.9489 222.2555 0.2244187 -0.4262978
Moved 484.0663 459.6193 207.9034 0.2306003 -0.4632114
Moved 484.0969 462.3668 193.1663 0.2369601 -0.5011156
Moved 484.1277 464 184.3119 0.2407408 -0.5238891
Moved 484.1584 466 175.6826 0.2453704 -0.5460839
Moved 484.1891 468 167.7534 0.25 -0.566478
Moved 484.2199 470.4857 161.0286 0.2557539 -0.5837743
Moved 484.2506 472.35 157.65 0.2600695 -0.5924639
Moved 484.2813 472 153.5065 0.2592593 -0.6031212
Moved 484.3121 473 152.5 0.2615741 -0.6057099
Moved 484.3428 474.5 152 0.2650462 -0.6069959
Ended 484.3735 474.5 152 0.2650462 -0.6069959
Candidates 484.4349 13 in ibm iv un uv on john hiv gun join ic pub fun
Began 484.7115 439 261 0.1828703 -0.3266461
Stationary 484.7422 439 261 0.1828703 -0.3266461
Stationary 484.773 439 261 0.1828703 -0.3266461
Moved 484.8037 422.3163 269.3419 0.1442507 -0.3051907
Moved 484.8344 407.808 276.064 0.1106666 -0.2879012
