they might find your comment offensive
they might find your comment offensive
Basic
List

0.6 0.6
432 388.8
Began 3248.902 314 418 -0.1064815 0.07716041
Stationary 3248.933 314 418 -0.1064815 0.07716041
Stationary 3248.964 314 418 -0.1064815 0.07716041
Moved 3248.995 297.741 424.0239 -0.144118 0.09265409
Moved 3249.025 288.4079 432.0614 -0.1657224 0.1133265
Moved 3249.056 277.4246 440.1815 -0.1911467 0.1342116
Moved 3249.087 268.8949 446.8289 -0.2108915 0.1513087
Moved 3249.118 262.5621 453.4379 -0.2255506 0.1683072
Moved 3249.148 255.6414 459.3586 -0.2415708 0.1835354
Moved 3249.179 249.9065 464.0936 -0.2548462 0.1957138
Moved 3249.21 246.5944 468.8112 -0.2625129 0.2078475
Moved 3249.24 244.0694 472.9307 -0.268358 0.2184431
Moved 3249.271 244 478.5972 -0.2685185 0.2330175
Moved 3249.302 244 486.6688 -0.2685185 0.2537777
Moved 3249.333 254.5388 495.7183 -0.2441233 0.2770532
Moved 3249.364 266.4192 505.3144 -0.2166222 0.3017345
Moved 3249.394 277.893 512.9197 -0.1900625 0.3212955
Moved 3249.425 292.2032 519.8406 -0.1569371 0.3390962
Moved 3249.456 303.5093 524.3773 -0.1307654 0.3507647
Moved 3249.487 316.0233 526 -0.101798 0.3549381
Moved 3249.517 326.5135 527 -0.0775151 0.3575102
Moved 3249.548 333.196 527 -0.0620464 0.3575102
Moved 3249.579 342.5 516.5 -0.04050925 0.3305041
Moved 3249.609 351.1702 505.0497 -0.02043938 0.3010536
Moved 3249.64 357.4974 488.5079 -0.005793124 0.2585079
Moved 3249.671 364.6022 465.9888 0.01065334 0.2005885
Moved 3249.702 371.9927 441.0218 0.02776096 0.1363729
Moved 3249.732 376.5371 415.24 0.03828039 0.07006162
Moved 3249.763 380.4087 389.322 0.04724224 0.003400104
Moved 3249.794 382.9301 371.4197 0.05307883 -0.0426447
Moved 3249.825 383.8008 360.5977 0.05509436 -0.07047912
Moved 3249.855 384 352.6504 0.0555556 -0.09091985
Moved 3249.886 384 348.8135 0.0555556 -0.1007885
Moved 3249.917 384 348 0.0555556 -0.1028807
Moved 3249.948 358.0361 361.9774 -0.004545996 -0.06693058
Moved 3249.978 336.8521 384.0059 -0.05358308 -0.01027307
Moved 3250.009 322.97 403.2479 -0.08571754 0.03921783
Moved 3250.04 306.4019 425.3972 -0.1240697 0.09618621
Moved 3250.071 293.3452 446.0476 -0.1542934 0.1492993
Moved 3250.101 284.5342 460.6646 -0.1746894 0.1868943
Moved 3250.132 276.5 476 -0.193287 0.2263374
Moved 3250.163 271.2574 487.4851 -0.2054226 0.2558773
Moved 3250.194 266.5132 499.9736 -0.2164047 0.287998
Moved 3250.224 263.4456 506.3315 -0.2235055 0.3043506
Moved 3250.255 261 511.3018 -0.2291666 0.3171341
Moved 3250.286 259 515.5197 -0.2337963 0.3279825
Moved 3250.317 258 518.3923 -0.2361111 0.3353711
Moved 3250.347 256.5 520.5 -0.2395834 0.3407921
Moved 3250.378 257 522.5 -0.2384259 0.3459361
