traveling requires a lot of fuel
traveling requires a lot of fuel
FixStart
Radial

0.6 0.6
432 388.8
Began 54.5943 381 337 0.04861106 -0.1311728
Stationary 54.62502 381 337 0.04861106 -0.1311728
Stationary 54.65579 381 337 0.04861106 -0.1311728
Moved 54.6865 371.0082 350.9836 0.02548188 -0.09520668
Moved 54.7172 364.8372 373.9768 0.01119723 -0.03606788
Moved 54.74789 363 421.86 0.006944438 0.08708832
Moved 54.77859 373.6388 458.4626 0.03157129 0.1812309
Moved 54.80936 377.2637 474.3185 0.03996223 0.2220125
Moved 54.84007 377 479.3372 0.03935188 0.2349208
Moved 54.87079 377 483.3943 0.03935188 0.2453558
Moved 54.90151 363.5167 484 0.008140504 0.2469135
Moved 54.93221 340.769 485 -0.04451632 0.2494856
Moved 54.96292 299.0149 485 -0.1411692 0.2494856
Moved 54.99367 257.6738 470.3369 -0.2368661 0.2117718
Moved 55.02438 223.3906 448.0529 -0.3162255 0.1544569
Moved 55.05512 196.4284 418.2379 -0.3786379 0.07777233
Moved 55.08578 183.5666 396.3221 -0.4084105 0.02140465
Moved 55.11647 176.9371 370.0279 -0.4237568 -0.04622463
Moved 55.14722 176 328.2548 -0.4259259 -0.1536657
Moved 55.17794 198.6855 292.6003 -0.3734133 -0.2453696
Moved 55.20868 244.9899 247.7589 -0.2662271 -0.3607025
Moved 55.23938 279.2281 225.1813 -0.1869719 -0.4187724
Moved 55.27016 304.6426 213.6787 -0.1281422 -0.4483573
Moved 55.30084 318.2417 210.7931 -0.09666279 -0.4557792
Moved 55.33158 329.9222 218.8756 -0.06962443 -0.4349907
Moved 55.36231 343.4198 283.877 -0.03838018 -0.2678063
Moved 55.39302 344 347.1458 -0.03703703 -0.1050777
Moved 55.42374 334.5083 385.2889 -0.0590085 -0.006972968
Moved 55.45446 328.4439 417.0045 -0.07304643 0.07459989
Moved 55.48516 327 438.9625 -0.07638887 0.1310762
Moved 55.51587 327 449.0286 -0.07638887 0.1569664
Moved 55.54662 327 453.3798 -0.07638887 0.1681579
Moved 55.57737 352.1963 457.0997 -0.01806423 0.1777255
Moved 55.60806 391.3159 441.4315 0.07249057 0.1374266
Moved 55.63875 431 411 0.1643519 0.05915629
Moved 55.66953 454.7002 387.2998 0.2192135 -0.001800953
Moved 55.70025 472.7844 365.8486 0.2610751 -0.05697391
Moved 55.73092 488.4926 345.0919 0.2974367 -0.1103603
Moved 55.76166 494.7095 336.4358 0.3118275 -0.1326241
Moved 55.79239 498 332 0.3194444 -0.144033
Moved 55.8231 499 340.8037 0.3217593 -0.1213896
Moved 55.85378 506.8829 393.4143 0.3400066 0.01392565
Moved 55.88453 519.2733 441.7298 0.3686882 0.1381939
Moved 55.91524 524.1364 466.9545 0.3799452 0.2030721
Moved 55.94594 525 479.4266 0.3819444 0.2351506
Moved 55.97667 525 485.5772 0.3819444 0.2509701
Moved 56.00737 525 487 0.3819444 0.2546296
Moved 56.03814 486.9507 452.3214 0.2938673 0.1654355
