just in time for the party
just in time for the party
FixStart
Radial

0.6 0.6
432 388.8
Began 76.26724 322 397 -0.08796295 0.02314815
Stationary 76.29794 322 397 -0.08796295 0.02314815
Moved 76.32866 350.9966 387.8007 -0.02084131 -0.0005126294
Moved 76.35926 389.4999 386 0.06828685 -0.005144111
Moved 76.39005 415.9991 386 0.1296275 -0.005144111
Moved 76.42086 427.9574 386 0.1573089 -0.005144111
Moved 76.45157 432.705 392.3455 0.1682987 0.01117655
Moved 76.48225 433 428.1907 0.1689814 0.1033712
Moved 76.513 415.0089 456.9822 0.1273354 0.1774233
Moved 76.5437 396.6713 479.3287 0.08488715 0.2348989
Moved 76.57442 379.0258 487.564 0.04404127 0.2560802
Moved 76.60514 331.0446 490 -0.06702627 0.2623456
Moved 76.63586 230.3666 441.6833 -0.3000774 0.1380742
Moved 76.66656 198.8602 416.9638 -0.3730088 0.0744953
Moved 76.69725 178.1904 400.0203 -0.4208556 0.03091643
Moved 76.72803 163.5 389.5 -0.4548612 0.003857946
Moved 76.75872 156.0601 383.0601 -0.4720831 -0.01270553
Moved 76.78947 155 383 -0.474537 -0.01286016
Stationary 76.82019 155 383 -0.474537 -0.01286016
Moved 76.85089 203.2749 435.4182 -0.3627895 0.1219603
Moved 76.88163 286.5 509.5 -0.1701389 0.3124999
Moved 76.91235 314.4973 528.9978 -0.1053303 0.3626486
Moved 76.94307 328.8847 537.9135 -0.07202615 0.3855799
Moved 76.97376 333.6411 542.6411 -0.06101608 0.3977393
Ended 77.00449 337.1353 543 -0.05292743 0.3986624
Candidates 77.09666 13 just last user use least list page pay jay party first part larry
Began 77.5882 207 393 -0.3541667 0.01285996
Stationary 77.61894 207 393 -0.3541667 0.01285996
Moved 77.64964 261.5183 393 -0.2279668 0.01285996
Moved 77.68034 339.5 393 -0.04745369 0.01285996
Moved 77.71108 383.89 393 0.05530089 0.01285996
Moved 77.74179 411.8414 401 0.1200031 0.03343609
Ended 77.77254 414 401 0.125 0.03343609
Accept 77.83398 0 just
Began 77.95681 238 366 -0.2824074 -0.05658444
Stationary 77.98753 238 366 -0.2824074 -0.05658444
Moved 78.01833 281.8347 388.2512 -0.1809383 0.0006461045
Moved 78.04899 323.5 427.5 -0.08449072 0.1015946
Moved 78.07967 347.9662 460.6216 -0.02785593 0.186784
Moved 78.11042 373.8805 497.7106 0.03213068 0.2821775
Moved 78.14119 386.3472 515.684 0.06098896 0.3284053
Moved 78.1719 388 518.8013 0.06481478 0.3364231
Moved 78.20261 389 520 0.06712963 0.3395061
Moved 78.23332 379.4128 474.1947 0.04493713 0.2216941
Moved 78.26405 342.1576 348.6381 -0.04130184 -0.1012395
Moved 78.29475 325.0751 290.5315 -0.08084476 -0.2506907
Moved 78.32552 314.901 264.736 -0.1043958 -0.317037
Moved 78.35619 309.2541 249.0165 -0.1174673 -0.3574679
Moved 78.38694 305.5303 237.5909 -0.1260872 -0.3868546
Moved 78.41764 304 233.0917 -0.1296296 -0.3984268
Ended 78.44836 302.7298 233 -0.1325698 -0.3986626
Candidates 78.50978 13 on in upon ion job jon him inn pin join john jim pb
Began 78.87849 201 362 -0.3680556 -0.06687243
Stationary 78.90923 201 362 -0.3680556 -0.06687243
Stationary 78.9399 201 362 -0.3680556 -0.06687243
Stationary 78.97063 201 362 -0.3680556 -0.06687243
Moved 79.00128 217.3361 370.8962 -0.3302406 -0.04399138
Moved 79.03207 230.3574 383.2289 -0.3000985 -0.01227124
Moved 79.06276 268.4431 450.2936 -0.2119374 0.16022
Moved 79.0935 304.5333 536.6 -0.1283951 0.3822015
Moved 79.12418 310.3661 551.4154 -0.1148932 0.420307
Moved 79.15492 314.3899 562.1697 -0.105579 0.4479673
Moved 79.18567 315 566.1042 -0.1041667 0.4580869
Moved 79.21635 315 568.8129 -0.1041667 0.4650536
Ended 79.24711 316 570 -0.1018519 0.4681069
Accept 79.3085 1 in
Began 79.46213 289 333 -0.1643519 -0.141461
Stationary 79.49287 289 333 -0.1643519 -0.141461
Moved 79.52361 277.2477 362.2072 -0.1915562 -0.06633947
Moved 79.55431 264.5 424 -0.2210648 0.09259254
Moved 79.58503 276.5972 489.7963 -0.193062 0.2618215
Moved 79.61575 279.7821 501.3464 -0.1856895 0.2915288
Moved 79.64644 281 507.9906 -0.1828704 0.3086177
Moved 79.67717 300.39 510.9492 -0.137986 0.3162272
Moved 79.70791 336.5438 505.7423 -0.05429685 0.302835
Moved 79.73863 367.7873 492.485 0.01802623 0.2687372
Moved 79.76935 394.9088 470.0912 0.0808074 0.2111398
Moved 79.80004 409.912 440.0286 0.1155371 0.1338184
Moved 79.83079 413 342.4987 0.1226852 -0.1170302
Moved 79.86147 391.2439 272.2197 0.07232388 -0.297789
Moved 79.89221 379.6047 225.135 0.04538119 -0.4188915
Moved 79.92292 371.8562 201.6165 0.02744486 -0.4793817
Moved 79.95362 366.4484 190.6726 0.01492679 -0.5075294
Moved 79.98437 355.5027 188 -0.0104103 -0.5144033
Moved 80.01505 309.6248 241.9872 -0.1166094 -0.3755474
Moved 80.04582 264.6916 328.2559 -0.2206213 -0.1536628
Moved 80.07651 235.6076 380.3206 -0.2879453 -0.0197515
Moved 80.10726 214.3706 418.2587 -0.3371051 0.0778259
Moved 80.13798 205 435 -0.3587963 0.1208847
Moved 80.16864 197.582 447.0451 -0.3759677 0.1518649
Moved 80.19939 193.0697 452.8605 -0.3864127 0.1668223
Ended 80.2301 193 456 -0.3865741 0.174897
Candidates 80.35299 13 time rome done one front tone gone tribe tune some fine winner times
Began 80.81375 214 394 -0.3379629 0.01543206
Moved 80.84453 226.8332 394 -0.3082564 0.01543206
Moved 80.87519 293.5465 394 -0.1538275 0.01543206
Moved 80.90592 382.0077 416.1069 0.05094379 0.07229125
Moved 80.93664 411.2525 419 0.1186401 0.07973251
Ended 80.9674 423.4465 419 0.1468669 0.07973251
Accept 81.02876 0 time
Began 81.12098 328 319 -0.07407407 -0.1774692
Stationary 81.15173 328 319 -0.07407407 -0.1774692
Stationary 81.18241 328 319 -0.07407407 -0.1774692
Moved 81.21318 316.5873 319 -0.1004923 -0.1774692
Moved 81.24382 303.8518 319 -0.1299726 -0.1774692
Moved 81.27455 282.1018 319 -0.1803198 -0.1774692
Moved 81.3053 267.6019 319 -0.2138844 -0.1774692
Moved 81.33602 259.3879 319 -0.2328984 -0.1774692
Moved 81.36674 255.8296 319 -0.2411353 -0.1774692
Moved 81.39745 253.0567 319 -0.2475539 -0.1774692
Moved 81.42818 263.0925 329.0925 -0.2243228 -0.1515111
Moved 81.45888 322.0911 374.7195 -0.08775209 -0.03415779
Moved 81.48963 353.8153 399.4707 -0.01431644 0.0295028
Moved 81.52032 373.5 415 0.03125002 0.06944436
Moved 81.55107 406.7808 437.0856 0.1082888 0.1262488
Moved 81.58177 430.7735 455.8112 0.1638274 0.1744115
Moved 81.6124 437.8152 461.8151 0.1801277 0.1898536
Moved 81.64321 441.1302 465.1302 0.1878013 0.1983801
Moved 81.6739 442.5 467.5 0.1909722 0.2044752
Moved 81.70467 442 468.5 0.1898148 0.2070472
Moved 81.73535 360.4958 457.188 0.001147687 0.1779527
Moved 81.76611 313.2313 444.5875 -0.1082609 0.1455439
Moved 81.79682 287.1223 439.5692 -0.1686984 0.1326367
Moved 81.82754 268.9899 437 -0.2106715 0.1260288
Moved 81.85823 255.5 434.5 -0.2418981 0.1195987
Moved 81.88895 250.7438 435 -0.2529078 0.1208847
Ended 81.91967 251 435 -0.2523148 0.1208847
Candidates 82.01181 13 for die door sort due dirt fit dirty diet it store suite site
Began 82.62624 193 402 -0.3865741 0.03600815
Moved 82.65696 235.6278 390.0931 -0.2878987 0.005383354
Moved 82.6877 321.5 387 -0.08912037 -0.002572055
Moved 82.71836 365.1835 403.8744 0.01199881 0.04082915
