healthy food is good for you
healthy food is good for you
FixStart
Radial

0.6 0.6
432 388.8
Began 114.729 235 340 -0.2893518 -0.1234569
Stationary 114.7597 235 340 -0.2893518 -0.1234569
Stationary 114.7902 235 340 -0.2893518 -0.1234569
Moved 114.8212 270.6042 346.817 -0.2069347 -0.1059234
Moved 114.8518 301.004 354.334 -0.1365649 -0.08658954
Moved 114.8826 314.6671 357.889 -0.1049372 -0.07744596
Moved 114.9133 319.6138 358 -0.09348651 -0.07716057
Moved 114.944 320 359.1647 -0.09259259 -0.07416485
Moved 114.9747 282.9238 379.3933 -0.1784172 -0.02213662
Moved 115.0055 239.5021 404.8987 -0.2789304 0.04346384
Moved 115.0362 208.639 424.9073 -0.3503727 0.09492622
Moved 115.0669 189.287 437.3664 -0.3951689 0.1269711
Moved 115.0976 173.5148 445.5941 -0.4316786 0.1481328
Moved 115.1283 162.9536 446 -0.4561259 0.1491768
Moved 115.159 145.5714 433.3713 -0.4963625 0.1166958
Moved 115.1898 124.3323 400.8554 -0.545527 0.03306424
Moved 115.2205 111.1469 363.0283 -0.5760489 -0.0642278
Moved 115.2512 109 341.7755 -0.5810185 -0.1188902
Moved 115.2819 119.4063 325.496 -0.5569299 -0.1607613
Moved 115.3127 157.9794 314.5236 -0.4676404 -0.1889827
Moved 115.3434 232.485 314 -0.2951736 -0.1903292
Moved 115.3741 300.1498 325.1729 -0.1385422 -0.1615923
Moved 115.4048 357.3868 330.8925 -0.006049027 -0.1468816
Moved 115.4356 388.5855 334.5976 0.06617019 -0.1373519
Moved 115.4663 403.0681 336 0.09969473 -0.1337449
Moved 115.497 408.7455 341.2363 0.1128367 -0.1202769
Moved 115.5277 409 359.2957 0.113426 -0.07382812
Moved 115.5584 372.7684 400.0709 0.02955645 0.03104646
Moved 115.5891 327.6788 436.9609 -0.07481764 0.1259281
Moved 115.6199 273.1309 469.228 -0.201086 0.2089197
Moved 115.6506 243.2432 482.1027 -0.2702705 0.2420337
Moved 115.6813 223.8528 487.8589 -0.3151556 0.2568386
Moved 115.712 217.7072 488.1464 -0.3293815 0.2575782
Moved 115.7427 215 488 -0.3356481 0.2572016
Moved 115.7735 230.5427 450.0661 -0.2996697 0.159635
Moved 115.8042 262.8817 404.1446 -0.2248108 0.04152412
Moved 115.8349 289.0699 380.3441 -0.1641901 -0.01969106
Moved 115.8656 307.5931 367.2713 -0.1213123 -0.05331455
Moved 115.8964 317.6034 362.2644 -0.09814029 -0.06619245
Moved 115.9271 320.5 362 -0.09143516 -0.06687243
Moved 115.9578 320 373.0437 -0.09259259 -0.03846785
Moved 115.9885 300.7863 406.3918 -0.1370689 0.04730405
Moved 116.0192 282.8632 436.9293 -0.1785575 0.1258469
Moved 116.05 272.3272 452.8409 -0.2029462 0.166772
Moved 116.0807 264.206 465.588 -0.2217454 0.1995575
Moved 116.1114 260.5 474.5 -0.2303241 0.2224794
Ended 116.1421 260 475 -0.2314815 0.2237653
Candidates 116.2343 13 healthy wealthy gallery technology jewelry short i wesley jennifer another about sky reality
Began 116.7872 189 411 -0.3958333 0.05915629
Moved 116.818 197.0396 411 -0.3772231 0.05915629
Moved 116.8487 258.3358 411 -0.2353337 0.05915629
Moved 116.8795 355.9925 430.1323 -0.009276719 0.108365
Moved 116.9102 392.1079 435 0.07432391 0.1208847
Moved 116.9409 409.9335 436 0.1155868 0.1234567
Ended 116.9716 409.9335 436 0.1155868 0.1234567
Accept 117.033 0 healthy
Began 117.0945 351 388 -0.02083332 -3.924585E-08
Stationary 117.1252 351 388 -0.02083332 -3.924585E-08
Moved 117.1559 330.9608 388 -0.06722043 -3.924585E-08
Moved 117.1867 304.1516 378.5931 -0.1292787 -0.02419483
Moved 117.2174 300.3557 379 -0.1380656 -0.02314815
Moved 117.2481 287.3531 378 -0.1681641 -0.02572024
Moved 117.2788 282.2232 378 -0.1800388 -0.02572024
Moved 117.3095 279.5 378 -0.1863426 -0.02572024
Moved 117.3402 280 378 -0.1851852 -0.02572024
