the five boxing wizards jump quickly
the five boxing wizards jump quickly
Basic
Radial

0.6 0.6
432 388.8
Began 719.5886 315 482 -0.1041667 0.2417695
Stationary 719.6193 315 482 -0.1041667 0.2417695
Stationary 719.65 315 482 -0.1041667 0.2417695
Moved 719.6808 315 463.3237 -0.1041667 0.1937339
Moved 719.7115 324.7752 454.6743 -0.0815388 0.1714874
Moved 719.7422 332.9282 438.1437 -0.06266629 0.1289704
Moved 719.7729 342.5928 418.2126 -0.04029443 0.07770719
Moved 719.8036 348.5685 405.7193 -0.02646193 0.04557429
Moved 719.8344 355.1418 396.2872 -0.01124571 0.02131486
Moved 719.8651 359.6729 387.9906 -0.0007570783 -2.421469E-05
Moved 719.8958 366.2849 378.6201 0.0145484 -0.02412529
Moved 719.9265 370.5897 369.8804 0.02451321 -0.0466039
Moved 719.9572 376.8745 361.1255 0.03906121 -0.06912152
Moved 719.988 386.2066 352.8967 0.06066352 -0.0902865
Moved 720.0187 400.0746 347.1851 0.09276538 -0.1049768
Moved 720.0494 413.408 347 0.1236296 -0.1054527
Moved 720.0801 425.9805 347 0.1527326 -0.1054527
Moved 720.1108 440.0299 353.0598 0.1852544 -0.08986681
Moved 720.1415 453 360 0.2152778 -0.07201654
Moved 720.1723 461.9333 364.9556 0.2359568 -0.05927074
Moved 720.203 465.7357 367 0.2447587 -0.05401234
Moved 720.2337 467 368.4855 0.2476852 -0.05019168
Moved 720.2645 467 369 0.2476852 -0.04886839
Stationary 720.2952 467 369 0.2476852 -0.04886839
Moved 720.3259 440.1622 370 0.1855606 -0.04629637
Moved 720.3566 405.769 370 0.1059467 -0.04629637
Moved 720.3874 375.2718 370 0.03535141 -0.04629637
Moved 720.418 340.989 370 -0.044007 -0.04629637
Moved 720.4488 310.9743 370 -0.1134855 -0.04629637
Moved 720.4796 282.52 374.696 -0.179352 -0.03421823
Moved 720.5102 260.2813 378.6041 -0.2308302 -0.02416642
Moved 720.541 239.5126 382.0696 -0.278906 -0.01525306
Moved 720.5717 224.7304 386.8174 -0.3131242 -0.00304175
Moved 720.6024 213 390.5 -0.3402778 0.006429962
Moved 720.6331 207.0327 394.9673 -0.354091 0.01792009
Ended 720.6638 204 398 -0.3611111 0.02572008
Candidates 720.7867 13 glass the ends rna fla alas dallas terms else ala this end class
Began 721.8313 406 380 0.1064815 -0.02057613
Stationary 721.862 406 380 0.1064815 -0.02057613
Moved 721.8927 447.4682 443.6358 0.2024727 0.1430961
Moved 721.9234 496.4754 554.7964 0.3159153 0.4290031
Moved 721.9542 533.2712 637.5424 0.4010908 0.6418271
Ended 721.9849 561 694 0.4652777 0.7870369
Accept 722.0156 1 the
Began 722.6607 253 317 -0.2476852 -0.1826131
Stationary 722.6914 253 317 -0.2476852 -0.1826131
Stationary 722.7221 253 317 -0.2476852 -0.1826131
Moved 722.7529 268.7753 322.5712 -0.2111682 -0.168284
Moved 722.7836 288 335.5 -0.1666667 -0.1350309
Moved 722.8143 312.8857 352.9238 -0.1090609 -0.09021656
Moved 722.845 335.2195 366.7282 -0.05736222 -0.05471146
Moved 722.8757 355.5 382 -0.01041666 -0.01543218
Moved 722.9065 371.4935 395.6201 0.02660523 0.01959899
Moved 722.9372 386.1273 408.4394 0.06047984 0.05257041
Moved 722.9679 399.1679 422.1679 0.09066641 0.0878803
Moved 722.9987 412.045 440.4631 0.1204746 0.1349358
Moved 723.0294 422.225 455.515 0.1440394 0.1736497
Moved 723.0601 434.9536 473.735 0.1735036 0.2205117
Moved 723.0908 444.4731 491.9462 0.1955396 0.2673512
Moved 723.1215 454.7608 507.6014 0.2193537 0.3076167
Moved 723.1523 462.0196 519.6994 0.2361566 0.3387329
Moved 723.1829 472.2963 532.4938 0.2599451 0.3716404
Moved 723.2137 481.4337 547.1505 0.2810965 0.4093376
Moved 723.2444 487 556.5 0.2939814 0.4333847
Moved 723.2751 491.0827 565.248 0.3034322 0.4558846
Moved 723.3058 494 569.8319 0.3101851 0.4676746
Moved 723.3365 495 572.5822 0.3125 0.4747484
Moved 723.3672 495 575.0111 0.3125 0.4809956
Moved 723.398 495 576 0.3125 0.483539
Moved 723.4287 495 577.5 0.3125 0.487397
Moved 723.4595 484.4529 577 0.2880855 0.4861111
Moved 723.4902 476.6008 571.5613 0.2699093 0.4721227
Moved 723.5209 461.2563 557.7136 0.2343896 0.4365061
Moved 723.5516 447.7528 544.9606 0.2031315 0.4037052
Moved 723.5823 433.2822 525.4703 0.1696347 0.3535759
Moved 723.6131 410.0355 495.4497 0.1158229 0.2763624
