a very traditional way to dress
a very traditional way to dress
FixStart
Radial

0.6 0.6
432 388.8
Began 2215.027 434 346 0.1712963 -0.1080248
Stationary 2215.058 434 346 0.1712963 -0.1080248
Moved 2215.088 420.5472 346 0.1401556 -0.1080248
Moved 2215.119 398.4368 346 0.08897404 -0.1080248
Moved 2215.15 334.2589 346 -0.05958601 -0.1080248
Moved 2215.18 292.1158 346 -0.1571393 -0.1080248
Moved 2215.211 257.646 354.1505 -0.2369305 -0.08706159
Moved 2215.242 233.8903 357.6849 -0.2919205 -0.07797091
Moved 2215.273 215.6341 359 -0.3341804 -0.07458848
Moved 2215.303 197.4261 360 -0.3763286 -0.07201654
Moved 2215.334 181.7474 361 -0.4126218 -0.06944452
Moved 2215.365 170.0289 361 -0.4397479 -0.06944452
Moved 2215.396 156.8693 361 -0.4702099 -0.06944452
Moved 2215.426 145.6323 362 -0.4962215 -0.06687243
Moved 2215.457 137.3897 363 -0.5153016 -0.06430049
Ended 2215.488 131.5 363 -0.5289352 -0.06430049
Delete 2215.549 LeftSwipe
Began 2216.317 477 334 0.2708333 -0.1388889
Stationary 2216.348 477 334 0.2708333 -0.1388889
Moved 2216.379 452.3663 334 0.2138108 -0.1388889
Moved 2216.409 414.4279 334 0.1259904 -0.1388889
Moved 2216.44 381.0359 334 0.04869411 -0.1388889
Moved 2216.471 352.7291 343.5441 -0.01683086 -0.1143414
Moved 2216.502 333.2614 342 -0.06189501 -0.1183128
Moved 2216.532 321.8182 342 -0.0883838 -0.1183128
Moved 2216.563 313.471 343.2645 -0.107706 -0.1150605
Moved 2216.594 305.9979 343 -0.1250048 -0.1157408
Moved 2216.625 299.4664 344.7668 -0.140124 -0.1111967
Moved 2216.655 294.6644 346.1678 -0.1512399 -0.1075931
Moved 2216.686 288.0929 347.9691 -0.1664517 -0.1029603
Moved 2216.717 278.8389 350.7203 -0.1878728 -0.09588398
Moved 2216.748 272.0645 354.4678 -0.2035544 -0.08624551
Moved 2216.778 266.2408 355.8796 -0.2170351 -0.08261425
Moved 2216.809 263.3709 356.6291 -0.2236784 -0.08068649
Moved 2216.84 260.6212 357 -0.2300435 -0.07973259
Moved 2216.87 260 358 -0.2314815 -0.07716057
