the five boxing wizards jump quickly
the five boxing wizards jump quickly
FixStart
List

0.6 0.6
432 388.8
Began 825.4824 470 478 0.2546296 0.2314814
Stationary 825.5131 470 478 0.2546296 0.2314814
Stationary 825.5438 470 478 0.2546296 0.2314814
Stationary 825.5745 470 478 0.2546296 0.2314814
Moved 825.6052 461.7061 478 0.2354307 0.2314814
Moved 825.636 455.3421 496.3027 0.2206992 0.2785563
Moved 825.6666 452.2625 511.4247 0.2135707 0.3174504
Moved 825.6974 450.1046 528.9542 0.2085754 0.3625365
Moved 825.7281 450 547.9659 0.2083333 0.4114349
Moved 825.7589 450 563.0763 0.2083333 0.450299
Moved 825.7895 450 574 0.2083333 0.478395
Moved 825.8203 450 592.2263 0.2083333 0.5252732
Moved 825.851 450 604.4615 0.2083333 0.5567424
Moved 825.8817 450 613.802 0.2083333 0.5807664
Moved 825.9124 450 619.6332 0.2083333 0.5957645
Moved 825.9431 450 623.4285 0.2083333 0.605526
Moved 825.9738 450 625.8548 0.2083333 0.6117663
Moved 826.0045 450 627.0569 0.2083333 0.6148582
Moved 826.0352 450 628.2334 0.2083333 0.6178842
Moved 826.066 461.5556 628 0.2350825 0.6172838
Moved 826.0967 473.3396 614.8837 0.2623601 0.5835484
Moved 826.1274 486.5095 599.0867 0.292846 0.5429184
Moved 826.1581 495.3422 581.0873 0.3132922 0.4966237
Moved 826.1888 502.5 557 0.3298611 0.4346707
Moved 826.2195 506.4779 538.0885 0.3390692 0.38603
Moved 826.2502 509.0834 521.4158 0.3451006 0.3431476
Moved 826.281 511.494 509.5302 0.3506804 0.3125775
Moved 826.3117 512.8944 497.4225 0.3539222 0.2814364
Moved 826.3424 514.3057 489.0828 0.3571892 0.2599865
Moved 826.3731 515.4316 484.1368 0.3597955 0.2472653
Moved 826.4038 515 481.1592 0.3587963 0.2396069
Moved 826.4346 515 477.7495 0.3587963 0.2308372
Moved 826.4653 515 476.6868 0.3587963 0.2281039
Moved 826.496 499.3701 477 0.3226161 0.2289094
Moved 826.5267 469.8672 488.4922 0.2543223 0.2584675
Moved 826.5574 438.5 505.5 0.181713 0.3022119
Moved 826.5881 416.1089 517.9319 0.1298818 0.334187
Moved 826.6188 403.4558 524.2721 0.1005922 0.350494
Moved 826.6495 394.7638 529.2778 0.08047174 0.3633688
Moved 826.6803 380.83 542.17 0.04821767 0.3965276
Moved 826.7109 372.3277 551.8964 0.02853632 0.421544
Moved 826.7417 368 558 0.01851857 0.4372427
Moved 826.7724 366.2526 561.4949 0.0144735 0.4462316
Moved 826.8031 364 566 0.009259283 0.4578188
Moved 826.8339 362 570.5638 0.004629592 0.4695569
Moved 826.8646 361 572.9749 0.002314846 0.4757585
Moved 826.8953 359.8707 574 -0.0002993146 0.478395
Moved 826.926 360 576.5 0 0.484825
Moved 826.9567 360 578 0 0.488683
Ended 826.9874 360 580.1785 0 0.4942862
Candidates 827.1102 13 the there this further tiger trigger huge thus right us roger ride rights
Began 828.2468 465 465 0.2430555 0.1980452
Stationary 828.2775 465 465 0.2430555 0.1980452
Stationary 828.3082 465 465 0.2430555 0.1980452
Stationary 828.3389 465 465 0.2430555 0.1980452
Moved 828.3696 455.6553 465 0.2214242 0.1980452
Moved 828.4003 445.2964 465 0.1974453 0.1980452
Moved 828.4311 427.1443 465 0.1554266 0.1980452
Moved 828.4617 411.3609 465 0.118891 0.1980452
Moved 828.4925 400 465 0.09259263 0.1980452
Moved 828.5232 392.1711 465 0.07447024 0.1980452
Moved 828.5539 387.983 465 0.06477535 0.1980452
Moved 828.5847 385.5684 465 0.05918602 0.1980452
Moved 828.6154 385 465 0.05787035 0.1980452
Stationary 828.646 385 465 0.05787035 0.1980452
Moved 828.6768 405.731 483.2924 0.1058588 0.2450936
Moved 828.7075 434.5082 504.5464 0.1724727 0.2997593
Moved 828.7382 458.8161 517.8072 0.228741 0.3338661
Moved 828.7689 479 529 0.275463 0.3626543
Moved 828.7997 498.467 539.3113 0.3205255 0.3891752
Moved 828.8303 521.2613 552.7568 0.3732899 0.423757
Moved 828.8611 541 562.5 0.4189815 0.4488167
Moved 828.8918 555.6885 569.8962 0.4529827 0.4678398
Moved 828.9225 564.4246 574.2123 0.4732051 0.4789409
Moved 828.9532 572.5 578 0.4918982 0.488683
Moved 828.9839 575.8432 579.9216 0.499637 0.4936253
Moved 829.0146 578.3282 580 0.5053895 0.4938271
Moved 829.0453 579.3574 581 0.5077716 0.496399
Moved 829.076 581 582 0.511574 0.4989711
Moved 829.1068 582.2646 582 0.5145015 0.4989711
Stationary 829.1375 582.2646 582 0.5145015 0.4989711
Moved 829.1682 575.3678 556.0516 0.4985365 0.4322315
Moved 829.199 554.6667 514.1431 0.4506175 0.324442
Moved 829.2297 538.4203 481.4373 0.41301 0.2403222
Moved 829.2604 525.9697 454.9444 0.3841891 0.172182
Moved 829.2911 509.1115 418.3976 0.3451654 0.07818304
Moved 829.3218 490.5 379.5 0.3020833 -0.02186214
Moved 829.3525 478.2324 351.4648 0.2736861 -0.09396909
Moved 829.3832 469.8889 324.9258 0.2543724 -0.1622278
Moved 829.4139 466.2262 304.5831 0.2458939 -0.2145496
Moved 829.4446 464.1091 294.4364 0.2409933 -0.2406472
Moved 829.4754 461.7018 287.1053 0.2354208 -0.2595029
Moved 829.5061 461 282.593 0.2337964 -0.2711087
Moved 829.5368 460 278.7783 0.2314815 -0.28092
Moved 829.5675 458.7872 276.7872 0.228674 -0.2860412
Moved 829.5983 459 275.5298 0.2291666 -0.2892751
Moved 829.629 453.7313 275 0.2169705 -0.2906379
Moved 829.6597 435.5143 292.7885 0.1748017 -0.2448856
Moved 829.6904 429.7704 297.5246 0.1615056 -0.2327043
Moved 829.7211 412.846 313.1733 0.1223287 -0.1924555
Moved 829.7518 391.9057 342.8624 0.07385582 -0.1160946
Moved 829.7825 375.6276 378.9603 0.03617495 -0.02325019
Moved 829.8132 368.2504 412.7478 0.01909822 0.06365167
Moved 829.8439 364.2947 452.3477 0.00994146 0.1655031
Moved 829.8747 365 489.1475 0.01157403 0.2601528
Moved 829.9053 365 517.9561 0.01157403 0.3342492
Moved 829.9361 365 541.5 0.01157403 0.3948044
Moved 829.9668 373.7005 556.5024 0.03171404 0.4333908
Moved 829.9976 375.1031 566.3094 0.034961 0.4586147
Moved 830.0282 375 572 0.03472219 0.4732509
Moved 830.059 375 574.9097 0.03472219 0.4807346
Moved 830.0897 375 577.014 0.03472219 0.486147
Moved 830.1204 376.4301 578 0.03803273 0.488683
Moved 830.1511 378.6823 580.8411 0.04324595 0.4959905
Ended 830.1818 380.0421 582.0421 0.04639377 0.4990794
Accept 830.3354 0 the
Candidates 830.3354 13 five dive founded solved ice river driver fiber gives over sounded silver soccer
Began 831.2568 443 463 0.1921296 0.1929011
Stationary 831.2875 443 463 0.1921296 0.1929011
Stationary 831.3182 443 463 0.1921296 0.1929011
Moved 831.3489 443 442.8732 0.1921296 0.1411346
Moved 831.3797 443 412.9906 0.1921296 0.0642762
Moved 831.4104 443 363.0142 0.1921296 -0.06426407
Moved 831.4411 443 331.1462 0.1921296 -0.1462289
Moved 831.4718 443 307.5621 0.1921296 -0.2068877
Moved 831.5025 443 288.8088 0.1921296 -0.2551215
Moved 831.5333 443 279.5 0.1921296 -0.2790638
Moved 831.564 443 274.0187 0.1921296 -0.2931619
Moved 831.5947 443 270.6027 0.1921296 -0.3019478
Moved 831.6254 443 268.1921 0.1921296 -0.3081481
Moved 831.6561 443 267.5 0.1921296 -0.309928
Moved 831.6868 443 268 0.1921296 -0.308642
Moved 831.7176 448.7526 293.629 0.2054459 -0.2427239
Moved 831.7482 455.3749 325.9993 0.2207752 -0.159467
Moved 831.779 466.2207 368.8829 0.2458813 -0.04916964
Moved 831.8097 484.6238 430.2108 0.288481 0.1085668
Moved 831.8404 500.1863 472.4967 0.3245053 0.2173269
Moved 831.8712 511.959 503.0934 0.3517569 0.296022
Moved 831.9019 525 534 0.3819444 0.3755144
Moved 831.9326 534.6391 555.3685 0.4042571 0.4304744
Moved 831.9633 539.6108 568.5269 0.4157656 0.4643179
Moved 831.994 542.7125 578.85 0.4229455 0.4908692
Moved 832.0247 545.1243 587.4972 0.4285286 0.5131099
Moved 832.0554 546 591.5401 0.4305556 0.5235084
Moved 832.0861 547 594.6797 0.4328704 0.5315835
Moved 832.1168 547 597.0867 0.4328704 0.5377743
Moved 832.1476 547 598 0.4328704 0.5401233
Moved 832.1783 547 600.4787 0.4328704 0.5464986
Moved 832.209 547 601.0241 0.4328704 0.5479014
Stationary 832.2397 547 601.0241 0.4328704 0.5479014
Moved 832.2704 547 602 0.4328704 0.5504114
Stationary 832.3011 547 602 0.4328704 0.5504114
Moved 832.3318 515.1815 569.793 0.3592164 0.4675744
Moved 832.3626 486.2214 535.2126 0.2921792 0.3786331
Moved 832.3933 454.5814 497.4202 0.2189384 0.2814304
Moved 832.424 411 443.5 0.1180555 0.1427468
Moved 832.4547 374.5214 398.8148 0.03361434 0.02781581
Moved 832.4854 348.6851 369.4659 -0.02619192 -0.04766998
Moved 832.5162 332.5 350 -0.06365741 -0.09773669
Moved 832.5468 316.4601 332.5368 -0.1007868 -0.1426523
Moved 832.5776 306.8548 320.8185 -0.1230213 -0.1727918
Moved 832.6083 297.6816 309.2421 -0.1442556 -0.2025665
Moved 832.639 291.2855 301.2855 -0.1590613 -0.2230311
Moved 832.6697 287.4916 296.4916 -0.1678435 -0.2353611
Moved 832.7004 286.5356 294.0712 -0.1700565 -0.2415866
Stationary 832.7311 287 293.7278 -0.1689815 -0.2424696
Moved 832.7618 287 292.686 -0.1689815 -0.2451491
Moved 832.7925 292.1263 297.4855 -0.157115 -0.2328047
Moved 832.8233 315.8172 320.8172 -0.102275 -0.1727953
Moved 832.854 352.459 358.459 -0.01745606 -0.07598005
Moved 832.8847 385.5 399 0.05902777 0.02829214
Moved 832.9153 416.8382 444.7647 0.13157 0.1459997
Moved 832.9461 443.8727 482.8091 0.1941498 0.2438504
Moved 832.9769 478.9274 529.3911 0.2752949 0.36366
Moved 833.0076 487.3723 542.9537 0.2948432 0.3985434
Moved 833.0383 507.3743 568.9679 0.3411442 0.4654523
Moved 833.069 524.9446 592.3573 0.3818161 0.5256102
Moved 833.0997 535.3536 605.192 0.4059112 0.5586214
Moved 833.1304 543.7548 616.0064 0.4253584 0.5864361
Moved 833.1611 548.3223 620.3223 0.4359311 0.5975366
Moved 833.1918 551.0654 623.0654 0.442281 0.604592
Moved 833.2226 553.1364 625.1364 0.4470749 0.6099185
Moved 833.2533 554 626 0.4490741 0.6121398
Moved 833.2839 555.5 627.5 0.4525463 0.6159979
Moved 833.3147 556 628.3995 0.4537037 0.6183115
Moved 833.3455 558.6432 628 0.4598223 0.6172838
Moved 833.3762 560 610.3519 0.462963 0.5718926
Moved 833.4069 547.6275 575.1287 0.434323 0.4812979
Moved 833.4376 530.5413 530.7431 0.3947714 0.3671375
Moved 833.4683 515.6882 484.5022 0.3603892 0.2482052
Moved 833.499 505.4596 452.9949 0.336712 0.1671679
Moved 833.5297 493.379 414.5854 0.3087477 0.06837798
Moved 833.5604 482.4842 382.1947 0.2835283 -0.01493132
Moved 833.5911 474.5 357 0.2650462 -0.07973259
Moved 833.6218 470.3631 344.4523 0.2554701 -0.1120055
Moved 833.6525 467.9532 336.8595 0.2498917 -0.1315342
Moved 833.6833 467 332.0911 0.2476852 -0.1437985
Moved 833.714 465.1382 329.1381 0.2433754 -0.1513938
Moved 833.7447 465 327.9377 0.2430555 -0.1544813
Moved 833.7754 462.5933 326 0.2374844 -0.1594652
