the five boxing wizards jump quickly
the five boxing wizards jump quickly
FixStart
Radial

0.6 0.6
432 388.8
Began 1431.585 429 387 0.1597223 -0.002572055
Stationary 1431.616 429 387 0.1597223 -0.002572055
Stationary 1431.647 429 387 0.1597223 -0.002572055
Moved 1431.677 416.2823 418.2943 0.130283 0.07791739
Moved 1431.708 406.559 449.8033 0.1077755 0.158959
Moved 1431.739 400.5389 471.3055 0.09384006 0.2142631
Moved 1431.77 396.7132 492.5809 0.08498431 0.2689839
Moved 1431.8 397 501.6808 0.0856481 0.2923889
Moved 1431.831 395.6072 506.7856 0.08242399 0.3055186
Stationary 1431.862 396 507.3147 0.08333336 0.3068792
Moved 1431.892 396 509.5 0.08333336 0.3124999
Moved 1431.923 403.1736 509 0.09993891 0.3112139
Moved 1431.954 422.8975 489.8269 0.1455961 0.2619003
Moved 1431.985 440.6566 466.5151 0.1867051 0.201942
Moved 1432.016 455.8729 443.6034 0.221928 0.1430128
Moved 1432.046 469.9059 416.1881 0.2544119 0.07250024
Moved 1432.077 477.5604 399.5989 0.2721305 0.02983246
Moved 1432.108 481.5 390.5 0.28125 0.006429962
Moved 1432.138 483 386.9243 0.2847222 -0.002766872
Moved 1432.169 483 385.6605 0.2847222 -0.006017331
Moved 1432.2 439.3317 416.4904 0.1836382 0.0732777
Moved 1432.231 411.8294 452.8941 0.1199755 0.1669086
Moved 1432.261 395.0844 475.9036 0.08121382 0.2260895
Moved 1432.292 382.3116 496.8391 0.05164732 0.2799358
Moved 1432.323 370.5194 514.6729 0.02435048 0.3258046
Moved 1432.354 365.0127 523.3163 0.01160353 0.3480358
Moved 1432.384 358.2345 533.5309 -0.004086743 0.3743079
Ended 1432.415 358 534 -0.004629641 0.3755144
Candidates 1432.507 13 the there they further where t threw r right turkey tiger she title
Began 1432.938 415 394 0.1273148 0.01543206
Moved 1432.968 439.9722 394 0.1851208 0.01543206
Moved 1432.999 464.0018 394 0.2407449 0.01543206
Moved 1433.03 483.928 394 0.2868704 0.01543206
Moved 1433.061 498.6723 394 0.3210006 0.01543206
Ended 1433.091 498.6723 394 0.3210006 0.01543206
Accept 1433.183 0 the
Began 1433.583 484 421 0.287037 0.08487643
Stationary 1433.614 484 421 0.287037 0.08487643
Moved 1433.645 472.446 421 0.2602918 0.08487643
Moved 1433.675 450.3073 409.3922 0.2090446 0.05502096
Moved 1433.706 425.0322 400.6129 0.1505376 0.03244058
Moved 1433.737 397.2386 394.6396 0.08620043 0.01707709
Moved 1433.767 388.5366 394 0.06605694 0.01543206
Moved 1433.798 385.5 394 0.05902777 0.01543206
Moved 1433.829 386 394 0.06018519 0.01543206
Moved 1433.86 390.5161 402.6935 0.07063916 0.03779203
Moved 1433.89 416.6206 418.9973 0.1310662 0.07972553
Moved 1433.921 468.9396 455.507 0.2521749 0.1736291
Moved 1433.952 501.5123 476.6896 0.3275747 0.2281111
Moved 1433.982 524.5 492 0.3807871 0.2674896
Moved 1434.013 534.1604 499.1069 0.403149 0.2857688
Moved 1434.044 539.2195 501.6097 0.41486 0.292206
Moved 1434.075 541 502 0.4189815 0.2932098
Moved 1434.106 542 502 0.4212962 0.2932098
Stationary 1434.136 542 502 0.4212962 0.2932098
Moved 1434.167 523.2026 464.451 0.3777839 0.1966333
Moved 1434.198 482.5838 377.0796 0.2837588 -0.02808755
Moved 1434.229 458.0981 314.0196 0.2270788 -0.1902789
Moved 1434.259 445.4072 276.303 0.1977019 -0.2872865
Moved 1434.29 440.0501 251.7256 0.1853012 -0.3505001
Moved 1434.321 438.2057 243.4114 0.1810317 -0.3718844
Moved 1434.351 436.7061 240.7062 0.1775604 -0.3788422
Moved 1434.382 423.3673 268.8095 0.1466836 -0.30656
Moved 1434.413 403.7663 322.7011 0.1013109 -0.1679499
Moved 1434.444 396.277 382.7369 0.08397459 -0.01353684
Moved 1434.474 390.6175 430.0602 0.0708738 0.1081794
Moved 1434.505 386.5105 456.1923 0.06136686 0.1753915
Moved 1434.536 380.3929 473.5176 0.04720588 0.2199527
Moved 1434.567 375.3273 490.7267 0.03547996 0.2642147
Ended 1434.597 374.5 499 0.03356477 0.2854938
Candidates 1434.69 13 succeed five success dive ice size reduces arrived driver hence soccer sauce fund
Began 1435.427 373 355 0.0300926 -0.08487654
Moved 1435.458 373 368.9397 0.0300926 -0.04902341
Moved 1435.489 385.7718 383.4294 0.0596569 -0.01175555
Moved 1435.519 408.6504 433.5759 0.1126166 0.1172218
Moved 1435.55 417 453.5 0.1319444 0.168467
Moved 1435.581 422.0684 466.2736 0.1436768 0.2013208
Moved 1435.612 424 469.6245 0.1481481 0.2099395
Moved 1435.642 424 471 0.1481481 0.2134772
Ended 1435.673 424 471 0.1481481 0.2134772
Accept 1435.735 1 five
Began 1436.564 421 324 0.1412037 -0.164609
Stationary 1436.595 421 324 0.1412037 -0.164609
Moved 1436.626 425.7339 309.5898 0.1521619 -0.2016724
Moved 1436.657 439.3904 284.451 0.1837739 -0.2663297
Moved 1436.687 449.8797 264.2405 0.208055 -0.3183114
Moved 1436.718 456.0898 246.7305 0.2224301 -0.3633476
Moved 1436.749 459 236.8202 0.2291666 -0.388837
Moved 1436.78 460 232.8553 0.2314815 -0.3990347
Moved 1436.81 461.4155 231.5845 0.2347582 -0.4023033
Moved 1436.841 472.3682 251.5258 0.2601115 -0.351014
Moved 1436.872 507.6517 336.1729 0.3417864 -0.1333003
Moved 1436.902 526.2648 390.6052 0.3848722 0.006700484
Moved 1436.933 537.174 415.3479 0.4101248 0.07033917
Moved 1436.964 546.7125 435.4249 0.4322048 0.1219775
Moved 1436.995 549.4095 443.2286 0.438448 0.1420489
Moved 1437.025 549 444.9633 0.4375 0.1465105
Moved 1437.056 549 445 0.4375 0.1466049
Moved 1437.087 539.8722 439.6755 0.4163708 0.1329101
Moved 1437.118 486.5379 388.9111 0.2929119 0.002343213
Moved 1437.148 403.4803 298.9764 0.100649 -0.2289703
Moved 1437.179 360.4893 248.9872 0.001132588 -0.3575432
Moved 1437.21 330.4959 211.0505 -0.06829659 -0.455117
Moved 1437.241 314.698 192.4375 -0.1048658 -0.50299
Moved 1437.271 310.1746 188.1747 -0.1153365 -0.513954
Moved 1437.302 309.5 187.5 -0.1168982 -0.5156894
Moved 1437.333 310 188 -0.1157407 -0.5144033
Moved 1437.364 325.5247 221.719 -0.07980381 -0.4276775
Moved 1437.394 351.1719 265.6198 -0.0204354 -0.3147639
Moved 1437.425 380.6701 305.8845 0.04784743 -0.2112024
Moved 1437.456 473.1956 423.7152 0.262027 0.09186003
Moved 1437.486 497.5746 451.5746 0.3184597 0.1635148
Moved 1437.517 516.3981 471.0264 0.3620326 0.2135452
Moved 1437.548 526.7529 482.7529 0.3860022 0.243706
Moved 1437.579 531.4464 487.4464 0.3968666 0.2557776
Moved 1437.609 532 488.5 0.3981481 0.2584876
Moved 1437.64 532 488 0.3981481 0.2572016
Stationary 1437.671 532 488 0.3981481 0.2572016
Moved 1437.702 519.6342 448.1384 0.3695237 0.1546767
Moved 1437.732 494.7726 343.3221 0.3119736 -0.1149124
Moved 1437.763 480.0947 274.9496 0.277997 -0.2907674
Moved 1437.794 476.1869 246.2429 0.2689511 -0.3646016
Moved 1437.825 471.3717 218.8583 0.2578048 -0.4350353
Moved 1437.855 467.1264 200.7583 0.2479777 -0.4815888
Moved 1437.886 464.5723 190.7168 0.2420654 -0.5074157
Moved 1437.917 462.0897 189 0.2363187 -0.5118313
Moved 1437.948 438.5 225 0.181713 -0.4192387
Moved 1437.978 423.2912 264.5431 0.1465073 -0.3175333
Moved 1438.009 408.6089 319.6077 0.1125207 -0.1759063
Moved 1438.04 404.6497 341.7262 0.1033557 -0.1190171
Moved 1438.07 401.8698 358.6508 0.09692092 -0.07548665
Moved 1438.101 399.3131 365.3738 0.09100249 -0.05819493
Ended 1438.132 399 369 0.09027779 -0.04886839
Candidates 1438.255 13 mixing boxing living binding victims october giving locations using listing bidding moving occasions
Began 1438.716 366 384 0.01388888 -0.01028807
Stationary 1438.747 366 384 0.01388888 -0.01028807
Stationary 1438.777 366 384 0.01388888 -0.01028807
Stationary 1438.808 366 384 0.01388888 -0.01028807
Stationary 1438.839 366 384 0.01388888 -0.01028807
Stationary 1438.87 366 384 0.01388888 -0.01028807
Moved 1438.9 382.128 404.6048 0.05122225 0.04270777
Moved 1438.931 397.6664 429.1901 0.08719076 0.1059414
Moved 1438.962 406.8594 448.7188 0.1084708 0.1561697
Moved 1438.993 414.3522 464.8804 0.1258152 0.1977377
Moved 1439.023 419.7374 476.2122 0.138281 0.2268832
Moved 1439.054 422.2878 483.8634 0.1441847 0.2465622
Moved 1439.085 424 486.667 0.1481481 0.253773
Moved 1439.115 424 488.0687 0.1481481 0.2573783
Stationary 1439.146 424 488 0.1481481 0.2572016
Moved 1439.177 424 489 0.1481481 0.2597736
Ended 1439.208 424 489 0.1481481 0.2597736
Accept 1439.269 1 boxing
Began 1440.007 429 312 0.1597223 -0.1954732
Moved 1440.038 423.6537 319.1284 0.1473467 -0.1771391
Moved 1440.068 406.5261 341.5416 0.1076992 -0.1194918
Moved 1440.099 374.5136 376.4864 0.03359636 -0.02961319
Moved 1440.13 341.9577 403.2977 -0.04176462 0.03934597
Moved 1440.161 306.6643 422.9124 -0.1234623 0.08979518
Moved 1440.191 283.72 431.12 -0.1765741 0.1109052
Moved 1440.222 274.7939 434.603 -0.1972363 0.1198637
Moved 1440.253 273 436.8657 -0.2013889 0.1256832
Moved 1440.283 272 438.415 -0.2037037 0.1296681
Moved 1440.314 272 440.5 -0.2037037 0.1350308
Moved 1440.345 287 443.5 -0.1689815 0.1427468
Moved 1440.376 341.6589 454.5701 -0.04245629 0.1712193
Moved 1440.406 431.9565 463.9667 0.166566 0.1953876
Moved 1440.437 476.0699 463 0.2686805 0.1929011
Moved 1440.468 503.2115 463 0.3315081 0.1929011
Moved 1440.499 519.2531 463 0.3686413 0.1929011
Moved 1440.529 530.7841 463 0.3953334 0.1929011
Moved 1440.56 537.6363 457.2729 0.4111951 0.1781709
Moved 1440.591 540.3757 453.6243 0.4175363 0.1687868
Moved 1440.622 541 450.7285 0.4189815 0.1613385
Moved 1440.652 541 439.8156 0.4189815 0.1332704
Moved 1440.683 520.2829 414.2975 0.3710252 0.06763748
Moved 1440.714 476.9238 348.278 0.2706569 -0.1021657
Moved 1440.745 437.507 287.8547 0.1794143 -0.2575753
Moved 1440.775 405.0678 245.8813 0.1043235 -0.3655315
Moved 1440.806 375.773 214.4299 0.03651152 -0.446425
Moved 1440.837 351.273 192.7047 -0.02020136 -0.5023028
Moved 1440.867 336.8206 182.547 -0.0536561 -0.5284285
Moved 1440.898 322.9312 174.9656 -0.08580744 -0.547928
Moved 1440.929 313.2697 170.4232 -0.1081719 -0.5596112
Moved 1440.96 306.5875 167.8625 -0.1236401 -0.5661972
Moved 1440.99 302.4571 167 -0.1332012 -0.5684157
Moved 1441.021 297.1335 167 -0.1455242 -0.5684157
Moved 1441.052 289.5786 183.2119 -0.1630125 -0.5267184
Moved 1441.083 279.9006 202.1989 -0.1854154 -0.4778836
Moved 1441.113 270.0617 234.0496 -0.2081906 -0.3959631
Moved 1441.144 259.4445 275.2219 -0.2327673 -0.290067
Moved 1441.175 254.1767 298.7049 -0.2449613 -0.2296685
Moved 1441.206 251.0397 319.6431 -0.252223 -0.175815
Moved 1441.236 249.8471 334.0703 -0.2549836 -0.1387083
Moved 1441.267 250 345.9765 -0.2546296 -0.1080852
Moved 1441.298 250 355.1861 -0.2546296 -0.08439797
Moved 1441.328 255.9924 366.1364 -0.2407583 -0.05623366
