insurance is important for bad drivers
insurance is important for bad drivers
Basic
Radial

0.6 0.6
432 388.8
Began 439.5039 469 564 0.2523148 0.4526748
Stationary 439.5347 469 564 0.2523148 0.4526748
Stationary 439.5654 469 564 0.2523148 0.4526748
Stationary 439.5961 469 564 0.2523148 0.4526748
Moved 439.6268 463.8316 551.5233 0.240351 0.4205846
Moved 439.6576 457.7797 538.7289 0.2263419 0.387677
Moved 439.6883 449.5 514 0.2071759 0.324074
Moved 439.719 440.9168 487.3892 0.1873074 0.2556306
Moved 439.7496 433.2689 460.8068 0.169604 0.1872601
Moved 439.7803 425.638 430.5519 0.1519398 0.1094441
Moved 439.8111 421.3292 406.3043 0.1419656 0.04707878
Moved 439.8418 417.8625 385.6252 0.133941 -0.006108028
Moved 439.8726 412.929 355.2894 0.1225207 -0.0841322
Moved 439.9033 408.1366 333.478 0.1114272 -0.1402316
Moved 439.934 404.1793 310.2549 0.1022669 -0.1999616
Moved 439.9647 400.6045 292.2316 0.09399196 -0.2463178
Moved 439.9954 398.7456 274.2193 0.0896889 -0.292646
Moved 440.0261 399 264.7444 0.09027779 -0.3170153
Moved 440.0568 398.2492 259.2493 0.08853992 -0.3311491
Moved 440.0876 398 254.458 0.08796295 -0.3434723
Moved 440.1183 396.5835 250.167 0.084684 -0.3545088
Moved 440.149 395.7073 248 0.08265585 -0.3600824
Moved 440.1797 395 245.199 0.08101851 -0.3672867
Moved 440.2104 393.764 243.7639 0.07815738 -0.3709776
Moved 440.2412 389.4458 243 0.06816159 -0.3729424
Moved 440.2719 378.7817 243 0.04347623 -0.3729424
Moved 440.3026 351.1527 268.8643 -0.02047976 -0.3064192
Moved 440.3333 328.9493 292.0507 -0.07187665 -0.2467833
Moved 440.3641 308.6182 311.3818 -0.1189394 -0.1970633
Moved 440.3948 291.6832 328.5049 -0.1581408 -0.1530223
Moved 440.4255 271.141 349.9818 -0.2056922 -0.09778356
Moved 440.4563 253.9679 365.0256 -0.2454446 -0.05909052
Moved 440.4869 241.5984 376.5213 -0.2740778 -0.02952348
Moved 440.5177 228.7836 387.7731 -0.3037416 -0.0005835466
Moved 440.5484 220.0318 395.9682 -0.3240005 0.02049426
Moved 440.5791 216.8083 400.1917 -0.3314623 0.03135724
Moved 440.6098 215.2002 403.7998 -0.3351847 0.04063736
Moved 440.6406 215 408.2043 -0.3356481 0.05196567
Moved 440.6713 215 413.9723 -0.3356481 0.06680103
Moved 440.702 231.7901 426.4321 -0.2967823 0.09884787
Moved 440.7327 254.5036 439.1838 -0.2442045 0.1316454
Moved 440.7634 287.3362 453.9345 -0.1682032 0.1695846
Moved 440.7941 309.0686 462.6137 -0.1178968 0.1919076
Moved 440.8249 326 468 -0.07870371 0.2057612
Moved 440.8556 341.2735 473.0391 -0.04334832 0.2187217
Moved 440.8863 365.1051 480.7316 0.01181742 0.2385071
Moved 440.917 383.141 487.5705 0.05356709 0.2560969
Moved 440.9478 390.45 491.225 0.07048607 0.2654963
Moved 440.9785 397.3591 494.1796 0.08647949 0.2730955
Moved 441.0092 404.1138 497.0569 0.1021154 0.2804962
Moved 441.0399 410.8661 499.933 0.1177455 0.2878936
Moved 441.0706 413.5049 502 0.1238539 0.2932098
Moved 441.1013 416.3805 504.3805 0.1305104 0.2993325
Moved 441.1321 418.127 505.127 0.1345531 0.3012524
Moved 441.1628 419 505 0.1365741 0.3009258
Moved 441.1935 419.6721 506 0.1381298 0.3034978
Moved 441.2242 420 506 0.1388889 0.3034978
Stationary 441.2549 420 506 0.1388889 0.3034978
Stationary 441.2856 420 506 0.1388889 0.3034978
Stationary 441.3164 420 506 0.1388889 0.3034978
Stationary 441.3471 420 506 0.1388889 0.3034978
Moved 441.3778 408 506 0.1111111 0.3034978
Moved 441.4085 397.4875 506 0.08677661 0.3034978
Moved 441.4393 379.2156 507 0.04448046 0.3060699
Moved 441.47 357.0022 508.8568 -0.006939372 0.3108456
Moved 441.5007 338.3156 510.2807 -0.05019526 0.3145078
Moved 441.5314 317.7265 511 -0.09785534 0.3163579
Moved 441.5621 307.6239 512 -0.1212411 0.31893
Moved 441.5928 300.9965 513 -0.1365821 0.321502
Moved 441.6235 295.8468 513.5766 -0.1485028 0.322985
Moved 441.6542 290.1137 514.8862 -0.1617738 0.3263534
Moved 441.685 288.6758 515 -0.1651023 0.326646
Moved 441.7157 286.0988 515 -0.1710676 0.326646
Moved 441.7464 281.5192 515 -0.1816685 0.326646
Moved 441.7772 271.715 500.4907 -0.2043635 0.2893277
Moved 441.8078 251.06 468.5975 -0.2521759 0.207298
Moved 441.8386 235.9708 442.95 -0.2871045 0.1413323
