the five boxing wizards jump quickly
the five boxing wizards jump quickly
Basic
Radial

0.6 0.6
432 388.8
Began 757.2112 402 387 0.09722222 -0.002572055
Stationary 757.242 402 387 0.09722222 -0.002572055
Stationary 757.2727 402 387 0.09722222 -0.002572055
Stationary 757.3035 402 387 0.09722222 -0.002572055
Moved 757.3341 402 404.5 0.09722222 0.04243823
Moved 757.3649 402 428.1222 0.09722222 0.1031948
Moved 757.3956 402 444.1744 0.09722222 0.1444815
Moved 757.4263 402 450.9277 0.09722222 0.1618511
Moved 757.457 402 454.4673 0.09722222 0.1709551
Moved 757.4879 402 456.5 0.09722222 0.1761831
Moved 757.5186 402 458.2116 0.09722222 0.1805853
Moved 757.5493 402 459.5 0.09722222 0.1838991
Moved 757.58 402 460.0487 0.09722222 0.1853104
Moved 757.6107 402 461.0097 0.09722222 0.1877821
Stationary 757.6414 402 461.0097 0.09722222 0.1877821
Stationary 757.6722 402 461 0.09722222 0.1877571
Moved 757.7021 387.1063 461 0.06274601 0.1877571
Moved 757.7336 373.1156 461 0.03036012 0.1877571
Moved 757.7643 354.3547 461 -0.01306782 0.1877571
Moved 757.795 336.6132 461 -0.05413622 0.1877571
Moved 757.8258 323.2212 465.8525 -0.08513615 0.2002379
Moved 757.8565 313.4287 469.7856 -0.107804 0.210354
Moved 757.8872 308 472.5 -0.1203704 0.2173353
Moved 757.918 305.8383 475.1616 -0.1253742 0.2241811
Moved 757.9487 302.9654 478.0347 -0.1320246 0.2315706
Moved 757.9794 302 480.9031 -0.1342593 0.2389483
Moved 758.0101 301 483.4513 -0.1365741 0.2455022
Moved 758.0408 301 488.6366 -0.1365741 0.2588389
Moved 758.0716 301 490.5 -0.1365741 0.2636316
Moved 758.1023 301 492.5 -0.1365741 0.2687756
Moved 758.133 311.8618 493 -0.111431 0.2700616
Moved 758.1638 330.7069 493 -0.06780813 0.2700616
Moved 758.1945 348.8192 482.0904 -0.02588143 0.2420019
Moved 758.2252 363.4292 468.666 0.007937948 0.2074741
Moved 758.256 377.7238 445.2972 0.04102717 0.1473694
Moved 758.2867 388.8403 423.3195 0.06675988 0.09084219
Moved 758.3174 395.9839 407.0322 0.083296 0.04895116
Moved 758.3481 403.0864 394.856 0.09973705 0.01763359
Moved 758.3788 410.6806 382.5324 0.1173161 -0.01406273
Moved 758.4095 418.5034 370.7448 0.1354246 -0.04438062
Moved 758.4403 422.5 366.5 0.144676 -0.05529835
Moved 758.4711 422 365 0.1435185 -0.05915646
Stationary 758.5018 422 365 0.1435185 -0.05915646
Moved 758.5325 410.6744 365 0.1173018 -0.05915646
Moved 758.5632 394.8944 375.4064 0.08077402 -0.03239102
Moved 758.5939 368.8382 391.8916 0.0204588 0.01000918
Moved 758.6246 341.896 411.8281 -0.04190748 0.06128613
Moved 758.6554 321.943 429.0489 -0.08809496 0.1055783
Moved 758.6862 306.3051 439.6392 -0.1242938 0.1328168
Moved 758.7169 290.0114 451.5909 -0.1620106 0.1635567
Moved 758.7476 276.9319 460.8011 -0.1922874 0.1872457
Moved 758.7783 269.3638 466.6362 -0.2098061 0.2022536
Moved 758.809 262.5944 473.4056 -0.2254759 0.2196645
Moved 758.8398 257.8513 479.1487 -0.2364552 0.2344358
Moved 758.8705 253.5547 485.8906 -0.2464011 0.2517761
Moved 758.9012 251.0221 491.9336 -0.2522635 0.2673189
Moved 758.9319 248.1527 497.6945 -0.2589057 0.282136
Ended 758.9627 246 502 -0.2638889 0.2932098
Candidates 759.0548 13 the other further huge he business higher fitness theme judge gift former gene
Began 760.161 357 359 -0.006944438 -0.07458848
Stationary 760.1917 357 359 -0.006944438 -0.07458848
Stationary 760.2225 357 359 -0.006944438 -0.07458848
Moved 760.2532 389.257 347.6238 0.06772458 -0.1038482
Moved 760.2839 420.0453 346 0.1389937 -0.1080248
Moved 760.3147 475.2921 364.6876 0.2668798 -0.0599599
Ended 760.3454 514.5 378.5 0.3576389 -0.02443423
Accept 760.4376 0 the
Began 760.96 361 381 0.002314846 -0.01800419
Stationary 760.9907 361 381 0.002314846 -0.01800419
Moved 761.0214 349.4598 381 -0.02439866 -0.01800419
Moved 761.0521 341.2563 381 -0.04338811 -0.01800419
Moved 761.0828 329.9101 381 -0.06965255 -0.01800419
Moved 761.1136 321.8601 381 -0.0882868 -0.01800419
Moved 761.1443 314.6723 381 -0.1049253 -0.01800419
Moved 761.175 309.9758 381 -0.1157968 -0.01800419
Moved 761.2057 305.2343 381 -0.1267724 -0.01800419
Moved 761.2365 300.245 381 -0.1383217 -0.01800419
