the punishment should fit the crime
the punishment should fit the crime
Basic
Radial

0.6 0.6
432 388.8
Began 938.5477 363 484 0.006944438 0.2469135
Stationary 938.5784 363 484 0.006944438 0.2469135
Stationary 938.6091 363 484 0.006944438 0.2469135
Moved 938.6553 348.6817 484 -0.02619977 0.2469135
Moved 938.6859 340.9886 484 -0.04400789 0.2469135
Moved 938.7166 334.2532 493.8734 -0.05959908 0.2723081
Moved 938.7474 329.2537 496.7463 -0.07117201 0.2796971
Moved 938.7781 325.5 498 -0.07986113 0.2829217
Moved 938.8089 323.8461 500 -0.08368949 0.2880658
Moved 938.8396 321.985 501 -0.08799767 0.2906378
Moved 938.8703 322 502.4602 -0.08796295 0.2943935
Moved 938.901 322 503.3734 -0.08796295 0.2967422
Moved 938.9317 322 504 -0.08796295 0.2983539
Stationary 938.9625 322 504 -0.08796295 0.2983539
Moved 938.9932 322 505.249 -0.08796295 0.3015661
Stationary 939.0239 322 505.249 -0.08796295 0.3015661
Stationary 939.0547 322 505 -0.08796295 0.3009258
Stationary 939.0854 322 505 -0.08796295 0.3009258
Stationary 939.1162 322 505 -0.08796295 0.3009258
Moved 939.1469 331.0997 498.7008 -0.06689876 0.2847242
Moved 939.1777 339.7231 488.7025 -0.04693722 0.2590084
Moved 939.2084 350.3168 473.8053 -0.02241472 0.2206926
Moved 939.2391 362.0588 451.8824 0.004765689 0.1643066
Moved 939.2698 371.6429 421.0711 0.02695123 0.08505931
Moved 939.3006 376.7602 401.439 0.03879667 0.03456524
Moved 939.3313 380.5 389 0.04745374 0.002572016
Moved 939.3621 385.3165 379.3669 0.05860309 -0.02220436
Moved 939.3928 388.0286 373.9714 0.06488104 -0.0360817
Moved 939.4235 390.9258 371.0742 0.07158756 -0.04353362
Moved 939.4542 390 370.6239 0.06944448 -0.04469169
Stationary 939.485 390 371 0.06944448 -0.04372435
Moved 939.5157 378.4341 378.9904 0.04267146 -0.02317295
Moved 939.5464 362.891 396.1308 0.006692111 0.02091247
Moved 939.5771 342.069 418.4926 -0.04150689 0.07842726
Moved 939.6078 320.9185 443.5217 -0.09046643 0.1428027
Moved 939.6387 302.0779 460.6018 -0.1340791 0.186733
Moved 939.6694 282.9258 475.2065 -0.1784125 0.2242965
Moved 939.7001 262.4236 491.8793 -0.2258713 0.2671793
Moved 939.7308 247.6813 503.7391 -0.2599971 0.2976827
Ended 939.7615 244 506.5 -0.2685185 0.3047839
Candidates 939.8537 13 the there where other she he huge urge threw tiger what that this
Began 940.3455 284 394 -0.1759259 0.01543206
Stationary 940.3762 284 394 -0.1759259 0.01543206
Stationary 940.4069 284 394 -0.1759259 0.01543206
Moved 940.4377 310.0829 394 -0.1155488 0.01543206
Moved 940.4683 329.6542 403.3224 -0.07024497 0.03940931
Moved 940.499 349.3781 405.3937 -0.02458776 0.04473694
Moved 940.5298 378.9278 411.2531 0.04381438 0.05980719
Moved 940.5606 404.6823 415 0.1034312 0.06944436
Moved 940.5913 430.9408 418.4941 0.1642148 0.07843119
Moved 940.6221 459.9901 425.0882 0.2314586 0.09539136
Ended 940.6528 471 428.5 0.2569444 0.1041665
Accept 940.7142 0 the
Began 941.1138 565 490 0.474537 0.2623456
Stationary 941.1445 565 490 0.474537 0.2623456
Stationary 941.1753 565 490 0.474537 0.2623456
Stationary 941.206 565 490 0.474537 0.2623456
Moved 941.2367 565 502.9262 0.474537 0.2955921
Moved 941.2675 565 507.6989 0.474537 0.3078674
Moved 941.2982 565 512.4505 0.474537 0.3200886
Moved 941.3289 573.2732 516.2732 0.493688 0.3299207
Moved 941.3596 576.1534 519.1534 0.5003551 0.3373287
Moved 941.3904 579.0287 522.0287 0.5070108 0.3447239
Moved 941.4211 579 523.3708 0.5069445 0.3481758
Moved 941.4518 579 524.3189 0.5069445 0.3506144
Moved 941.4826 579 526.5 0.5069445 0.3562242
Moved 941.5133 552.9528 529.1496 0.4466499 0.363039
Moved 941.5441 533.6052 530.7105 0.4018639 0.3670537
Moved 941.5743 509.9028 538.1707 0.3469972 0.3862413
Moved 941.6055 488.3117 546.3831 0.2970178 0.407364
Moved 941.6362 468.6906 551.3299 0.2515985 0.420087
Moved 941.667 449.0194 555.8726 0.2060634 0.431771
Moved 941.6978 432.7979 558.7432 0.1685136 0.4391541
Moved 941.7285 415.6994 559 0.1289338 0.4398148
Moved 941.7592 400.5636 559 0.09389719 0.4398148
Moved 941.7899 385.0144 559 0.05790383 0.4398148
Moved 941.8206 376.4207 559 0.03801088 0.4398148
Moved 941.8513 370.5257 559 0.02436499 0.4398148
Moved 941.8821 367.7137 559 0.01785586 0.4398148
Moved 941.9128 366 550.8394 0.01388888 0.4188256
Moved 941.9435 363.971 545.9421 0.009192228 0.4062295
Moved 941.9743 364 534.3352 0.009259283 0.3763765
Moved 942.005 373.964 511.6126 0.03232409 0.3179336
Moved 942.0358 384.1773 469.2908 0.05596599 0.2090811
Moved 942.0665 390.3294 426.0352 0.07020701 0.09782697
Moved 942.0972 390 392.9022 0.06944448 0.01260832
Moved 942.1279 390 361.8116 0.06944448 -0.06735711
Moved 942.1586 390 343.6096 0.06944448 -0.1141729
Moved 942.1894 380.6507 325.9042 0.04780253 -0.1597114
Moved 942.2201 376.1093 305.7647 0.03728995 -0.2115106
Moved 942.2509 373.2377 291.1884 0.03064275 -0.249001
Moved 942.2816 370.3615 280.4462 0.02398501 -0.2766303
Moved 942.3124 369 274.9005 0.02083332 -0.2908937
Moved 942.3431 368 270.9797 0.01851857 -0.3009782
Moved 942.3738 367 270 0.01620372 -0.303498
Moved 942.4045 366.2502 270 0.01446813 -0.303498
Moved 942.4353 366 295.6878 0.01388888 -0.2374285
Moved 942.466 402.1666 388.3193 0.09760787 0.0008211803
Moved 942.4968 431.3169 448.5985 0.1650853 0.1558603
Moved 942.5275 450.7174 485.7609 0.2099941 0.2514426
Moved 942.5582 463.6768 510.3536 0.2399926 0.3146955
Moved 942.5889 469.59 525.7698 0.2536805 0.3543462
Moved 942.6197 471.1726 531.3452 0.2573439 0.368686
Moved 942.6504 471 534.7396 0.2569444 0.3774166
Moved 942.6811 459.6692 536 0.2307158 0.3806583
Moved 942.7119 436.1315 536 0.1762303 0.3806583
Moved 942.7426 393.3412 513.8779 0.07717867 0.3237601
Moved 942.7733 355.4576 495.583 -0.01051495 0.2767052
Moved 942.8041 318.5926 479.4141 -0.09585042 0.2351186
Moved 942.8348 280.3457 457.5638 -0.1843849 0.1789193
Moved 942.8655 250.7307 439.2596 -0.2529382 0.1318404
Moved 942.8962 226.8927 422.9285 -0.3081187 0.08983651
Moved 942.927 210.4645 408.4645 -0.346147 0.05263489
Moved 942.9577 201.4985 397.7477 -0.3669017 0.02507119
Moved 942.9885 196.3972 391.3972 -0.3787102 0.008737541
Moved 943.0192 193.8323 386.8323 -0.3846473 -0.00300325
Moved 943.0499 194 382.9633 -0.3842593 -0.01295451
Moved 943.0805 199.9992 379.0002 -0.3703722 -0.0231476
Moved 943.1114 223.8465 373.5726 -0.3151701 -0.0371075
Moved 943.1422 262.6473 373 -0.2253534 -0.03858032
Moved 943.1729 301.0449 373 -0.1364702 -0.03858032
Moved 943.2036 329.8606 373 -0.06976713 -0.03858032
Moved 943.2343 355.2426 373 -0.01101245 -0.03858032
Moved 943.2651 373.8593 373 0.0320817 -0.03858032
Moved 943.2958 389.0451 370.3183 0.06723393 -0.04547762
Moved 943.3265 401.3788 361.497 0.09578416 -0.0681662
Moved 943.3572 411.2733 344.9379 0.1186882 -0.1107564
Moved 943.388 418.2417 317.4124 0.1348188 -0.1815527
Moved 943.4187 424.184 290.8961 0.148574 -0.2497529
Moved 943.4494 431.0013 259.9957 0.1643547 -0.3292293
Moved 943.4802 436.8723 242.7664 0.177945 -0.3735435
Moved 943.5109 440 233.7722 0.1851852 -0.3966765
Moved 943.5416 441 228.4172 0.1875 -0.4104496
Moved 943.5724 441 226.8303 0.1875 -0.4145311
Moved 943.6031 426.7736 234.2642 0.1545686 -0.3954112
Moved 943.6339 411.9636 244.3636 0.1202861 -0.3694351
Moved 943.6646 393.1158 268.1203 0.07665694 -0.3083326
Moved 943.6953 371.2439 304.5121 0.02602756 -0.2147322
Moved 943.7261 349.7376 341.9837 -0.02375548 -0.1183547
Moved 943.7568 329.6156 371.3381 -0.07033427 -0.04285467
Moved 943.7875 311.9101 398.3259 -0.1113192 0.02655826
Moved 943.8182 292.1693 422.7884 -0.1570156 0.08947627
Moved 943.8489 273.4618 439.5382 -0.2003199 0.132557
Moved 943.8797 260.5706 452.4294 -0.2301607 0.1657133
Moved 943.9104 247.983 464.017 -0.2592987 0.195517
Moved 943.9412 239.3709 472.2581 -0.279234 0.2167132
Moved 943.9719 235.9041 476.0958 -0.2872589 0.2265838
Moved 944.0026 236 480.0013 -0.287037 0.2366288
Moved 944.0334 242.1908 482 -0.2727066 0.2417695
Moved 944.0641 255.7366 476.0214 -0.2413504 0.2263925
Moved 944.0948 274.7851 452.2865 -0.1972567 0.1653458
Moved 944.1255 290.7165 416.0297 -0.1603786 0.07209287
Moved 944.1563 303.187 375.4018 -0.1315117 -0.03240279
Moved 944.1871 312.0227 343.2578 -0.1110586 -0.1150779
Moved 944.2178 326.7562 304.6096 -0.07695331 -0.2144815
Moved 944.2485 334.8762 286.5397 -0.05815705 -0.2609575
Moved 944.2793 344.6794 264.6412 -0.03546432 -0.3172809
Moved 944.31 353.2164 247.5671 -0.01570269 -0.3611957
Moved 944.3407 358.6114 236.1658 -0.003214329 -0.3905202
Moved 944.3715 361 231.5078 0.002314846 -0.4025005
Moved 944.4022 363.3592 230 0.007775923 -0.4063786
Moved 944.4329 364.5 229 0.01041671 -0.4089506
Moved 944.4636 365 229 0.01157403 -0.4089506
Moved 944.4944 365 248.3911 0.01157403 -0.3590764
Moved 944.5251 365 275.1138 0.01157403 -0.2903452
Moved 944.5558 351.0156 323.9167 -0.02079725 -0.1648232
Moved 944.5866 343.3935 356.8196 -0.03844107 -0.08019663
Moved 944.6173 334.773 390.4233 -0.05839587 0.006232831
Moved 944.6481 327.1312 421.7649 -0.07608518 0.08684386
Moved 944.6788 321.6709 443.1517 -0.0887247 0.1418509
Moved 944.7095 318.9704 456.1183 -0.09497588 0.1752015
Moved 944.7402 317.3301 465.6797 -0.09877295 0.1997935
Moved 944.771 317 472.8466 -0.09953702 0.2182268
Moved 944.8017 316 482.206 -0.1018519 0.2422993
Ended 944.8324 316 491.7299 -0.1018519 0.266795
Candidates 944.9246 13 punishment performance government parliament internet independent intervene permanent investment incidentally independence indictment impeachment
Began 945.5393 291 433 -0.1597222 0.1157406
Stationary 945.5701 291 433 -0.1597222 0.1157406
Moved 945.6008 305.4392 433 -0.1262981 0.1157406
Moved 945.6315 312.0437 433 -0.11101 0.1157406
Moved 945.6622 345.745 433 -0.03299768 0.1157406
Moved 945.6929 355.7855 433 -0.009755889 0.1157406
