they might find your comment offensive
they might find your comment offensive
Basic
Radial

0.6 0.6
432 388.8
Began 1202.488 361 469 0.002314846 0.2083333
Stationary 1202.519 361 469 0.002314846 0.2083333
Moved 1202.549 361 474.5856 0.002314846 0.2226996
Moved 1202.58 353 485.4536 -0.01620372 0.2506522
Moved 1202.611 350.9799 493.0403 -0.02087995 0.2701652
Moved 1202.642 348.115 499.885 -0.02751162 0.28777
Moved 1202.672 346.2421 504.5158 -0.03184701 0.2996805
Moved 1202.703 344.5 507.5 -0.03587961 0.3073559
Moved 1202.734 343.5 509.5 -0.03819446 0.3124999
Moved 1202.765 343 510.999 -0.03935183 0.3163554
Stationary 1202.795 343 511 -0.03935183 0.3163579
Stationary 1202.826 343 511 -0.03935183 0.3163579
Moved 1202.857 343 499.2603 -0.03935183 0.2861631
Moved 1202.887 362.7624 470.4753 0.006394386 0.2121277
Moved 1202.918 373.0472 440.882 0.03020177 0.1360134
Moved 1202.949 384.1459 414.0987 0.05589336 0.06712623
Moved 1202.98 398.4418 384.1164 0.08898565 -0.009988737
Moved 1203.01 406.5157 372.9686 0.1076753 -0.03866117
Moved 1203.041 410.8754 369.1246 0.1177672 -0.04854798
Moved 1203.072 413.7087 367 0.1243258 -0.05401234
Stationary 1203.103 414 367 0.125 -0.05401234
Stationary 1203.133 414 367 0.125 -0.05401234
Moved 1203.164 396.1137 375.8295 0.08359651 -0.03130289
Moved 1203.195 373.2304 395.9234 0.03062586 0.020379
Moved 1203.225 352.8014 412.4988 -0.01666337 0.06301138
Moved 1203.256 335.5 423 -0.05671298 0.09002049
Moved 1203.287 320.5062 434.3527 -0.09142086 0.1192199
Moved 1203.318 307.2744 445.7256 -0.1220501 0.1484712
Moved 1203.349 290.9691 461.8371 -0.1597937 0.1899101
Moved 1203.379 279.7002 473.5598 -0.1858792 0.220061
Moved 1203.41 269.348 489.0867 -0.2098426 0.2599966
Moved 1203.441 262.8267 498.3466 -0.2249381 0.2838131
Moved 1203.471 259.0507 502.9493 -0.233679 0.2956515
Moved 1203.502 259 504.199 -0.2337963 0.2988656
Moved 1203.533 259 507.3318 -0.2337963 0.3069232
Moved 1203.564 269.8425 512.4094 -0.2086979 0.319983
Moved 1203.594 284.7511 516.6432 -0.1741873 0.3308723
Moved 1203.625 315.2036 519.6204 -0.1036953 0.3385296
Moved 1203.656 344.5 521 -0.03587961 0.3420781
Moved 1203.686 374.3701 522.3745 0.03326416 0.3456132
Moved 1203.717 399.0362 523.9036 0.09036164 0.3495463
Moved 1203.748 425.0078 526.7786 0.1504811 0.3569409
Ended 1203.779 427 527 0.1550926 0.3575102
Candidates 1203.871 13 they that get hey key jerry sheet what jet thai theft energy cherry
Began 1204.332 398 400 0.08796295 0.03086416
Stationary 1204.363 398 400 0.08796295 0.03086416
Stationary 1204.393 398 400 0.08796295 0.03086416
Moved 1204.424 425.8351 387.033 0.152396 -0.002487167
Moved 1204.455 463.0306 384 0.2384966 -0.01028807
Ended 1204.486 499 384 0.3217593 -0.01028807
Accept 1204.609 0 they
