a picture is worth many words
a picture is worth many words
Basic
Radial

0.6 0.6
432 388.8
Began 109.6873 177 399 -0.4236111 0.02829214
Stationary 109.718 177 399 -0.4236111 0.02829214
Moved 109.7488 159.636 399 -0.4638055 0.02829214
Moved 109.7795 152.0315 399 -0.4814087 0.02829214
Moved 109.8102 146.4738 399 -0.4942735 0.02829214
Moved 109.841 138.8584 399 -0.5119019 0.02829214
Ended 109.8717 136.5 399 -0.5173611 0.02829214
Candidates 109.9639 13 a as sa ass s was da ads sq adds sea awards areas
Began 110.5787 252 411 -0.25 0.05915629
Stationary 110.6095 252 411 -0.25 0.05915629
Moved 110.6402 272.4933 411 -0.2025617 0.05915629
Moved 110.6709 339.4928 433.4979 -0.04747028 0.1170211
Moved 110.7017 393.4044 449.1011 0.077325 0.1571528
Moved 110.7324 447.6402 462.9053 0.2028709 0.1926577
Ended 110.7632 505 474 0.3356481 0.2211934
Accept 110.8247 0 a
Began 111.1013 581 528 0.511574 0.3600822
Stationary 111.1321 581 528 0.511574 0.3600822
Stationary 111.1628 581 528 0.511574 0.3600822
Moved 111.1936 566.5808 542.4192 0.4781963 0.3971686
Moved 111.2242 558.1225 549.6581 0.4586169 0.4157873
Moved 111.255 547.6303 559.2772 0.4343294 0.4405277
Moved 111.2857 543.0396 562.9604 0.4237028 0.4500009
Moved 111.3165 540.3728 565.6272 0.4175296 0.45686
Moved 111.3472 538.5 567.5 0.4131944 0.4616768
Moved 111.378 537.9379 568.0621 0.4118933 0.4631225
Stationary 111.4087 537.9379 568.0621 0.4118933 0.4631225
Moved 111.4395 538 569.1382 0.4120371 0.4658905
Moved 111.4702 534.98 569 0.4050463 0.4655349
Moved 111.5009 522.7311 569 0.3766923 0.4655349
Moved 111.5316 490.7257 553.7407 0.3026058 0.4262876
Moved 111.5624 456.7537 541.7015 0.2239669 0.3953227
Moved 111.5931 412.6872 521.3436 0.1219611 0.3429619
Moved 111.6239 386.0155 506.0086 0.06022116 0.30352
Moved 111.6546 364.2159 491.8106 0.009759069 0.2670025
Moved 111.6854 351.2782 481.2473 -0.02018933 0.2398336
Moved 111.7161 331.9473 462.9473 -0.06493688 0.1927655
Moved 111.7468 319.1343 446.4178 -0.09459659 0.1502516
Moved 111.7775 311.3499 430.4832 -0.1126159 0.1092673
Moved 111.8083 305.9032 409.3221 -0.1252241 0.05484078
Moved 111.839 303.0428 390.2994 -0.1318455 0.005913958
Moved 111.8698 303 364.5934 -0.1319445 -0.0602022
Moved 111.9005 303 340.4025 -0.1319445 -0.1224216
Moved 111.9313 303 314.2912 -0.1319445 -0.1895803
Moved 111.962 303 288.5 -0.1319445 -0.2559158
Moved 111.9928 303 283.0762 -0.1319445 -0.2698657
Moved 112.0235 303 274.9827 -0.1319445 -0.2906823
Moved 112.0542 303 270.6188 -0.1319445 -0.3019063
Moved 112.085 303 268.5 -0.1319445 -0.307356
Moved 112.1157 303 269 -0.1319445 -0.30607
Moved 112.1464 311.3845 274.5381 -0.1125359 -0.2918257
Moved 112.1772 320.2378 295.4756 -0.09204209 -0.2379741
Moved 112.2079 335.5406 330.0811 -0.05661909 -0.1489684
Moved 112.2387 356.7056 375.3271 -0.007625917 -0.03259509
Moved 112.2694 375.7851 413.5703 0.03653964 0.06576703
Moved 112.3001 391.8022 445.6045 0.0736163 0.1481596
Moved 112.3309 403.0184 470.0367 0.0995796 0.2109998
Moved 112.3616 414.2892 491.5062 0.1256695 0.2662195
Moved 112.3924 420.8861 506.7722 0.14094 0.3054838
Moved 112.4231 423.6103 516.4412 0.147246 0.3303527
Moved 112.4538 425 522.7081 0.150463 0.3464713
Moved 112.4846 426 528.4542 0.1527777 0.3612505
Moved 112.5153 427 531.0981 0.1550926 0.3680507
Moved 112.5461 427 533.6175 0.1550926 0.3745305
Moved 112.5768 427 535 0.1550926 0.3780863
Moved 112.6076 428.5 536.5 0.1585648 0.3819444
Moved 112.6383 429.0573 537.0573 0.1598549 0.3833778
Stationary 112.669 429 537 0.1597223 0.3832304
Moved 112.6998 430.2269 538.2269 0.1625622 0.3863859
Moved 112.7305 431.2692 539.2692 0.164975 0.3890668
Stationary 112.7612 431.2692 539.2692 0.164975 0.3890668
Moved 112.792 432.1401 540.1401 0.1669909 0.3913069
Stationary 112.8227 432 540 0.1666667 0.3909464
Moved 112.8534 432 541.2557 0.1666667 0.3941761
Stationary 112.8841 432 541 0.1666667 0.3935184
Moved 112.915 433 542 0.1689814 0.3960905
Stationary 112.9457 433 542 0.1689814 0.3960905
Stationary 112.9764 433 542 0.1689814 0.3960905
Moved 113.0072 433 543 0.1689814 0.3986624
Stationary 113.0379 433 543 0.1689814 0.3986624
Moved 113.0686 434.1867 543 0.1717285 0.3986624
Stationary 113.0994 434 543 0.1712963 0.3986624
Stationary 113.1301 434 543 0.1712963 0.3986624
Moved 113.1608 435.3734 543 0.1744756 0.3986624
Moved 113.1916 436.5 543 0.1770833 0.3986624
Moved 113.2223 437.5 543 0.1793981 0.3986624
Moved 113.2531 438 543 0.1805556 0.3986624
Moved 113.2838 439.5384 543 0.1841167 0.3986624
Moved 113.3146 441.0309 543 0.1875714 0.3986624
Moved 113.3453 443.946 543 0.1943195 0.3986624
Moved 113.376 451.495 534.2676 0.2117939 0.3762027
Moved 113.4067 455.6439 534 0.2213979 0.3755144
Moved 113.4375 459.6315 532 0.2306285 0.3703703
Moved 113.4682 461.0654 530.9346 0.2339476 0.3676301
Moved 113.4989 463.5 529.5 0.2395834 0.3639403
Moved 113.5297 464.2487 530 0.2413165 0.3652262
Moved 113.5605 464 528.6787 0.2407408 0.3618279
Stationary 113.5912 464 529 0.2407408 0.3626543
Stationary 113.6219 464 529 0.2407408 0.3626543
Moved 113.6527 453.5741 529 0.2166067 0.3626543
Moved 113.6835 435.6288 529 0.1750666 0.3626543
Moved 113.7142 396.9612 529 0.0855583 0.3626543
Moved 113.7449 385.1802 529 0.05828748 0.3626543
Moved 113.7756 362.9008 529 0.00671486 0.3626543
Moved 113.8064 341.731 529 -0.04228939 0.3626543
Moved 113.8372 325.3074 529 -0.08030692 0.3626543
Moved 113.8679 313.7405 529 -0.1070822 0.3626543
Moved 113.8986 302.1791 529 -0.1338446 0.3626543
Moved 113.9294 295.377 536 -0.1495902 0.3806583
Moved 113.9601 289.6425 536 -0.1628645 0.3806583
Moved 113.9908 285.6405 536 -0.1721285 0.3806583
Moved 114.0216 278.9011 536 -0.1877289 0.3806583
Moved 114.0523 270.2349 536 -0.2077895 0.3806583
Moved 114.0831 260 536 -0.2314815 0.3806583
Ended 114.1138 243.5582 520.6047 -0.2695411 0.3410615
