why do you ask silly questions
why do you ask silly questions
FixStart
Radial

0.6 0.6
432 388.8
Began 1558.231 408 420 0.1111111 0.08230445
Stationary 1558.262 408 420 0.1111111 0.08230445
Moved 1558.292 392.4475 434.5525 0.07511 0.1197337
Moved 1558.323 376 453.5 0.03703703 0.168467
Moved 1558.354 359.3683 471.722 -0.00146235 0.2153343
Moved 1558.385 337.2423 491.7923 -0.05267983 0.2669554
Moved 1558.415 317.9863 510.0137 -0.09725387 0.313821
Moved 1558.446 305.4565 521.5435 -0.1262582 0.343476
Moved 1558.477 285.3502 537.3748 -0.1728004 0.3841943
Moved 1558.508 273.4337 546.4247 -0.2003848 0.4074708
Moved 1558.538 262.9394 554.0404 -0.2246773 0.4270586
Moved 1558.569 256.9066 559.5467 -0.2386421 0.4412208
Moved 1558.6 250.1561 564.8439 -0.2542683 0.4548454
Moved 1558.63 249.5 565.5 -0.255787 0.4565328
Moved 1558.661 248.6432 566.3568 -0.2577703 0.4587364
Moved 1558.692 249 566 -0.2569445 0.4578188
Moved 1558.723 273.7095 553.3503 -0.1997465 0.4252837
Moved 1558.753 302.5844 535.6104 -0.1329064 0.3796562
Moved 1558.784 336.3563 508.5518 -0.05473072 0.310061
Moved 1558.815 362.1839 484.6345 0.005055368 0.2485454
Moved 1558.846 385.1723 456.8277 0.0582693 0.1770259
Moved 1558.876 402 439 0.09722222 0.1311728
Moved 1558.907 412.2146 426.7139 0.1208672 0.09957262
Moved 1558.938 421.8275 416.115 0.1431193 0.07231214
Moved 1558.969 426.6339 410.3661 0.1542451 0.05752591
Moved 1558.999 429.2952 407.7048 0.1604055 0.05068116
Moved 1559.03 432.2684 407 0.1672881 0.04886827
Moved 1559.061 438.2731 407 0.1811877 0.04886827
Moved 1559.092 445.027 414.063 0.1968218 0.06703451
Moved 1559.122 453.1881 422.1881 0.2157132 0.0879323
Moved 1559.153 461.2025 428.4008 0.2342651 0.1039115
Moved 1559.184 468.843 435.562 0.2519513 0.12233
Moved 1559.214 474.6697 442.5045 0.2654391 0.1401864
Moved 1559.245 479.6529 452.6116 0.2769744 0.1661821
Moved 1559.276 481 473.1094 0.2800926 0.2189026
Moved 1559.307 481 493.3463 0.2800926 0.2709522
Moved 1559.338 481 507.5524 0.2800926 0.3074907
Moved 1559.368 473.1935 526.6454 0.262022 0.3565983
Moved 1559.399 470.3199 543.4007 0.2553701 0.3996931
Moved 1559.43 467.5 559.5 0.2488426 0.4411007
Moved 1559.46 466 571.2523 0.2453704 0.4713277
Moved 1559.491 466 579.8765 0.2453704 0.4935094
Ended 1559.522 466 584.151 0.2453704 0.5045035
Candidates 1559.583 13 why who weekly edit edu early really weight hello jewelry wi so weather
Began 1560.045 348 497 -0.0277778 0.2803498
Stationary 1560.075 348 497 -0.0277778 0.2803498
Moved 1560.106 370.0174 497 0.02318839 0.2803498
Moved 1560.137 395.5508 497 0.08229344 0.2803498
Moved 1560.167 423.7183 497 0.1474962 0.2803498
Moved 1560.198 448.1777 497 0.2041151 0.2803498
Moved 1560.229 465.3546 497 0.2438764 0.2803498
Moved 1560.26 479.3615 497 0.2762996 0.2803498
Ended 1560.29 487 497 0.2939814 0.2803498
Accept 1560.383 0 why
Began 1560.629 382 477 0.05092591 0.2289094
Stationary 1560.659 382 477 0.05092591 0.2289094
Moved 1560.69 358.0273 477 -0.004566461 0.2289094
Moved 1560.721 335.9118 477 -0.0557598 0.2289094
Moved 1560.751 317.4272 477 -0.09854814 0.2289094
Moved 1560.782 297.2865 477 -0.1451701 0.2289094
Moved 1560.813 280.7161 477 -0.1835275 0.2289094
Moved 1560.844 270.645 477 -0.2068402 0.2289094
Moved 1560.874 263.6719 477 -0.2229816 0.2289094
Moved 1560.905 259.4793 477 -0.2326867 0.2289094
Moved 1560.936 257.6028 477 -0.2370306 0.2289094
Stationary 1560.967 258 477 -0.2361111 0.2289094
Moved 1560.997 286.1479 490.903 -0.170954 0.2646682
Moved 1561.028 329.7736 512.561 -0.0699686 0.3203728
Moved 1561.059 379 532.5 0.04398147 0.3716563
Moved 1561.09 420.2676 548.4527 0.1395084 0.4126869
Moved 1561.12 457.4963 559.8063 0.2256859 0.4418885
Moved 1561.151 491.3693 569.5108 0.3040955 0.4668487
Moved 1561.182 510.1762 575.8161 0.3476302 0.4830661
Moved 1561.213 532.8579 582.6967 0.400134 0.5007631
Moved 1561.243 549.6816 587.2272 0.4390777 0.5124155
Moved 1561.274 562.9133 589.9783 0.4697068 0.5194915
Ended 1561.305 571 590 0.4884259 0.5195472
Candidates 1561.366 13 do so sp shop gap ap gdp ship ago stop dip di aol
Began 1561.766 339 498 -0.04861111 0.2829217
Stationary 1561.797 339 498 -0.04861111 0.2829217
Stationary 1561.827 339 498 -0.04861111 0.2829217
Moved 1561.858 360.022 498 5.096197E-05 0.2829217
Moved 1561.889 393.7777 498 0.07818907 0.2829217
Moved 1561.92 424.2192 505 0.1486556 0.3009258
Moved 1561.95 449.1343 505 0.2063293 0.3009258
Moved 1561.981 467.5224 507.9318 0.2488945 0.3084663
Ended 1562.012 479 510 0.275463 0.3137859
Accept 1562.073 0 do
Began 1562.288 380 472 0.04629632 0.2160493
Stationary 1562.319 380 472 0.04629632 0.2160493
Stationary 1562.35 380 472 0.04629632 0.2160493
Moved 1562.381 380 494.9373 0.04629632 0.2750444
Moved 1562.411 380 514.9188 0.04629632 0.326437
Moved 1562.442 390.0119 535.0417 0.0694721 0.3781937
Moved 1562.473 396.6097 552.2194 0.08474468 0.422375
Moved 1562.504 403.5 564.5 0.1006944 0.4539608
Moved 1562.534 411.8261 573.8261 0.1199679 0.4779477
Moved 1562.565 422.5808 581.4356 0.144863 0.4975195
Moved 1562.596 434.0604 587.0302 0.1714361 0.5119089
Moved 1562.627 442.5594 590.5198 0.1911097 0.5208842
Moved 1562.657 452.5842 593.3961 0.2143154 0.528282
Moved 1562.688 467.8544 594 0.249663 0.5298353
Moved 1562.719 490.9906 594 0.303219 0.5298353
Moved 1562.75 512.6856 594 0.3534389 0.5298353
Moved 1562.78 533.7236 584.4553 0.4021381 0.5052861
Moved 1562.811 549.0653 581.5869 0.4376512 0.4979087
Moved 1562.842 556.8499 580 0.4556709 0.4938271
Moved 1562.873 562.6069 579 0.4689974 0.4912551
Moved 1562.903 564.2286 579 0.4727513 0.4912551
Stationary 1562.934 564 579 0.4722223 0.4912551
Moved 1562.965 539.9558 579 0.4165643 0.4912551
Moved 1562.995 509.2263 585.824 0.3454313 0.5088065
Moved 1563.026 490.7362 587.8528 0.3026301 0.5140246
Moved 1563.057 477.5 590.5 0.2719907 0.5208333
Moved 1563.088 463.7169 593.2566 0.2400854 0.5279232
Moved 1563.118 454.6122 595 0.2190097 0.5324073
Moved 1563.149 448.0115 596.9962 0.2037303 0.5375414
Moved 1563.18 444.5004 597.4996 0.1956027 0.5388364
Ended 1563.211 444 598 0.1944444 0.5401233
Candidates 1563.303 13 you it i your toy for got foot fully to o utility tour
Began 1563.641 299 505 -0.1412037 0.3009258
Stationary 1563.672 299 505 -0.1412037 0.3009258
Moved 1563.703 318.8459 505 -0.09526423 0.3009258
Moved 1563.733 356.6287 505 -0.007804036 0.3009258
Moved 1563.764 394.2177 505 0.07920761 0.3009258
Moved 1563.795 426.6617 513.0574 0.1543095 0.3216497
Moved 1563.825 454.212 515.0236 0.2180834 0.3267066
Moved 1563.856 471.5 519 0.2581018 0.3369341
Ended 1563.887 477 520 0.2708333 0.3395061
Accept 1563.948 0 you
Began 1564.133 326 474 -0.07870371 0.2211934
Stationary 1564.164 326 474 -0.07870371 0.2211934
Moved 1564.194 300.4323 474 -0.1378882 0.2211934
Moved 1564.225 281.5 474 -0.181713 0.2211934
Moved 1564.256 254.9893 474 -0.2430804 0.2211934
Moved 1564.286 225.1359 474 -0.3121854 0.2211934
Moved 1564.317 205.2073 464.0829 -0.3583164 0.1956865
Moved 1564.348 191.1198 460.624 -0.3909263 0.18679
Moved 1564.379 176.5488 455.6372 -0.4246556 0.1739639
Moved 1564.409 166.069 451.7673 -0.4489143 0.1640104
Moved 1564.44 159.8086 450 -0.4634061 0.1594649
Moved 1564.471 154.7995 448.3998 -0.4750011 0.1553491
Moved 1564.502 151.5316 448 -0.4825658 0.1543209
Moved 1564.532 149.5 448 -0.4872685 0.1543209
Moved 1564.563 147.5 448 -0.4918982 0.1543209
Moved 1564.594 147 448 -0.4930556 0.1543209
Stationary 1564.625 147 448 -0.4930556 0.1543209
Moved 1564.655 180.9383 462.4815 -0.4144946 0.1915675
Moved 1564.686 200.0917 467.0131 -0.3701581 0.203223
Moved 1564.717 215.4354 469.8871 -0.3346403 0.2106148
Moved 1564.748 235.2081 472.744 -0.2888701 0.217963
