a subject one can really enjoy
a subject one can really enjoy
Basic
Radial

0.6 0.6
432 388.8
Began 535.8605 195 371 -0.3819444 -0.04372435
Stationary 535.8913 195 371 -0.3819444 -0.04372435
Stationary 535.9219 195 371 -0.3819444 -0.04372435
Stationary 535.9526 195 371 -0.3819444 -0.04372435
Stationary 535.9834 195 371 -0.3819444 -0.04372435
Stationary 536.0141 195 371 -0.3819444 -0.04372435
Stationary 536.0447 195 371 -0.3819444 -0.04372435
Stationary 536.0754 195 371 -0.3819444 -0.04372435
Stationary 536.1061 195 371 -0.3819444 -0.04372435
Stationary 536.1369 195 371 -0.3819444 -0.04372435
Stationary 536.1676 195 371 -0.3819444 -0.04372435
Stationary 536.1983 195 371 -0.3819444 -0.04372435
Stationary 536.2289 195 371 -0.3819444 -0.04372435
Stationary 536.2597 195 371 -0.3819444 -0.04372435
Ended 536.2904 195 371 -0.3819444 -0.04372435
Candidates 536.3518 6 a s d z f x
Began 537.0886 445 475 0.1967593 0.2237653
Moved 537.1194 466.0806 475 0.2455569 0.2237653
Moved 537.15 500.5174 475 0.3252718 0.2237653
Moved 537.1807 538.332 475 0.4128055 0.2237653
Moved 537.2114 558.7925 475 0.4601678 0.2237653
Moved 537.2421 576.223 475 0.5005161 0.2237653
Moved 537.2729 587.4323 475 0.5264636 0.2237653
Moved 537.3036 593.4468 475 0.5403863 0.2237653
Moved 537.3343 597.1603 475 0.5489821 0.2237653
Moved 537.3649 599 468 0.5532407 0.2057612
Ended 537.3956 599 468 0.5532407 0.2057612
Accept 537.457 0 a
Began 538.1325 291 413 -0.1597222 0.06430033
Stationary 538.1632 291 413 -0.1597222 0.06430033
Stationary 538.1939 291 413 -0.1597222 0.06430033
Stationary 538.2246 291 413 -0.1597222 0.06430033
Stationary 538.2553 291 413 -0.1597222 0.06430033
Stationary 538.286 291 413 -0.1597222 0.06430033
Stationary 538.3167 291 413 -0.1597222 0.06430033
Stationary 538.3474 291 413 -0.1597222 0.06430033
Stationary 538.3781 291 413 -0.1597222 0.06430033
Stationary 538.4088 291 413 -0.1597222 0.06430033
Stationary 538.4395 291 413 -0.1597222 0.06430033
Stationary 538.4702 291 413 -0.1597222 0.06430033
Stationary 538.5009 291 413 -0.1597222 0.06430033
Stationary 538.5316 291 413 -0.1597222 0.06430033
Stationary 538.5623 291 413 -0.1597222 0.06430033
Moved 538.5931 311.3254 432.5125 -0.1126726 0.1144867
Moved 538.6238 358.3448 469.2299 -0.003831387 0.2089246
Moved 538.6545 387.9142 488.7958 0.0646162 0.2592485
Moved 538.6851 403.1728 499.7383 0.09993712 0.2873926
Moved 538.7159 414.0103 505.0052 0.1250239 0.3009392
Moved 538.7466 421.6346 509.7564 0.1426728 0.3131593
Moved 538.7773 427.4945 512.7473 0.1562373 0.320852
Moved 538.808 434.654 516.436 0.1728102 0.3303393
Moved 538.8387 444.4954 520.1652 0.1955912 0.339931
Moved 538.8694 450.0873 523.0436 0.2085354 0.3473344
Moved 538.9 462.6188 527.8094 0.2375435 0.3595919
Moved 538.9306 471.2318 531.8212 0.257481 0.3699104
Moved 538.9615 475.2886 532 0.2668719 0.3703703
Moved 538.9921 477.5 532 0.2719907 0.3703703
Moved 539.0229 478 532 0.2731481 0.3703703
Stationary 539.0536 478 532 0.2731481 0.3703703
Moved 539.0843 457.4093 507.2924 0.2254846 0.3068218
Moved 539.115 420.219 458.1878 0.1393958 0.1805241
Moved 539.1457 398.491 427.2366 0.08909961 0.100917
Moved 539.1764 382.0796 398.8893 0.05111019 0.02800753
Moved 539.2071 370.1964 375.1905 0.02360284 -0.03294634
Moved 539.2378 364.0254 355.076 0.009317995 -0.08468094
Moved 539.2684 358.9032 339.7579 -0.002538959 -0.1240796
Moved 539.2992 356.0739 324.4437 -0.009088068 -0.163468
Moved 539.3299 354.203 313.8121 -0.01341899 -0.1908126
Moved 539.3606 352.7491 305.2474 -0.01678447 -0.2128411
Moved 539.3912 353 295.3572 -0.01620372 -0.2382787
Moved 539.422 353 287.7332 -0.01620372 -0.257888
Moved 539.4527 353 283.0366 -0.01620372 -0.2699678
Moved 539.4834 353 279.5267 -0.01620372 -0.278995
Moved 539.5141 353 273.3278 -0.01620372 -0.2949387
Moved 539.5448 353 268.789 -0.01620372 -0.3066127
Moved 539.5755 353 265.183 -0.01620372 -0.3158874
Moved 539.6062 353 262.3687 -0.01620372 -0.3231258
Moved 539.637 353 261 -0.01620372 -0.3266461
Moved 539.6676 353 259.6255 -0.01620372 -0.3301812
Stationary 539.6984 353 260 -0.01620372 -0.3292181
Moved 539.729 368.1522 285.8806 0.01887093 -0.262653
Moved 539.7598 380.974 323.8961 0.04855096 -0.1648763
Moved 539.7905 388 349 0.06481478 -0.1003086
Moved 539.8212 400.3819 375.7639 0.09347667 -0.03147164
Moved 539.8519 411.9269 395.8903 0.1202011 0.02029399
Moved 539.8826 422.5517 408.4023 0.1447956 0.05247496
Moved 539.9133 432.1024 418.1024 0.1669036 0.07742364
Moved 539.9439 445.2482 428.9986 0.1973339 0.105449
Moved 539.9746 454.3714 436.2476 0.2184524 0.1240936
Moved 540.0054 461.9968 441.9968 0.2361037 0.1388807
Moved 540.0361 468.5 446 0.2511574 0.1491768
Moved 540.0668 476.11 450.37 0.2687731 0.1604166
Moved 540.0974 482.7333 454.2444 0.2841049 0.1703818
Moved 540.1282 485.6842 456.8421 0.2909358 0.177063
Moved 540.1589 488 458 0.2962963 0.180041
Moved 540.1896 489.1029 459.103 0.2988493 0.1828779
Stationary 540.2202 489 459 0.2986111 0.1826131
Moved 540.251 478.7498 459 0.2748839 0.1826131
Moved 540.2817 452.7241 452 0.2146392 0.164609
Moved 540.3124 424.8135 451 0.1500311 0.162037
Moved 540.3431 389.5 451 0.06828706 0.162037
Moved 540.3738 366.1278 464.1246 0.01418471 0.1957938
Moved 540.4044 347.0037 467.9994 -0.03008395 0.2057597
Moved 540.4351 332.6188 470.8762 -0.06338249 0.213159
Moved 540.4659 324.0663 472 -0.08317997 0.2160493
Moved 540.4965 311.8062 475.2985 -0.1115598 0.224533
Moved 540.5272 303.5469 477 -0.1306784 0.2289094
Moved 540.558 295.9248 480.0376 -0.1483222 0.2367222
Moved 540.5887 284.8613 482.5347 -0.1739323 0.2431447
Moved 540.6194 277.1953 485.4023 -0.1916775 0.2505203
Moved 540.6501 271.7192 487 -0.2043537 0.2546296
Moved 540.6808 268.1292 489.8708 -0.2126639 0.2620134
Moved 540.7115 265.2989 494.7011 -0.2192155 0.274437
Moved 540.7422 263.4244 497.5756 -0.2235546 0.2818301
Moved 540.7729 261.5513 499 -0.2278905 0.2854938
Moved 540.8036 262 500.5 -0.2268519 0.2893518
Moved 540.8343 261 500 -0.2291666 0.2880658
Stationary 540.865 261 500 -0.2291666 0.2880658
Moved 540.8958 261 480.5 -0.2291666 0.2379114
Moved 540.9265 261 456.6271 -0.2291666 0.1765099
Moved 540.9572 271.0565 431.7455 -0.2058876 0.1125141
Moved 540.9877 278.7173 403.9423 -0.1881544 0.04100368
Moved 541.0186 286.3331 383.0004 -0.1705251 -0.01285906
Moved 541.0493 293.6474 361.0578 -0.153594 -0.06929586
Moved 541.08 300.3897 347.0256 -0.1379867 -0.1053868
Moved 541.1106 308.1969 332.6061 -0.1199145 -0.142474
Moved 541.1414 315.1277 318.1807 -0.103871 -0.1795765
Moved 541.172 320.8699 305.2602 -0.09057894 -0.2128081
Moved 541.2028 327.9386 293.7485 -0.07421623 -0.2424163
Moved 541.2335 333.7872 283.3192 -0.06067773 -0.2692409
Moved 541.2642 338.7336 274.5328 -0.04922777 -0.2918395
Moved 541.2949 342.6029 268.7942 -0.04027103 -0.3065994
Moved 541.3255 345 264.5247 -0.03472224 -0.3175807
Moved 541.3563 346 262.0059 -0.03240739 -0.3240591
Moved 541.387 347.8657 260.1343 -0.02808859 -0.3288728
Moved 541.4177 348 258.697 -0.0277778 -0.3325695
Moved 541.4484 349 257 -0.02546296 -0.3369342
Moved 541.4791 350 255.5 -0.02314816 -0.3407922
Moved 541.5098 350 254.9849 -0.02314816 -0.3421172
Stationary 541.5405 350 254.9849 -0.02314816 -0.3421172
Stationary 541.5712 350 255 -0.02314816 -0.3420782
Moved 541.6019 339.2541 302.4622 -0.04802296 -0.2200048
Moved 541.6326 336 354.5953 -0.05555556 -0.08591742
Moved 541.6633 343.7828 389.1183 -0.03753985 0.002876172
Moved 541.694 353.4215 413.0538 -0.01522799 0.06443875
Moved 541.7247 366.9127 440.8254 0.01600166 0.1358678
Moved 541.7554 381.4282 458.7853 0.04960239 0.1820609
Moved 541.7861 387.7604 468.6805 0.06426016 0.2075115
Moved 541.8168 393.5377 475.5377 0.07763346 0.2251482
Moved 541.8475 396 478.6433 0.08333336 0.233136
Moved 541.8782 397.0821 480.0821 0.08583815 0.2368366
Moved 541.9089 398 482 0.08796295 0.2417695
Moved 541.9396 398 483.4698 0.08796295 0.2455499
Moved 541.9703 398 484.1153 0.08796295 0.24721
Moved 542.001 398 485.0704 0.08796295 0.2496666
Moved 542.0317 398 486 0.08796295 0.2520575
Stationary 542.0624 398 486 0.08796295 0.2520575
Ended 542.0931 398 486 0.08796295 0.2520575
Candidates 542.2159 13 subject efficiency efficient assignment deficiency document significant different incorrect dialect sufficient equivalent contract
Began 542.8914 443 509 0.1921296 0.3112139
Moved 542.9221 458.6069 509 0.2282567 0.3112139
Moved 542.9528 489.9062 509 0.3007088 0.3112139
Moved 542.9835 524.3619 509 0.3804673 0.3112139
Moved 543.0142 548.6369 497.7672 0.4366595 0.282323
Moved 543.0449 565.4005 497.7199 0.475464 0.2822013
Moved 543.0756 580.7935 494.8413 0.5110959 0.2747975
Moved 543.1063 588.2681 493.244 0.5283983 0.2706891
Ended 543.137 592.2587 493 0.5376358 0.2700616
Accept 543.1984 0 subject
Began 543.7818 534 604 0.4027778 0.5555555
Stationary 543.8124 534 604 0.4027778 0.5555555
Stationary 543.8432 534 604 0.4027778 0.5555555
Stationary 543.8739 534 604 0.4027778 0.5555555
Stationary 543.9046 534 604 0.4027778 0.5555555
Stationary 543.9353 534 604 0.4027778 0.5555555
Stationary 543.966 534 604 0.4027778 0.5555555
Stationary 543.9968 534 604 0.4027778 0.5555555
Stationary 544.0274 534 604 0.4027778 0.5555555
Stationary 544.0581 534 604 0.4027778 0.5555555
Moved 544.0889 526.6702 594.5759 0.3858106 0.5313165
Moved 544.1196 497.765 542.3387 0.3189004 0.3969617
Moved 544.1503 460.9285 478.1428 0.2336308 0.2318486
Moved 544.181 433.3696 428.7393 0.1698371 0.1047819
Moved 544.2116 417.9856 391.7625 0.1342259 0.009677125
Moved 544.2423 408.1209 355.6044 0.1113909 -0.08332217
Moved 544.2731 401.6051 328.8152 0.0963081 -0.1522243
Moved 544.3038 398 309.5787 0.08796295 -0.201701
Moved 544.3345 397 298.4572 0.0856481 -0.2303055
Moved 544.3652 397 288.7909 0.0856481 -0.2551675
Moved 544.3959 397 282.1173 0.0856481 -0.2723321
Moved 544.4266 397 276.1865 0.0856481 -0.2875863
Moved 544.4573 397 272.6367 0.0856481 -0.2967163
Moved 544.488 397 268.7587 0.0856481 -0.3066906
Moved 544.5187 397 262.8048 0.0856481 -0.3220041
Moved 544.5494 397 258.9391 0.0856481 -0.3319468
Moved 544.5801 397 257.5004 0.0856481 -0.3356472
Moved 544.6108 397 253.1927 0.0856481 -0.3467265
Moved 544.6415 397 250.5121 0.0856481 -0.3536212
Moved 544.6722 397 248.5 0.0856481 -0.3587964
Moved 544.7029 396 248 0.08333336 -0.3600824
Moved 544.7336 387.1725 254.7859 0.06289939 -0.342629
Moved 544.7643 368.3337 285.9995 0.01929105 -0.2623472
Moved 544.795 343.1068 331.7864 -0.03910467 -0.1445823
Moved 544.8257 322.7459 376.0605 -0.08623625 -0.03070847
Moved 544.8564 311.8173 401.093 -0.111534 0.03367542
Moved 544.8871 305.6615 412.6769 -0.1257835 0.06346938
Moved 544.9178 299.7951 423.3073 -0.1393631 0.0908109
Moved 544.9485 292.0683 437.8862 -0.1572493 0.128308
Moved 544.9792 286.2967 448.5549 -0.1706095 0.1557482
Moved 545.0099 282.5995 452.4005 -0.1791677 0.1656389
Moved 545.0406 279.7244 455.2756 -0.1858232 0.173034
Moved 545.0713 276.8597 459.2806 -0.1924543 0.1833347
Moved 545.1021 275.2432 460.7568 -0.1961963 0.1871315
Moved 545.1328 274 462 -0.199074 0.1903292
Moved 545.1635 273 463.4116 -0.2013889 0.1939597
Moved 545.1942 270.7075 464.2925 -0.2066956 0.1962256
Stationary 545.2249 271 464 -0.2060186 0.1954732
Moved 545.2556 270 465.5 -0.2083333 0.1993312
Moved 545.2863 269 465.6008 -0.2106481 0.1995905
Moved 545.317 269 466.5 -0.2106481 0.2019032
Moved 545.3475 267.8274 467.1726 -0.2133624 0.2036332
Moved 545.3783 268 468.2208 -0.212963 0.2063292
Moved 545.4091 268 469.105 -0.212963 0.2086033
Moved 545.4396 268 471.189 -0.212963 0.2139635
Moved 545.4705 268 473.0649 -0.212963 0.2187882
Moved 545.5012 268 474.374 -0.212963 0.2221552
Moved 545.5319 268 476.8773 -0.212963 0.2285939
Moved 545.5626 266.8211 478.1789 -0.2156919 0.2319416
Moved 545.5933 267 479.5 -0.2152778 0.2353394
Moved 545.624 267 481.0782 -0.2152778 0.2393985
Moved 545.6547 267 482.374 -0.2152778 0.2427313
Ended 545.6854 267 482 -0.2152778 0.2417695
Candidates 545.7775 13 line over pine love live point tube one pounds june once time pound
Began 546.2994 386 472 0.06018519 0.2160493
Stationary 546.3302 386 472 0.06018519 0.2160493
Stationary 546.3609 386 472 0.06018519 0.2160493
Stationary 546.3914 386 472 0.06018519 0.2160493
Stationary 546.4223 386 472 0.06018519 0.2160493
Moved 546.4529 397.3091 472 0.08636366 0.2160493
Moved 546.4837 399 472 0.09027779 0.2160493
Moved 546.5144 400.5 472 0.09374996 0.2160493
Moved 546.5451 402.597 472 0.09860416 0.2160493
Moved 546.5757 406.9217 472 0.1086151 0.2160493
Moved 546.6065 416.3341 485.6676 0.130403 0.2512026
Moved 546.6372 429.2375 503.9325 0.1602719 0.2981802
Moved 546.6679 441.137 520.5616 0.187817 0.3409506
Moved 546.6985 450.0226 532.0452 0.2083856 0.3704865
Moved 546.7293 451.4613 533.4613 0.2117161 0.3741288
Moved 546.76 453.0085 535 0.2152974 0.3780863
Moved 546.7907 454.5 536 0.21875 0.3806583
Moved 546.8214 454 537.1553 0.2175926 0.3836297
Stationary 546.8521 454 537 0.2175926 0.3832304
Moved 546.8828 431.7815 500.1722 0.1661607 0.2885087
Moved 546.9135 417.8602 475.7483 0.1339356 0.2256899
Moved 546.9442 409.0876 460.2628 0.1136287 0.1858609
Moved 546.9749 404.0351 452.5526 0.101933 0.1660302
Moved 547.0056 401.6454 447.2907 0.09640127 0.1524966
Moved 547.0363 398.7728 442.7728 0.08975177 0.1408763
Moved 547.067 397 439.1772 0.0856481 0.1316284
Moved 547.0977 395 435.7208 0.08101851 0.1227387
Moved 547.1284 394 432.502 0.07870366 0.1144599
Moved 547.1592 391.6246 429.6246 0.07320513 0.107059
Moved 547.1899 391.1229 426.1229 0.07204384 0.09805275
Moved 547.2206 390 423.2463 0.06944448 0.09065393
Moved 547.2512 390 419.3748 0.06944448 0.08069646
Moved 547.2819 389 415.0129 0.06712963 0.0694776
Moved 547.3127 389 412.9534 0.06712963 0.0641804
Moved 547.3434 388 411.0819 0.06481478 0.05936701
Moved 547.374 372.8886 410 0.02983481 0.05658428
Moved 547.4047 362.6544 410 0.006144345 0.05658428
Moved 547.4355 315.1406 428.5719 -0.1038413 0.1043515
Moved 547.4662 283.3606 435.1279 -0.177406 0.1212136
Moved 547.4969 259.4122 436 -0.2328421 0.1234567
Moved 547.5276 238.5 436 -0.28125 0.1234567
Moved 547.5583 218.75 436 -0.3269675 0.1234567
Moved 547.589 202.7597 427.2636 -0.3639821 0.1009866
Moved 547.6197 190.7664 427.1533 -0.3917444 0.1007027
Moved 547.6504 177.3197 423.33 -0.422871 0.09086918
Moved 547.6811 167.3702 421.4567 -0.4459024 0.08605113
Moved 547.7118 158.7785 420 -0.4657905 0.08230445
Moved 547.7425 153.1655 419 -0.4787835 0.07973251
Moved 547.7732 148.4182 418 -0.4897726 0.07716041
Moved 547.8039 146 418 -0.4953704 0.07716041
Moved 547.8346 143.5 418 -0.5011575 0.07716041
Moved 547.8653 142.6784 418 -0.5030593 0.07716041
Moved 547.8961 141.7364 418 -0.5052398 0.07716041
Moved 547.9267 140.8653 418 -0.5072562 0.07716041
