the back yard of our house
the back yard of our house
Basic
Radial

0.6 0.6
432 388.8
Began 2232.753 288 544 -0.1666667 0.4012345
Stationary 2232.784 288 544 -0.1666667 0.4012345
Stationary 2232.815 288 544 -0.1666667 0.4012345
Stationary 2232.846 288 544 -0.1666667 0.4012345
Moved 2232.876 288 531.6379 -0.1666667 0.3694391
Moved 2232.907 288 527.7629 -0.1666667 0.3594723
Moved 2232.938 288 524.8922 -0.1666667 0.3520888
Moved 2232.969 288 522.3551 -0.1666667 0.3455635
Moved 2232.999 288 520.4808 -0.1666667 0.3407428
Moved 2233.03 288 518.5 -0.1666667 0.335648
Moved 2233.061 288 518 -0.1666667 0.3343621
Moved 2233.091 288 517 -0.1666667 0.33179
Moved 2233.122 288 513.9186 -0.1666667 0.3238648
Moved 2233.153 299.8015 501.3473 -0.1393483 0.291531
Moved 2233.184 309.4556 486.2913 -0.117001 0.2528068
Moved 2233.214 329.5779 455.5804 -0.07042159 0.1738179
Moved 2233.245 350.7593 423.1268 -0.02139042 0.0903467
Moved 2233.276 367.7795 397.4409 0.01800815 0.02428212
Moved 2233.306 377.6657 382.8905 0.04089276 -0.01314171
Moved 2233.337 384.1692 370.6617 0.05594711 -0.04459452
Moved 2233.368 387.958 365.0421 0.06471753 -0.0590483
Moved 2233.399 390.6372 362 0.07091949 -0.06687243
Moved 2233.429 392 359.6011 0.07407407 -0.07304242
Moved 2233.46 393 359 0.07638891 -0.07458848
Moved 2233.491 395.1473 358 0.08135945 -0.07716057
Moved 2233.521 396.2941 358 0.08401403 -0.07716057
Moved 2233.552 397.5638 358 0.08695324 -0.07716057
Stationary 2233.583 398 358 0.08796295 -0.07716057
Moved 2233.614 400.3133 366.3133 0.09331783 -0.05577864
Moved 2233.644 400 370.6098 0.09259263 -0.04472795
Moved 2233.675 400 379.7316 0.09259263 -0.02126662
Moved 2233.706 381.4816 398.648 0.04972597 0.02738678
Moved 2233.737 359.3095 421.6906 -0.001598448 0.08665257
Moved 2233.767 335.1084 447.8735 -0.05761946 0.1539956
Moved 2233.798 322.4008 459.5992 -0.08703505 0.1841542
Moved 2233.829 313.0757 467.1932 -0.108621 0.2036861
Moved 2233.859 304.0106 474.7421 -0.1296052 0.2231019
Moved 2233.89 293.5374 483.3469 -0.1538485 0.2452338
Moved 2233.921 284.0399 491.97 -0.1758335 0.2674125
Moved 2233.952 278.6717 497.3283 -0.18826 0.2811941
Moved 2233.982 273.1175 501.4413 -0.2011169 0.2917727
Moved 2234.013 270.6833 505.3167 -0.2067516 0.3017404
Moved 2234.044 267.8153 506 -0.2133904 0.3034978
Moved 2234.074 266.2753 508.7247 -0.2169553 0.3105057
Moved 2234.105 265 509.5975 -0.2199074 0.3127508
Moved 2234.136 263.9676 510 -0.2222973 0.3137859
Moved 2234.167 262.828 511 -0.2249353 0.3163579
Moved 2234.197 263 512.3166 -0.2245371 0.3197443
Stationary 2234.228 263 512 -0.2245371 0.31893
Ended 2234.259 263 512 -0.2245371 0.31893
Candidates 2234.412 13 the where she there enter why what other edge they register entry he
Began 2234.658 266 562 -0.2175926 0.4475308
Moved 2234.689 280.0555 562 -0.1850567 0.4475308
Moved 2234.719 312.256 550.0178 -0.1105185 0.4167124
Moved 2234.75 344.0285 544.2159 -0.03697097 0.4017897
Moved 2234.781 373.2949 537.541 0.03077527 0.3846219
Moved 2234.812 396.1887 532.4016 0.08377006 0.3714032
Moved 2234.842 410.4182 530.5273 0.1167088 0.3665824
Moved 2234.873 417.0656 528.9672 0.1320962 0.3625699
Moved 2234.904 421.9167 528.0833 0.1433257 0.3602965
Moved 2234.935 424.7826 528 0.1499596 0.3600822
Moved 2234.965 426.2149 526.785 0.1532753 0.3569573
Moved 2234.996 428 527 0.1574074 0.3575102
Ended 2235.027 429.5 525.5 0.1608796 0.3536522
Accept 2235.088 0 the
Began 2235.672 350 296 -0.02314816 -0.2366256
Stationary 2235.702 350 296 -0.02314816 -0.2366256
Stationary 2235.733 350 296 -0.02314816 -0.2366256
Stationary 2235.764 350 296 -0.02314816 -0.2366256
Moved 2235.795 350 286.556 -0.02314816 -0.2609157
Moved 2235.825 350 283.6757 -0.02314816 -0.2683238
Moved 2235.856 350 282.6266 -0.02314816 -0.2710222
Moved 2235.887 355.6543 281.1923 -0.01005943 -0.2747113
Moved 2235.917 357 279.691 -0.006944438 -0.2785726
Moved 2235.948 357.4933 279 -0.005802562 -0.2803498
Moved 2235.979 358 277.8145 -0.004629641 -0.2833991
Stationary 2236.01 358 277.8145 -0.004629641 -0.2833991
Moved 2236.04 358 276.9259 -0.004629641 -0.2856845
Moved 2236.071 359 276 -0.002314796 -0.288066
Stationary 2236.102 359 276 -0.002314796 -0.288066
Moved 2236.133 359 274.6747 -0.002314796 -0.2914745
Moved 2236.163 360 274.045 0 -0.2930941
Moved 2236.194 360 273.5 0 -0.2944959
Moved 2236.225 361 273 0.002314846 -0.295782
Stationary 2236.255 361 273 0.002314846 -0.295782
Stationary 2236.286 361 273 0.002314846 -0.295782
Moved 2236.317 313.5925 314.3396 -0.1074249 -0.1894558
Moved 2236.347 274.7924 350.3661 -0.1972398 -0.09679503
Moved 2236.378 257.8318 364.4735 -0.2365005 -0.06051067
Moved 2236.409 228.6996 391.0704 -0.3039362 0.007896972
Moved 2236.44 211.0588 408.1176 -0.3447712 0.05174275
Moved 2236.47 197.4285 419.9286 -0.376323 0.08212097
Moved 2236.501 186.9409 428.5444 -0.4005998 0.1042808
Moved 2236.532 176.8367 436.1633 -0.4239892 0.1238768
Moved 2236.563 174 438.8923 -0.4305556 0.1308957
Moved 2236.593 171.5 440 -0.4363426 0.1337448
Moved 2236.624 172 441 -0.4351852 0.1363167
Stationary 2236.655 172 441 -0.4351852 0.1363167
Moved 2236.685 185.3548 430.7271 -0.4042713 0.1098946
Moved 2236.716 229.2965 396.538 -0.3025545 0.02195974
Moved 2236.747 267.0633 365.7607 -0.2151313 -0.05719989
Moved 2236.778 287.2099 346.7901 -0.1684956 -0.1059927
Moved 2236.808 311.628 327.8372 -0.1119722 -0.15474
Moved 2236.839 325.4389 313.561 -0.08000244 -0.1914584
Moved 2236.87 332.9683 306.0158 -0.06257331 -0.2108648
Moved 2236.9 335.4875 302.5125 -0.05674193 -0.2198753
Moved 2236.931 338.3595 299.6405 -0.05009383 -0.2272621
Moved 2236.962 340.2351 297.765 -0.04575213 -0.232086
Moved 2236.993 341 297 -0.04398147 -0.2340535
Moved 2237.023 342 297 -0.04166668 -0.2340535
Moved 2237.054 344.5344 297 -0.03580009 -0.2340535
Moved 2237.085 357.3716 312.3716 -0.006084293 -0.1945176
Moved 2237.115 376.4605 336.3931 0.03810306 -0.132734
Moved 2237.146 406.5003 366.5003 0.1076396 -0.05529756
Moved 2237.177 428.011 388.3425 0.1574329 0.0008808732
Moved 2237.208 441.5 400 0.1886574 0.03086416
Moved 2237.238 462.9002 413.5626 0.238195 0.0657474
Moved 2237.269 485.8954 424.9551 0.2914245 0.09504919
Moved 2237.3 497.5355 430.8452 0.3183692 0.1101983
Moved 2237.331 502.5743 433.2871 0.3300331 0.1164791
Moved 2237.361 508.5139 435.257 0.3437823 0.1215456
Moved 2237.392 512.1315 436 0.3521564 0.1234567
Moved 2237.423 514.5 437.5 0.3576389 0.1273147
Ended 2237.453 516 437 0.3611111 0.1260288
Candidates 2237.515 13 back ball bank call basal fall naacp nacl hall shall mall cash neck
Began 2238.037 381 487 0.04861106 0.2546296
Stationary 2238.068 381 487 0.04861106 0.2546296
Moved 2238.098 403.0794 487 0.09972075 0.2546296
Moved 2238.129 429.4071 479 0.1606646 0.2340534
Moved 2238.16 448.0387 476.8516 0.2037933 0.2285278
Moved 2238.191 465.3641 476 0.2438984 0.2263374
Moved 2238.221 466.7567 476 0.2471219 0.2263374
Moved 2238.252 471 476 0.2569444 0.2263374
Ended 2238.283 472 475 0.2592593 0.2237653
Accept 2238.344 0 back
