healthy food is good for you
healthy food is good for you
FixStart
List

0.6 0.6
432 388.8
Began 1295.182 430 633 0.162037 0.6301439
Stationary 1295.212 430 633 0.162037 0.6301439
Moved 1295.243 437.4477 633 0.1792771 0.6301439
Moved 1295.274 454.1409 617.1155 0.2179186 0.5892887
Moved 1295.305 466.6317 609.5262 0.2468327 0.5697688
Moved 1295.335 477.1119 602.8881 0.2710923 0.5526956
Moved 1295.366 487.6269 597.1865 0.2954326 0.538031
Moved 1295.397 495.5 593.5 0.3136574 0.5285493
Moved 1295.427 501.2827 589.7173 0.3270433 0.51882
Moved 1295.458 505.147 587.853 0.3359884 0.514025
Moved 1295.489 507.0168 586.9832 0.3403168 0.5117878
Moved 1295.52 507 586 0.3402778 0.5092591
Stationary 1295.55 507 586 0.3402778 0.5092591
Stationary 1295.581 507 586 0.3402778 0.5092591
Moved 1295.612 493.1354 594.2104 0.3081838 0.5303766
Moved 1295.643 475.8558 608.4535 0.2681848 0.5670099
Moved 1295.673 458.1282 622.7231 0.2271487 0.6037115
Moved 1295.704 444.8104 632.3138 0.1963203 0.6283789
Moved 1295.735 432.9657 642.0274 0.1689022 0.6533626
Moved 1295.765 421.4655 652.5345 0.1422811 0.6803872
Moved 1295.796 409.9811 662.2642 0.115697 0.7054119
Moved 1295.827 399.4928 669.8804 0.09141842 0.725001
Moved 1295.858 390.2723 678.5458 0.07007469 0.7472883
Moved 1295.888 377.8176 688.1368 0.04124443 0.7719565
Moved 1295.919 367.2393 697.7607 0.01675765 0.7967094
Moved 1295.95 357 707 -0.006944438 0.820473
Moved 1295.98 349.123 714.8771 -0.02517834 0.8407332
Moved 1296.011 344.6544 722.5184 -0.03552218 0.8603867
Moved 1296.042 343 729.0739 -0.03935183 0.8772475
Moved 1296.073 342 735.7437 -0.04166668 0.8944024
Moved 1296.103 341 743.3759 -0.04398147 0.9140326
Moved 1296.134 341 749.6781 -0.04398147 0.9302419
Moved 1296.165 341 754.1976 -0.04398147 0.941866
Moved 1296.196 341 757.728 -0.04398147 0.9509463
Moved 1296.226 341 759.1576 -0.04398147 0.9546232
Moved 1296.257 341 763.9514 -0.04398147 0.9669532
Moved 1296.288 349.3594 771.1348 -0.02463107 0.9854289
Moved 1296.318 354.8631 778.8632 -0.01189093 1.005306
Moved 1296.349 358.8055 784.611 -0.00276501 1.02009
Moved 1296.38 360.67 787.67 0.001550913 1.027958
Moved 1296.411 361 789.2059 0.002314846 1.031908
Stationary 1296.441 361 789 0.002314846 1.031379
Stationary 1296.472 361 789 0.002314846 1.031379
Moved 1296.503 361 774 0.002314846 0.9927983
Moved 1296.534 349.3373 763.6746 -0.02468213 0.9662412
Moved 1296.564 342.4018 742.4047 -0.04073665 0.9115345
Moved 1296.595 335.7509 723.5849 -0.05613208 0.8631298
Moved 1296.626 330.7463 708.2389 -0.06771693 0.8236597
Moved 1296.656 323.0179 691.5448 -0.08560668 0.7807221
Moved 1296.687 316.263 677.5261 -0.101243 0.7446657
Moved 1296.718 309.2916 666.0555 -0.1173805 0.7151631
Moved 1296.749 304.4714 655.9427 -0.1285385 0.6891531
Moved 1296.779 297.7292 646.0938 -0.1441453 0.6638214
Moved 1296.81 290.463 634.9506 -0.1609653 0.635161
Moved 1296.841 282.8328 624.777 -0.1786278 0.6089943
Moved 1296.872 276.1167 616.1167 -0.1941742 0.5867198
Moved 1296.902 270.376 610.376 -0.207463 0.5719547
Moved 1296.933 267 606.3128 -0.2152778 0.561504
Moved 1296.964 266 604.7755 -0.2175926 0.5575501
Moved 1296.995 265 603.9491 -0.2199074 0.5554245
Moved 1297.025 263.5 604 -0.2233796 0.5555555
Moved 1297.056 264 602.8127 -0.2222222 0.5525017
Moved 1297.087 262.5 603 -0.2256944 0.5529835
Stationary 1297.117 262.5 603 -0.2256944 0.5529835
Moved 1297.148 270.6931 613.1981 -0.2067288 0.579213
Moved 1297.179 286.7973 623.5766 -0.1694506 0.6059067
Moved 1297.209 314.5 635 -0.1053241 0.6352879
