in sharp contrast to your words
in sharp contact to your words
FixStart
List

0.6 0.6
432 388.8
Began 2341.545 416 438 0.1296297 0.1286007
Stationary 2341.576 416 438 0.1296297 0.1286007
Moved 2341.607 424.2225 451.3615 0.1486631 0.1629668
Moved 2341.638 447.8117 475.947 0.2032678 0.2262011
Moved 2341.668 473.4082 502.4083 0.262519 0.2942598
Moved 2341.699 505.5556 537.2565 0.3369342 0.38389
Moved 2341.73 531.8905 562.9914 0.3978947 0.4500807
Moved 2341.76 555.0002 590.4447 0.4513895 0.520691
Moved 2341.791 564.1758 602.9697 0.4726292 0.5529056
Moved 2341.822 570.5703 610.5703 0.4874313 0.5724544
Moved 2341.853 573 614.8375 0.4930556 0.5834298
Moved 2341.884 574 617.3902 0.4953703 0.5899953
Moved 2341.914 574 618.5 0.4953703 0.5928496
Moved 2341.945 574 619.2894 0.4953703 0.5948799
Stationary 2341.976 574 619 0.4953703 0.5941358
Stationary 2342.006 574 619 0.4953703 0.5941358
Moved 2342.037 566.3417 619 0.4776428 0.5941358
Moved 2342.068 561.7953 610.1814 0.4671188 0.5714541
Moved 2342.099 555.6993 604.049 0.4530076 0.5556813
Moved 2342.129 547.2545 593.0681 0.4334595 0.5274385
Moved 2342.16 536.5 578.5 0.4085648 0.489969
Moved 2342.191 520.9659 552.9546 0.3726063 0.4242658
Moved 2342.221 507.2981 522.3268 0.3409678 0.3454908
Moved 2342.252 499.6866 502.1641 0.3233485 0.2936319
Moved 2342.283 492.5 473.5 0.306713 0.2199073
Moved 2342.314 490.1006 441.2065 0.3011587 0.136848
Moved 2342.344 488.5526 403.2881 0.2975754 0.03932136
Moved 2342.375 489 365.867 0.2986111 -0.0569265
Moved 2342.406 489 338.5 0.2986111 -0.127315
Moved 2342.437 499.6967 315.0616 0.3233719 -0.1875986
Moved 2342.467 503.809 295.1686 0.3328911 -0.238764
Moved 2342.498 514.9387 268.2145 0.3586544 -0.3080903
Moved 2342.529 523 251 0.3773148 -0.3523664
Ended 2342.559 527.8889 243.9778 0.3886316 -0.3704276
Candidates 2342.652 13 in on join john inn ion job ibm upon un pin jim um
Began 2343.604 498 410 0.3194444 0.05658428
Stationary 2343.635 498 410 0.3194444 0.05658428
Stationary 2343.666 498 410 0.3194444 0.05658428
Moved 2343.696 482.3411 410 0.2831969 0.05658428
Moved 2343.727 470.9338 419.6887 0.2567913 0.08150383
Moved 2343.758 456.5765 426.2117 0.2235568 0.09828112
Moved 2343.788 440.8576 432.257 0.1871703 0.1138296
Moved 2343.819 428.1054 435.1789 0.1576515 0.1213449
Moved 2343.85 414.3694 436.7261 0.1258552 0.1253244
Moved 2343.881 403.0609 437 0.09967794 0.1260288
Moved 2343.911 388.7973 437 0.06666044 0.1260288
Moved 2343.942 374.6274 437 0.03385971 0.1260288
Moved 2343.973 361.8261 437 0.004227062 0.1260288
Moved 2344.003 351.6639 429.1328 -0.01929656 0.1057941
Moved 2344.034 342.4094 427.6024 -0.04071892 0.1018578
Moved 2344.065 338.0873 427 -0.0507239 0.1003086
Moved 2344.096 334.5021 427 -0.05902286 0.1003086
Moved 2344.126 332.2048 427 -0.06434079 0.1003086
Moved 2344.157 330.6479 426 -0.06794472 0.09773654
Stationary 2344.188 330.6479 426 -0.06794472 0.09773654
Moved 2344.219 329.7778 426 -0.06995872 0.09773654
Stationary 2344.249 329.7778 426 -0.06995872 0.09773654
Moved 2344.28 341.479 426 -0.04287263 0.09773654
Moved 2344.311 357.7552 424.1778 -0.005196234 0.09304976
Moved 2344.342 375.5969 421.629 0.03610402 0.08649433
Moved 2344.372 392.3848 421 0.07496487 0.08487643
Moved 2344.403 411.0292 420 0.1181232 0.08230445
Moved 2344.434 426.4423 418.3115 0.1538015 0.0779617
Moved 2344.464 437.9468 418 0.1804324 0.07716041
Moved 2344.495 446.5393 416.6152 0.2003224 0.07359865
Moved 2344.526 464.3038 415.9566 0.2414439 0.07190481
Moved 2344.556 484.2064 415 0.2875148 0.06944436
Moved 2344.587 499.7218 415 0.32343 0.06944436
Moved 2344.618 515.7423 415 0.3605146 0.06944436
Moved 2344.649 534.4391 415 0.4037943 0.06944436
Moved 2344.679 548.774 415 0.4369769 0.06944436
Moved 2344.71 563.0115 422.0161 0.469934 0.08748981
Moved 2344.741 574.077 424.2154 0.4955487 0.0931465
Moved 2344.771 585.2569 426 0.521428 0.09773654
Moved 2344.802 593.0991 427 0.5395812 0.1003086
Moved 2344.833 597.8083 428.9042 0.5504823 0.1052062
Moved 2344.864 600.1168 429 0.5558258 0.1054526
Moved 2344.895 602 430 0.5601852 0.1080246
Moved 2344.925 603 430 0.5624999 0.1080246
Moved 2344.956 603 430.7792 0.5624999 0.1100287
Moved 2344.987 593.5764 431 0.5406861 0.1105966
Moved 2345.017 561 432.5 0.4652777 0.1144546
Moved 2345.048 533.062 435 0.4006064 0.1208847
Moved 2345.079 508.2565 436 0.3431863 0.1234567
Moved 2345.11 487.6482 436 0.2954819 0.1234567
Moved 2345.14 469.8 436 0.2541667 0.1234567
Moved 2345.171 453.9837 436 0.2175549 0.1234567
Moved 2345.202 441.5 436 0.1886574 0.1234567
Moved 2345.232 429.6591 428.1648 0.161248 0.1033044
Moved 2345.263 415.2956 426.6591 0.1279991 0.09943184
Moved 2345.294 403.5163 424.1033 0.1007321 0.09285817
Moved 2345.325 391.8165 421.5633 0.07364919 0.0863253
Moved 2345.355 380.1489 418.4595 0.04664093 0.07834238
Moved 2345.386 366.7535 414.7507 0.01563311 0.06880328
Moved 2345.417 352.3733 410.3923 -0.0176545 0.05759337
Moved 2345.448 338.2878 406.3151 -0.05025968 0.04710676
Moved 2345.478 327.2886 403.3221 -0.07572085 0.03940877
Moved 2345.509 318.6205 400.8735 -0.09578575 0.03311082
Moved 2345.54 313.6699 399 -0.1072457 0.02829214
Moved 2345.571 311.5 399 -0.1122685 0.02829214
Moved 2345.601 311 399 -0.113426 0.02829214
Moved 2345.632 311 418.7627 -0.113426 0.07912212
Moved 2345.663 335.5 444.5 -0.05671298 0.1453189
Moved 2345.693 353.2454 462.2454 -0.01563574 0.1909602
Moved 2345.724 373.5 481 0.03125002 0.2391974
Moved 2345.755 387.2571 498.1085 0.06309509 0.2832008
Moved 2345.786 398.5981 510.9976 0.08934747 0.3163518
Moved 2345.816 409.7406 519.7407 0.1151404 0.3388391
Moved 2345.847 419.9784 527.4838 0.138839 0.3587546
Moved 2345.878 428.9431 533.2073 0.1595905 0.3734754
Moved 2345.908 439.2041 540.9031 0.1833429 0.3932692
Moved 2345.939 448.5263 546.6842 0.204922 0.4081382
Moved 2345.97 456.1171 550.7448 0.2224933 0.4185821
Moved 2346.001 463.0029 552 0.2384327 0.4218106
Moved 2346.031 467.4427 553.2213 0.2487098 0.4249519
Moved 2346.062 473.5795 553 0.2629156 0.4243826
Moved 2346.093 479.6683 553 0.27701 0.4243826
Moved 2346.124 485.175 548.2999 0.289757 0.4122938
Moved 2346.154 491.398 541.7347 0.3041621 0.3954081
Moved 2346.185 497.716 536.642 0.3187871 0.3823095
Moved 2346.216 504.439 530.561 0.3343495 0.3666691
Moved 2346.246 514.2735 524.1812 0.3571146 0.3502602
Moved 2346.277 525.0629 517.9622 0.3820901 0.3342649
Moved 2346.308 535 513 0.4050927 0.321502
Moved 2346.339 545.431 508.8923 0.4292385 0.3109369
Moved 2346.369 555.8966 506.6207 0.4534644 0.3050942
Moved 2346.4 566.6724 506 0.4784082 0.3034978
Moved 2346.431 582.9231 506 0.5160257 0.3034978
Moved 2346.461 599.2694 516.1077 0.5538644 0.3294951
Moved 2346.492 611.6984 520.5662 0.5826352 0.3409623
Moved 2346.523 624.312 524.828 0.6118333 0.3519238
Moved 2346.554 636.9727 530.9863 0.6411405 0.3677631
Moved 2346.584 647.5172 539.5172 0.665549 0.3897045
Moved 2346.615 654.5326 549.8876 0.6817884 0.4163775
Moved 2346.646 661.4506 563.6266 0.6978024 0.4517144
Moved 2346.677 666.5563 574.1126 0.7096211 0.4786847
Moved 2346.707 671.6483 584.2966 0.7214081 0.5048781
Moved 2346.738 673 591.1689 0.7245371 0.5225537
Moved 2346.769 674.6419 595.2838 0.7283378 0.5331373
Moved 2346.799 676.2 597 0.7319444 0.5375513
Moved 2346.83 676 598.4771 0.7314815 0.5413505
Moved 2346.861 679.9976 598 0.7407352 0.5401233
Ended 2346.892 680 598 0.7407407 0.5401233
Accept 2346.953 4 inn
Began 2347.752 648 554 0.6666666 0.4269547
Moved 2347.783 636.7153 554 0.6405448 0.4269547
Moved 2347.813 627.4758 548.1478 0.6191568 0.4119027
Moved 2347.844 571.5411 527.7984 0.4896786 0.3595636
Moved 2347.875 469.0208 483.7822 0.2523631 0.2463534
Moved 2347.906 427.2872 468.6026 0.1557574 0.2073111
Moved 2347.936 392.7148 457.9122 0.0757286 0.1798153
Moved 2347.967 349.9988 445.684 -0.02315089 0.1483641
Moved 2347.998 289.8542 434.3708 -0.1623746 0.1192665
Moved 2348.029 233.8232 423.4891 -0.292076 0.0912784
Ended 2348.059 202 413 -0.3657407 0.06430033
Delete 2348.121 LeftSwipe
Began 2348.704 368 449 0.01851857 0.156893
Stationary 2348.735 368 449 0.01851857 0.156893
Moved 2348.766 386.3125 465.2232 0.06090859 0.1986193
Moved 2348.797 406.3289 482.3289 0.1072428 0.2426153
Moved 2348.827 432.4731 507.4731 0.1677618 0.3072868
Moved 2348.858 466.9326 542.3564 0.2475293 0.397007
Moved 2348.889 491.7899 567.7899 0.3050691 0.4624224
Moved 2348.919 511.5 590 0.3506944 0.5195472
Moved 2348.95 521.0971 602.8714 0.37291 0.5526527
Moved 2348.981 529.9894 613.3192 0.3934941 0.5795246
Moved 2349.012 534.7769 619.6653 0.4045761 0.5958468
Moved 2349.042 539.8564 623.4282 0.4163344 0.6055252
Moved 2349.073 541.6506 626.6506 0.4204876 0.6138132
Moved 2349.104 543 628.1859 0.4236111 0.6177619
Stationary 2349.135 543 628 0.4236111 0.6172838
Stationary 2349.165 543 628 0.4236111 0.6172838
Stationary 2349.196 543 628 0.4236111 0.6172838
Moved 2349.227 526.5731 618.0396 0.385586 0.5916654
Moved 2349.258 516.3312 608.3312 0.3618777 0.5666953
Moved 2349.288 505.1922 598.1922 0.336093 0.5406177
Moved 2349.319 497.9777 587.2962 0.3193929 0.5125931
Moved 2349.35 487.9848 573.9695 0.296261 0.4783166
Moved 2349.38 479.5 561.5 0.2766204 0.4462448
Moved 2349.411 471.687 548.4785 0.2585348 0.4127532
Moved 2349.442 466.3827 536.1482 0.2462563 0.3810395
Moved 2349.472 458.1353 514.3608 0.227165 0.3250019
Moved 2349.503 450.5379 491.1264 0.2095786 0.2652428
Moved 2349.534 440.9286 444.4645 0.1873347 0.1452275
Moved 2349.565 441 411.6722 0.1875 0.06088515
Moved 2349.595 441 376.3036 0.1875 -0.03008336
Moved 2349.626 449.4012 349.3888 0.2069473 -0.09930865
Moved 2349.657 457.8547 322.4358 0.2265156 -0.1686323
Moved 2349.688 463.2787 304.0245 0.2390711 -0.2159865
Moved 2349.718 468.4469 283.7654 0.2510346 -0.2680932
Moved 2349.749 473.5664 262.4514 0.2628851 -0.3229132
Moved 2349.78 477.6765 240.1323 0.2723993 -0.3803181
Ended 2349.811 478 239 0.2731481 -0.3832304
Candidates 2349.872 13 in on join john job pin ion inn ibm jim pub upon him
Began 2351.132 506 487 0.337963 0.2546296
Stationary 2351.162 506 487 0.337963 0.2546296
Stationary 2351.193 506 487 0.337963 0.2546296
Moved 2351.224 489.0834 487 0.2988042 0.2546296
Moved 2351.255 468.5586 487 0.2512931 0.2546296
Moved 2351.285 445.6975 487 0.1983738 0.2546296
Moved 2351.316 422.643 487 0.1450071 0.2546296
Moved 2351.347 408.8461 487 0.1130697 0.2546296
Moved 2351.377 392.9113 487 0.07618358 0.2546296
Moved 2351.408 375.8844 487 0.03676941 0.2546296
Moved 2351.439 361.0843 487 0.002509952 0.2546296
Moved 2351.47 348.307 487 -0.02706716 0.2546296
Moved 2351.5 338.0787 487 -0.05074372 0.2546296
Moved 2351.531 332.5588 487 -0.06352121 0.2546296
Moved 2351.562 328.739 487 -0.07236331 0.2546296
Moved 2351.593 327.1984 487 -0.07592957 0.2546296
Stationary 2351.623 327 487 -0.07638887 0.2546296
Moved 2351.654 326 487 -0.07870371 0.2546296
Stationary 2351.685 326 487 -0.07870371 0.2546296
Stationary 2351.716 326 487 -0.07870371 0.2546296
Stationary 2351.746 326 487 -0.07870371 0.2546296
Stationary 2351.777 326 487 -0.07870371 0.2546296
Moved 2351.808 326 494 -0.07870371 0.2726337
Moved 2351.838 337.5242 497.1747 -0.0520274 0.2807992
Moved 2351.869 355.4207 502.649 -0.01060029 0.2948792
Moved 2351.9 376.6356 507.3765 0.03850827 0.3070383
Moved 2351.93 412.9932 512.1812 0.1226694 0.319396
Moved 2351.961 439 513 0.1828703 0.321502
Moved 2351.992 448.5528 513 0.2049834 0.321502
Moved 2352.023 472.4095 514.2677 0.2602073 0.3247625
Moved 2352.053 491.472 515.8302 0.3043334 0.3287813
Moved 2352.084 513.9004 517.39 0.3562509 0.3327932
Moved 2352.115 530.4398 517 0.3945367 0.33179
Moved 2352.146 544.9594 517 0.4281468 0.33179
Moved 2352.176 557.7309 517 0.4577104 0.33179
Moved 2352.207 568.1907 517 0.481923 0.33179
Moved 2352.238 576.0867 517 0.5002008 0.33179
Moved 2352.269 583.2385 517 0.5167557 0.33179
Moved 2352.299 589.6354 508.3646 0.5315636 0.3095796
Moved 2352.33 594.3521 506.824 0.5424816 0.3056171
Moved 2352.361 596.3292 504.6708 0.5470583 0.3000792
Moved 2352.391 599.9821 502.0179 0.5555142 0.2932558
Moved 2352.422 602 499.4891 0.5601852 0.2867518
Moved 2352.453 603 497.9492 0.5624999 0.2827909
Moved 2352.484 604 496.7908 0.5648147 0.2798118
Moved 2352.514 604 496 0.5648147 0.2777777
Moved 2352.545 586.299 490.9152 0.5238402 0.2646994
Moved 2352.576 544.8073 486.2008 0.4277946 0.252574
Moved 2352.606 509.8295 484 0.3468275 0.2469135
Moved 2352.637 471.215 482 0.2574421 0.2417695
Moved 2352.668 438.7665 480.7305 0.1823298 0.2385043
Moved 2352.699 403.2244 477.9138 0.1000565 0.2312598
Moved 2352.729 378.9318 477 0.04382352 0.2289094
Moved 2352.76 349.8808 477 -0.02342408 0.2289094
Moved 2352.791 331.8377 477 -0.06519055 0.2289094
Moved 2352.822 303.0255 477 -0.1318853 0.2289094
Moved 2352.852 287.4044 477 -0.1680454 0.2289094
Moved 2352.883 277.5918 477 -0.1907598 0.2289094
Moved 2352.914 272.9451 484 -0.2015159 0.2469135
Moved 2352.945 272 487.1596 -0.2037037 0.2550401
Moved 2352.975 290.2268 502.7724 -0.1615119 0.2951964
Moved 2353.006 328.1998 524.5999 -0.07361163 0.3513371
Moved 2353.037 355.2222 533.7172 -0.01105979 0.3747868
Moved 2353.067 376.8685 541.4507 0.0390474 0.3946776
Moved 2353.098 396.0829 543.787 0.08352508 0.4006867
Moved 2353.129 413.9212 545 0.1248175 0.4038065
Moved 2353.16 427.1619 546 0.1554673 0.4063785
Moved 2353.19 436.5509 548.3877 0.1772011 0.4125197
Moved 2353.221 445.9767 548 0.1990202 0.4115225
Moved 2353.252 454.6971 549 0.2192063 0.4140946
Moved 2353.282 461.3529 549 0.2346132 0.4140946
Moved 2353.313 465.3405 549 0.2438436 0.4140946
Moved 2353.344 468.6931 549 0.2516045 0.4140946
Moved 2353.375 472.4335 550 0.2602628 0.4166666
Moved 2353.406 473.7144 550.7144 0.2632277 0.4185039
Moved 2353.436 475.1345 552.1345 0.266515 0.4221565
Moved 2353.467 476 554.5 0.2685185 0.4282407
Moved 2353.498 476 557.0562 0.2685185 0.4348151
Moved 2353.528 476 562.2264 0.2685185 0.4481131
Moved 2353.559 463.5496 568.3002 0.2396982 0.4637351
Moved 2353.59 453.8014 573.0993 0.2171328 0.4760783
Moved 2353.62 444.1028 576.9486 0.1946823 0.4859789
Moved 2353.651 433.9226 582.0387 0.1711172 0.4990706
Moved 2353.682 425.8088 587.1912 0.1523353 0.5123228
Moved 2353.713 420 592.5 0.1388889 0.5259773
Moved 2353.743 416.1541 598.5377 0.1299864 0.5415062
Moved 2353.774 414.622 605.1339 0.1264399 0.5584719
Moved 2353.805 415 610.8262 0.1273148 0.5731126
Moved 2353.835 415 613.4913 0.1273148 0.5799672
Moved 2353.866 415 615.7654 0.1273148 0.5858164
Moved 2353.897 415 617.0256 0.1273148 0.5890576
Moved 2353.928 415 619.8568 0.1273148 0.5963393
Moved 2353.958 415 621.4095 0.1273148 0.600333
Moved 2353.989 427.688 624.672 0.1566851 0.6087242
Moved 2354.02 440.1563 626 0.1855469 0.6121398
Moved 2354.051 458.4322 626 0.2278523 0.6121398
Moved 2354.081 485.0431 626 0.2894517 0.6121398
Moved 2354.112 509 612.5 0.3449074 0.5774176
Moved 2354.143 532.9858 608.7809 0.4004301 0.5678521
Moved 2354.174 553.9695 604.0101 0.4490035 0.5555815
Moved 2354.204 575.9161 599.5742 0.4998057 0.5441722
Moved 2354.235 594.1907 596.0687 0.5421082 0.5351561
Moved 2354.266 613.0485 592.9919 0.5857605 0.5272425
Moved 2354.296 630.5 590.5 0.6261574 0.5208333
Moved 2354.327 640.257 588.9357 0.6487429 0.5168099
Moved 2354.358 650.5171 589 0.6724932 0.5169753
Moved 2354.389 666.1244 588 0.7086212 0.5144032
Moved 2354.419 679.0452 587 0.7385305 0.5118312
Moved 2354.45 685.8747 587 0.7543396 0.5118312
Ended 2354.481 688 587 0.7592592 0.5118312
Began 2354.573 706 618 0.8009259 0.5915637
Accept 2354.573 0 in
Candidates 2354.573 13 shall sharp thai snap stark apparel sheep detail crap wrap general successful shell
Stationary 2354.604 706 618 0.8009259 0.5915637
Moved 2354.634 706 633.081 0.8009259 0.6303522
Moved 2354.665 706 641.9965 0.8009259 0.6532829
Moved 2354.696 706 650.4161 0.8009259 0.6749384
Moved 2354.727 706 657.0985 0.8009259 0.6921257
Ended 2354.757 706 658.3192 0.8009259 0.6952653
Accept 2354.788 0 shall
Candidates 2354.788 13 i u y h j ii t g iii hi ht go guy
Began 2355.618 605 578 0.5671296 0.488683
Stationary 2355.648 605 578 0.5671296 0.488683
Moved 2355.679 567.9826 578 0.4814412 0.488683
Moved 2355.71 507.6478 578 0.3417774 0.488683
Moved 2355.74 424.7921 571.518 0.1499818 0.4720113
Moved 2355.771 335.6103 554.9046 -0.05645772 0.4292813
Ended 2355.802 273 547 -0.2013889 0.4089505
Accept 2355.863 0 i
Delete 2355.863 LeftSwipe
Began 2356.539 548 542 0.4351853 0.3960905
Moved 2356.57 527.4683 542 0.3876582 0.3960905
Moved 2356.601 468.7156 542 0.2516565 0.3960905
Moved 2356.632 406.2536 542 0.1070684 0.3960905
Moved 2356.662 268 542 -0.212963 0.3960905
Ended 2356.693 268 542 -0.212963 0.3960905
Delete 2356.816 LeftSwipe
Began 2357.768 505 518 0.3356481 0.3343621
Stationary 2357.799 505 518 0.3356481 0.3343621
Stationary 2357.83 505 518 0.3356481 0.3343621
