is there any indication of this
is there any indication of this
Basic
List

0.6 0.6
432 388.8
Began 4594.513 470 475 0.2546296 0.2237653
Stationary 4594.544 470 475 0.2546296 0.2237653
Stationary 4594.575 470 475 0.2546296 0.2237653
Moved 4594.605 459.9962 475 0.2314728 0.2237653
Moved 4594.636 457.799 475 0.2263865 0.2237653
Moved 4594.667 455.1864 475 0.2203389 0.2237653
Moved 4594.698 452.6357 475 0.2144346 0.2237653
Stationary 4594.729 453 475 0.2152778 0.2237653
Moved 4594.759 453 482.6729 0.2152778 0.2435
Moved 4594.79 453 484.6828 0.2152778 0.2486697
Moved 4594.821 453 489.4683 0.2152778 0.260978
Moved 4594.852 453 493.5767 0.2152778 0.2715448
Moved 4594.882 462.337 499.1124 0.2368912 0.2857828
Moved 4594.913 471.4153 505.8114 0.2579057 0.3030127
Moved 4594.944 479.4704 511.3136 0.2765519 0.3171645
Moved 4594.975 481.713 514 0.2817431 0.324074
Moved 4595.005 482.9679 515.968 0.284648 0.3291356
Stationary 4595.036 483 516 0.2847222 0.329218
Moved 4595.067 483 517 0.2847222 0.33179
Moved 4595.098 474.7456 518 0.2656148 0.3343621
Moved 4595.128 465.3495 518 0.2438646 0.3343621
Moved 4595.159 451.1832 518 0.2110723 0.3343621
Moved 4595.19 430.8107 505.929 0.1639138 0.3033153
Moved 4595.22 407.6414 496.6877 0.1102809 0.2795466
Moved 4595.251 385.347 485.7347 0.05867352 0.2513751
Moved 4595.282 360.1426 474.0713 0.0003300111 0.2213767
Moved 4595.313 337.7401 460.4229 -0.05152752 0.1862728
Moved 4595.343 323.0504 450.4403 -0.08553158 0.1605974
Moved 4595.374 309.4421 441.8653 -0.1170322 0.1385424
Moved 4595.405 298.3408 433.5056 -0.1427296 0.117041
Moved 4595.436 287.1841 424.8881 -0.1685554 0.09487665
Moved 4595.466 278.27 417.27 -0.1891898 0.07528289
Moved 4595.497 270.5 413 -0.2071759 0.06430033
Moved 4595.528 261.9063 403.9297 -0.2270687 0.0409715
Moved 4595.559 254.2639 396.2639 -0.2447594 0.02125489
Moved 4595.589 248.7336 389.6004 -0.2575611 0.004116223
Moved 4595.62 241.5 385 -0.2743055 -0.007716127
Moved 4595.651 237.1568 380.1568 -0.2843592 -0.02017292
Moved 4595.682 233.5414 376.5414 -0.2927282 -0.02947167
Moved 4595.712 231.0018 375.0018 -0.2986068 -0.03343158
Moved 4595.743 231 375 -0.2986111 -0.03343629
