want to join us for lunch
want to join us for lunch
FixStart
List

0.6 0.6
432 388.8
Began 3448.224 475 428 0.2662037 0.1028806
Stationary 3448.255 475 428 0.2662037 0.1028806
Stationary 3448.286 475 428 0.2662037 0.1028806
Moved 3448.316 446.5 452.5 0.2002315 0.165895
Moved 3448.347 416.3188 470.0087 0.1303677 0.2109275
Moved 3448.378 393.6245 488.4648 0.07783432 0.258397
Moved 3448.408 372.4288 504.2651 0.02877047 0.2990358
Moved 3448.439 358.695 514.2034 -0.003020863 0.3245971
Moved 3448.47 343.6867 524.485 -0.03776232 0.3510415
Moved 3448.5 332.7056 532.7208 -0.06318142 0.3722241
Moved 3448.531 321.7048 539.6476 -0.08864631 0.39004
Moved 3448.562 315.6605 546.3395 -0.1026378 0.4072518
Moved 3448.593 306.5 553 -0.1238426 0.4243826
Moved 3448.624 296.8605 561.8546 -0.1461561 0.4471569
Moved 3448.654 290.9218 567.0391 -0.1599031 0.4604913
Moved 3448.685 287.5312 571.9377 -0.167752 0.4730906
Moved 3448.716 283.7802 574.2198 -0.1764347 0.4789602
Moved 3448.746 282.0333 576 -0.1804784 0.483539
Moved 3448.777 280.5 577 -0.1840278 0.4861111
Moved 3448.808 279.6955 577 -0.18589 0.4861111
Stationary 3448.838 279.6955 577 -0.18589 0.4861111
Moved 3448.869 278.3793 561.6552 -0.1889368 0.4466439
Moved 3448.9 274.9131 538.5223 -0.1969603 0.3871458
Moved 3448.93 272.1982 509.7839 -0.2032449 0.3132302
Moved 3448.961 269.4438 483.9947 -0.2096207 0.2468998
Moved 3448.992 267.691 461.8372 -0.2136782 0.1899103
Moved 3449.023 266.282 445.9736 -0.2169399 0.1491089
Moved 3449.053 263.5305 431.6524 -0.2233091 0.1122747
Moved 3449.084 263 420.1218 -0.2245371 0.08261782
Moved 3449.115 263 416.0688 -0.2245371 0.07219341
Moved 3449.146 263 413.5705 -0.2245371 0.06576762
Moved 3449.176 263 412 -0.2245371 0.06172835
Moved 3449.207 263 410.073 -0.2245371 0.05677211
Moved 3449.238 278 405 -0.1898148 0.04372424
Moved 3449.268 288.5077 402.8984 -0.1654914 0.03831899
Moved 3449.299 302.222 398.3112 -0.1337453 0.02652043
Moved 3449.33 319.52 392.8267 -0.09370372 0.01241417
Moved 3449.361 334.8973 389.0171 -0.05810818 0.002615972
Moved 3449.391 354.1595 383.5259 -0.01351963 -0.01150759
Moved 3449.422 371.9031 377.0323 0.02755354 -0.02820921
Moved 3449.453 391.4758 370.5081 0.07286073 -0.04498964
Moved 3449.483 407.0533 363.9733 0.1089197 -0.06179707
Moved 3449.514 423.643 355.6785 0.1473218 -0.08313151
Moved 3449.545 438.0352 345.1719 0.180637 -0.1101547
Moved 3449.575 449.8898 338.0551 0.2080781 -0.1284591
Moved 3449.606 460.5125 330.8656 0.2326678 -0.1469507
Moved 3449.637 470.433 324.567 0.255632 -0.1631509
Moved 3449.667 480.6257 316.3743 0.2792262 -0.1842226
Moved 3449.698 488.5 308.5 0.2974537 -0.2044754
Moved 3449.729 497.4199 297.4401 0.3181016 -0.2329216
Moved 3449.76 505.7076 289.2924 0.3372861 -0.2538776
Moved 3449.79 513.2993 282.7007 0.3548594 -0.2708315
Moved 3449.821 518.1207 278.9396 0.3660201 -0.2805051
Moved 3449.852 521.8448 275.1552 0.3746407 -0.2902387
Moved 3449.883 524.61 273.39 0.3810416 -0.2947789
Moved 3449.913 527.3727 272 0.387437 -0.2983539
Moved 3449.944 528.5 270.5 0.3900464 -0.302212
Moved 3449.975 530 270 0.3935185 -0.303498
Moved 3450.005 531.1478 270 0.3961754 -0.303498
Moved 3450.036 531 284.4685 0.3958333 -0.2662848
Moved 3450.067 518.9619 315.1144 0.3679673 -0.1874632
Moved 3450.097 506.621 345.0338 0.3394004 -0.1105099
Moved 3450.128 494.8204 378.4789 0.3120842 -0.02448839
Moved 3450.159 486 403 0.2916667 0.03858017
Moved 3450.19 474.1281 434.3977 0.2641855 0.1193355
Moved 3450.22 462.0889 460.8222 0.2363169 0.1872999
Moved 3450.251 453.7932 483.8849 0.2171138 0.2466177
Moved 3450.282 445.3221 502.1865 0.1975048 0.2936894
Moved 3450.313 436.1331 524.645 0.1762342 0.351453
Moved 3450.343 426.9022 544.895 0.1548661 0.4035363
Moved 3450.374 420.0894 561.7318 0.1390958 0.4468409
Moved 3450.405 415.2545 573.2366 0.1279038 0.4764314
Moved 3450.435 411.3837 586.4653 0.1189436 0.510456
Moved 3450.466 407.6404 598.4382 0.1102788 0.5412504
Moved 3450.497 406 608.304 0.1064815 0.5666253
Moved 3450.527 404.4878 614.0244 0.102981 0.5813382
Moved 3450.558 404 618.2751 0.1018518 0.5922713
Moved 3450.589 403 621.03 0.09953707 0.5993568
Ended 3450.619 403 621 0.09953707 0.5992797
Candidates 3450.742 13 want range grant frame rant teacher wave debt france warner wake randy wander
Began 3452.155 463 440 0.2384259 0.1337448
Stationary 3452.186 463 440 0.2384259 0.1337448
Moved 3452.216 453.308 455.2303 0.2159908 0.1729174
Moved 3452.247 441.3533 480.6815 0.1883178 0.2383783
Moved 3452.278 433.3623 500.8212 0.1698202 0.290178
Moved 3452.309 426.1295 521.0313 0.1530775 0.3421586
