I can still feel your presence
I can still feel your presence
Basic
Radial

0.6 0.6
432 388.8
Began 1795.264 402 534 0.09722222 0.3755144
Stationary 1795.295 402 534 0.09722222 0.3755144
Stationary 1795.326 402 534 0.09722222 0.3755144
Ended 1795.356 402 534 0.09722222 0.3755144
Candidates 1795.418 6 y u I t r o
Began 1796.278 357 414 -0.006944438 0.06687239
Moved 1796.309 345.0932 421.577 -0.03450647 0.08636063
Moved 1796.339 309.3073 449.2413 -0.1173441 0.1575134
Moved 1796.37 269.2739 477.8174 -0.2100141 0.2310117
Moved 1796.401 236.3239 506.16 -0.2862872 0.3039095
Moved 1796.431 211.236 529.764 -0.344361 0.3646192
Moved 1796.462 195.9387 544.0613 -0.3797715 0.4013921
Ended 1796.493 191 550 -0.3912037 0.4166666
Accept 1796.554 2 I
Began 1797.476 358 169 -0.004629641 -0.5632716
Stationary 1797.507 358 169 -0.004629641 -0.5632716
Moved 1797.537 347.6057 178.2394 -0.0286904 -0.5395077
Moved 1797.568 336.0025 194.197 -0.05554974 -0.4984645
Moved 1797.599 316.8428 215.8939 -0.09990101 -0.4426596
Moved 1797.629 295.7322 240.8776 -0.1487681 -0.3784014
Moved 1797.66 267.1873 271.3284 -0.2148443 -0.3000814
Moved 1797.691 238.9459 300.0541 -0.2802178 -0.2261983
Moved 1797.722 212.8401 324.2799 -0.3406478 -0.1638892
Moved 1797.752 190.2469 342.2524 -0.392947 -0.1176637
Moved 1797.783 170.9303 353.8418 -0.4376613 -0.08785554
Moved 1797.814 158.0705 359.3718 -0.4674293 -0.07363237
Moved 1797.844 145.818 364.0607 -0.4957918 -0.06157235
Moved 1797.875 139.1299 366.9351 -0.5112734 -0.05417945
Moved 1797.906 136.3934 369 -0.5176078 -0.04886839
Moved 1797.937 135 371.3472 -0.5208333 -0.0428312
Moved 1797.967 134 379.9043 -0.5231482 -0.02082236
Moved 1797.998 160.8582 404.7724 -0.4609763 0.04313885
Moved 1798.029 194.6693 425.9274 -0.38271 0.09754969
Moved 1798.059 236.1114 444.3505 -0.2867792 0.1449344
Moved 1798.09 276.4388 456.0244 -0.1934288 0.1749597
Moved 1798.121 306.9658 457 -0.1227643 0.1774691
Moved 1798.152 324.5627 457 -0.08203069 0.1774691
Moved 1798.182 341.8322 439.1678 -0.0420552 0.1316045
Moved 1798.213 359.0632 406.2946 -0.002168516 0.04705385
Moved 1798.244 370.084 366.6359 0.02334267 -0.05494883
Moved 1798.275 377.8121 322.1273 0.04123171 -0.1694258
