come and see our new car
come and see our new car
FixStart
Radial

0.6 0.6
432 388.8
Began 4244.59 365 528 0.01157403 0.3600822
Stationary 4244.621 365 528 0.01157403 0.3600822
Stationary 4244.651 365 528 0.01157403 0.3600822
Moved 4244.682 348.89 512.8743 -0.02571772 0.3211786
Moved 4244.713 322.8011 476.7215 -0.08610864 0.228193
Moved 4244.744 290.399 425.3317 -0.1611134 0.09601758
Moved 4244.774 272.4929 389.2369 -0.2025627 0.003181387
Moved 4244.805 263.4492 364.7488 -0.2234971 -0.0598026
Moved 4244.835 259.3299 349.3198 -0.2330326 -0.09948628
Moved 4244.866 257 341.4531 -0.2384259 -0.1197196
Moved 4244.897 255.5 338 -0.2418981 -0.1286009
Moved 4244.928 256 337.6255 -0.2407407 -0.1295641
Moved 4244.958 264.0273 349.2383 -0.2221589 -0.09969577
Moved 4244.989 316.0267 423.3708 -0.1017901 0.09097436
Moved 4245.02 385.5 508 0.05902777 0.3086419
Moved 4245.051 437.9976 561.7756 0.18055 0.4469537
Moved 4245.082 473.6886 593.6886 0.263168 0.5290343
Moved 4245.112 498.9206 615.0748 0.3215754 0.5840399
Moved 4245.143 510.1216 625.1216 0.3475036 0.6098805
Moved 4245.174 516.4888 629.2444 0.3622425 0.6204844
Moved 4245.205 519.1118 631 0.3683144 0.6249998
Stationary 4245.235 519 631 0.3680556 0.6249998
Moved 4245.266 519 610.0987 0.3680556 0.5712414
Moved 4245.297 498.5106 584.0212 0.3206264 0.5041697
Moved 4245.328 483.5991 543.0306 0.286109 0.3987412
Moved 4245.358 469.8278 505.1523 0.2542311 0.3013175
Moved 4245.389 451.0896 450.5722 0.2108555 0.1609367
Moved 4245.419 440.4339 407.1694 0.1861896 0.04930402
Moved 4245.45 434.2121 368.2728 0.1717873 -0.05073869
Moved 4245.481 431.1916 339.5327 0.1647953 -0.1246587
Moved 4245.512 427.4441 306.6647 0.1561207 -0.2091956
Moved 4245.542 427 283.7809 0.1550926 -0.2680533
Moved 4245.573 426 272.5 0.1527777 -0.297068
Moved 4245.604 421.8282 268.9141 0.1431208 -0.306291
Moved 4245.635 400.5095 285.2781 0.09377201 -0.2642024
Moved 4245.666 370.702 331.2767 0.02477318 -0.1458932
Moved 4245.696 343.5262 378.1459 -0.03813371 -0.02534505
Moved 4245.727 320.384 423.4629 -0.09170368 0.0912111
Moved 4245.758 298.3048 462.3904 -0.142813 0.1913334
Moved 4245.789 276.1211 505.778 -0.1941641 0.3029268
Moved 4245.819 255.7043 547.5914 -0.2414252 0.4104715
Moved 4245.85 244.6126 574.1216 -0.2671004 0.4787077
Moved 4245.88 230.7395 596.8907 -0.2992142 0.5372704
Moved 4245.911 222.5728 609.0453 -0.3181185 0.568532
Moved 4245.942 214.762 621.8569 -0.336199 0.6014838
Moved 4245.973 209.5105 629.9791 -0.3483554 0.622374
Moved 4246.003 206.6388 634.3612 -0.3550027 0.6336449
Moved 4246.034 205 637.8813 -0.3587963 0.6426986
Moved 4246.065 204 639.7466 -0.3611111 0.6474962
Moved 4246.096 204 642.5 -0.3611111 0.6545781
Ended 4246.126 204 643.0281 -0.3611111 0.6559364
Candidates 4246.28 13 china cover come congress comes concrete since choice zone chinese coins voice zones
Began 4247.356 380 446 0.04629632 0.1491768
Moved 4247.387 364.6072 459.0446 0.01066486 0.1827277
Moved 4247.417 333.0812 488.9188 -0.06231194 0.2595646
Moved 4247.448 303.3141 518.6859 -0.1312172 0.3361261
Moved 4247.479 281.3287 547.5616 -0.1821094 0.4103951
Moved 4247.509 266.7218 568.0978 -0.2159218 0.4632143
Moved 4247.54 256.963 583.395 -0.2385116 0.5025591
Moved 4247.571 251.7313 592.4031 -0.2506221 0.525728
Moved 4247.602 248.9453 598.1094 -0.2570711 0.5404046
Ended 4247.632 249 598 -0.2569445 0.5401233
Accept 4247.694 2 come
Began 4248.339 434 453 0.1712963 0.167181
Moved 4248.37 412.077 463.1099 0.1205486 0.1931837
Moved 4248.401 385.8635 470.1415 0.05986909 0.2112692
Moved 4248.432 363.2391 474.0845 0.007497967 0.2214108
Moved 4248.462 333.284 477.9763 -0.06184255 0.2314204
Moved 4248.493 304.5556 480.8444 -0.1283435 0.2387973
Moved 4248.523 276.5723 482.7142 -0.1931196 0.2436063
Moved 4248.554 255.9508 483 -0.2408547 0.2443414
Moved 4248.585 239.4851 484 -0.2789696 0.2469135
Moved 4248.616 228.0887 485 -0.3053501 0.2494856
Moved 4248.646 222.3552 486 -0.3186222 0.2520575
Moved 4248.677 219.5977 487.4023 -0.3250054 0.2556644
Moved 4248.708 219 488 -0.3263889 0.2572016
Moved 4248.739 230.5554 488 -0.2996404 0.2572016
Moved 4248.77 263.1664 472.9001 -0.2241518 0.2183646
Moved 4248.8 302.5 448.5 -0.1331019 0.1556069
Moved 4248.831 340.0043 427.0809 -0.04628638 0.1005166
Moved 4248.862 367.6771 407.2153 0.01777113 0.04942191
Moved 4248.893 395.9929 389.2043 0.08331687 0.00309744
Moved 4248.923 420.2786 372.0411 0.1395337 -0.04104669
Moved 4248.954 439.21 357.325 0.1833565 -0.07889665
Moved 4248.984 454.3457 343.7119 0.2183929 -0.1139097
Moved 4249.015 468.6255 331.3121 0.2514481 -0.1458023
Moved 4249.046 478.4356 322.5644 0.2741565 -0.1683014
Moved 4249.077 485.3562 316.6437 0.2901765 -0.1835295
Moved 4249.107 489.1922 312.8078 0.299056 -0.1933956
Moved 4249.138 492.0488 311 0.3056687 -0.1980453
Moved 4249.169 493.5 308.5 0.3090277 -0.2044754
Moved 4249.2 494.1755 307.8245 0.3105915 -0.2062129
Stationary 4249.23 494 308 0.3101851 -0.2057614
Moved 4249.261 480.8945 321.1055 0.2798483 -0.1720537
Moved 4249.292 453.9844 348.9141 0.2175564 -0.1005297
Moved 4249.323 421.6025 380.771 0.1425983 -0.01859319
Moved 4249.354 385 412 0.05787035 0.06172835
Moved 4249.384 347.9896 438.9167 -0.02780189 0.1309585
Moved 4249.415 320.9187 457.3875 -0.0904659 0.1784657
Moved 4249.446 307.3605 465.9116 -0.1218507 0.20039
Moved 4249.476 297.2024 473.1984 -0.1453649 0.2191317
Moved 4249.507 291.05 478.95 -0.1596065 0.2339249
Ended 4249.538 290 481 -0.162037 0.2391974
Candidates 4249.661 13 and fans hand hands sand anna gamma wanna adams dana grand send hamas
Began 4250.245 410.4731 508 0.1168358 0.3086419
Moved 4250.275 453.8865 508 0.2173299 0.3086419
Moved 4250.306 492.0141 515 0.3055881 0.326646
Moved 4250.337 522.4312 515 0.375998 0.326646
Moved 4250.368 547.751 515 0.4346089 0.326646
Moved 4250.398 563.2769 515 0.4705482 0.326646
Moved 4250.429 571.3853 515 0.4893179 0.326646
Moved 4250.46 575.6966 515 0.4992977 0.326646
Moved 4250.49 579.5676 515 0.5082582 0.326646
Ended 4250.521 583 515 0.5162038 0.326646
Accept 4250.583 0 and
Began 4251.443 444 450 0.1944444 0.1594649
Moved 4251.474 438.4336 450 0.1815592 0.1594649
Moved 4251.505 425.5497 450 0.1517355 0.1594649
Moved 4251.536 406.8337 459.0369 0.1084114 0.1827081
Moved 4251.566 378.0492 462.8951 0.04178057 0.1926313
Moved 4251.597 346.3739 465 -0.03154188 0.1980452
Moved 4251.627 323.5397 465.6372 -0.08439878 0.1996841
Moved 4251.658 308.3045 466 -0.1196656 0.2006171
Moved 4251.689 295.9684 466 -0.1482214 0.2006171
Moved 4251.72 289.2465 467 -0.1637813 0.2031892
Moved 4251.75 284 468.5 -0.1759259 0.2070472
Moved 4251.781 279.4226 468 -0.1865217 0.2057612
Moved 4251.812 276.8332 468 -0.1925159 0.2057612
Moved 4251.843 272.964 469 -0.2014722 0.2083333
Moved 4251.874 269.4483 469 -0.2096104 0.2083333
Moved 4251.904 265.5833 469 -0.2185572 0.2083333
Moved 4251.935 262.7099 470 -0.2252085 0.2109053
Moved 4251.966 259.8373 471 -0.2318581 0.2134772
Moved 4251.997 258.6833 472.3168 -0.2345295 0.2168641
Moved 4252.027 257.5 474.5 -0.2372685 0.2224794
Moved 4252.058 257 476.4673 -0.2384259 0.2275394
Moved 4252.089 256 477 -0.2407407 0.2289094
Moved 4252.119 256 479.8773 -0.2407407 0.2363097
Moved 4252.15 256 482.5 -0.2407407 0.2430555
Moved 4252.181 256 485.618 -0.2407407 0.251075
Moved 4252.211 256 491.3409 -0.2407407 0.2657943
Moved 4252.242 256 499.9484 -0.2407407 0.2879329
Moved 4252.273 266.5358 511.2263 -0.2163524 0.31694
Moved 4252.304 281 531 -0.1828704 0.3677982
Moved 4252.334 297.6176 553.1568 -0.1444037 0.4247859
Moved 4252.365 313.9021 568.7732 -0.1067082 0.4649515
Moved 4252.396 333.0351 586.0301 -0.06241883 0.5093365
Moved 4252.427 351.1539 600.6346 -0.02047718 0.5468997
Moved 4252.458 369.9134 616.5307 0.02294759 0.5877846
Moved 4252.488 384.0083 628.0083 0.05557487 0.6173052
Moved 4252.519 394.5178 636.3884 0.07990242 0.6388589
Moved 4252.55 400.3741 641.3741 0.0934585 0.6516821
Moved 4252.581 404.5552 645.5552 0.1031371 0.6624361
Moved 4252.611 408.8347 648.4174 0.1130432 0.6697976
Moved 4252.642 409.5 649.5 0.1145834 0.6725821
Moved 4252.672 411.3864 651.3864 0.11895 0.6774341
Moved 4252.703 412.374 652.374 0.121236 0.6799741
Moved 4252.734 413 653.1228 0.1226852 0.6819
Moved 4252.765 414 654.0547 0.125 0.684297
Ended 4252.795 414 654 0.125 0.6841563
Candidates 4252.918 13 are set sweet art at artery asset far gary see date sat we
Began 4254.24 328 496 -0.07407407 0.2777777
Stationary 4254.271 328 496 -0.07407407 0.2777777
Ended 4254.301 328 496 -0.07407407 0.2777777
NextCandidatePanel 4254.363
