electric cars need big fuel cells
electric cars need big fuel cells
Basic
List

0.6 0.6
432 388.8
Began 1374.5 455 435 0.2199073 0.1208847
Moved 1374.531 447.9283 435 0.2035377 0.1208847
Moved 1374.562 410 445.5 0.1157407 0.1478908
Moved 1374.593 376.9696 452.5478 0.03928145 0.1660179
Moved 1374.623 342.3662 464.8591 -0.0408189 0.1976829
Moved 1374.654 318.1932 473.4886 -0.0967749 0.219878
Moved 1374.685 304.1934 480.4033 -0.129182 0.2376628
Moved 1374.715 294 486.5 -0.1527778 0.2533436
Moved 1374.746 288.7718 489.1141 -0.1648802 0.2600672
Moved 1374.777 284.0262 493.9739 -0.1758654 0.2725665
Moved 1374.808 281.1415 496.8585 -0.1825428 0.2799858
Moved 1374.838 280 498.2619 -0.1851852 0.2835954
Moved 1374.869 280 499 -0.1851852 0.2854938
Moved 1374.9 296.5759 501 -0.146815 0.2906378
Moved 1374.931 357.3705 481.2332 -0.006086776 0.2397971
Moved 1374.961 432.6104 445.6338 0.1680795 0.1482349
Moved 1374.992 481.6119 412.9906 0.2815091 0.0642762
Moved 1375.023 510.6786 388.8571 0.3487931 0.00220444
Moved 1375.053 529.8369 369.3293 0.3931409 -0.04802139
Moved 1375.084 544.9398 353.4136 0.4281013 -0.08895677
Moved 1375.115 551.5163 342.9673 0.4433247 -0.1158248
Moved 1375.146 554.3904 338.6096 0.4499779 -0.1270331
Moved 1375.176 554 336.5 0.4490741 -0.1324588
Moved 1375.207 543.2551 336 0.4242015 -0.1337449
Moved 1375.238 505.7863 347.5438 0.3374682 -0.1040542
Moved 1375.269 459.5 363 0.2303241 -0.06430049
Moved 1375.299 409.9474 373.4321 0.1156189 -0.03746888
Moved 1375.33 366.3292 392.8244 0.01465102 0.01240836
Moved 1375.361 327.5812 414.1375 -0.07504348 0.06722599
Moved 1375.391 303.6511 427.566 -0.1304374 0.1017643
Moved 1375.422 275.1255 447.4058 -0.1964686 0.1527926
Moved 1375.453 254.249 464.6571 -0.2447939 0.1971632
Moved 1375.484 234.2345 480.799 -0.2911239 0.2386805
Moved 1375.514 217.8755 495.6037 -0.3289918 0.2767585
Moved 1375.545 204.0281 509.9719 -0.361046 0.3137135
Moved 1375.576 199.4941 515.5059 -0.3715414 0.3279471
Moved 1375.607 198 518.8255 -0.375 0.3364853
Moved 1375.637 197 521 -0.3773148 0.3420781
Moved 1375.668 197 522 -0.3773148 0.3446501
Moved 1375.699 197 523.3729 -0.3773148 0.3481813
Stationary 1375.73 197 523 -0.3773148 0.3472221
Moved 1375.76 222.3531 466.6232 -0.3186271 0.2022201
Moved 1375.791 248.6265 412.0437 -0.2578091 0.06184068
Moved 1375.822 268.5 359 -0.2118056 -0.07458848
Moved 1375.853 280.4143 323.6535 -0.1842261 -0.1655003
Moved 1375.883 288.9518 293.1448 -0.1644635 -0.2439693
Moved 1375.914 294.6969 268.3638 -0.1511645 -0.3077062
Moved 1375.945 298.2628 253.6863 -0.1429103 -0.3454572
Moved 1375.975 301 240.2941 -0.1365741 -0.3799021
Moved 1376.006 303 231.7899 -0.1319445 -0.4017749
Moved 1376.037 304.9654 224.0692 -0.1273948 -0.4216327
Moved 1376.068 306 218.9724 -0.125 -0.4347418
Moved 1376.098 306 215.6147 -0.125 -0.4433777
Moved 1376.129 307 214 -0.1226852 -0.4475308
Moved 1376.16 309.6685 214 -0.116508 -0.4475308
Moved 1376.191 324.5056 251.0111 -0.08216302 -0.3523377
Moved 1376.221 342.6094 293.7845 -0.04025599 -0.2423239
Moved 1376.252 358.9843 343.7467 -0.002351105 -0.1138203
Moved 1376.283 375.7653 395.3741 0.03649374 0.01896615
Moved 1376.313 390.4885 436.2949 0.07057517 0.1242153
Moved 1376.344 399.3886 464.9429 0.09117722 0.1978982
Moved 1376.375 404.5 489.5 0.1030092 0.2610596
Moved 1376.406 405 503.4388 0.1041667 0.2969104
Moved 1376.436 405 511.9476 0.1041667 0.3187951
Moved 1376.467 405 519.5007 0.1041667 0.338222
Moved 1376.498 405 525.7371 0.1041667 0.3542621
Moved 1376.529 392.3664 535.6335 0.07492225 0.3797158
Moved 1376.559 385.8341 542.1659 0.05980114 0.3965172
Moved 1376.59 380.0797 545.9601 0.04648079 0.406276
Moved 1376.621 372 548.5 0.02777775 0.4128085
Moved 1376.651 359.094 549 -0.002097289 0.4140946
Moved 1376.682 340.2241 549 -0.04577756 0.4140946
Moved 1376.713 324.2307 543.2307 -0.08279935 0.3992558
Moved 1376.744 296.5879 531.4352 -0.1467872 0.3689175
