is there any indication of this
is there any indication of this
Basic
List

0.6 0.6
432 388.8
Began 1494.324 432 447 0.1666667 0.1517489
Stationary 1494.354 432 447 0.1666667 0.1517489
Stationary 1494.385 432 447 0.1666667 0.1517489
Moved 1494.416 432 462 0.1666667 0.1903292
Moved 1494.447 432 464.8641 0.1666667 0.1976956
Moved 1494.477 432 472.9174 0.1666667 0.2184089
Moved 1494.508 432 482.712 0.1666667 0.2436007
Moved 1494.539 432 491.0442 0.1666667 0.2650313
Moved 1494.569 432 497.5499 0.1666667 0.2817641
Moved 1494.6 432 502.8451 0.1666667 0.2953833
Moved 1494.631 432 507.5847 0.1666667 0.3075738
Moved 1494.662 437.8129 510.8304 0.1801225 0.3159219
Moved 1494.692 441.705 514.705 0.1891319 0.3258873
Moved 1494.723 443.5812 518.5812 0.193475 0.3358569
Moved 1494.754 446.0729 521.0729 0.1992428 0.3422656
Moved 1494.785 448 523.9753 0.2037037 0.3497307
Moved 1494.815 449 525.8485 0.2060185 0.3545485
Moved 1494.846 449 527.714 0.2060185 0.3593466
Moved 1494.877 449 529.1224 0.2060185 0.3629691
Stationary 1494.907 449 529.1224 0.2060185 0.3629691
Stationary 1494.938 449 529 0.2060185 0.3626543
Moved 1494.969 444.2609 529 0.1950484 0.3626543
Moved 1495 424.4647 512.7904 0.1492237 0.3209629
Moved 1495.03 390.117 491.7349 0.06971537 0.2668078
Moved 1495.061 355.7998 473.8999 -0.00972276 0.2209359
Moved 1495.092 330.0927 462.5463 -0.0692299 0.1917343
Moved 1495.123 306.4236 452.3271 -0.1240195 0.1654502
Moved 1495.153 284.5124 445.1281 -0.1747397 0.1469343
Moved 1495.184 267.1544 436.0772 -0.2149203 0.1236553
Moved 1495.215 249.8645 429.2881 -0.2549434 0.1061937
Moved 1495.246 233.6329 421.5443 -0.2925164 0.08627644
Moved 1495.276 219.9842 414.7937 -0.3241105 0.06891376
Moved 1495.307 210.7336 409.8224 -0.345524 0.0561277
Moved 1495.338 201.0319 405.0106 -0.3679816 0.04375152
Moved 1495.369 196.1392 402 -0.3793073 0.03600815
Moved 1495.399 193.2636 400 -0.3859639 0.03086416
Moved 1495.43 189.7027 397.7027 -0.3942067 0.0249555
Moved 1495.461 187.9138 397 -0.3983476 0.02314815
Ended 1495.491 188 396 -0.3981482 0.02057605
Candidates 1495.614 13 is us its his usa hits id ita oa pa kids lisa pass
Began 1496.198 434 463 0.1712963 0.1929011
