are you sure you want this
are you sure you want this
FixStart
List

0.6 0.6
432 388.8
Began 2990.164 367 405 0.01620372 0.04372424
Stationary 2990.195 367 405 0.01620372 0.04372424
Moved 2990.225 357.1652 405 -0.006561975 0.04372424
Moved 2990.256 325.1121 405 -0.08075903 0.04372424
Moved 2990.287 286.8654 399.1143 -0.1692932 0.02858613
Moved 2990.318 254.5509 396.2834 -0.2440951 0.02130512
Moved 2990.348 237.0964 395 -0.2844992 0.01800408
Moved 2990.379 223.763 395 -0.3153634 0.01800408
Moved 2990.41 219.983 395 -0.3241135 0.01800408
Moved 2990.44 218 395 -0.3287037 0.01800408
Moved 2990.471 217 404.2345 -0.3310185 0.04175535
Moved 2990.502 217 415.0319 -0.3310185 0.06952651
Moved 2990.533 238.8602 435.1469 -0.2804163 0.1212625
Moved 2990.563 260.0978 456.0978 -0.231255 0.1751487
Moved 2990.594 284.0255 476.2692 -0.1758668 0.2270296
Moved 2990.625 311.1859 500.8054 -0.1129956 0.2901372
Moved 2990.656 333.071 515.2944 -0.06233578 0.3274032
Moved 2990.686 353.9155 528.4578 -0.01408443 0.3612596
Moved 2990.717 372.9214 536.2205 0.0299107 0.3812255
Moved 2990.748 388.6296 543.0518 0.06627221 0.3987958
Moved 2990.779 400.59 547.795 0.09395827 0.4109952
Moved 2990.809 408.5318 550.2659 0.1123421 0.4173504
Moved 2990.84 411.7842 551.7842 0.1198709 0.4212556
Moved 2990.871 412 553.6517 0.1203704 0.4260589
Moved 2990.901 397.3083 556 0.08636167 0.4320986
Moved 2990.932 387.217 557.3976 0.06300231 0.4356933
Moved 2990.963 371.3016 557 0.02616107 0.4346707
Moved 2990.994 347.2039 557 -0.02962063 0.4346707
Moved 2991.024 327.8376 547.3063 -0.07444988 0.4097383
Moved 2991.055 310.8169 542.662 -0.1138498 0.3977931
Moved 2991.086 292.5571 536.8228 -0.1561179 0.3827746
Moved 2991.116 278.1533 533.0613 -0.18946 0.3731
Moved 2991.147 267.6565 531.1641 -0.2137581 0.3682204
Moved 2991.178 259.9489 530 -0.2315997 0.3652262
Moved 2991.208 253.5888 527.7944 -0.2463221 0.3595535
Moved 2991.24 248.9252 526.9252 -0.2571176 0.3573177
Moved 2991.27 243.5814 527 -0.2694875 0.3575102
Moved 2991.301 240.514 527 -0.2765878 0.3575102
Ended 2991.332 241 527 -0.275463 0.3575102
Candidates 2991.455 13 site date sure after sue air street suite store due stir days featured
Began 2993.237 516 438 0.3611111 0.1286007
Moved 2993.268 461.1436 438 0.2341286 0.1286007
Moved 2993.298 375.4352 426.0161 0.03572961 0.09777802
Moved 2993.329 309 425 -0.1180555 0.09516452
Moved 2993.36 216.4924 434.6269 -0.3321934 0.1199251
Moved 2993.391 157.4481 439.5047 -0.4688702 0.1324708
Moved 2993.421 112.1639 447 -0.5736946 0.1517489
Moved 2993.452 84.86176 449 -0.636894 0.156893
Moved 2993.483 63.5 449 -0.6863426 0.156893
Moved 2993.513 53.83698 449 -0.7087107 0.156893
Moved 2993.544 46.21571 449 -0.7263525 0.156893
Ended 2993.575 46.21571 449 -0.7263525 0.156893
Accept 2993.636 0 site
Delete 2993.636 LeftSwipe
Began 2993.944 449 434 0.2060185 0.1183127
Moved 2993.974 405.7116 434 0.1058139 0.1183127
Moved 2994.005 356.4027 438.2727 -0.008327067 0.1293021
Moved 2994.036 318.9067 444.1562 -0.0951233 0.1444346
Moved 2994.067 280.148 447.9753 -0.1848425 0.1542575
Moved 2994.097 256.8774 449 -0.2387097 0.156893
Moved 2994.128 242.3632 450 -0.2723074 0.1594649
Moved 2994.159 230.9133 452.2717 -0.2988118 0.1653077
Moved 2994.189 222.7385 454.1307 -0.317735 0.1700893
Moved 2994.22 220.0073 455 -0.3240571 0.172325
Moved 2994.251 220 458.2719 -0.3240741 0.1807403
Moved 2994.282 231.115 464.7433 -0.2983449 0.1973851
Moved 2994.313 256.4576 475.983 -0.2396815 0.2262938
Moved 2994.343 288.5095 487.4645 -0.1654873 0.2558242
Moved 2994.374 318.7956 498.7183 -0.09538049 0.2847691
Moved 2994.405 341.398 509.199 -0.04306024 0.3117257
Moved 2994.435 359.513 516.8376 -0.001127223 0.3313725
Moved 2994.466 376.7495 524.5832 0.03877193 0.3512942
Moved 2994.497 388.2988 528.8247 0.0655065 0.3622033
