this is too much to handle
this is too much to handle
Basic
Radial

0.6 0.6
432 388.8
Began 900.5822 215 568 -0.3356481 0.4629629
Moved 900.6128 243.0534 556.9466 -0.2707098 0.4345333
Moved 900.6437 293.0543 532.869 -0.154967 0.3726054
Moved 900.6744 334.8477 506.4348 -0.05822281 0.3046162
Moved 900.7051 369.9675 480.426 0.02307286 0.2377212
Moved 900.7358 393.4873 457.5127 0.07751693 0.1787877
Moved 900.7665 407.7218 442.2782 0.1104671 0.1396044
Moved 900.7972 416.3858 432.1522 0.1305227 0.1135602
Moved 900.828 421.6695 426.6652 0.1427535 0.09944755
Moved 900.8587 422 423.7816 0.1435185 0.09203067
Stationary 900.8895 422 424 0.1435185 0.09259254
Moved 900.9202 391.8065 445.5395 0.07362624 0.1479924
Moved 900.9509 362.3608 468.1237 0.005464851 0.2060794
Moved 900.9816 341.6089 488.7896 -0.04257187 0.2592323
Moved 901.0123 322.5683 504.5027 -0.08664738 0.2996467
Moved 901.0431 304.368 518.0228 -0.1287777 0.3344208
Moved 901.0738 290.3193 528.0105 -0.1612979 0.3601092
Moved 901.1046 277.5 535.5 -0.1909722 0.3793723
Moved 901.1353 269.8871 539.0376 -0.2085945 0.3884711
Moved 901.166 265.1018 542.8982 -0.2196717 0.3984006
Moved 901.1967 260.4585 544.7708 -0.2304202 0.4032168
Moved 901.2275 257.7633 546 -0.236659 0.4063785
Moved 901.2582 257 548.187 -0.2384259 0.4120034
Moved 901.2889 254.9711 549.0289 -0.2431226 0.414169
Stationary 901.3197 254.9711 549.0289 -0.2431226 0.414169
Moved 901.3504 253.7511 550.249 -0.2459466 0.4173069
Moved 901.3811 252.8281 550 -0.2480831 0.4166666
Moved 901.4119 253 551 -0.2476852 0.4192385
Ended 901.4426 253 551 -0.2476852 0.4192385
Candidates 901.5347 13 the write where eye true quote wire quite writer white there wow t
Began 902.1186 382 419 0.05092591 0.07973251
Moved 902.1494 372.3629 419 0.02861778 0.07973251
Moved 902.1801 336.0815 419 -0.05536696 0.07973251
Moved 902.2108 305.0257 419 -0.1272553 0.07973251
Moved 902.2415 273.2639 419 -0.2007779 0.07973251
Moved 902.2723 246.8312 419 -0.2619648 0.07973251
Ended 902.3029 245 419 -0.2662037 0.07973251
Cancel 902.3644
Began 902.6102 296 390 -0.1481481 0.005143954
Stationary 902.6411 296 390 -0.1481481 0.005143954
Stationary 902.6717 296 390 -0.1481481 0.005143954
Moved 902.7024 311.8233 390 -0.11152 0.005143954
Moved 902.7331 323.3802 390 -0.08476794 0.005143954
Moved 902.7639 337.7642 390 -0.05147184 0.005143954
Moved 902.7946 352.0692 398.2139 -0.01835838 0.02627023
Moved 902.8253 366.0878 401.8176 0.01409203 0.03553889
Moved 902.8561 376.9358 404.6453 0.03920326 0.04281185
Moved 902.8867 385.5496 408.5165 0.05914251 0.0527688
Moved 902.9175 390.3889 410 0.0703446 0.05658428
Moved 902.9482 393.9087 411.9087 0.07849236 0.06149347
Moved 902.9789 396.7798 413 0.08513848 0.06430033
Moved 903.0097 401.296 414 0.09559254 0.06687239
Moved 903.0405 407.5 414 0.1099537 0.06687239
Moved 903.0712 412.1388 415 0.1206918 0.06944436
Moved 903.1019 415.8876 415 0.1293695 0.06944436
Moved 903.1326 419.6401 408.4396 0.1380558 0.05257085
Moved 903.1633 423.5399 402.46 0.1470832 0.03719137
Moved 903.1941 425 398.7722 0.150463 0.0277062
Ended 903.2248 425 397.5 0.150463 0.02443408
Candidates 903.317 13 g dh all h ask f dl shy al why by th sky
Backspace 904.2696
Began 905.0377 300 650 -0.1388889 0.6738682
Stationary 905.0684 300 650 -0.1388889 0.6738682
Stationary 905.0992 300 650 -0.1388889 0.6738682
Moved 905.1299 309.7812 625.4376 -0.1162472 0.6106934
Moved 905.1606 317.2834 607.2444 -0.09888113 0.5639001
Moved 905.1914 324.9308 585.277 -0.08117879 0.5073997
Moved 905.2222 329.6696 569.1563 -0.07020916 0.4659368
Moved 905.2529 333.5 555.5 -0.06134262 0.4308127
Moved 905.2836 337.2582 546.2254 -0.05264312 0.4069582
Moved 905.3143 341.1301 536.6097 -0.04368032 0.3822264
Moved 905.345 343.0014 527.9958 -0.03934865 0.3600715
Moved 905.3757 345.8715 520.8214 -0.03270497 0.3416186
Moved 905.4065 351.7968 503.4064 -0.01898885 0.296827
Moved 905.4373 356.5278 491.9445 -0.008037588 0.2673468
Moved 905.468 364.4228 468.9429 0.01023799 0.2081865
Moved 905.4987 368.1269 459.7463 0.01881222 0.1845326
Moved 905.5294 377.7142 441.5715 0.04100522 0.1377868
Moved 905.5601 387.3529 421.8432 0.06331693 0.08704515
Moved 905.5909 394.9757 406.0607 0.08096237 0.04645234
Moved 905.6216 400.8669 394.5326 0.09459922 0.01680186
Moved 905.6523 405.4845 386.7733 0.1052881 -0.003155131
Moved 905.683 407.6146 383.3854 0.110219 -0.01186889
Moved 905.7136 409.1232 382 0.1137112 -0.01543218
Moved 905.7445 412.9562 382 0.1225837 -0.01543218
Moved 905.7753 424.2758 402.8414 0.1487867 0.03817221
Moved 905.806 437.5 427.5 0.1793981 0.1015946
Moved 905.8367 450.1609 449.3218 0.2087059 0.1577207
Moved 905.8674 459.3158 464.7895 0.2298977 0.1975038
Moved 905.8981 468.0637 477.1273 0.2501474 0.2292368
Moved 905.9289 474.6037 484.6036 0.2652863 0.2484661
Moved 905.9596 481.8116 492.8116 0.2819713 0.2695772
Moved 905.9904 484.2783 496.2783 0.2876811 0.2784934
Moved 906.0211 487.1471 499.147 0.2943219 0.2858719
Moved 906.0518 487 500.3143 0.2939814 0.288874
Moved 906.0825 487 501.0811 0.2939814 0.2908464
Stationary 906.1132 487 501.0811 0.2939814 0.2908464
Moved 906.144 476.9622 501 0.2707458 0.2906378
Moved 906.1747 456.0374 490.3458 0.2223088 0.2632351
Moved 906.2054 433.9706 481.739 0.1712283 0.2410981
Moved 906.2361 410.9995 470.4997 0.1180542 0.2121905
Moved 906.2669 389.8448 460.3582 0.06908516 0.1861064
Moved 906.2976 368.0357 446.0223 0.01860112 0.1492341
Moved 906.3284 347.8836 436.5049 -0.02804727 0.1247554
Moved 906.3591 327.5 425 -0.07523149 0.09516452
Moved 906.3898 307.9722 411.5516 -0.1204348 0.060575
Moved 906.4205 291.2008 401.3607 -0.1592573 0.03436375
Moved 906.4512 278.9121 392.9341 -0.1877035 0.01269046
Moved 906.482 268.3781 386.3781 -0.2120878 -0.004171756
Moved 906.5127 256.3133 378.7349 -0.2400156 -0.02383
Moved 906.5434 248.1613 374.4409 -0.2588859 -0.03487442
Moved 906.5742 238.4052 369.8513 -0.2814695 -0.04667878
Ended 906.6049 233 367 -0.2939815 -0.05401234
