the five boxing wizards jump quickly
the five boxing wizards jump quickly
FixStart
Radial

0.6 0.6
432 388.8
Began 2580.721 443 275 0.1921296 -0.2906379
Stationary 2580.752 443 275 0.1921296 -0.2906379
Stationary 2580.782 443 275 0.1921296 -0.2906379
Moved 2580.813 443 307.4008 0.1921296 -0.2073025
Moved 2580.844 432.8425 340.9449 0.1686169 -0.1210264
Moved 2580.875 424.1076 374.1233 0.1483973 -0.03569112
Moved 2580.906 417.3578 392.9265 0.1327728 0.01267084
Moved 2580.936 413.1649 403.6703 0.1230668 0.04030412
Moved 2580.967 408.4739 413.0522 0.112208 0.06443474
Moved 2580.998 403.7473 421.8792 0.1012668 0.08713769
Moved 2581.028 400.503 427.994 0.09375691 0.1028652
Moved 2581.059 399 432.0378 0.09027779 0.113266
Moved 2581.09 397.5334 433.4666 0.08688291 0.1169408
Moved 2581.121 395.6255 435.3745 0.08246651 0.1218478
Stationary 2581.151 395.6255 435.3745 0.08246651 0.1218478
Stationary 2581.182 395.6255 435.3745 0.08246651 0.1218478
Moved 2581.213 405.3841 413.6586 0.1050557 0.06599438
Moved 2581.243 417.5226 389.0502 0.1331542 0.002701135
Moved 2581.274 429.7072 363.0369 0.1613591 -0.06420551
Moved 2581.305 443.3636 335.2728 0.1929713 -0.1356155
Moved 2581.336 455.8477 307.8807 0.2218697 -0.2060681
Moved 2581.366 462.1623 289.5942 0.2364868 -0.2531013
Moved 2581.397 465.5983 278.6069 0.2444404 -0.2813608
Moved 2581.428 468.9135 269.173 0.2521146 -0.3056251
Moved 2581.458 469 265 0.2523148 -0.3163581
Stationary 2581.489 469 265 0.2523148 -0.3163581
Moved 2581.52 463.4913 265 0.2395632 -0.3163581
Moved 2581.551 448.3341 271.6656 0.2044771 -0.2992141
Moved 2581.581 426.6281 290.2789 0.1542318 -0.2513403
Moved 2581.612 406.3567 306.5629 0.107307 -0.2094576
Moved 2581.643 389.2327 322.7285 0.06766826 -0.1678795
Moved 2581.674 372.8194 339.1806 0.02967457 -0.1255644
Moved 2581.704 361 351 0.002314846 -0.09516476
Moved 2581.735 344.9641 366.0359 -0.03480539 -0.05649213
Moved 2581.766 332.6658 377.3342 -0.06327356 -0.02743278
Moved 2581.797 322.1811 387.819 -0.08754382 -0.0004656128
Moved 2581.827 311.9725 396.5206 -0.1111748 0.02191512
Moved 2581.858 300.7168 405.5222 -0.1372297 0.04506723
Moved 2581.889 297.4657 408.5344 -0.1447554 0.05281464
Moved 2581.919 292.7625 412.1188 -0.1556425 0.06203377
Moved 2581.95 290.3512 414.6488 -0.1612242 0.06854112
Ended 2581.981 289 416 -0.1643519 0.07201634
Candidates 2582.073 13 the there further where these refer e huge tiger he threw use re
Began 2582.503 303 326 -0.1319445 -0.1594652
Stationary 2582.534 303 326 -0.1319445 -0.1594652
Stationary 2582.565 303 326 -0.1319445 -0.1594652
Stationary 2582.595 303 326 -0.1319445 -0.1594652
Moved 2582.626 321.6023 326 -0.08888365 -0.1594652
Moved 2582.657 336.9468 326 -0.05336394 -0.1594652
Moved 2582.688 352.1719 326 -0.01812051 -0.1594652
Moved 2582.718 364.4628 334.2925 0.01033058 -0.1381366
Moved 2582.749 376.7906 336.2635 0.03886709 -0.1330671
Moved 2582.78 385.2565 337 0.05846401 -0.1311728
Moved 2582.811 389.0081 338 0.06714851 -0.1286009
Moved 2582.841 392 338 0.07407407 -0.1286009
Moved 2582.872 393 338 0.07638891 -0.1286009
Ended 2582.903 393 338 0.07638891 -0.1286009
Accept 2582.964 0 the
Began 2583.148 398 302 0.08796295 -0.2211935
Stationary 2583.179 398 302 0.08796295 -0.2211935
Stationary 2583.21 398 302 0.08796295 -0.2211935
Stationary 2583.241 398 302 0.08796295 -0.2211935
Moved 2583.271 385.8794 302 0.05990595 -0.2211935
Moved 2583.302 371.3637 302 0.02630492 -0.2211935
Moved 2583.333 356.4187 302 -0.008289963 -0.2211935
Moved 2583.364 343.3041 302 -0.0386479 -0.2211935
Moved 2583.394 332.0208 302 -0.06476656 -0.2211935
Moved 2583.425 323.8652 302 -0.08364538 -0.2211935
Moved 2583.456 315.1724 302 -0.1037676 -0.2211935
Moved 2583.487 308.5 302 -0.119213 -0.2211935
Moved 2583.517 304.2228 302 -0.1291138 -0.2211935
Moved 2583.548 303 302 -0.1319445 -0.2211935
Moved 2583.579 301.6239 302 -0.1351298 -0.2211935
Moved 2583.609 302 311.0307 -0.1342593 -0.1979664
Moved 2583.64 327.0534 331.5031 -0.07626534 -0.1453111
Moved 2583.671 364.5308 362.2545 0.01048803 -0.06621804
Moved 2583.701 400.6366 391.7275 0.09406626 0.009587095
Moved 2583.732 424.6448 408.032 0.1496407 0.05152255
Moved 2583.763 444.7046 422.3604 0.1960753 0.08837546
Moved 2583.794 463.2146 435.1431 0.2389227 0.1212527
Moved 2583.824 474.2747 444.2061 0.2645249 0.1445628
Moved 2583.855 482.9245 449.9623 0.2845475 0.1593679
Moved 2583.886 487.8447 453 0.2959368 0.167181
Moved 2583.917 490.7066 455 0.3025615 0.172325
Moved 2583.947 493.2289 455 0.3084001 0.172325
Moved 2583.978 494.3756 455 0.3110546 0.172325
Moved 2584.009 496.9652 438.2432 0.3170491 0.1292263
Moved 2584.04 497 411.2236 0.3171296 0.05973129
Moved 2584.07 467.4919 303.0862 0.248824 -0.2183996
Moved 2584.101 449.4279 250.9978 0.2070091 -0.3523719
Moved 2584.132 443.843 232.0577 0.1940809 -0.4010862
Moved 2584.162 437.9283 216.8566 0.1803896 -0.4401837
Moved 2584.193 430.8409 202.6818 0.1639836 -0.4766416
Moved 2584.224 425.0897 192.6345 0.1506706 -0.5024832
Moved 2584.254 418.3592 185.3591 0.1350906 -0.5211957
Moved 2584.285 411.526 181.3507 0.1192733 -0.5315053
Moved 2584.316 402.9193 177.3064 0.09935022 -0.5419074
Moved 2584.347 395.8663 174.4331 0.08302381 -0.5492976
Moved 2584.377 385.3143 171 0.05859782 -0.5581277
Moved 2584.408 382.0052 170.0026 0.05093803 -0.5606931
Moved 2584.439 375.264 167.132 0.03533334 -0.5680763
Moved 2584.47 369.2653 166 0.02144734 -0.5709877
Moved 2584.5 363.5049 166 0.008113285 -0.5709877
Moved 2584.531 350.2974 180.5223 -0.02245983 -0.533636
Moved 2584.562 329.9293 220.2004 -0.06960819 -0.4315833
Moved 2584.593 316.6403 261.751 -0.1003697 -0.3247145
Moved 2584.623 303.7818 303.0984 -0.1301348 -0.2183684
Moved 2584.654 291.6689 337.3276 -0.1581737 -0.1303301
Moved 2584.685 278.2037 374.389 -0.1893433 -0.03500785
Moved 2584.715 269.7853 398.9059 -0.2088303 0.02805003
Moved 2584.746 261.7953 417.0117 -0.2273256 0.07461834
Moved 2584.777 256.0559 431.8881 -0.2406112 0.1128809
Moved 2584.808 251.6595 445.7025 -0.2507882 0.1484118
Moved 2584.838 249.1513 453.546 -0.2565942 0.1685854
Moved 2584.869 247 461.1656 -0.2615741 0.188183
Moved 2584.9 246 466.1762 -0.2638889 0.2010704
Moved 2584.93 245 470.1928 -0.2662037 0.2114011
Moved 2584.961 245 472.0002 -0.2662037 0.2160499
Ended 2584.992 245 473.4345 -0.2662037 0.2197389
Candidates 2585.146 13 drove driver drive five derive river silver dive size soccer arrive summer fiber
Began 2585.361 217 337 -0.3310185 -0.1311728
Stationary 2585.391 217 337 -0.3310185 -0.1311728
Stationary 2585.422 217 337 -0.3310185 -0.1311728
Stationary 2585.453 217 337 -0.3310185 -0.1311728
Moved 2585.484 237.4583 344.6416 -0.2836614 -0.1115185
Moved 2585.514 254.7595 347.9198 -0.2436123 -0.103087
Moved 2585.545 269.175 350 -0.2102431 -0.09773669
Moved 2585.576 277.9207 351 -0.1899985 -0.09516476
Moved 2585.606 285.5461 352 -0.172347 -0.09259266
Moved 2585.637 289.1455 352 -0.164015 -0.09259266
Moved 2585.668 292.0224 353 -0.1573556 -0.09002065
Moved 2585.699 294.5589 353 -0.151484 -0.09002065
Moved 2585.729 296 354.4326 -0.1481481 -0.08633593
Moved 2585.76 298.5 354 -0.1423611 -0.08744855
Moved 2585.791 300.8603 355.8603 -0.1368975 -0.08266393
Moved 2585.822 302.6846 357.6846 -0.1326745 -0.0779717
Moved 2585.852 305.5651 359 -0.1260067 -0.07458848
Moved 2585.883 307.427 361.427 -0.1216967 -0.06834619
Moved 2585.914 308 361.9778 -0.1203704 -0.06692941
Stationary 2585.944 308 362 -0.1203704 -0.06687243
Moved 2585.975 308 363.2412 -0.1203704 -0.06368009
Stationary 2586.006 308 363.2412 -0.1203704 -0.06368009
Moved 2586.037 308 364 -0.1203704 -0.06172839
Moved 2586.067 308 365.3729 -0.1203704 -0.05819744
Moved 2586.098 301.0864 366 -0.1363741 -0.05658444
Moved 2586.129 296.6714 366 -0.146594 -0.05658444
Moved 2586.159 291.6886 366 -0.1581282 -0.05658444
Moved 2586.19 288.8235 366 -0.1647604 -0.05658444
Moved 2586.221 283.8978 366 -0.1761625 -0.05658444
Moved 2586.252 278.8187 355.8187 -0.1879197 -0.08277092
Moved 2586.282 273.0853 346.6279 -0.2011915 -0.1064098
Moved 2586.313 268.3312 337.9968 -0.2121964 -0.1286092
Moved 2586.344 266.1244 328.4975 -0.2173047 -0.1530414
Moved 2586.375 265 314.479 -0.2199074 -0.1890973
Moved 2586.405 265 300.0977 -0.2199074 -0.2260863
Moved 2586.436 278.1026 284.7208 -0.1895773 -0.265636
Moved 2586.467 283.9637 273.0453 -0.1760099 -0.2956653
Moved 2586.498 292.5992 262.5344 -0.1560203 -0.3226997
Moved 2586.528 299.468 253.532 -0.1401203 -0.345854
Moved 2586.559 305 246.5 -0.1273148 -0.3639403
Moved 2586.59 309.1241 242.7518 -0.1177684 -0.3735807
Moved 2586.62 312.9977 239.0023 -0.1088017 -0.3832245
Moved 2586.651 315.8718 236.1282 -0.1021487 -0.3906169
Moved 2586.682 317.3045 233.391 -0.0988321 -0.3976569
Moved 2586.713 319.3107 232 -0.09418811 -0.4012346
Ended 2586.743 320.5 230.5 -0.09143516 -0.4050927
Accept 2586.805 3 five
Began 2587.266 306 271 -0.125 -0.300926
Stationary 2587.296 306 271 -0.125 -0.300926
Stationary 2587.327 306 271 -0.125 -0.300926
Stationary 2587.358 306 271 -0.125 -0.300926
Stationary 2587.388 306 271 -0.125 -0.300926
Stationary 2587.419 306 271 -0.125 -0.300926
Moved 2587.45 306 283.6899 -0.125 -0.2682872
Moved 2587.481 316.5334 294.0668 -0.1006172 -0.2415979
Moved 2587.511 320.5487 303.646 -0.09132252 -0.2169599
Moved 2587.542 323.4229 310.8459 -0.08466909 -0.1984417
Moved 2587.573 326.2886 315.2886 -0.07803568 -0.1870151
Moved 2587.604 328.8394 319.8394 -0.07213105 -0.1753102
Moved 2587.634 334.434 326.434 -0.05918051 -0.1583487
Moved 2587.665 341.1694 333.754 -0.04358942 -0.1395215
Moved 2587.696 347.9318 339.9318 -0.02793575 -0.1236324
Moved 2587.727 350.9771 342 -0.02088631 -0.1183128
Moved 2587.757 354.5 344 -0.0127315 -0.1131688
Moved 2587.788 354.7288 344 -0.01220181 -0.1131688
Moved 2587.819 356.2366 344 -0.008711617 -0.1131688
Moved 2587.849 357 329.1401 -0.006944438 -0.1513886
Moved 2587.88 357 303.5067 -0.006944438 -0.2173182
Moved 2587.911 357 283.5736 -0.006944438 -0.2685864
Moved 2587.942 348.5399 261.399 -0.02652799 -0.3256198
Moved 2587.972 344.6611 242.6277 -0.03550668 -0.3739
Moved 2588.003 342.7964 227.7786 -0.03982311 -0.4120922
