the collapse of the Roman empire
the collapse of the Roman empire
Basic
List

0.6 0.6
432 388.8
Began 1280.385 382 526 0.05092591 0.3549381
Stationary 1280.416 382 526 0.05092591 0.3549381
Moved 1280.446 382 516.3015 0.05092591 0.3299935
Moved 1280.477 373.158 487.737 0.03045827 0.2565252
Moved 1280.508 370.3247 462.2731 0.02389987 0.1910317
Moved 1280.539 369 441.706 0.02083332 0.1381327
Moved 1280.569 369 428.7344 0.02083332 0.1047696
Moved 1280.6 369 420.0976 0.02083332 0.08255542
Moved 1280.631 369 412.5257 0.02083332 0.06308049
Moved 1280.662 377.3856 406.6144 0.04024446 0.04787661
Moved 1280.692 382.1266 399.8734 0.05121887 0.03053861
Moved 1280.723 387.212 394.8586 0.06299078 0.01764046
Moved 1280.754 392.8769 389.1232 0.07610381 0.00288873
Moved 1280.785 400.4337 383.3775 0.09359658 -0.01188922
Moved 1280.815 406 378.5 0.1064815 -0.02443423
Moved 1280.846 412.4626 372.5374 0.1214413 -0.03977026
Moved 1280.877 416.1036 368.7928 0.1298695 -0.04940127
Moved 1280.907 419.9702 366.0298 0.1388198 -0.05650759
Moved 1280.938 422.3598 364.6402 0.1443514 -0.06008187
Moved 1280.969 423.5 365 0.1469907 -0.05915646
Moved 1281 423 365 0.1458333 -0.05915646
Stationary 1281.03 423 365 0.1458333 -0.05915646
Moved 1281.061 405.6136 380.3864 0.1055871 -0.01958227
Moved 1281.092 390.2624 394.1901 0.07005185 0.01592087
Moved 1281.123 372.4918 408.0902 0.0289161 0.05167231
Moved 1281.153 356.2338 421.7996 -0.008718123 0.08693314
Moved 1281.184 334.1691 441.1649 -0.05979369 0.136741
Moved 1281.215 314.113 455.4907 -0.1062198 0.173587
Moved 1281.246 297.6015 468.3986 -0.144441 0.2067863
Moved 1281.276 284.7108 479.2891 -0.1742804 0.2347971
Moved 1281.307 271.2352 488.8236 -0.2054742 0.2593199
Moved 1281.338 261.5587 495.6275 -0.2278733 0.2768196
Moved 1281.369 253.5 503.5 -0.2465278 0.2970678
Moved 1281.399 248.7682 507.2318 -0.257481 0.3066661
Moved 1281.43 245.8965 510.1035 -0.2641285 0.3140522
Moved 1281.461 244.5 511.5 -0.2673611 0.317644
Moved 1281.491 243.5889 512 -0.2694702 0.31893
Ended 1281.522 244 513.3197 -0.2685185 0.3223242
Candidates 1281.645 13 the there she where other he this threw thus others tiger enter that
Began 1282.844 354 271 -0.01388888 -0.300926
Stationary 1282.875 354 271 -0.01388888 -0.300926
Stationary 1282.905 354 271 -0.01388888 -0.300926
Stationary 1282.936 354 271 -0.01388888 -0.300926
Stationary 1282.967 354 271 -0.01388888 -0.300926
Moved 1282.997 354 285.3054 -0.01388888 -0.2641324
Moved 1283.028 370.0227 307.0455 0.02320081 -0.2082164
Moved 1283.059 385.9433 336.0979 0.06005396 -0.1334931
Moved 1283.09 400.3224 360.9802 0.09333879 -0.06949538
Moved 1283.12 415.1804 384.2405 0.1277324 -0.00966959
Moved 1283.151 427.0769 403.1345 0.1552705 0.03892624
Moved 1283.182 437.805 420.61 0.1801042 0.0838733
Moved 1283.213 445.5481 432.3221 0.198028 0.1139972
Moved 1283.243 451.303 444.606 0.2113495 0.1455913
Moved 1283.274 456.4026 454.8051 0.223154 0.1718238
Moved 1283.305 463.1383 470.3456 0.238746 0.2117943
Moved 1283.336 468.8881 486.7203 0.2520558 0.2539101
Moved 1283.366 472.5 501.5 0.2604167 0.2919238
Moved 1283.397 479.6677 518.6691 0.2770085 0.3360831
Moved 1283.428 487.6073 534.2145 0.2953872 0.3760661
Moved 1283.458 493.1494 544.2241 0.3082162 0.4018109
Moved 1283.489 496.6467 550.2935 0.3163119 0.4174213
Moved 1283.52 498 554 0.3194444 0.4269547
Moved 1283.551 498 555.5 0.3194444 0.4308127
Moved 1283.581 498 555 0.3194444 0.4295266
Stationary 1283.612 498 555 0.3194444 0.4295266
Moved 1283.643 488.6529 549.6116 0.2978076 0.4156677
Moved 1283.674 480.3531 538.8041 0.2785951 0.3878706
Moved 1283.704 473.9187 530.8781 0.2637008 0.3674847
Moved 1283.735 470.0744 525.1487 0.2548018 0.3527487
Moved 1283.766 469 523.2126 0.2523148 0.3477689
Stationary 1283.797 469 523 0.2523148 0.3472221
Moved 1283.827 469 521.626 0.2523148 0.3436883
Moved 1283.858 469 520.985 0.2523148 0.3420395
Moved 1283.889 469 517.1196 0.2523148 0.3320977
Moved 1283.919 469 501.6957 0.2523148 0.2924271
Moved 1283.95 469 474.871 0.2523148 0.2234335
Moved 1283.981 478.4539 451.4112 0.2741989 0.1630946
Moved 1284.012 483.1857 430.3499 0.2851522 0.1089246
Moved 1284.042 489.3125 416.0625 0.2993346 0.07217716
Moved 1284.073 496.0722 404.3918 0.3149818 0.0421599
Moved 1284.104 502.8162 395.7757 0.3305931 0.01999914
Moved 1284.135 509.8284 388.1716 0.346825 0.0004412411
Moved 1284.165 515.6366 383.3634 0.36027 -0.0119254
Moved 1284.196 522.3799 377.6201 0.3758795 -0.02669746
Moved 1284.227 528.1217 373.4391 0.3891706 -0.03745083
Moved 1284.258 532.0934 370.9533 0.3983642 -0.04384445
Moved 1284.288 534.9374 368.0626 0.4049478 -0.0512795
Moved 1284.319 537.8083 366 0.4115934 -0.05658444
Moved 1284.35 539.5 363.5 0.4155093 -0.06301456
Moved 1284.38 540 361.77 0.4166667 -0.06746402
Moved 1284.411 525.6352 355.79 0.3834148 -0.08284463
Moved 1284.442 489.2761 351 0.2992502 -0.09516476
Moved 1284.473 450.5 351 0.2094908 -0.09516476
Moved 1284.503 396.4644 351 0.08440822 -0.09516476
Moved 1284.534 348.9645 360.2374 -0.02554511 -0.07140603
Moved 1284.565 309.4187 360 -0.1170863 -0.07201654
Moved 1284.596 276.0656 360 -0.1942926 -0.07201654
Moved 1284.626 245.3869 360 -0.2653081 -0.07201654
Moved 1284.657 222.0134 360 -0.3194134 -0.07201654
Moved 1284.688 207.0841 360 -0.353972 -0.07201654
Moved 1284.719 195.8378 360 -0.3800052 -0.07201654
Moved 1284.749 186.8708 360 -0.400762 -0.07201654
Moved 1284.78 181.8509 360.5746 -0.4123823 -0.0705387
Moved 1284.811 178.9433 361 -0.4191129 -0.06944452
Moved 1284.842 177 361.9469 -0.4236111 -0.06700908
Moved 1284.872 177 362.8209 -0.4236111 -0.06476123
Moved 1284.903 177 368.0733 -0.4236111 -0.05125187
Moved 1284.934 191.1846 380.4216 -0.3907763 -0.01949193
Moved 1284.964 212.8508 399.7444 -0.3406232 0.03020687
Moved 1284.995 240.7262 417.8506 -0.2760967 0.07677632
Moved 1285.026 270.9065 435.1393 -0.2062349 0.1212431
Moved 1285.057 305.6744 452.1574 -0.1257538 0.1650138
Moved 1285.087 334.3372 465.9349 -0.05940457 0.2004497
Moved 1285.118 365.1323 483.6176 0.0118804 0.24593
Moved 1285.149 388.7884 494.7153 0.06663968 0.2744735
Moved 1285.18 413.3652 507.1826 0.1235305 0.3065394
Moved 1285.21 432.4793 516.2397 0.1677763 0.3298346
Moved 1285.241 446.1035 523.8276 0.1993138 0.3493508
Moved 1285.272 457.2595 527.6298 0.2251377 0.35913
Moved 1285.302 463.6845 530 0.2400105 0.3652262
Moved 1285.333 468.5583 531 0.2512923 0.3677982
Moved 1285.364 471.0448 532 0.2570482 0.3703703
Moved 1285.395 473 532 0.2615741 0.3703703
Moved 1285.425 474.3669 532 0.2647382 0.3703703
Moved 1285.456 476 532 0.2685185 0.3703703
Stationary 1285.487 476 532 0.2685185 0.3703703
Moved 1285.518 477 532 0.2708333 0.3703703
Moved 1285.548 478 532 0.2731481 0.3703703
Moved 1285.579 479.3734 532 0.2763273 0.3703703
Moved 1285.61 479 523.646 0.275463 0.3488837
Moved 1285.641 479 517.2941 0.275463 0.3325465
Moved 1285.671 444.6699 491.8916 0.1959952 0.2672108
Moved 1285.702 390.7772 447.2217 0.07124345 0.1523193
Moved 1285.733 349.9973 412.109 -0.02315452 0.06200865
Moved 1285.764 330.4026 397.2684 -0.06851261 0.02383836
Moved 1285.794 313.1949 387.0974 -0.1083452 -0.002321589
Moved 1285.825 303.6385 382.3193 -0.1304663 -0.014611
Moved 1285.856 293.8584 379.2861 -0.1531056 -0.02241229
Moved 1285.886 286.827 377 -0.1693821 -0.02829226
Moved 1285.917 280.8035 376 -0.1833253 -0.03086435
Moved 1285.948 275.0829 376 -0.1965673 -0.03086435
Moved 1285.979 268.497 376 -0.2118126 -0.03086435
Moved 1286.009 263.5897 376 -0.2231719 -0.03086435
Moved 1286.04 258.4978 376 -0.2349588 -0.03086435
Moved 1286.071 252.7537 385.2463 -0.2482552 -0.00708266
Moved 1286.102 248.0155 386.9922 -0.2592233 -0.002591953
Moved 1286.132 244 389.5 -0.2685185 0.003857946
Moved 1286.163 240.6205 393.7591 -0.2763415 0.01481241
Moved 1286.194 238 406.7418 -0.2824074 0.04820403
Moved 1286.224 238 412.4797 -0.2824074 0.06296205
Moved 1286.255 238 426.5423 -0.2824074 0.0991313
Moved 1286.286 250.1217 442.8044 -0.2543478 0.1409577
Moved 1286.317 261.1771 459.6125 -0.2287567 0.1841886
Moved 1286.347 272.1951 478.7927 -0.203252 0.2335203
Moved 1286.378 279.5547 491.4063 -0.1862159 0.2659627
Moved 1286.409 288.4195 504.839 -0.1656956 0.3005117
Moved 1286.44 295.1633 513.1633 -0.1500849 0.3219221
Moved 1286.47 300.1177 518.1177 -0.1386165 0.3346647
Moved 1286.501 302.9552 520.9551 -0.1320482 0.3419627
Moved 1286.532 305.5 523.5 -0.1261574 0.3485081
Moved 1286.563 306.7126 524 -0.1233505 0.3497942
Ended 1286.593 307.5 524 -0.1215278 0.3497942
Accept 1286.716 0 the
Candidates 1286.716 13 consider consist collapse constitute clarify conduct alongside holocaust bookstore clause dioxide consumer volatile
Began 1288.13 372 397 0.02777775 0.02314815
Stationary 1288.161 372 397 0.02777775 0.02314815
Stationary 1288.192 372 397 0.02777775 0.02314815
Moved 1288.222 381.4129 419.0322 0.04956682 0.07981528
Moved 1288.253 390.6101 435.7762 0.0708568 0.1228812
Moved 1288.284 403.3602 456.1304 0.1003708 0.1752324
Moved 1288.314 415.3035 472.7642 0.1280173 0.2180148
Moved 1288.345 428.3413 488.6766 0.1581975 0.2589419
Moved 1288.376 438.5947 500.4933 0.181932 0.2893347
Moved 1288.407 445.5222 509.2834 0.1979682 0.3119428
Moved 1288.437 450.2672 514.2672 0.2089519 0.3247612
Moved 1288.468 453.126 517.126 0.2155694 0.3321142
Moved 1288.499 455.0397 520.0397 0.2199993 0.3396083
Moved 1288.53 456.912 521.9119 0.2243332 0.3444236
Moved 1288.56 458.8902 524.8901 0.2289124 0.3520836
Moved 1288.591 460 528.4398 0.2314815 0.3612133
Moved 1288.622 460 531.314 0.2314815 0.3686058
Moved 1288.653 461 539.1117 0.2337964 0.3886617
Moved 1288.683 461 548.0526 0.2337964 0.4116577
Moved 1288.714 461 557.3393 0.2337964 0.4355434
Moved 1288.745 461 570.2551 0.2337964 0.4687631
Moved 1288.776 461 573.3893 0.2337964 0.4768244
Moved 1288.806 461 579.4189 0.2337964 0.4923325
Moved 1288.837 461 584.5802 0.2337964 0.5056074
Moved 1288.868 461 588.9125 0.2337964 0.5167501
Moved 1288.898 461 592.3253 0.2337964 0.525528
Moved 1288.929 461 595.8931 0.2337964 0.5347043
Moved 1288.96 461 598.7659 0.2337964 0.5420932
Moved 1288.991 461 602.6348 0.2337964 0.552044
Moved 1289.021 461 606.2352 0.2337964 0.5613045
Moved 1289.052 461 609.0424 0.2337964 0.5685245
Moved 1289.083 461 612.9138 0.2337964 0.5784819
Moved 1289.114 461 616.7775 0.2337964 0.5884194
Moved 1289.144 461 621.7168 0.2337964 0.6011233
Moved 1289.175 462.1622 623.1622 0.2364865 0.6048408
Moved 1289.206 462 625.0285 0.2361111 0.6096411
Moved 1289.236 463.4633 626.4633 0.2394985 0.6133315
Ended 1289.267 465.0325 627.0325 0.2431308 0.6147955
Expand 1289.267
Accept 1289.359 2 collapse
Began 1289.851 484 425 0.287037 0.09516452
Stationary 1289.882 484 425 0.287037 0.09516452
Stationary 1289.913 484 425 0.287037 0.09516452
Stationary 1289.943 484 425 0.287037 0.09516452
Moved 1289.974 492.716 413.5679 0.3072131 0.06576102
Moved 1290.005 495.5853 408.8293 0.3138549 0.05357334
Moved 1290.036 497.456 404.0881 0.3181851 0.04137867
