they might find your comment offensive
they might find your comment offensive
FixStart
List

0.6 0.6
432 388.8
Began 2406.26 329 404 -0.07175927 0.04115226
Stationary 2406.291 329 404 -0.07175927 0.04115226
Moved 2406.321 329 428.7587 -0.07175927 0.1048319
Moved 2406.352 316.2615 476.8615 -0.1012464 0.2285531
Moved 2406.383 312.4729 508.3256 -0.1100165 0.3094794
Moved 2406.414 309.6106 538.8937 -0.1166421 0.3881011
Moved 2406.444 309 557.3419 -0.1180555 0.4355499
Moved 2406.475 309 565.5927 -0.1180555 0.4567713
Stationary 2406.506 309 566 -0.1180555 0.4578188
Stationary 2406.536 309 566 -0.1180555 0.4578188
Stationary 2406.567 309 566 -0.1180555 0.4578188
Moved 2406.598 315.3785 547.5327 -0.1032904 0.4103205
Moved 2406.629 323.3516 529.2968 -0.0848342 0.3634175
Moved 2406.659 332.9668 510.0663 -0.06257678 0.3139566
Moved 2406.69 340.4565 496.2392 -0.04523963 0.2783929
Moved 2406.721 348.1492 476.6269 -0.02743234 0.2279497
Moved 2406.752 355.8806 458.3583 -0.009535699 0.1809626
Moved 2406.782 363.6389 441.0833 0.008423428 0.136531
Moved 2406.813 372.3368 425.9949 0.02855728 0.09772336
Moved 2406.844 380.4178 409.1643 0.0472635 0.05443494
Moved 2406.875 387.1611 394.6777 0.06287297 0.0171752
Moved 2406.905 392.4597 384.0806 0.07513821 -0.01008077
Moved 2406.936 398.0377 372.9623 0.08805016 -0.03867734
Moved 2406.967 402.7828 364.8258 0.09903431 -0.0596044
Moved 2406.998 404.2616 360.7384 0.1024574 -0.07011735
Moved 2407.028 405.5 358.5 0.1053241 -0.07587456
Moved 2407.059 405 359 0.1041667 -0.07458848
Moved 2407.09 377.684 377.7765 0.04093527 -0.02629511
Moved 2407.121 351.2916 398.4723 -0.02015834 0.02693486
Moved 2407.151 328.7852 417.3893 -0.07225643 0.07558967
Moved 2407.182 300.1397 444.8602 -0.1385654 0.1462454
Moved 2407.213 277.0479 467.2934 -0.1920186 0.2039438
Moved 2407.244 261.2198 483.7803 -0.228658 0.2463484
Moved 2407.274 243.5526 501.3729 -0.2695543 0.2915968
