the postal service is very slow
the postal service is very slow
FixStart
List

0.6 0.6
432 388.8
Began 2868.897 365 312 0.01157403 -0.1954732
Stationary 2868.928 365 312 0.01157403 -0.1954732
Moved 2868.959 342.2189 371.3682 -0.04115994 -0.04277727
Moved 2868.99 335 426.5 -0.05787035 0.09902258
Moved 2869.02 334 464.1052 -0.06018519 0.1957438
Moved 2869.051 334 490.2465 -0.06018519 0.2629796
Moved 2869.082 334 501.7261 -0.06018519 0.2925054
Moved 2869.113 334 505.3112 -0.06018519 0.3017263
Stationary 2869.143 334 505 -0.06018519 0.3009258
Stationary 2869.174 334 505 -0.06018519 0.3009258
Stationary 2869.205 334 505 -0.06018519 0.3009258
Moved 2869.236 338.179 494.209 -0.05051146 0.2731712
Moved 2869.266 344.9556 484.0887 -0.03482496 0.2471417
Moved 2869.297 353.0061 468.3232 -0.01618966 0.2065927
Moved 2869.328 359.7018 454.4971 -0.0006903707 0.1710315
Moved 2869.359 370.982 436.527 0.02542138 0.1248121
Moved 2869.389 380.4497 420.3254 0.04733732 0.08314148
Moved 2869.42 388.9647 405.5883 0.06704797 0.04523725
Moved 2869.451 394.9895 393.0316 0.08099417 0.01294136
Moved 2869.481 399.8604 381.5584 0.09226947 -0.01656787
Moved 2869.512 403.7303 370.3484 0.1012276 -0.04540031
Moved 2869.543 406.5 362 0.1076389 -0.06687243
Moved 2869.574 409.1466 352.5602 0.1137652 -0.09115171
Moved 2869.604 411.0122 346.9755 0.1180839 -0.1055157
Moved 2869.635 412 341.2465 0.1203704 -0.1202509
Moved 2869.666 413.2925 338.7075 0.1233623 -0.1267812
Moved 2869.697 414.2628 335.7372 0.1256082 -0.1344208
Moved 2869.727 414 333.9351 0.125 -0.1390558
Moved 2869.758 414 332.5 0.125 -0.142747
Moved 2869.789 414 330.8993 0.125 -0.146864
Stationary 2869.82 414 331 0.125 -0.146605
Moved 2869.85 386.7676 344.5945 0.061962 -0.1116396
Moved 2869.881 368.7147 356.5236 0.0201728 -0.080958
Moved 2869.912 342.5595 379.7249 -0.04037142 -0.02128389
Moved 2869.943 323.4946 399.5054 -0.08450329 0.02959208
Moved 2869.973 308.7561 414.2438 -0.11862 0.06749957
Moved 2870.004 297.2029 427.7972 -0.1453637 0.1023589
Moved 2870.035 283.5089 439.4911 -0.1770627 0.1324358
Moved 2870.065 275.6004 447.3997 -0.1953695 0.1527769
Moved 2870.096 271.5 452.5 -0.2048611 0.165895
Ended 2870.127 272 464.5 -0.2037037 0.1967592
Candidates 2870.219 13 the there further either they true right where title tiger other trigger turkey
Began 2870.742 353 283 -0.01620372 -0.2700618
Moved 2870.773 353 302.4904 -0.01620372 -0.2199323
Moved 2870.803 375.2612 349.7134 0.03532688 -0.09847374
Moved 2870.834 433.9159 428.9028 0.1711017 0.1052026
Moved 2870.865 501.892 490.169 0.3284538 0.2627802
Moved 2870.896 524.621 507.8967 0.3810671 0.3083763
Moved 2870.926 534.7726 516.1817 0.4045661 0.3296854
Moved 2870.957 540.3142 519.1571 0.417394 0.3373381
Moved 2870.988 543.0273 522.0273 0.4236743 0.3447205
Moved 2871.019 544 522.8983 0.4259259 0.3469606
Moved 2871.049 545.5 523 0.4293981 0.3472221
Moved 2871.08 545 523 0.4282407 0.3472221
Stationary 2871.111 545 523 0.4282407 0.3472221
Moved 2871.141 529.839 513.9195 0.3931458 0.3238669
Moved 2871.172 512.623 503.2643 0.3532939 0.2964617
Moved 2871.203 489.2129 488.4753 0.2991039 0.258424
Moved 2871.234 464.0169 469.6135 0.2407798 0.2099113
Moved 2871.264 432.4123 445.7299 0.1676211 0.1484821
Moved 2871.295 402.8026 420.2176 0.09908009 0.08286409
Moved 2871.326 371.2433 393.2433 0.02602617 0.0134859
Moved 2871.357 334.7448 358.7448 -0.05846108 -0.0752449
Moved 2871.387 310.2577 339.2255 -0.1151442 -0.1254488
Moved 2871.418 280.1724 312.0049 -0.1847861 -0.1954606
Moved 2871.449 259.1249 295.5178 -0.2335072 -0.2378659
Moved 2871.48 243.1561 281.5874 -0.2704718 -0.2736949
Moved 2871.51 230.1623 270.3019 -0.3005502 -0.3027214
Moved 2871.541 220.9558 263.9705 -0.3218616 -0.3190059
Moved 2871.572 213.2315 258.2315 -0.3397419 -0.3337668
Moved 2871.603 208 255.5 -0.3518518 -0.3407922
Moved 2871.633 204.4248 252.7124 -0.3601277 -0.347962
Moved 2871.664 200.6908 250.8453 -0.3687713 -0.3527641
Moved 2871.695 197.9651 248.9651 -0.3750808 -0.3576002
Moved 2871.726 195.4682 248 -0.3808608 -0.3600824
Moved 2871.756 192.6153 247 -0.3874645 -0.3626543
Moved 2871.787 191 244.7428 -0.3912037 -0.3684599
Moved 2871.818 188.9341 245 -0.3959858 -0.3677984
Stationary 2871.849 189 245 -0.3958333 -0.3677984
Moved 2871.879 198.676 257.2112 -0.3734353 -0.336391
Moved 2871.91 212.0498 272.4597 -0.3424774 -0.2971716
Moved 2871.941 223.6902 286.6282 -0.3155319 -0.2607299
Moved 2871.971 233.1595 300.9493 -0.2936123 -0.2238958
Moved 2872.002 241.6223 315.9335 -0.2740225 -0.1853564
Moved 2872.033 251.5768 332.628 -0.2509797 -0.1424178
Moved 2872.064 261.3601 347.4501 -0.2283331 -0.1042949
Moved 2872.094 273.7282 361.7735 -0.1997033 -0.06745507
Moved 2872.125 287.3104 378.9656 -0.168263 -0.02323676
Moved 2872.156 300.5 394 -0.1377315 0.01543206
Moved 2872.187 313.8999 408.1249 -0.1067132 0.05176143
Moved 2872.217 329.5727 421.4772 -0.07043351 0.08610395
Moved 2872.248 340.8488 430.8866 -0.04433145 0.110305
Moved 2872.279 345.6755 434.3378 -0.03315856 0.1191815
Moved 2872.31 346.5 436.5 -0.03125002 0.1247428
Moved 2872.34 346 436 -0.03240739 0.1234567
Moved 2872.371 316.2849 422.571 -0.1011923 0.08891706
Moved 2872.402 264.2301 385.0886 -0.2216895 -0.007488305
Moved 2872.433 217.6008 342.0931 -0.3296277 -0.1180733
Moved 2872.463 200.2488 319.5483 -0.3697944 -0.176059
Moved 2872.494 191.2886 306.5772 -0.3905356 -0.2094207
Moved 2872.525 186.2595 295.7786 -0.402177 -0.237195
Moved 2872.556 185 289.7806 -0.4050926 -0.252622
Moved 2872.586 184 286.5233 -0.4074074 -0.2609997
Moved 2872.617 184 283.9537 -0.4074074 -0.2676087
Moved 2872.648 184 283 -0.4074074 -0.2700618
Moved 2872.678 184 281.8305 -0.4074074 -0.2730697
Moved 2872.709 184 280.8373 -0.4074074 -0.2756242
Stationary 2872.74 184 280.8373 -0.4074074 -0.2756242
Moved 2872.771 191.1626 280 -0.3908273 -0.2777778
Moved 2872.802 202.5894 280 -0.3643764 -0.2777778
Moved 2872.832 217.1972 280 -0.3305619 -0.2777778
Moved 2872.863 252.5077 292.877 -0.2488247 -0.2446581
Moved 2872.894 284.6612 299.4531 -0.1743953 -0.2277442
Moved 2872.925 319.2385 306.0397 -0.09435535 -0.2108032
Moved 2872.955 358.4261 314.1235 -0.003643334 -0.1900117
Moved 2872.986 398.4183 318.4279 0.08893122 -0.1789408
Moved 2873.017 428.9408 319 0.1595853 -0.1774692
Moved 2873.047 455.5947 319 0.221284 -0.1774692
Moved 2873.078 484.4214 304.967 0.2880125 -0.2135624
Moved 2873.109 504.8374 298.3554 0.3352717 -0.2305674
Moved 2873.14 523.1078 292.1569 0.3775645 -0.2465101
Moved 2873.17 536.9356 289.0129 0.4095731 -0.2545966
Moved 2873.201 551.2796 286.1441 0.4427769 -0.2619751
Moved 2873.232 567.132 285 0.4794721 -0.2649178
Ended 2873.263 591.3062 285 0.535431 -0.2649178
Accept 2873.324 0 the
Candidates 2873.324 13 postal ideal total distal goal partial overall usual portal spatial israel coastal oral
Began 2874.093 403 305 0.09953707 -0.2134774
Stationary 2874.123 403 305 0.09953707 -0.2134774
Stationary 2874.154 403 305 0.09953707 -0.2134774
Moved 2874.185 387.3734 305 0.0633644 -0.2134774
Moved 2874.216 375.4989 305 0.03587713 -0.2134774
Moved 2874.246 360.6011 305 0.001391371 -0.2134774
Moved 2874.277 348.4166 305 -0.02681345 -0.2134774
Moved 2874.308 341.9718 305 -0.04173189 -0.2134774
Moved 2874.339 336.8816 305 -0.05351474 -0.2134774
Moved 2874.369 332.1584 305 -0.06444827 -0.2134774
Moved 2874.4 324.0994 305 -0.08310334 -0.2134774
Moved 2874.431 315.4067 305 -0.1032252 -0.2134774
Moved 2874.461 303.2932 305 -0.1312656 -0.2134774
Moved 2874.492 290.3435 293.4478 -0.1612418 -0.2431898
Moved 2874.523 281.7349 289.5783 -0.1811692 -0.2531422
Moved 2874.554 277.0294 289 -0.1920615 -0.2546296
Moved 2874.584 274.1392 289 -0.1987519 -0.2546296
Moved 2874.615 274 298.1583 -0.199074 -0.2310745
Moved 2874.646 274 308 -0.199074 -0.2057614
Moved 2874.677 281.8621 319.4927 -0.1808747 -0.176202
Moved 2874.708 287.8148 344.4443 -0.1670955 -0.1120261
Moved 2874.738 288.8578 352.1468 -0.164681 -0.09221504
Moved 2874.769 292.511 366.7883 -0.1562246 -0.05455684
Moved 2874.8 300.6833 385.3667 -0.137307 -0.006772893
Moved 2874.83 307.2573 404.6003 -0.1220897 0.04269616
Moved 2874.861 318.7965 426.6269 -0.09537845 0.09934892
Moved 2874.892 334.9763 445.9763 -0.05792528 0.149116
Moved 2874.923 344.0909 452.7272 -0.03682668 0.1664795
Moved 2874.953 351.4622 455.2311 -0.01976351 0.1729194
Moved 2874.984 354.8156 456.8156 -0.01200095 0.1769947
Moved 2875.015 355 458.6179 -0.01157408 0.1816304
Moved 2875.046 355 460.496 -0.01157408 0.1864609
Moved 2875.076 355 461 -0.01157408 0.1877571
Stationary 2875.107 355 461 -0.01157408 0.1877571
Stationary 2875.138 355 461 -0.01157408 0.1877571
Moved 2875.168 358.0376 454.208 -0.004542619 0.170288
Moved 2875.199 368 437.5 0.01851857 0.1273147
Moved 2875.23 380.3551 416.3785 0.04711837 0.07299007
Moved 2875.261 391.8342 397.2487 0.07369022 0.02378785
Moved 2875.292 401.4811 377.3836 0.0960212 -0.02730554
Moved 2875.322 407.4798 354.8408 0.109907 -0.08528611
Moved 2875.353 413.3871 313.097 0.1235812 -0.1926518
Moved 2875.384 415.0663 283.3367 0.1274684 -0.2691959
Moved 2875.415 415 258.625 0.1273148 -0.3327547
Moved 2875.445 415 237.6555 0.1273148 -0.3866884
Moved 2875.476 415 219.9182 0.1273148 -0.4323092
Moved 2875.507 415 201.473 0.1273148 -0.4797506
Moved 2875.537 415 187.9755 0.1273148 -0.5144665
Moved 2875.568 415 176.5861 0.1273148 -0.5437601
Moved 2875.599 415 169.0538 0.1273148 -0.5631332
Moved 2875.63 415 163.3171 0.1273148 -0.577888
Moved 2875.66 415 161.5 0.1273148 -0.5825617
Moved 2875.691 415 159.5 0.1273148 -0.5877057
Moved 2875.722 408 159 0.1111111 -0.5889918
Stationary 2875.753 408 159 0.1111111 -0.5889918
Moved 2875.783 400.8861 178.3416 0.09464382 -0.5392449
Moved 2875.814 395.0848 212.0675 0.08121481 -0.4525013
Moved 2875.845 395 242.938 0.08101851 -0.3731019
Moved 2875.875 406.8037 276.0139 0.1083419 -0.2880302
Moved 2875.906 418.5884 317.7651 0.1356212 -0.1806455
Moved 2875.937 427.0331 345.0881 0.1551691 -0.1103702
Moved 2875.968 435.7634 369.0535 0.1753781 -0.04873087
Moved 2875.999 443.213 390.6391 0.1926227 0.006787806
Moved 2876.029 451.8583 411.0027 0.212635 0.05916336
Moved 2876.06 459.4726 425.7877 0.2302607 0.0971906
Moved 2876.091 466.2644 438.2644 0.2459824 0.1292807
Moved 2876.122 470.5352 444 0.2558685 0.1440329
Moved 2876.152 473.3982 445 0.2624959 0.1466049
Moved 2876.183 475 445 0.2662037 0.1466049
Moved 2876.214 476 445 0.2685185 0.1466049
Stationary 2876.244 476 445 0.2685185 0.1466049
Stationary 2876.275 476 445 0.2685185 0.1466049
Moved 2876.306 461.4183 434.7928 0.2347646 0.1203517
Moved 2876.337 442.9356 422.9448 0.1919805 0.08987842
Moved 2876.367 418.088 396.3297 0.1344628 0.02142412
Moved 2876.398 392.5582 360.0931 0.0753663 -0.0717769
Moved 2876.429 342.9757 273.028 -0.03940815 -0.2957098
Moved 2876.46 297.162 180.2043 -0.1454583 -0.5344539
Moved 2876.49 269.1314 117.2892 -0.210344 -0.6962727
Moved 2876.521 264.1595 105.4785 -0.221853 -0.7266499
Moved 2876.552 263 100.2363 -0.2245371 -0.7401329
Moved 2876.583 263 97.5 -0.2245371 -0.7471709
Moved 2876.613 263 95.94263 -0.2245371 -0.7511764
Stationary 2876.644 263 95.94263 -0.2245371 -0.7511764
Moved 2876.675 263 99.68677 -0.2245371 -0.7415464
Moved 2876.706 275.193 115.386 -0.1963125 -0.7011678
Moved 2876.736 280.5328 128.3319 -0.1839519 -0.6678706
Moved 2876.767 283.8304 138.3214 -0.1763186 -0.6421774
Moved 2876.798 286.6972 151.486 -0.1696824 -0.608318
Moved 2876.829 289.567 166.9686 -0.1630395 -0.5684965
Moved 2876.859 292.431 179.293 -0.1564097 -0.5367978
Moved 2876.89 294 194.7615 -0.1527778 -0.4970127
Moved 2876.921 295 213.9758 -0.150463 -0.4475931
Moved 2876.951 296.7068 236.9476 -0.146512 -0.3885092
Moved 2876.982 298.1505 256.3546 -0.1431701 -0.3385943
Moved 2877.013 301 288.7956 -0.1365741 -0.2551554
Moved 2877.044 304.8821 311.5873 -0.1275877 -0.1965347
Moved 2877.074 308.8037 329.6257 -0.11851 -0.1501397
Moved 2877.105 310 348.7592 -0.1157407 -0.100928
Moved 2877.136 310 366.5649 -0.1157407 -0.0551314
Moved 2877.167 310 381.4584 -0.1157407 -0.01682509
Moved 2877.198 293.1587 401.9722 -0.1547252 0.03593676
Moved 2877.228 278.5967 419.884 -0.1884336 0.08200599
Moved 2877.259 266.2326 433.1208 -0.2170541 0.1160515
Moved 2877.29 256.309 442.691 -0.2400254 0.140666
Moved 2877.321 250.4158 449.5842 -0.2536671 0.1583954
Moved 2877.351 246.343 455.3139 -0.2630948 0.1731324
Moved 2877.382 244.4734 459.5266 -0.2674227 0.1839675
Moved 2877.413 244 461.5 -0.2685185 0.1890431
Moved 2877.443 244 462 -0.2685185 0.1903292
Stationary 2877.474 244 462 -0.2685185 0.1903292
Stationary 2877.505 244 462 -0.2685185 0.1903292
Stationary 2877.536 244 462 -0.2685185 0.1903292
Moved 2877.566 244 450.9297 -0.2685185 0.1618561
Moved 2877.597 244 445.1766 -0.2685185 0.1470591
Moved 2877.628 251.7829 436.8685 -0.2505026 0.1256904
Moved 2877.658 253 427.6758 -0.2476852 0.1020467
Moved 2877.689 256.1932 417.2271 -0.2402934 0.07517249
Moved 2877.72 259.063 409.874 -0.2336504 0.05626015
Moved 2877.751 260.686 402.942 -0.2298935 0.03843103
Moved 2877.781 262 398.548 -0.2268519 0.02712948
Moved 2877.812 264.3166 394.6834 -0.2214894 0.01718976
Moved 2877.843 265 390.8108 -0.2199074 0.007229322
Moved 2877.874 267.7573 388.2427 -0.2135248 0.0006242446
Moved 2877.905 272.8731 384.7513 -0.2016827 -0.008355835
Ended 2877.935 279.2891 384 -0.1868309 -0.01028807
Accept 2878.058 0 postal
Candidates 2878.058 13 service services devices device archives sentence advice size syndicate insurance archive sentences subjects
Began 2879.257 339 273 -0.04861111 -0.295782
Stationary 2879.288 339 273 -0.04861111 -0.295782
Moved 2879.319 339 279.8973 -0.04861111 -0.278042
Moved 2879.349 358.0881 302.9962 -0.004425595 -0.2186312
Moved 2879.38 379.0111 331.1375 0.0440071 -0.1462514
Moved 2879.411 407.3106 366.3882 0.1095152 -0.05558587
Moved 2879.442 428.39 391.1866 0.1583101 0.008196026
Moved 2879.472 441.2961 405.0614 0.1881854 0.0438822
Moved 2879.503 448.5412 412.5412 0.2049564 0.06312029
Moved 2879.534 452.1311 418.2623 0.2132665 0.07783497
Moved 2879.564 455.0087 421.0087 0.2199276 0.08489891
Moved 2879.595 455 423.662 0.2199073 0.09172325
Moved 2879.626 455 425.5 0.2199073 0.09645053
Moved 2879.657 455 426.3734 0.2199073 0.09869696
Stationary 2879.688 455 426 0.2199073 0.09773654
Moved 2879.718 442.7951 426 0.1916554 0.09773654
Moved 2879.749 440 426 0.1851852 0.09773654
Moved 2879.78 430.382 414.191 0.1629213 0.06736355
Moved 2879.811 411.9788 407.1338 0.1203213 0.04921238
Moved 2879.841 379.2762 389.339 0.04462093 0.003443863
Moved 2879.872 340.6501 356.3851 -0.04479136 -0.08131403
