the five boxing wizards jump quickly
the five boxing wizards jump quickly
FixStart
List

0.6 0.6
432 388.8
Began 2958.773 418 343 0.1342593 -0.1157408
Moved 2958.804 413.6051 358.6505 0.1240859 -0.07548744
Moved 2958.834 402.5069 389.9726 0.09839555 0.005073547
Moved 2958.865 392.5137 429.5734 0.07526328 0.1069275
Moved 2958.896 384.2598 456.8307 0.05615701 0.1770338
Moved 2958.926 382 475.7109 0.05092591 0.2255939
Moved 2958.958 381 485.2122 0.04861106 0.2500312
Moved 2958.988 381 488.1101 0.04861106 0.2574848
Stationary 2959.019 381 488.1101 0.04861106 0.2574848
Stationary 2959.05 381 488.1101 0.04861106 0.2574848
Stationary 2959.08 381 488 0.04861106 0.2572016
Moved 2959.111 381 475.947 0.04861106 0.226201
Moved 2959.142 395.5092 458.1089 0.0821972 0.1803213
Moved 2959.173 405.0102 440.9797 0.1041902 0.1362645
Moved 2959.203 417.6756 419.3177 0.1335084 0.08054957
Moved 2959.234 431.184 399.9424 0.1647777 0.03071608
Moved 2959.265 443.2314 384.7686 0.1926652 -0.008311252
Moved 2959.296 451.5507 373.2657 0.2119229 -0.03789697
Moved 2959.326 455.442 367.558 0.2209305 -0.05257712
Moved 2959.357 458 362.416 0.2268519 -0.06580259
Moved 2959.388 459 358.5481 0.2291666 -0.07575086
Moved 2959.419 460 355.6804 0.2314815 -0.08312672
Moved 2959.449 460 354.7206 0.2314815 -0.08559513
Moved 2959.48 460 354 0.2314815 -0.08744855
Moved 2959.511 446.1915 359.617 0.1995173 -0.07300161
Moved 2959.542 432.5529 374.4471 0.1679466 -0.03485833
Moved 2959.572 414.136 395.8187 0.1253147 0.02010981
Moved 2959.603 392.8772 416.1228 0.0761046 0.07233227
Moved 2959.634 372.6248 436.3752 0.02922406 0.1244218
Moved 2959.665 358.8272 450.1727 -0.002714743 0.1599092
Moved 2959.695 347.5566 461.4434 -0.02880419 0.1888976
Moved 2959.726 337.0767 471.9233 -0.05306313 0.215852
Moved 2959.757 330.6967 479.955 -0.06783172 0.2365098
Moved 2959.788 328 484.416 -0.07407407 0.2479835
Moved 2959.818 340.9191 491.1677 -0.04416868 0.2653489
Ended 2959.849 356 500.5 -0.009259283 0.2893518
Candidates 2959.941 13 the there they further where re r t threw he turkey true e
Began 2960.372 408 376 0.1111111 -0.03086435
Stationary 2960.402 408 376 0.1111111 -0.03086435
Stationary 2960.433 408 376 0.1111111 -0.03086435
Stationary 2960.464 408 376 0.1111111 -0.03086435
Moved 2960.495 386.7391 376 0.06189615 -0.03086435
Moved 2960.525 371.3967 376 0.02638122 -0.03086435
Moved 2960.556 359.6288 376 -0.0008593003 -0.03086435
Moved 2960.587 354.7834 376 -0.0120755 -0.03086435
Moved 2960.617 352.5 376 -0.0173611 -0.03086435
Moved 2960.648 353 384.0284 -0.01620372 -0.01021499
Moved 2960.679 353 388.7941 -0.01620372 0.002042472
Moved 2960.71 366.7583 399.7583 0.01564413 0.03024246
Moved 2960.74 383.1276 415.8237 0.0535361 0.07156286
Moved 2960.771 402.2141 433.0407 0.09771794 0.1158453
Moved 2960.802 422.6204 452.3905 0.1449547 0.1656134
Moved 2960.833 449.5018 480.5018 0.2071802 0.2379161
Moved 2960.864 469.9513 499.5297 0.2545168 0.286856
Moved 2960.894 480.9201 509.92 0.2799076 0.3135803
Moved 2960.925 488.5607 512.8536 0.2975942 0.3211254
Moved 2960.956 497.1803 513 0.3175469 0.321502
Moved 2960.987 505.1935 513 0.3360961 0.321502
Moved 2961.017 511.9331 513 0.351697 0.321502
Moved 2961.048 517.0302 504.8794 0.3634957 0.3006156
Moved 2961.079 523.7469 481.7714 0.3790438 0.2411816
Stationary 2961.109 523.7469 481.7714 0.3790438 0.2411816
Moved 2961.14 524 464.7283 0.3796296 0.1973464
Moved 2961.171 508.2643 427.2833 0.3432043 0.1010371
Moved 2961.202 488.9639 388.9277 0.2985275 0.002386109
Moved 2961.232 476.5052 355.3893 0.269688 -0.08387522
Moved 2961.263 466.3245 329.8112 0.2461215 -0.1496626
Moved 2961.294 456.1431 300.1438 0.2225535 -0.2259676
Moved 2961.325 451.841 283.2051 0.212595 -0.2695343
Moved 2961.355 447.4917 265.7208 0.202527 -0.314504
Moved 2961.386 444.4629 250.3145 0.1955159 -0.3541296
Moved 2961.417 443 239.3604 0.1921296 -0.3823037
Moved 2961.448 442 231.1876 0.1898148 -0.403324
Moved 2961.478 440.1568 225.3135 0.1855481 -0.4184324
Moved 2961.509 439.2891 221.2892 0.1835396 -0.428783
Moved 2961.54 438 217.4177 0.1805556 -0.4387405
Moved 2961.571 435.5456 213.5455 0.174874 -0.4486998
Moved 2961.601 432.0095 213 0.1666887 -0.4501029
Moved 2961.632 427.2585 212 0.1556909 -0.4526749
Moved 2961.663 419.8073 212 0.1384429 -0.4526749
Moved 2961.693 408.1263 212 0.1114034 -0.4526749
Moved 2961.724 385.2655 226.3148 0.05848487 -0.415857
Moved 2961.755 367.1338 241.8853 0.01651347 -0.3758095
Moved 2961.786 349.8767 266.2466 -0.02343357 -0.3131519
Moved 2961.816 337.0403 289.9194 -0.05314748 -0.2522649
Moved 2961.847 329.194 320.6866 -0.0713102 -0.1731311
Moved 2961.878 323.7361 347.1875 -0.0839442 -0.1049704
Moved 2961.909 319.2589 371.1878 -0.09430817 -0.04324124
Moved 2961.939 318 390.6375 -0.09722222 0.006783685
Moved 2961.97 317 410.737 -0.09953702 0.05847986
Moved 2962.001 314.7349 427.3257 -0.1047804 0.1011464
Moved 2962.032 314.1715 439.9707 -0.1060844 0.1336694
Moved 2962.062 311.5887 453.5282 -0.1120631 0.1685396
Moved 2962.093 308.4235 465.3062 -0.1193901 0.1988328
Moved 2962.124 306.5578 473.8843 -0.1237087 0.2208959
Moved 2962.155 307 480.9486 -0.1226852 0.2390653
Moved 2962.185 307 486.71 -0.1226852 0.2538836
Moved 2962.216 307 490.7263 -0.1226852 0.2642137
Moved 2962.247 307 493.1667 -0.1226852 0.2704905
Moved 2962.278 307 495.0476 -0.1226852 0.2753281
Moved 2962.308 315.7347 498.9116 -0.1024659 0.2852663
Ended 2962.339 331.6765 507.5508 -0.06556361 0.3074867
Accept 2962.462 0 the
Candidates 2962.462 13 five river fiber fine dive founder driver under over once ice time one
Began 2962.954 408 389 0.1111111 0.002572016
Stationary 2962.985 408 389 0.1111111 0.002572016
Stationary 2963.015 408 389 0.1111111 0.002572016
Moved 2963.046 395.5 389 0.08217593 0.002572016
Moved 2963.077 391.7188 380.7188 0.07342299 -0.01872757
Moved 2963.108 388.8427 378.8427 0.06676544 -0.02355285
Moved 2963.138 388 372.9346 0.06481478 -0.03874838
Moved 2963.169 388 364.725 0.06481478 -0.05986382
Moved 2963.2 388 344.7073 0.06481478 -0.1113498
Moved 2963.23 401.8631 317.4106 0.09690543 -0.1815572
Moved 2963.261 408.4452 295.8128 0.1121417 -0.2371071
Moved 2963.292 415.165 276.9482 0.1276969 -0.2856269
Moved 2963.323 421.1828 261.6345 0.1416268 -0.3250143
Moved 2963.354 425.9296 251.6056 0.1526148 -0.3508087
Moved 2963.384 427.9947 246.0106 0.1573951 -0.3651991
Moved 2963.415 430.8643 243.1357 0.1640377 -0.3725933
Moved 2963.446 432 243 0.1666667 -0.3729424
Moved 2963.477 432 265.0899 0.1666667 -0.3161268
Moved 2963.507 432 293.52 0.1666667 -0.2430042
Moved 2963.538 432 327.7418 0.1666667 -0.1549853
Moved 2963.569 438.6853 370.6401 0.182142 -0.04465009
Moved 2963.6 445.5 403 0.1979166 0.03858017
Moved 2963.63 453.9716 431.1577 0.2175269 0.1110021
Moved 2963.661 460.2456 457.8596 0.2320499 0.1796799
Moved 2963.692 468.9681 484.915 0.252241 0.2492668
Moved 2963.722 475.0093 502.5233 0.2662251 0.2945556
Moved 2963.753 480.7542 514.5084 0.2795235 0.3253815
Moved 2963.784 485.4935 520.4935 0.2904941 0.3407753
Moved 2963.815 487 522 0.2939814 0.3446501
Moved 2963.845 488 522 0.2962963 0.3446501
Stationary 2963.876 488 522 0.2962963 0.3446501
Moved 2963.907 488 511.0395 0.2962963 0.3164596
Moved 2963.938 476.0704 499.1173 0.2686814 0.2857955
Moved 2963.969 460.2346 474.0063 0.2320246 0.2212095
Moved 2963.999 437.5751 441.7197 0.1795721 0.1381678
Moved 2964.03 414.8602 407.9031 0.1269912 0.05119111
Moved 2964.061 397.3551 375.618 0.08647005 -0.03184684
Moved 2964.091 384.1038 351.2076 0.05579581 -0.09463078
Moved 2964.122 369.8044 324.287 0.02269526 -0.163871
Moved 2964.153 360 303 0 -0.2186215
Moved 2964.184 353.4864 284.4593 -0.01507774 -0.2663084
Moved 2964.214 346.7364 271.4728 -0.0307028 -0.29971
Moved 2964.245 340.0106 261.0159 -0.04627178 -0.3266054
Moved 2964.276 336.4873 256.4872 -0.05442759 -0.3382531
Moved 2964.307 335 254.5986 -0.05787035 -0.3431106
Moved 2964.337 331.7359 255 -0.06542608 -0.3420782
Moved 2964.368 328.868 255 -0.07206485 -0.3420782
Moved 2964.399 326.3011 260.5909 -0.07800659 -0.3276984
Moved 2964.429 325 271.3044 -0.08101851 -0.300143
Moved 2964.46 325 285.249 -0.08101851 -0.2642772
Moved 2964.491 338.9424 308.856 -0.04874443 -0.2035597
Moved 2964.522 355.0617 340.5925 -0.01143133 -0.121933
Moved 2964.552 378.2981 375.3975 0.04235665 -0.03241402
Moved 2964.583 403.6102 406.7627 0.1009495 0.04825792
Moved 2964.614 427.6194 434.7433 0.1565265 0.1202246
Moved 2964.645 451.5495 461.5495 0.2119201 0.1891704
Moved 2964.676 470.5972 481.5972 0.256012 0.2407334
Moved 2964.706 484 495 0.287037 0.2752057
Moved 2964.737 496.0907 503.6544 0.3150247 0.2974649
Moved 2964.768 506.3555 511.2666 0.3387859 0.3170436
Moved 2964.798 512.9199 515.9199 0.3539811 0.3290119
Moved 2964.829 518.7041 517 0.3673706 0.33179
Moved 2964.86 523.6967 519 0.3789275 0.3369341
Moved 2964.891 525.1068 519 0.3821918 0.3369341
Stationary 2964.921 525 519 0.3819444 0.3369341
Moved 2964.952 525 514.3542 0.3819444 0.3249849
Moved 2964.983 511.8436 498.7654 0.3514898 0.2848905
Moved 2965.014 495.5006 476.251 0.3136589 0.2269829
Moved 2965.044 484.1671 450.4177 0.2874238 0.1605392
Moved 2965.075 471.7116 417.957 0.2585918 0.07704993
Moved 2965.106 459.2377 390.0942 0.2297168 0.005386219
Moved 2965.136 449.8805 362.5221 0.2080568 -0.06552967
Moved 2965.167 443.8133 340.3777 0.1940123 -0.1224854
Moved 2965.198 439.0677 315.4737 0.1830271 -0.1865389
Moved 2965.229 436.1949 295.364 0.176377 -0.2382615
Moved 2965.26 435 276 0.1736111 -0.288066
Moved 2965.29 434 258.8943 0.1712963 -0.3320621
Moved 2965.321 434 248.733 0.1712963 -0.358197
Moved 2965.352 434 242.0398 0.1712963 -0.3754121
Moved 2965.383 434 238.6475 0.1712963 -0.3841372
Moved 2965.413 434 234.6544 0.1712963 -0.3944073
Moved 2965.444 434 233.5 0.1712963 -0.3973766
Moved 2965.475 434 232.7854 0.1712963 -0.3992145
Stationary 2965.506 434 233 0.1712963 -0.3986626
Stationary 2965.536 434 233 0.1712963 -0.3986626
Moved 2965.567 431.2162 245.5676 0.1648522 -0.3663385
Moved 2965.598 423.1574 255.79 0.1461978 -0.3400463
Moved 2965.628 411.8369 276.5354 0.1199929 -0.2866888
Moved 2965.659 400.9944 294.0112 0.09489446 -0.2417409
Moved 2965.69 394.9321 307.1358 0.08086135 -0.2079841
