are you sure you want this
are you sure you want this
Basic
List

0.6 0.6
432 388.8
Began 847.973 151 424 -0.4837963 0.09259254
Stationary 848.0037 151 424 -0.4837963 0.09259254
Stationary 848.0344 151 424 -0.4837963 0.09259254
Stationary 848.0652 151 424 -0.4837963 0.09259254
Stationary 848.0959 151 424 -0.4837963 0.09259254
Stationary 848.1266 151 424 -0.4837963 0.09259254
Stationary 848.1574 151 424 -0.4837963 0.09259254
Stationary 848.188 151 424 -0.4837963 0.09259254
Moved 848.2188 163.7855 424 -0.4542002 0.09259254
Moved 848.2496 168.5016 424 -0.4432833 0.09259254
Moved 848.2803 171.1253 424 -0.4372101 0.09259254
Moved 848.311 173.6464 424 -0.431374 0.09259254
Moved 848.3417 176.5166 424 -0.4247301 0.09259254
Moved 848.3725 179.3853 424 -0.4180897 0.09259254
Moved 848.4032 180.9672 424 -0.4144277 0.09259254
Moved 848.434 189.3376 424 -0.3950518 0.09259254
Moved 848.4646 204.9696 439.5497 -0.3588666 0.1325867
Moved 848.4954 224.046 454.468 -0.3147083 0.1709567
Moved 848.5261 241.9027 470.677 -0.2733734 0.2126465
Moved 848.5568 259.9361 487.9361 -0.2316294 0.2570372
Moved 848.5876 274.4128 501.4127 -0.1981186 0.2916994
Moved 848.6183 283.5 509.5 -0.1770833 0.3124999
Moved 848.649 288.4622 515.4622 -0.1655968 0.3278347
Moved 848.6798 292.1056 519.1055 -0.1571631 0.3372055
Moved 848.7105 295.9799 522.98 -0.1481946 0.3471706
Moved 848.7412 298.5254 526.5254 -0.1423023 0.3562895
Moved 848.772 301.3985 529.3985 -0.1356515 0.3636792
Moved 848.8027 304.2709 533.2709 -0.1290025 0.3736392
Moved 848.8334 307.1432 536.1432 -0.1223538 0.3810266
Moved 848.8641 308.6629 538.6629 -0.1188359 0.3875074
Moved 848.8949 310 541.5303 -0.1157407 0.3948824
Moved 848.9255 311.5 543.5 -0.1122685 0.3999484
Moved 848.9563 311 544.374 -0.113426 0.4021963
Moved 848.9871 311 545 -0.113426 0.4038065
Stationary 849.0178 311 545 -0.113426 0.4038065
Moved 849.0485 300.8181 545 -0.1369952 0.4038065
Moved 849.0793 293.483 545 -0.1539745 0.4038065
Moved 849.1099 283.9897 538 -0.1759498 0.3858024
Moved 849.1407 275.3597 536 -0.1959266 0.3806583
Moved 849.1714 267.5 533.5 -0.2141203 0.3742283
Moved 849.2022 262.7442 531.7442 -0.2251292 0.3697124
Moved 849.2329 258.872 530.872 -0.2340926 0.3674691
Moved 849.2636 257.5 531 -0.2372685 0.3677982
Moved 849.2944 255.5696 529.5696 -0.241737 0.3641194
Moved 849.3251 255 530 -0.2430556 0.3652262
Stationary 849.3558 255 530 -0.2430556 0.3652262
Ended 849.3865 255 530 -0.2430556 0.3652262
Candidates 849.4787 13 are art at date set see water ar ate asset sweet we sat
Began 850.5235 432 523 0.1666667 0.3472221
Stationary 850.5542 432 523 0.1666667 0.3472221
Stationary 850.585 432 523 0.1666667 0.3472221
Stationary 850.6156 432 523 0.1666667 0.3472221
Stationary 850.6464 432 523 0.1666667 0.3472221
Stationary 850.6771 432 523 0.1666667 0.3472221
Stationary 850.7078 432 523 0.1666667 0.3472221
Stationary 850.7386 432 523 0.1666667 0.3472221
Stationary 850.7693 432 523 0.1666667 0.3472221
Stationary 850.8 432 523 0.1666667 0.3472221
Stationary 850.8307 432 523 0.1666667 0.3472221
Moved 850.8615 432 512.8602 0.1666667 0.3211425
Moved 850.8922 445.0225 509.9925 0.1968114 0.3137666
Moved 850.9229 454.5152 509 0.2187851 0.3112139
Moved 850.9537 468.5 509 0.2511574 0.3112139
Moved 850.9844 492.8494 509 0.3075217 0.3112139
Moved 851.0151 510.9039 509 0.3493145 0.3112139
Moved 851.0458 529.9243 509 0.3933432 0.3112139
Moved 851.0766 543.7725 509 0.4253994 0.3112139
Moved 851.1074 553.2409 509 0.4473169 0.3112139
Moved 851.1381 558.2925 509 0.4590105 0.3112139
Moved 851.1688 563.3079 509 0.4706202 0.3112139
Moved 851.1995 565.674 516 0.4760971 0.329218
Moved 851.2302 567.2778 516 0.4798096 0.329218
Moved 851.2609 568.3713 516 0.482341 0.329218
Moved 851.2917 569.2495 516 0.4843738 0.329218
Stationary 851.3224 569.2495 516 0.4843738 0.329218
Stationary 851.3531 569 516 0.4837963 0.329218
Moved 851.3837 557.6163 516 0.4574452 0.329218
Moved 851.4146 545.2773 516 0.4288826 0.329218
Moved 851.4453 525.9361 516 0.3841113 0.329218
Moved 851.476 504.8118 516 0.3352124 0.329218
Moved 851.5068 482.5 506.5 0.2835648 0.3047839
Moved 851.5375 453.6701 500.4822 0.216829 0.2893061
Moved 851.5682 423.7437 490.6231 0.1475548 0.2639482
Moved 851.5989 399.0426 486.0053 0.09037633 0.2520712
Moved 851.6296 384.2849 481.914 0.05621513 0.2415482
Moved 851.6604 370.922 478.5844 0.0252825 0.2329845
Moved 851.6912 363.1674 477 0.007331967 0.2289094
Moved 851.7219 357.7022 474.8511 -0.005319019 0.2233823
Moved 851.7526 355.331 474.331 -0.01080781 0.2220446
Moved 851.7833 353.4628 474 -0.01513233 0.2211934
Stationary 851.8141 353 474 -0.01620372 0.2211934
Stationary 851.8448 353 474 -0.01620372 0.2211934
Stationary 851.8755 353 474 -0.01620372 0.2211934
Ended 851.9063 353 474 -0.01620372 0.2211934
Accept 852.0291 0 are
Candidates 852.0291 13 you your hope pipe tour type put hot pilot out hour joy toy
Began 853.0739 221 370 -0.3217593 -0.04629637
Stationary 853.1046 221 370 -0.3217593 -0.04629637
Stationary 853.1354 221 370 -0.3217593 -0.04629637
Stationary 853.1661 221 370 -0.3217593 -0.04629637
Stationary 853.1968 221 370 -0.3217593 -0.04629637
Stationary 853.2275 221 370 -0.3217593 -0.04629637
Stationary 853.2583 221 370 -0.3217593 -0.04629637
Stationary 853.289 221 370 -0.3217593 -0.04629637
Stationary 853.3198 221 370 -0.3217593 -0.04629637
Stationary 853.3505 221 370 -0.3217593 -0.04629637
Stationary 853.3812 221 370 -0.3217593 -0.04629637
Stationary 853.4119 221 370 -0.3217593 -0.04629637
Stationary 853.4426 221 370 -0.3217593 -0.04629637
Stationary 853.4734 221 370 -0.3217593 -0.04629637
Stationary 853.5041 221 370 -0.3217593 -0.04629637
Moved 853.5349 233.946 370 -0.2917916 -0.04629637
Moved 853.5656 246.2589 382.4071 -0.2632896 -0.01438502
Moved 853.5963 264.3181 396.3181 -0.2214859 0.02139413
Moved 853.627 283.7502 413.5314 -0.1765043 0.06566707
Moved 853.6578 318.6198 446.4725 -0.09578755 0.1503923
Moved 853.6885 341.153 468.1311 -0.04362737 0.2060984
Moved 853.7192 355.5777 482.4722 -0.0102368 0.2429838
Moved 853.7499 367.205 491.764 0.01667827 0.2668827
Moved 853.7806 373.5888 498.5888 0.03145546 0.2844361
