he is still on our team
he is still on our team
FixStart
Radial

0.6 0.6
432 388.8
Began 642.5953 352 489 -0.01851852 0.2597736
Stationary 642.6261 352 489 -0.01851852 0.2597736
Stationary 642.6568 352 489 -0.01851852 0.2597736
Stationary 642.6875 352 489 -0.01851852 0.2597736
Stationary 642.7183 352 489 -0.01851852 0.2597736
Stationary 642.749 352 489 -0.01851852 0.2597736
Stationary 642.7797 352 489 -0.01851852 0.2597736
Stationary 642.8104 352 489 -0.01851852 0.2597736
Moved 642.8412 368.8488 489 0.02048344 0.2597736
Moved 642.8718 374.5 489 0.03356477 0.2597736
Moved 642.9026 379.1399 489 0.04430542 0.2597736
Moved 642.9333 384.2641 489 0.05616685 0.2597736
Moved 642.9641 389.3503 489 0.06794045 0.2597736
Moved 642.9948 391.4543 496 0.07281095 0.2777777
Moved 643.0255 392 498.0037 0.07407407 0.2829313
Moved 643.0562 392 499.5668 0.07407407 0.2869515
Moved 643.087 383.0196 503.2451 0.05328605 0.2964123
Moved 643.1177 374.5761 508.7119 0.033741 0.310473
Moved 643.1484 365.2509 513.8328 0.01215478 0.3236439
Moved 643.1791 361.0747 517.4626 0.002487798 0.33298
Moved 643.2099 361 521.0229 0.002314846 0.3421371
Moved 643.2405 360 523.3088 0 0.3480165
Moved 643.2714 358.1367 525.8633 -0.004313142 0.3545865
Moved 643.3021 354.1592 529.4203 -0.01352027 0.3637354
Moved 643.3328 344.0916 533.9542 -0.03682489 0.3753964
Moved 643.3635 333.8099 537.4761 -0.06062527 0.3844548
Moved 643.3942 321.8314 539.7922 -0.08835335 0.3904119
Moved 643.425 310.6014 541 -0.1143486 0.3935184
Moved 643.4557 300.2887 543.9037 -0.1382205 0.4009869
Moved 643.4864 290.2936 547.2826 -0.1613575 0.4096774
Moved 643.5171 282.9214 549.6929 -0.1784226 0.4158766
Moved 643.5479 276.4618 553.2691 -0.1933754 0.4250748
Moved 643.5786 271.4109 556.7946 -0.2050672 0.4341423
Moved 643.6093 267.9064 560.0936 -0.2131797 0.4426275
Moved 643.64 263.8203 564.1797 -0.2226381 0.453137
Moved 643.6708 259.8546 570.2908 -0.231818 0.4688548
Moved 643.7015 256.298 574.4039 -0.2400509 0.4794338
Moved 643.7322 255.0591 577.8818 -0.2429187 0.4883789
Moved 643.7629 253.502 580.498 -0.2465231 0.4951079
Moved 643.7936 253 584.048 -0.2476852 0.5042385
Moved 643.8244 253 586.2209 -0.2476852 0.5098274
Ended 643.8551 253 588 -0.2476852 0.5144032
Candidates 643.978 13 he her e here hr r the hee re t free there these
Began 644.439 297 528 -0.1458333 0.3600822
Stationary 644.4697 297 528 -0.1458333 0.3600822
Moved 644.5004 324 528 -0.08333336 0.3600822
Moved 644.5311 369.2976 528 0.02152235 0.3600822
Moved 644.5618 406.9284 528 0.1086307 0.3600822
Moved 644.5925 438.9269 528 0.1827011 0.3600822
Moved 644.6233 455.6866 528 0.2214967 0.3600822
Ended 644.654 478.5 528 0.2743055 0.3600822
Accept 644.7155 0 he
Began 645.0842 312 471 -0.1111111 0.2134772
Stationary 645.1149 312 471 -0.1111111 0.2134772
Stationary 645.1456 312 471 -0.1111111 0.2134772
Moved 645.1763 331.2882 481.3051 -0.06646255 0.2399822
Moved 645.207 365.2077 501.3246 0.01205484 0.2914726
Moved 645.2378 400.2176 523.997 0.0930963 0.3497864
Moved 645.2686 423.019 540.0148 0.1458774 0.3909846
Moved 645.2993 437.7697 551.2158 0.1800224 0.4197935
Moved 645.33 446.4564 557.4564 0.2001304 0.4358444
Moved 645.3607 452.7491 562.749 0.2146969 0.4494573
Moved 645.3914 457.846 566.8461 0.2264955 0.459995
Moved 645.4221 459 569.4695 0.2291666 0.4667424
Moved 645.4529 460 571.715 0.2314815 0.4725178
Moved 645.4836 460 573.5 0.2314815 0.4771089
Moved 645.5143 442.8506 575 0.1917839 0.480967
Moved 645.545 430.0541 576 0.1621622 0.483539
Moved 645.5758 410.8861 576 0.117792 0.483539
Moved 645.6065 392.0511 567.2947 0.07419248 0.4611489
Moved 645.6373 374.6373 561.614 0.03388266 0.446538
Moved 645.668 343.4391 547.895 -0.03833537 0.4112524
Moved 645.6987 306.4399 526.6989 -0.1239817 0.3567358
Moved 645.7294 272.4967 504.9978 -0.2025539 0.3009202
Moved 645.7601 248.2336 489.396 -0.2587184 0.260792
Moved 645.7908 231.2603 477.5502 -0.2980086 0.2303246
Moved 645.8216 221.1033 470.4826 -0.3215202 0.2121465
Moved 645.8523 210.7638 464.8228 -0.3454542 0.1975895
Moved 645.883 203.1486 461.3829 -0.363082 0.1887418
Moved 645.9138 196.4911 457.8304 -0.3784928 0.1796048
Moved 645.9445 192.318 455.659 -0.3881529 0.17402
Moved 645.9752 188.0193 453.0096 -0.3981036 0.1672058
Moved 646.0059 185.4542 451.4542 -0.4040413 0.1632051
Moved 646.0367 182.8951 451 -0.4099651 0.162037
Moved 646.0674 181.6186 449.6186 -0.4129199 0.158484
Moved 646.0981 179.5 448.5 -0.4178241 0.1556069
Moved 646.1288 179 449 -0.4189815 0.156893
Ended 646.1596 179 449 -0.4189815 0.156893
Candidates 646.2518 13 is goods god kids odds pass id if pa gods his ps odd
Began 646.7741 300 490 -0.1388889 0.2623456
Stationary 646.8049 300 490 -0.1388889 0.2623456
Moved 646.8356 354.0309 490 -0.01381735 0.2623456
Moved 646.8662 405.7825 490 0.105978 0.2623456
Moved 646.897 434.5 490 0.1724537 0.2623456
Moved 646.9277 458.9426 490 0.2290338 0.2623456
Moved 646.9585 476.5 490 0.2696759 0.2623456
Ended 646.9892 486.5 490 0.2928241 0.2623456
Accept 647.0507 0 is
Began 647.4808 375 489 0.03472219 0.2597736
Stationary 647.5115 375 489 0.03472219 0.2597736
Stationary 647.5422 375 489 0.03472219 0.2597736
Moved 647.573 348.0967 489 -0.02755393 0.2597736
Moved 647.6037 330.4961 489 -0.06829615 0.2597736
Moved 647.6345 308.2382 489 -0.119819 0.2597736
Moved 647.6652 288.7655 489 -0.1648946 0.2597736
Moved 647.6959 273.4751 489 -0.2002892 0.2597736
Moved 647.7266 258.9976 489 -0.2338019 0.2597736
Moved 647.7573 242.0976 489 -0.2729221 0.2597736
Moved 647.7881 230.9632 498.6789 -0.2986962 0.2846678
Moved 647.8188 225.5517 503.2241 -0.3112229 0.2963582
Moved 647.8495 222.6535 507.6931 -0.3179317 0.3078524
Moved 647.8802 220.0023 510.9953 -0.3240687 0.3163458
Moved 647.911 219 513.5 -0.3263889 0.3227879
Moved 647.9417 218 518.192 -0.3287037 0.3348558
Moved 647.9724 227.1336 523.9144 -0.307561 0.3495741
Moved 648.0031 239.6479 531.7653 -0.2785929 0.3697665
Moved 648.0339 256.5 544 -0.2395834 0.4012345
Moved 648.0646 272.2184 556.2184 -0.203198 0.4326605
