I can play much better now
I can play much better now
FixStart
Radial

0.6 0.6
432 388.8
Began 1214.778 284 370 -0.1759259 -0.04629637
Stationary 1214.808 284 370 -0.1759259 -0.04629637
Stationary 1214.839 284 370 -0.1759259 -0.04629637
Moved 1214.87 290.8152 380.2228 -0.16015 -0.02000314
Moved 1214.9 304.495 400.3507 -0.1284838 0.03176618
Moved 1214.931 318.3334 418.2668 -0.0964504 0.07784674
Moved 1214.962 339.1028 443.1336 -0.04837324 0.1418045
Moved 1214.993 356.8408 464.9771 -0.007313043 0.1979862
Moved 1215.023 366.6321 476.5095 0.01535207 0.2276479
Moved 1215.054 372.7888 482.7888 0.02960364 0.2437983
Moved 1215.085 375.9439 486.8879 0.03690729 0.2543412
Moved 1215.115 378.5 489.5 0.04282405 0.2610596
Moved 1215.146 380 490 0.04629632 0.2623456
Ended 1215.177 381.0276 490 0.04867504 0.2623456
Candidates 1215.269 13 I ii iii u gi go o hi it iu you y guy
Began 1215.792 330 452 -0.06944443 0.164609
Stationary 1215.822 330 452 -0.06944443 0.164609
Moved 1215.853 369.2714 445.7563 0.02146165 0.1485501
Moved 1215.884 412.1 440.1125 0.1206018 0.1340341
Moved 1215.915 442.295 438 0.1904978 0.1286007
Moved 1215.945 489.1882 436 0.2990468 0.1234567
Ended 1215.976 489.1882 436 0.2990468 0.1234567
Accept 1216.068 0 I
Began 1216.529 388 513 0.06481478 0.321502
Stationary 1216.56 388 513 0.06481478 0.321502
Stationary 1216.591 388 513 0.06481478 0.321502
Moved 1216.621 375.7568 492.5946 0.03647397 0.2690189
Moved 1216.652 365.2857 477.9429 0.01223554 0.2313345
Moved 1216.683 351.6227 461.6227 -0.01939182 0.1893588
Moved 1216.714 337.2701 444.8151 -0.05261561 0.1461292
Moved 1216.744 322.8943 433.9155 -0.08589278 0.1180953
Moved 1216.775 310.6217 424.0811 -0.1143017 0.09280114
Moved 1216.806 303.4545 416.4545 -0.1308924 0.07318532
Moved 1216.836 296.0289 409.0289 -0.1480812 0.05408648
Moved 1216.867 293.2311 404.2311 -0.1545577 0.04174652
Moved 1216.898 289.7021 397.5531 -0.1627266 0.02457065
Moved 1216.929 288.2923 390.5845 -0.1659901 0.006647345
Moved 1216.959 288 384.5093 -0.1666667 -0.008978235
Moved 1216.99 288 378.4319 -0.1666667 -0.02460935
Moved 1217.021 288 374.9828 -0.1666667 -0.0334804
Moved 1217.052 288 371.5 -0.1666667 -0.04243827
Moved 1217.082 288 369.9464 -0.1666667 -0.04643421
Stationary 1217.113 288 370 -0.1666667 -0.04629637
Stationary 1217.144 288 370 -0.1666667 -0.04629637
Moved 1217.175 252.6642 432.2347 -0.2484625 0.1137724
Moved 1217.205 244.8282 455.4296 -0.2666015 0.17343
Moved 1217.236 236.0083 480.1801 -0.2870179 0.2370888
Moved 1217.267 229.5558 498.6104 -0.3019541 0.2844917
Moved 1217.297 220.3385 517.9077 -0.3232906 0.3341245
Moved 1217.328 210.1393 537.7563 -0.3468999 0.3851755
Moved 1217.359 197.5 555 -0.3761574 0.4295266
Moved 1217.39 190.9651 564.0349 -0.3912845 0.4527646
Moved 1217.42 184.3697 570.6303 -0.4065517 0.4697281
Moved 1217.451 181.1337 573.8663 -0.4140425 0.4780512
Moved 1217.482 180 576.4218 -0.4166667 0.4846239
Moved 1217.513 179 576.6909 -0.4189815 0.4853159
Stationary 1217.543 179 577 -0.4189815 0.4861111
Stationary 1217.574 179 577 -0.4189815 0.4861111
Moved 1217.605 198.3253 557.6747 -0.374247 0.436406
Moved 1217.635 220.6659 538.645 -0.3225325 0.3874612
Moved 1217.666 254.5155 510.8093 -0.2441771 0.3158673
Moved 1217.697 288.696 486.9797 -0.1650555 0.2545772
Moved 1217.728 322.7539 463.1641 -0.08621772 0.1933231
Moved 1217.758 354.9887 445.806 -0.01160021 0.148678
Moved 1217.789 386.7356 430.6656 0.0618879 0.1097367
Moved 1217.82 409.9839 420.131 0.1157034 0.08264149
Moved 1217.851 432.429 410.2855 0.1676596 0.05731865
Moved 1217.881 445.9909 405.3364 0.199053 0.04458941
Moved 1217.912 463.906 400.0269 0.2405231 0.03093319
Moved 1217.943 476.5 396.5 0.2696759 0.02186214
Moved 1217.974 487.3886 392.9028 0.294881 0.01261013
Moved 1218.004 495.9728 389.7568 0.3147518 0.004518415
Moved 1218.035 502.7562 389 0.3304541 0.002572016
Moved 1218.066 508.881 386.5595 0.3446319 -0.003705005
Moved 1218.096 513.9707 386 0.3564136 -0.005144111
Moved 1218.127 520.8141 386 0.3722548 -0.005144111
Ended 1218.158 520.8141 386 0.3722548 -0.005144111
Candidates 1218.219 13 can am cam van san fan adam cream dan ann csn saddam ban
Began 1218.742 344 447 -0.03703703 0.1517489
Stationary 1218.772 344 447 -0.03703703 0.1517489
Stationary 1218.803 344 447 -0.03703703 0.1517489
Moved 1218.834 353.8229 447 -0.01429881 0.1517489
Moved 1218.865 388.7833 440.5678 0.06662806 0.1352052
Moved 1218.895 423.4609 434.6719 0.1469002 0.1200407
Moved 1218.926 451.1831 430.2817 0.211072 0.1087491
Ended 1218.957 485.2175 427.7188 0.2898552 0.1021573
Accept 1219.018 0 can
Began 1219.633 380 442 0.04629632 0.1388888
Stationary 1219.664 380 442 0.04629632 0.1388888
Stationary 1219.694 380 442 0.04629632 0.1388888
Moved 1219.725 388.7081 454.8702 0.06645391 0.1719912
Moved 1219.756 399.1862 464.9885 0.09070883 0.1980156
Moved 1219.787 421.9178 484.1071 0.1433283 0.247189
Moved 1219.817 444.9644 503.5939 0.196677 0.2973092
Moved 1219.848 467.3194 518.5463 0.2484246 0.3357671
Moved 1219.879 485.2182 529.6768 0.289857 0.364395
Moved 1219.91 504.4421 542.7017 0.3343566 0.3978952
Moved 1219.94 520.7828 554.4857 0.3721823 0.4282037
Moved 1219.971 534.4084 563.5563 0.4037232 0.4515336
Moved 1220.002 544.2391 569.1196 0.4264795 0.4658424
Moved 1220.032 554.5174 576.2587 0.4502718 0.4842043
Moved 1220.063 559.1858 580.1858 0.4610782 0.4943049
Moved 1220.094 561.748 580 0.4670093 0.4938271
Moved 1220.125 562.5 580 0.46875 0.4938271
Moved 1220.155 562 580 0.4675925 0.4938271
Moved 1220.186 562 568.4722 0.4675925 0.4641773
Moved 1220.217 562 555.5544 0.4675925 0.4309527
Moved 1220.248 563.9467 540.373 0.4720989 0.3919059
Moved 1220.278 566.4883 520.5819 0.4779822 0.3410028
Moved 1220.309 570.0751 504.7747 0.4862849 0.3003464
Moved 1220.34 571.5972 489.8195 0.4898084 0.2618814
Moved 1220.37 572 476.5504 0.4907407 0.2277529
Moved 1220.401 572 465.2711 0.4907407 0.1987424
Moved 1220.432 572 455.0547 0.4907407 0.1724658
Moved 1220.463 561.5 449 0.4664352 0.156893
Moved 1220.493 560.2976 442.4464 0.4636519 0.140037
Moved 1220.524 553.9167 437.2778 0.4488812 0.1267432
Moved 1220.555 545.3375 435.0844 0.429022 0.1211016
Moved 1220.586 522.342 435 0.3757916 0.1208847
Moved 1220.616 470.6257 445.0746 0.2560779 0.1467969
Moved 1220.647 399.4018 465.0961 0.09120782 0.1982923
Moved 1220.678 357.4228 471.4595 -0.00596568 0.2146592
Moved 1220.708 314.1035 476.7663 -0.1062419 0.2283082
Moved 1220.739 275.0929 480 -0.1965443 0.2366254
Moved 1220.77 235.2029 480 -0.2888822 0.2366254
Moved 1220.801 214.7776 480 -0.3361628 0.2366254
Moved 1220.831 197.0719 480 -0.3771484 0.2366254
Moved 1220.862 184.5 480 -0.40625 0.2366254
Moved 1220.893 174.8118 480 -0.4286765 0.2366254
Moved 1220.924 167.1834 480 -0.4463347 0.2366254
Moved 1220.954 161.6666 480 -0.459105 0.2366254
Moved 1220.985 156 480 -0.4722222 0.2366254
Moved 1221.016 152.0131 480 -0.4814511 0.2366254
Moved 1221.047 148.5 480 -0.4895833 0.2366254
Moved 1221.077 144.9275 480 -0.497853 0.2366254
Moved 1221.108 142.5 480 -0.5034722 0.2366254
Moved 1221.139 141.1455 480 -0.5066077 0.2366254
Moved 1221.169 140.5 480 -0.5081019 0.2366254
Moved 1221.2 148.6351 483.9088 -0.4892707 0.2466788
Moved 1221.231 162 490.5 -0.4583334 0.2636316
Moved 1221.262 183.906 499.7108 -0.407625 0.287322
Moved 1221.292 208.9788 510.0832 -0.3495862 0.3139999
Moved 1221.323 232.6221 522.311 -0.2948563 0.34545
Moved 1221.354 253.07 529.1512 -0.2475231 0.3630432
Moved 1221.385 270.2019 535.9507 -0.207866 0.3805315
Moved 1221.415 287.2064 540.4022 -0.1685037 0.3919807
Moved 1221.446 304.2982 544.7569 -0.1289393 0.4031812
Moved 1221.477 317.572 548.3144 -0.09821305 0.4123312
Moved 1221.507 329.5 552 -0.07060184 0.4218106
Moved 1221.538 342.4814 554.0963 -0.04055237 0.4272022
Moved 1221.569 353.6619 556.6655 -0.01467153 0.4338103
Moved 1221.6 363.8727 559.4363 0.008964637 0.440937
