I will meet you at noon
I will meet you at noon
FixStart
Radial

0.6 0.6
432 388.8
Began 382.4469 373 485 0.0300926 0.2494856
Stationary 382.4777 373 485 0.0300926 0.2494856
Moved 382.5083 386.106 501.7903 0.06043056 0.2926706
Moved 382.539 405.9225 528.6036 0.1063021 0.3616348
Moved 382.5698 421.6165 551.9248 0.1426309 0.4216173
Moved 382.6005 432.9359 572.8718 0.1688331 0.4754933
Moved 382.6312 438.8531 589.2653 0.1825302 0.5176576
Moved 382.6619 442.5 599.5 0.1909722 0.5439814
Moved 382.6927 443 605.4747 0.1921296 0.5593485
Moved 382.7234 444 611.1036 0.1944444 0.573826
Moved 382.7541 445 613.9744 0.1967593 0.5812098
Moved 382.7848 446 616.5447 0.199074 0.5878207
Moved 382.8155 447.5 618.5 0.2025463 0.5928496
Moved 382.8463 448 620.2781 0.2037037 0.5974231
Moved 382.877 449.3734 621.3734 0.2068829 0.6002402
Moved 382.9077 450.2068 622.2068 0.208812 0.6023836
Moved 382.9384 451.1866 623.1866 0.2110801 0.6049036
Moved 382.9692 452.3745 624.3745 0.2138299 0.607959
Moved 382.9999 453 625.5 0.2152778 0.6108538
Moved 383.0306 454.8184 625 0.219487 0.6095678
Ended 383.0613 455.5 625 0.2210648 0.6095678
Candidates 383.2764 13 I u ii iii it gi go o hi guy iu y you
Began 383.5836 345 543 -0.03472224 0.3986624
Moved 383.6143 356.939 543 -0.007085601 0.3986624
Moved 383.6451 394.0221 543 0.07875491 0.3986624
Moved 383.6758 429.3531 543 0.1605397 0.3986624
Moved 383.7065 463.2184 543 0.2389315 0.3986624
Moved 383.7372 484.5 543 0.2881944 0.3986624
Moved 383.7679 499.2603 543 0.3223619 0.3986624
Ended 383.7987 510.5 553.5 0.3483796 0.4256686
Accept 383.8601 0 I
Began 384.321 362 515 0.004629592 0.326646
Stationary 384.3517 362 515 0.004629592 0.326646
Stationary 384.3824 362 515 0.004629592 0.326646
Stationary 384.4131 362 515 0.004629592 0.326646
Moved 384.4438 344.8418 541.7026 -0.03508851 0.3953255
Moved 384.4746 334.8925 559.215 -0.05811925 0.4403677
Moved 384.5053 325.2614 579.7234 -0.08041337 0.4931156
Moved 384.536 314.6165 594.6391 -0.1050543 0.5314791
Moved 384.5667 303.3588 604.9809 -0.1311139 0.5580783
Moved 384.5975 292.398 614.068 -0.156486 0.5814505
Moved 384.6282 281.3759 622.2181 -0.1820002 0.6024127
Moved 384.6589 271.2607 625.9348 -0.2054151 0.6119722
Moved 384.6896 260.8603 629.7849 -0.22949 0.6218747
Moved 384.7203 252.6774 631.6613 -0.2484319 0.6267006
Moved 384.751 246.929 633 -0.2617384 0.6301439
Moved 384.7818 243.9194 634 -0.268705 0.632716
Moved 384.8125 241.5 635.5 -0.2743055 0.636574
Moved 384.8433 240 635.8265 -0.2777777 0.6374137
Moved 384.8739 239 636 -0.2800926 0.6378599
Stationary 384.9047 239 636 -0.2800926 0.6378599
Moved 384.9354 239 637.0298 -0.2800926 0.6405086
Moved 384.9662 238.0326 637 -0.2823319 0.6404321
Stationary 384.9968 238 637 -0.2824074 0.6404321
Stationary 385.0276 238 637 -0.2824074 0.6404321
Moved 385.0583 238 638 -0.2824074 0.643004
Moved 385.0891 249.5562 644.4669 -0.2556569 0.6596369
Moved 385.1197 265.5699 652.0887 -0.2185882 0.6792405
Moved 385.1504 289.956 658.5651 -0.162139 0.6958978
Moved 385.1812 313.0705 661.4387 -0.108633 0.7032887
Moved 385.2119 335.6294 663.9588 -0.05641336 0.7097706
Moved 385.2426 364.3949 666.8217 0.01017332 0.7171338
Moved 385.2733 385.1808 667.6968 0.05828898 0.7193846
Moved 385.3041 402.8477 668 0.09918441 0.7201646
Moved 385.3347 417.5996 669 0.1333323 0.7227365
Moved 385.3655 428.9588 669 0.1596268 0.7227365
Moved 385.3962 436.7164 669 0.1775842 0.7227365
Moved 385.4269 442 669 0.1898148 0.7227365
Moved 385.4576 449.7433 669 0.2077392 0.7227365
Moved 385.4884 454.2441 662 0.2181578 0.7047324
Moved 385.5191 458.0007 660 0.2268534 0.6995884
Moved 385.5498 459.5743 657.4257 0.230496 0.6929672
Moved 385.5806 461 654.1073 0.2337964 0.6844321
Moved 385.6113 463.3269 641.0383 0.2391827 0.6508187
Moved 385.642 465.1948 620.6364 0.2435064 0.5983446
Moved 385.6727 469.4708 599.3229 0.2534047 0.543526
Moved 385.7035 476.8359 579.3282 0.2704534 0.4920993
Moved 385.7342 483.4737 564.1052 0.2858188 0.4529452
Moved 385.7649 486.9803 555.059 0.2939359 0.4296785
Moved 385.7956 490.8532 548.2935 0.3029011 0.4122775
Moved 385.8264 492.7278 543.2722 0.3072403 0.3993625
Moved 385.8571 494.6006 538.3994 0.3115754 0.3868297
Moved 385.8878 495 535.8513 0.3125 0.3802758
Moved 385.9185 497.0186 532.9813 0.3171728 0.3728943
Moved 385.9492 497.8952 530.1048 0.3192017 0.3654958
Moved 385.9799 498 528.6271 0.3194444 0.3616952
Moved 386.0107 499 526.8572 0.3217593 0.3571429
Moved 386.0414 501 523.8405 0.3263889 0.349384
Moved 386.0721 503 520.9698 0.3310186 0.3420005
Moved 386.1028 504.6046 520 0.3347329 0.3395061
Moved 386.1336 506.4769 518 0.339067 0.3343621
Moved 386.1643 509.349 517 0.3457153 0.33179
Moved 386.195 514.4419 516 0.3575044 0.329218
Ended 386.2257 514.4419 516 0.3575044 0.329218
Candidates 386.3179 13 will feel still grill took wool roll tell fell till week gel rio
Began 386.7788 365 562 0.01157403 0.4475308
Stationary 386.8094 365 562 0.01157403 0.4475308
Stationary 386.8402 365 562 0.01157403 0.4475308
Moved 386.871 404.7593 562 0.1036096 0.4475308
Moved 386.9016 447.1838 570.4833 0.2018144 0.46935
Moved 386.9324 485.0202 572 0.2893987 0.4732509
Moved 386.9631 506.5862 572 0.3393198 0.4732509
Moved 386.9938 525.4946 572 0.3830893 0.4732509
Moved 387.0245 548 572 0.4351853 0.4732509
Ended 387.0553 548 572 0.4351853 0.4732509
Accept 387.1167 0 will
Began 387.7004 416 616 0.1296297 0.5864196
Moved 387.7311 424.4104 605.487 0.1490981 0.55938
