the back yard of our house
the back yard of our house
Basic
Radial

0.6 0.6
432 388.8
Began 3195.108 331 570 -0.06712963 0.4681069
Stationary 3195.139 331 570 -0.06712963 0.4681069
Moved 3195.169 331 554.5757 -0.06712963 0.4284353
Moved 3195.2 331 542.6935 -0.06712963 0.3978743
Moved 3195.231 331 526.5646 -0.06712963 0.3563904
Moved 3195.261 331 510.3163 -0.06712963 0.3145994
Moved 3195.292 331 495.4471 -0.06712963 0.2763556
Moved 3195.323 331 480.0867 -0.06712963 0.2368484
Moved 3195.354 331 469.9859 -0.06712963 0.210869
Moved 3195.385 335.3642 460.5062 -0.05702739 0.186487
Moved 3195.415 341.4983 453.0034 -0.04282802 0.1671898
Moved 3195.446 344.0255 447.9745 -0.03697793 0.1542552
Moved 3195.477 347.8219 443.1782 -0.02819012 0.1419191
Moved 3195.507 351.7791 438.4418 -0.01902988 0.1297372
Moved 3195.538 356.2857 433.7143 -0.00859782 0.1175778
Moved 3195.569 360.3013 429.6987 0.000697573 0.1072496
Moved 3195.6 365.0562 424.9719 0.01170427 0.09509212
Moved 3195.63 370.8005 418.2993 0.02500107 0.07793029
Moved 3195.661 378.5 410.5 0.04282405 0.05787029
Moved 3195.692 385.63 402.0551 0.05932868 0.03614979
Moved 3195.723 393.3781 394.6218 0.0772642 0.01703133
Moved 3195.753 399.1287 389.8713 0.0905757 0.004812954
Moved 3195.784 401.5803 387.4197 0.09625067 -0.001492716
Moved 3195.815 403 384.5494 0.09953707 -0.008875136
Moved 3195.845 403 383.6765 0.09953707 -0.01112008
Stationary 3195.876 403 384 0.09953707 -0.01028807
Moved 3195.907 382.3899 397.8417 0.05182843 0.02531303
Moved 3195.938 364.8104 413.1896 0.01113524 0.06478796
Moved 3195.969 346.4123 432.1052 -0.03145298 0.1134393
Moved 3195.999 333.8159 448.2208 -0.06061121 0.1548889
Moved 3196.03 322.3141 464.6073 -0.08723577 0.1970352
Moved 3196.061 312.6077 478.9872 -0.1097045 0.2340206
Moved 3196.091 302.9963 492.3395 -0.1319531 0.268363
Moved 3196.122 295.333 504.0004 -0.149692 0.298355
Moved 3196.153 287.8866 514.1512 -0.1669293 0.324463
Moved 3196.184 280.1759 526.6481 -0.1847779 0.3566052
Moved 3196.214 274 536.5 -0.199074 0.3819444
Moved 3196.245 269.6655 546.338 -0.2091076 0.4072479
Moved 3196.276 264.5834 552.4166 -0.2208718 0.4228822
Moved 3196.306 263 556.074 -0.2245371 0.4322891
Moved 3196.337 261 558.5914 -0.2291666 0.4387638
Moved 3196.368 260 561.4665 -0.2314815 0.4461586
Ended 3196.399 260 562.5 -0.2314815 0.4488167
Candidates 3196.491 13 the there where other she threw he register enter what regret free tiger
Began 3197.013 308 470 -0.1203704 0.2109053
Stationary 3197.044 308 470 -0.1203704 0.2109053
Moved 3197.075 339.7185 470 -0.0469479 0.2109053
Moved 3197.105 381.8799 470 0.05064785 0.2109053
Moved 3197.136 418.4837 470 0.135379 0.2109053
Moved 3197.167 460.5 470 0.2326389 0.2109053
Ended 3197.198 460.5 470 0.2326389 0.2109053
Accept 3197.259 0 the
Began 3198.243 379 300 0.04398147 -0.2263375
Stationary 3198.273 379 300 0.04398147 -0.2263375
Stationary 3198.304 379 300 0.04398147 -0.2263375
Stationary 3198.335 379 300 0.04398147 -0.2263375
Stationary 3198.365 379 300 0.04398147 -0.2263375
Stationary 3198.396 379 300 0.04398147 -0.2263375
Moved 3198.427 366.1495 300 0.01423508 -0.2263375
Moved 3198.458 354.6091 300 -0.01247888 -0.2263375
Moved 3198.489 341.3526 300 -0.04316529 -0.2263375
Moved 3198.519 329.4322 300 -0.0707589 -0.2263375
Moved 3198.55 318.4333 300 -0.09621933 -0.2263375
Moved 3198.581 310.1714 306.6001 -0.115344 -0.2093619
Moved 3198.612 301.548 310.8173 -0.1353055 -0.1985151
Moved 3198.642 292.2308 316.0769 -0.1568732 -0.1849875
Moved 3198.673 282 322 -0.1805555 -0.1697531
Moved 3198.704 271.6729 333.3271 -0.2044609 -0.1406196
Moved 3198.734 260.2021 344.7979 -0.2310136 -0.1111166
Moved 3198.765 249.5351 358.2866 -0.2557058 -0.07642353
Moved 3198.796 239.7749 370.5314 -0.2782989 -0.0449296
Moved 3198.827 229.1703 386.1063 -0.3028466 -0.004870607
Moved 3198.857 221.7363 395.2637 -0.3200549 0.01868244
Moved 3198.888 216.9927 400.0036 -0.3310353 0.03087334
Moved 3198.919 213.459 402.5411 -0.3392154 0.03739985
Moved 3198.949 210.5832 403 -0.3458722 0.03858017
Moved 3198.98 208.5 403 -0.3506944 0.03858017
Moved 3199.011 206.1602 403 -0.3561107 0.03858017
Moved 3199.042 203.3471 392.3884 -0.3626225 0.01128691
Moved 3199.073 201 375.2859 -0.3680556 -0.03270106
Moved 3199.103 200 356.6188 -0.3703704 -0.08071311
Moved 3199.134 200 341.364 -0.3703704 -0.1199485
Moved 3199.165 207.3816 320.4385 -0.3532832 -0.1737693
Moved 3199.196 220.4723 301.8332 -0.3229808 -0.2216225
Moved 3199.226 236 287.5 -0.287037 -0.2584877
Moved 3199.257 254.6632 274.621 -0.2438352 -0.2916125
Moved 3199.288 274.7452 265.1092 -0.1973491 -0.3160772
Moved 3199.318 293.8701 257.3228 -0.1530784 -0.3361039
Moved 3199.349 307.8766 252.3745 -0.1206559 -0.3488311
Moved 3199.38 323.3957 248.7208 -0.08473227 -0.3582284
Moved 3199.411 334.4632 245.8456 -0.05911306 -0.3656237
Moved 3199.441 343.0782 245 -0.03917093 -0.3677984
Moved 3199.472 348.1293 245 -0.02747839 -0.3677984
Moved 3199.503 353.8755 245 -0.01417711 -0.3677984
Moved 3199.533 360.9029 245 0.002089937 -0.3677984
Moved 3199.564 368.5704 250.9976 0.01983881 -0.3523726
Moved 3199.595 384.1142 265.7999 0.05581995 -0.3143006
Moved 3199.626 398.8015 282.3618 0.08981834 -0.2717031
Moved 3199.656 413.1164 301.963 0.1229546 -0.2212886
Moved 3199.687 426.861 320.7776 0.1547708 -0.1728971
Moved 3199.718 439.3804 339.9157 0.1837509 -0.1236737
Moved 3199.749 448.1609 355.3218 0.2040762 -0.08404884
Moved 3199.779 458 369.5 0.2268519 -0.04758238
Moved 3199.81 467.4478 386.6716 0.2487216 -0.003416626
Moved 3199.841 475.9246 399.8995 0.268344 0.0306056
Moved 3199.872 484.5645 412.4194 0.2883438 0.0628069
Moved 3199.902 490.9669 421.9669 0.303164 0.08736324
Moved 3199.933 496.5961 430.5961 0.3161948 0.1095579
Ended 3199.964 507 439.5 0.3402778 0.1324588
Candidates 3200.025 13 back bank nacl naacp jack ball hazmi backup camp track nazi lack call
Began 3200.456 301 451 -0.1365741 0.162037
Stationary 3200.486 301 451 -0.1365741 0.162037
Moved 3200.517 316.6287 451 -0.1003965 0.162037
Moved 3200.548 347.5 462 -0.02893518 0.1903292
Moved 3200.578 380.0818 467.2082 0.04648566 0.2037246
Moved 3200.609 406.6257 467 0.1079299 0.2031892
Ended 3200.64 425 468 0.150463 0.2057612
Accept 3200.701 0 back
Began 3201.285 348 624 -0.0277778 0.6069958
Stationary 3201.316 348 624 -0.0277778 0.6069958
Stationary 3201.347 348 624 -0.0277778 0.6069958
Stationary 3201.377 348 624 -0.0277778 0.6069958
Stationary 3201.408 348 624 -0.0277778 0.6069958
Stationary 3201.439 348 624 -0.0277778 0.6069958
Stationary 3201.47 348 624 -0.0277778 0.6069958
Stationary 3201.5 348 624 -0.0277778 0.6069958
Stationary 3201.531 348 624 -0.0277778 0.6069958
Moved 3201.562 348 613.6641 -0.0277778 0.5804116
Moved 3201.593 348 611.7924 -0.0277778 0.5755977
Moved 3201.623 348 610.1687 -0.0277778 0.5714214
Moved 3201.654 348 607.3486 -0.0277778 0.5641682
Moved 3201.685 348 601.9572 -0.0277778 0.5503014
Moved 3201.716 348 594.8109 -0.0277778 0.5319209
Moved 3201.746 348 588.1843 -0.0277778 0.5148772
