just in time for the party
just in time for the party
FixStart
Radial

0.6 0.6
432 388.8
Began 284.9214 247 308 -0.2615741 -0.2057614
Moved 284.9521 273.6836 314.008 -0.1998065 -0.1903087
Moved 284.9829 322.8093 322.0899 -0.08608957 -0.1695219
Moved 285.0136 353.5303 324 -0.01497621 -0.164609
Moved 285.0443 368.8254 324 0.0204291 -0.164609
Moved 285.075 373.8238 324 0.03199955 -0.164609
Moved 285.1057 376 324.6989 0.03703703 -0.1628116
Moved 285.1364 360.31 359.7592 0.0007176399 -0.07263575
Moved 285.1671 333.6192 417.9139 -0.06106659 0.07693894
Moved 285.1978 322.1736 440.7106 -0.08756101 0.1355724
Moved 285.2285 314.5 448 -0.1053241 0.1543209
Moved 285.2593 296.4223 448 -0.1471705 0.1543209
Moved 285.2899 210.2826 394.2726 -0.346568 0.01613307
Moved 285.3206 154.3464 347.4736 -0.4760501 -0.1042347
Moved 285.3514 129.239 326.1793 -0.534169 -0.159004
Moved 285.3821 105.3202 307.3716 -0.5895364 -0.2073776
Moved 285.4129 90.0535 295.4428 -0.6248761 -0.2380587
Moved 285.4435 88 294 -0.6296296 -0.2417696
Moved 285.4742 87 294 -0.6319444 -0.2417696
Moved 285.5049 95.45164 310.043 -0.6123804 -0.2005066
Moved 285.5356 132.5403 344.8322 -0.5265272 -0.1110282
Moved 285.5664 172.3807 375.0558 -0.4343039 -0.03329265
Moved 285.5971 210.8376 399.9097 -0.3452834 0.03063198
Moved 285.6278 223.549 406.8497 -0.3158588 0.04848162
Moved 285.6585 229.7333 409.7333 -0.3015433 0.05589846
Moved 285.6892 233.2319 410 -0.2934447 0.05658428
Ended 285.7199 234.5 410 -0.2905093 0.05658428
Candidates 285.7813 13 just list first use post house user page part order past pay host
Began 286.2419 188 355 -0.3981482 -0.08487654
Moved 286.2726 203.6233 355 -0.361983 -0.08487654
Moved 286.3033 246.2072 359.2967 -0.2634092 -0.07382546
Moved 286.3341 298.7697 366.9744 -0.1417369 -0.05407827
Moved 286.3647 329.5468 369.0456 -0.07049356 -0.04875112
Moved 286.3954 357.5 371.5 -0.005787015 -0.04243827
Ended 286.4261 357.5 371.5 -0.005787015 -0.04243827
Began 286.549 195 313 -0.3819444 -0.1929013
Stationary 286.5797 195 313 -0.3819444 -0.1929013
Stationary 286.6104 195 313 -0.3819444 -0.1929013
Moved 286.6411 239.7242 351.8778 -0.2784161 -0.09290687
Moved 286.6718 303.7626 400.175 -0.1301792 0.03131435
Moved 286.7026 330.9566 418.2609 -0.06723002 0.07783151
Moved 286.7332 347.6016 426.3008 -0.02870003 0.09851015
Moved 286.7639 360.5421 430.3084 0.001254876 0.1088179
Moved 286.7947 369.6359 433 0.02230535 0.1157406
Moved 286.8254 373.7497 434 0.03182789 0.1183127
Moved 286.8561 375.629 434 0.03617833 0.1183127
Moved 286.8868 377.2495 434 0.03992945 0.1183127
Moved 286.9175 378.0104 434 0.04169086 0.1183127
Stationary 286.9482 378.0104 434 0.04169086 0.1183127
Moved 286.9789 379.249 434 0.04455775 0.1183127
Stationary 287.0097 379 434 0.04398147 0.1183127
Moved 287.0403 380 434 0.04629632 0.1183127
Stationary 287.0711 380 434 0.04629632 0.1183127
Stationary 287.1018 380 434 0.04629632 0.1183127
Moved 287.1325 382.4579 434 0.05198578 0.1183127
Moved 287.1632 397.274 436.6497 0.08628229 0.1251278
Moved 287.1939 428.7949 443.3989 0.1592474 0.1424867
Moved 287.2246 460.7141 448.5892 0.2331343 0.1558365
Moved 287.2553 499.9702 449 0.3240051 0.156893
Moved 287.286 524.8212 449 0.3815306 0.156893
Ended 287.3167 529 442 0.3912036 0.1388888
Accept 287.3474 0 just
Began 287.8695 298 295 -0.1435185 -0.2391976
Stationary 287.9002 298 295 -0.1435185 -0.2391976
Moved 287.9309 317.4616 327.8598 -0.09846857 -0.1546817
Moved 287.9616 373.9466 400.5547 0.03228366 0.03229082
Moved 287.9923 397.9446 423.8097 0.08783479 0.09210307
Moved 288.023 406.0495 431.0495 0.106596 0.110724
Moved 288.0537 408.5 432 0.1122685 0.1131687
Moved 288.0844 408 432 0.1111111 0.1131687
Moved 288.1152 366.4327 333.1455 0.01489043 -0.1410867
Moved 288.1459 335.7186 243.1559 -0.05620688 -0.3725414
Moved 288.1766 323.6538 212.048 -0.08413469 -0.4525516
Moved 288.2073 315.6021 189.4084 -0.1027729 -0.5107808
Moved 288.238 309.0641 168.7242 -0.1179072 -0.5639809
Moved 288.2687 304.6588 151.2942 -0.1281045 -0.6088113
Moved 288.2994 304 145.7856 -0.1296296 -0.6229794
Ended 288.3301 304 146 -0.1296296 -0.6224281
Candidates 288.3915 13 in iv ibm hiv inn un gun inc on job ic john gov
Began 289.0364 197 324 -0.3773148 -0.164609
Moved 289.0672 227.4601 324 -0.3068053 -0.164609
Moved 289.0979 294.8247 334.0956 -0.1508687 -0.1386429
Moved 289.1284 370.412 352.8285 0.02410183 -0.09046178
Ended 289.1593 399.3328 358.6666 0.09104819 -0.07544615
Accept 289.2206 0 in
Began 289.3128 317 241 -0.09953702 -0.3780865
Stationary 289.3435 317 241 -0.09953702 -0.3780865
Moved 289.3743 301.3287 273.2017 -0.1358131 -0.2952632
Moved 289.405 286 326 -0.1712963 -0.1594652
Moved 289.4357 282.605 364.5546 -0.179155 -0.06030212
Moved 289.4664 282 374.8033 -0.1805555 -0.03394225
Moved 289.4971 282 379.2877 -0.1805555 -0.02240836
Moved 289.5277 330.7126 383 -0.06779482 -0.01286016
Moved 289.5585 371.5483 362.5614 0.02673209 -0.0654285
Moved 289.5892 401.2978 315.5449 0.09559671 -0.1863557
Moved 289.6199 404 220.043 0.1018518 -0.4319884
Moved 289.6506 381.7809 162.3428 0.05041878 -0.5803941
Moved 289.6813 368.5962 138.2346 0.01989861 -0.6424006
Moved 289.712 350.4995 123.1873 -0.02199178 -0.6811028
Moved 289.7427 320.8409 114.8455 -0.09064611 -0.702558
Moved 289.7735 249.6489 152.4954 -0.2554424 -0.6057219
Moved 289.8042 203.6342 227.1375 -0.361958 -0.4137411
Moved 289.8349 187.81 284.8703 -0.3985881 -0.2652513
Moved 289.8656 183.7484 323.7744 -0.4079899 -0.1651895
Moved 289.8962 183 347.8619 -0.4097222 -0.1032358
Moved 289.927 183 357.978 -0.4097222 -0.07721716
Moved 289.9577 183 360 -0.4097222 -0.07201654
Ended 289.9884 183 360 -0.4097222 -0.07201654
Candidates 290.0805 13 tribe tina tribes drives tune time funded five river rinsed under rice finds
Began 291.4318 273 285 -0.2013889 -0.2649178
Stationary 291.4625 273 285 -0.2013889 -0.2649178
Ended 291.4932 273 285 -0.2013889 -0.2649178
NextCandidatePanel 291.5853
Began 292.1688 232 216 -0.2962963 -0.4423869
Moved 292.1995 261.5488 271.0133 -0.2278962 -0.3008918
Moved 292.2302 343.1708 397.986 -0.03895646 0.02568417
Moved 292.2609 394.8245 457.8834 0.0806123 0.1797412
Moved 292.2916 410.874 471.874 0.1177639 0.2157252
Ended 292.3223 415.2312 474.8208 0.1278501 0.2233044
Accept 292.3837 5 time
Began 292.5066 329 304 -0.07175927 -0.2160494
Stationary 292.5373 329 304 -0.07175927 -0.2160494
Stationary 292.568 329 304 -0.07175927 -0.2160494
Stationary 292.5987 329 304 -0.07175927 -0.2160494
Moved 292.6294 310.54 295.8467 -0.1144907 -0.2370199
Moved 292.6601 301.9177 293 -0.1344498 -0.2443416
Moved 292.6908 297.1977 292 -0.1453756 -0.2469136
Moved 292.7216 294.6587 292 -0.151253 -0.2469136
Moved 292.7522 292.6711 292 -0.1558539 -0.2469136
Moved 292.783 289.8022 292 -0.1624949 -0.2469136
Moved 292.8137 289 292 -0.1643519 -0.2469136
Moved 292.8444 305.0145 314.4557 -0.1272812 -0.1891572
