they might find your comment offensive
they might find your comment offensive
FixStart
Radial

0.6 0.6
432 388.8
Began 325.5923 329 283 -0.07175927 -0.2700618
Moved 325.6231 317.221 297.9914 -0.09902537 -0.2315036
Moved 325.6538 293.0744 346.8193 -0.1549204 -0.1059174
Moved 325.6845 277 389 -0.1921296 0.002572016
Moved 325.7152 276.795 403.0252 -0.1926043 0.038645
Moved 325.7459 277 408.9299 -0.1921296 0.05383208
Moved 325.7767 309.8312 394.5584 -0.1161315 0.0168683
Moved 325.8074 348.6683 346.6644 -0.02623086 -0.1063158
Moved 325.8382 376.512 296.0735 0.03822227 -0.2364364
Moved 325.8689 385.3387 274.3146 0.05865435 -0.2924008
Moved 325.8996 386 261.2574 0.06018519 -0.325984
Moved 325.9304 369.7691 255 0.0226137 -0.3420782
Moved 325.9611 332.4161 272.2764 -0.06385162 -0.297643
Moved 325.9918 293.9053 307.0947 -0.1529969 -0.2080899
Moved 326.0226 256.7755 348.5667 -0.2389456 -0.1014231
Moved 326.0533 223.8672 385.746 -0.3151221 -0.00579728
Moved 326.084 205.1483 407.222 -0.3584529 0.04943922
Moved 326.1147 197.7237 414.2763 -0.3756396 0.06758301
Moved 326.1454 198 418.3318 -0.375 0.07801389
Moved 326.1762 226.7307 430.5544 -0.3084937 0.1094506
Moved 326.207 277.2729 442.268 -0.191498 0.1395781
Moved 326.2377 317.9211 448.8268 -0.09740482 0.1564474
Moved 326.2684 340.8742 453.4165 -0.04427259 0.1682523
Ended 326.2991 352 455 -0.01851852 0.172325
Candidates 326.3606 13 they that what get r every register t her theft energy friday sheet
Began 326.7294 207 372 -0.3541667 -0.04115226
Moved 326.7602 243.3575 372 -0.2700059 -0.04115226
Moved 326.7909 309.1361 387.1018 -0.1177405 -0.002310168
Moved 326.8216 370.8694 399.1739 0.02516071 0.02873935
Moved 326.8524 399.2102 403 0.09076425 0.03858017
Ended 326.8831 411.8363 403 0.1199914 0.03858017
Accept 326.9445 0 they
Began 327.0367 275 386 -0.1967592 -0.005144111
Moved 327.0674 289.1924 355.2499 -0.1639066 -0.08423393
Moved 327.0981 333.0211 285.5907 -0.06245111 -0.2633985
