good jobs for those with education
good jobs for those with education
Basic
Radial

0.6 0.6
432 388.8
Began 1286.8 311 358 -0.113426 -0.07716057
Stationary 1286.831 311 358 -0.113426 -0.07716057
Stationary 1286.862 311 358 -0.113426 -0.07716057
Moved 1286.893 381.7715 431.7715 0.05039692 0.1125809
Moved 1286.923 432.755 479.426 0.1684144 0.235149
Moved 1286.954 473.0775 517.0646 0.2617536 0.3319563
Moved 1286.985 496.2689 535.5126 0.3154372 0.3794047
Moved 1287.015 503.7511 543.7511 0.3327572 0.4005943
Moved 1287.046 506.2684 545 0.3385842 0.4038065
Moved 1287.077 506 546.5 0.337963 0.4076646
Moved 1287.108 449.7426 518.858 0.2077375 0.3365687
Moved 1287.138 369.4358 466.8193 0.02184222 0.2027246
Moved 1287.169 309.3246 416.7761 -0.1173042 0.07401243
Moved 1287.2 285.0338 396.0338 -0.173533 0.0206629
Moved 1287.231 265.6067 378.8057 -0.2185031 -0.02364783
Moved 1287.261 258.5215 368.7822 -0.234904 -0.04942866
Ended 1287.292 257 366.5 -0.2384259 -0.05529835
Candidates 1287.415 13 food this good did god his dod ships foods ford dos goods sports
Began 1288.06 299 340 -0.1412037 -0.1234569
Stationary 1288.091 299 340 -0.1412037 -0.1234569
Moved 1288.122 288.1942 354.7352 -0.1662171 -0.08555769
Moved 1288.153 267.0054 390.9892 -0.2152653 0.007688223
Moved 1288.183 250.8505 439.5233 -0.2526609 0.1325185
Moved 1288.214 249 474.4247 -0.2569445 0.2222856
Ended 1288.245 249 474.4247 -0.2569445 0.2222856
Accept 1288.306 2 good
Began 1288.521 428 333 0.1574074 -0.141461
Stationary 1288.552 428 333 0.1574074 -0.141461
Moved 1288.583 438.61 359.5037 0.1819677 -0.07329305
Moved 1288.614 466.344 414.5225 0.2461667 0.06821617
Moved 1288.644 489.3835 456.2632 0.2994989 0.1755741
Moved 1288.675 499.4956 475.239 0.3229065 0.2243801
Moved 1288.706 502.1199 480.1199 0.3289812 0.2369337
Moved 1288.737 502 481 0.3287037 0.2391974
Moved 1288.767 456.1603 415.9411 0.2225932 0.07186485
Moved 1288.798 387.7009 284.2493 0.06412248 -0.2668484
Moved 1288.829 369.982 237.2006 0.02310644 -0.3878587
Moved 1288.859 363.5408 217.4421 0.008196235 -0.4386777
Moved 1288.89 358.6189 199.5471 -0.003197094 -0.484704
Moved 1288.921 355.444 189.8879 -0.0105463 -0.5095475
Moved 1288.952 354 185.5703 -0.01388888 -0.5206527
Moved 1288.982 340.2751 217.2778 -0.04565954 -0.4391003
Moved 1289.013 322.6499 286.913 -0.08645857 -0.2599974
Moved 1289.044 311.8718 321.6753 -0.1114079 -0.1705882
Moved 1289.075 303.5625 338.875 -0.1306424 -0.1263503
Moved 1289.105 293.7672 356.4656 -0.1533166 -0.08110713
Moved 1289.136 282.2027 371.7466 -0.1800863 -0.04180398
Moved 1289.167 271.5461 384.4539 -0.2047543 -0.009120776
Moved 1289.198 264.9025 390.7317 -0.2201331 0.00702595
Moved 1289.228 258.5374 396.4626 -0.2348672 0.02176583
Moved 1289.259 251.8051 400.0974 -0.2504511 0.0311147
Moved 1289.29 249.2797 403 -0.256297 0.03858017
Moved 1289.321 249 408.5 -0.2569445 0.05272626
Ended 1289.351 249 408.5 -0.2569445 0.05272626
Candidates 1289.443 13 jobs kinds move kind give love nice number kinda gonna linda kings moved
Began 1289.874 257 374 -0.2384259 -0.03600823
Moved 1289.905 268.2815 374 -0.2123113 -0.03600823
Moved 1289.935 327.5781 388.6187 -0.07505079 0.001591223
Moved 1289.966 426.4049 408.9118 0.153715 0.0537855
Moved 1289.997 458.5733 412 0.2281789 0.06172835
Ended 1290.027 464 412 0.2407408 0.06172835
Accept 1290.089 0 jobs
Began 1290.273 337 337 -0.05324075 -0.1311728
Stationary 1290.304 337 337 -0.05324075 -0.1311728
Moved 1290.335 337 351.8708 -0.05324075 -0.09292485
Moved 1290.366 337 374 -0.05324075 -0.03600823
Moved 1290.396 371.5114 411.5115 0.02664685 0.06047178
Moved 1290.427 401.9469 439.9528 0.09709935 0.1336234
Moved 1290.458 430.6345 459.1807 0.1635057 0.1830778
Moved 1290.489 455.3434 473.3019 0.2207024 0.2193978
Moved 1290.519 486.86 485.6975 0.2936573 0.2512796
Moved 1290.55 502.5214 493.3129 0.3299106 0.2708664
Moved 1290.581 511.9412 499.9118 0.3517158 0.2878389
Moved 1290.611 514 505.536 0.3564815 0.3023045
Moved 1290.642 514 512.7524 0.3564815 0.3208653
Moved 1290.673 463.2373 518.2505 0.2389753 0.3350065
Moved 1290.704 399.9244 507.6825 0.0924176 0.3078252
Moved 1290.734 340.3292 496.0823 -0.04553427 0.2779893
Moved 1290.765 308.5 491 -0.119213 0.2649176
Moved 1290.796 293.1125 489.6225 -0.1548322 0.2613747
Moved 1290.827 288 490 -0.1666667 0.2623456
Moved 1290.857 289 490 -0.1643519 0.2623456
Ended 1290.888 289 490 -0.1643519 0.2623456
Candidates 1290.98 13 for got foot fort show door short court hot fire fit hour gore
Began 1291.411 290 439 -0.162037 0.1311728
Stationary 1291.441 290 439 -0.162037 0.1311728
Moved 1291.472 325.3153 439 -0.08028854 0.1311728
Moved 1291.503 430.8072 460.5383 0.1639056 0.1865695
Moved 1291.534 473.6105 467.7684 0.2629873 0.2051657
Moved 1291.564 500.3318 470.7617 0.3248422 0.2128644
Ended 1291.595 502 471 0.3287037 0.2134772
Accept 1291.656 0 for
Began 1291.749 365 561 0.01157403 0.4449587
Moved 1291.779 365 548.3389 0.01157403 0.4123941
Moved 1291.81 365 499.4185 0.01157403 0.2865702
Moved 1291.841 365 453.3569 0.01157403 0.1680988
Moved 1291.872 381.158 420.5261 0.04897684 0.08365744
Moved 1291.902 388.5335 399.6662 0.0660499 0.03000565
