I listen to the tape everyday
I listen to the tape everyday
FixStart
List

0.6 0.6
432 388.8
Began 355.1242 297 347 -0.1458333 -0.1054527
Stationary 355.155 297 347 -0.1458333 -0.1054527
Moved 355.1858 297 360.6691 -0.1458333 -0.07029568
Moved 355.2165 332.1397 401.7104 -0.06449148 0.03526334
Moved 355.2473 363.5212 436.3273 0.008151035 0.1242986
Moved 355.278 393.7506 462.806 0.07812649 0.1924022
Moved 355.3087 413.816 480.128 0.124574 0.2369546
Moved 355.3394 432.4543 495.0452 0.1677182 0.2753221
Moved 355.3702 442.3137 503.5425 0.1905411 0.2971771
Moved 355.4009 447.9708 508.9708 0.2036361 0.3111389
Moved 355.4317 451.2079 511 0.2111295 0.3163579
Moved 355.4624 452.9327 513.9327 0.215122 0.3239009
Moved 355.4932 455.3508 515.3508 0.2207195 0.3275484
Ended 355.5239 458 515 0.2268519 0.326646
Candidates 355.6776 13 I go up ip o you ii p iii hip top to iu
Began 355.8928 290 406 -0.162037 0.04629618
Moved 355.9235 304.3922 401.6862 -0.1287217 0.0352011
Moved 355.9543 337.3547 388.9678 -0.0524196 0.002489129
Moved 355.985 367.8923 382.0239 0.01826932 -0.01537064
Moved 356.0157 381.4112 379.7178 0.04956305 -0.0213021
Moved 356.0465 388.1828 378 0.06523798 -0.02572024
Moved 356.0771 390.8144 378 0.07132957 -0.02572024
Moved 356.108 391 408.0368 0.07175922 0.05153495
Moved 356.1387 377.1736 440.5487 0.03975362 0.1351561
Moved 356.1694 367.9279 463.1442 0.01835158 0.1932721
Moved 356.2002 355.5609 475.626 -0.01027559 0.2253755
Moved 356.231 309.1026 478 -0.117818 0.2314814
Moved 356.2617 225.951 437.4755 -0.3102987 0.1272517
Moved 356.2924 175.3602 408.9201 -0.427407 0.05380677
Moved 356.3231 157.0875 398.0525 -0.4697049 0.02585513
Moved 356.3539 147.5 394.5 -0.4918982 0.01671807
Moved 356.3846 144.9121 394 -0.4978887 0.01543206
Moved 356.4154 158.663 420.663 -0.4660577 0.08400979
Moved 356.4461 213 476.5 -0.3402778 0.2276234
Moved 356.4769 250.0052 502.3368 -0.2546175 0.2940761
Moved 356.5076 289.5887 526.114 -0.162989 0.3552314
Moved 356.5384 312.1763 537.0881 -0.1107031 0.383457
Moved 356.5691 318.0813 539 -0.09703398 0.3883744
Moved 356.5999 319.4441 539 -0.0938794 0.3883744
Stationary 356.6306 319 539 -0.09490739 0.3883744
Moved 356.6613 306.598 539 -0.1236158 0.3883744
Moved 356.692 288.8322 529.8092 -0.1647404 0.3647355
Moved 356.7228 273.7613 524.8977 -0.1996267 0.3521031
Moved 356.7534 261.0061 520.5031 -0.2291525 0.3407999
Moved 356.7843 256.5371 517.5372 -0.2394974 0.3331716
Moved 356.815 254 516.5 -0.2453704 0.3305041
Moved 356.8457 260.6786 510.5928 -0.2299106 0.3153107
Moved 356.8765 284.5909 489.4091 -0.1745581 0.2608258
Moved 356.9072 311.0534 455.932 -0.1133023 0.1747222
Moved 356.938 330.5 424.5 -0.06828706 0.09387855
Moved 356.9687 343.5256 391.6334 -0.03813515 0.009345144
Moved 356.9995 353.4983 358.8395 -0.01505017 -0.07500134
Moved 357.0302 360.6512 336.1472 0.001507401 -0.1333662
Moved 357.061 364.9461 320.1616 0.01144936 -0.1744814
Moved 357.0917 368.6898 308.9304 0.02011538 -0.2033682
Ended 357.1224 370.0511 304.8467 0.02326647 -0.2138717
Accept 357.2454 0 I
Candidates 357.2454 13 listing latin listen laugh pattern learn harm museum hussein pain houston karen hidden
