I just cannot figure this out
I just cannot figure this out
Basic
List

0.6 0.6
432 388.8
Began 779.4055 455 538 0.2199073 0.3858024
Stationary 779.4363 455 538 0.2199073 0.3858024
Stationary 779.467 455 538 0.2199073 0.3858024
Stationary 779.4978 455 538 0.2199073 0.3858024
Stationary 779.5286 455 538 0.2199073 0.3858024
Stationary 779.5593 455 538 0.2199073 0.3858024
Stationary 779.59 455 538 0.2199073 0.3858024
Stationary 779.6208 455 538 0.2199073 0.3858024
Stationary 779.6516 455 538 0.2199073 0.3858024
Stationary 779.6823 455 538 0.2199073 0.3858024
Stationary 779.713 455 538 0.2199073 0.3858024
Stationary 779.7438 455 538 0.2199073 0.3858024
Stationary 779.7745 455 538 0.2199073 0.3858024
Stationary 779.8052 455 538 0.2199073 0.3858024
Moved 779.836 463.1463 526.8537 0.2387646 0.357134
Moved 779.8666 465.5 523.5 0.244213 0.3485081
Moved 779.8975 467.251 521.749 0.2482662 0.3440045
Moved 779.9282 470.9353 520.0323 0.2567946 0.3395893
Ended 779.959 473.6771 520 0.2631414 0.3395061
Candidates 780.0205 13 I you u up to iu o yo top ip too yup toy
Began 780.3588 423 361 0.1458333 -0.06944452
Stationary 780.3895 423 361 0.1458333 -0.06944452
Stationary 780.4202 423 361 0.1458333 -0.06944452
Moved 780.4509 423 411.3793 0.1458333 0.06013183
Moved 780.4818 423 457.8511 0.1458333 0.179658
Moved 780.5125 423 484.2125 0.1458333 0.2474599
Moved 780.5432 423 492.8578 0.1458333 0.2696959
Moved 780.574 414.8575 497.1426 0.1269848 0.2807164
Moved 780.6047 407.0215 498 0.1088461 0.2829217
Moved 780.6354 353.6078 477.0479 -0.01479666 0.2290326
Moved 780.6662 314.5425 454.3453 -0.1052256 0.1706411
Moved 780.697 281.3025 431.9787 -0.1821701 0.1131138
Moved 780.7277 249.7457 407.9548 -0.2552183 0.051324
Moved 780.7585 230.2263 393.876 -0.300402 0.01511303
Moved 780.7892 215.8088 382.3566 -0.3337758 -0.01451484
Moved 780.8199 208.4608 377.7304 -0.3507851 -0.02641364
Moved 780.8507 206.3205 377 -0.3557396 -0.02829226
Moved 780.8815 206 377 -0.3564815 -0.02829226
Moved 780.9122 227.133 403.2463 -0.3075625 0.03921356
Moved 780.943 268.5 448 -0.2118056 0.1543209
Moved 780.9737 309.5846 487.3858 -0.1167023 0.2556218
Moved 781.0045 332.2706 504.453 -0.06418834 0.299519
Moved 781.0352 346.4359 515.8269 -0.03139843 0.3287728
Moved 781.066 354.0103 521.0069 -0.01386493 0.3420958
Moved 781.0967 358.4061 523.7031 -0.003689677 0.3490305
Ended 781.1274 365.2388 525.413 0.01212696 0.3534283
Accept 781.1889 0 I
Candidates 781.1889 13 just use past pay user thursday guest first must post mystery jersey today
Began 781.5272 367 289 0.01620372 -0.2546296
Stationary 781.5579 367 289 0.01620372 -0.2546296
Moved 781.5887 353.2683 298.1545 -0.01558269 -0.2310842
Moved 781.6194 315.863 319.0783 -0.102169 -0.1772678
Moved 781.6501 277.9003 337.0999 -0.1900456 -0.1309161
Moved 781.6809 233.6623 355.5574 -0.2924483 -0.08344305
Moved 781.7116 211.13 364.5157 -0.3446065 -0.06040188
Moved 781.7424 198.8906 369.5547 -0.3729384 -0.0474418
Moved 781.7731 195.0142 371 -0.3819116 -0.04372435
Moved 781.8039 193.6577 372.3423 -0.3850517 -0.04027182
Moved 781.8346 206.8489 372 -0.3545164 -0.04115226
Moved 781.8654 250.8743 343.3359 -0.2526059 -0.1148767
Moved 781.8961 301.9664 310.3558 -0.1343371 -0.1997023
Moved 781.9269 342.3214 282.7858 -0.04092281 -0.2706128
Moved 781.9576 366.9557 257.0443 0.0161011 -0.3368202
Moved 781.9883 379 241 0.04398147 -0.3780865
Moved 782.0191 385.1904 234.8096 0.05831112 -0.3940083
Moved 782.0499 389.6233 232.1884 0.06857236 -0.4007502
Moved 782.0806 400.8307 237.9042 0.09451558 -0.386049
Moved 782.1114 428.4765 281.0578 0.1585105 -0.2750571
Moved 782.1421 465.0389 371.0876 0.2431456 -0.04349909
Moved 782.1729 487.7028 425.95 0.2956082 0.09760778
Moved 782.2036 503.6255 456.1469 0.3324666 0.1752747
Moved 782.2343 516.4501 485.3703 0.362153 0.2504379
Moved 782.2651 525.5995 507.3989 0.3833321 0.3070958
Moved 782.2958 527 517.7364 0.3865741 0.3336841
Moved 782.3265 527 522.6296 0.3865741 0.3462694
Moved 782.3573 527 526.113 0.3865741 0.3552288
Moved 782.3881 514.152 530.5392 0.3568334 0.366613
Moved 782.4188 492.6573 534.965 0.3070771 0.3779964
Moved 782.4496 464.2964 535 0.2414269 0.3780863
Moved 782.4803 435.0492 535 0.173725 0.3780863
Moved 782.511 406.4643 535 0.1075563 0.3780863
Moved 782.5418 377.0544 526.0049 0.03947784 0.3549509
Moved 782.5726 350.5 522 -0.02199074 0.3446501
Moved 782.6033 335.4612 521.9102 -0.05680273 0.3444192
Moved 782.6341 328.1885 522 -0.07363776 0.3446501
Ended 782.6648 328 522 -0.07407407 0.3446501
Accept 782.7263 0 just
Candidates 782.7263 13 about vanity vampire favor family cable cannot habit value jamie admit ballot major
Began 783.4335 343 408 -0.03935183 0.05144025
Stationary 783.4642 343 408 -0.03935183 0.05144025
Moved 783.495 343 425.6873 -0.03935183 0.09693235
Moved 783.5258 357.4299 458.6699 -0.005949239 0.1817639
Moved 783.5565 380.7025 498.0538 0.04792253 0.2830601
Moved 783.5872 396.5524 523.4838 0.08461206 0.3484665
Moved 783.618 407.0964 538.1205 0.1090195 0.3861123
Moved 783.6487 412.6076 546.9114 0.1217768 0.4087226
Moved 783.6793 419.3796 555.3796 0.1374528 0.4305029
Moved 783.7102 422.8318 561.4954 0.145444 0.446233
Moved 783.741 428.6771 567.6771 0.1589747 0.4621323
Moved 783.7717 433.9855 573.9855 0.1712627 0.4783577
Moved 783.8024 438.4131 580.4131 0.1815119 0.4948896
Moved 783.8332 441.4212 584.4213 0.1884751 0.5051987
Moved 783.864 445.1334 590.2667 0.197068 0.5202333
Moved 783.8947 447.5255 593.5255 0.2026052 0.5286148
Moved 783.9255 449.2411 597.4822 0.2065766 0.5387915
Moved 783.9562 451 600.9541 0.2106482 0.5477213
Moved 783.9869 453.5 603.5 0.2164352 0.5542694
Moved 784.0177 454 606.0349 0.2175926 0.5607893
Moved 784.0484 454 607.3914 0.2175926 0.5642781
Moved 784.0792 455 609.1057 0.2199073 0.5686873
Moved 784.1099 456.3533 610.3533 0.2230401 0.5718962
Moved 784.1407 456 611.5929 0.2222222 0.5750845
Moved 784.1714 457.5 612 0.2256945 0.5761316
Moved 784.2021 457 613.3318 0.2245371 0.5795571
Moved 784.2329 457 614.3024 0.2245371 0.5820533
Stationary 784.2636 457 614.3024 0.2245371 0.5820533
Expand 784.2636
Moved 784.2944 457 615.1414 0.2245371 0.5842113
Stationary 784.3251 457 615.1414 0.2245371 0.5842113
Stationary 784.3559 457 615.1414 0.2245371 0.5842113
Stationary 784.3866 457 615 0.2245371 0.5838476
Stationary 784.4174 457 615 0.2245371 0.5838476
Moved 784.4481 445.8413 615 0.1987067 0.5838476
Moved 784.4789 431.2746 600.3247 0.1649875 0.5461025
Moved 784.5096 404.7487 581.4991 0.1035848 0.4976828
Moved 784.5403 383.3143 564.2245 0.05396833 0.4532523
Moved 784.5711 367 549 0.01620372 0.4140946
Moved 784.6019 352.8329 538.8663 -0.0165906 0.3880304
Moved 784.6326 341.7384 530.7384 -0.04227216 0.3671254
Moved 784.6633 333.5654 525.0436 -0.06119127 0.3524783
Moved 784.6942 326.2428 520.0809 -0.07814173 0.3397143
Moved 784.7249 321.3838 516.3839 -0.08938928 0.3302053
Moved 784.7556 317.6693 513.6693 -0.09798785 0.3232233
Moved 784.7864 313.9457 510.9457 -0.1066072 0.3162182
Moved 784.8171 312.8114 509.8115 -0.1092328 0.313301
Moved 784.8478 310.9217 510 -0.1136072 0.3137859
Moved 784.8786 309.5 509 -0.1168982 0.3112139
Moved 784.9093 308.7991 509 -0.1185206 0.3112139
Stationary 784.9401 308.7991 509 -0.1185206 0.3112139
Stationary 784.9709 309 509 -0.1180555 0.3112139
Stationary 785.0016 309 509 -0.1180555 0.3112139
Moved 785.0323 333.4186 517.4186 -0.06153092 0.3328668
Moved 785.0631 356.4053 520.2012 -0.008321007 0.3400236
Moved 785.0938 379.1651 524.3093 0.04436373 0.3505898
Moved 785.1246 392.037 529.0093 0.0741598 0.3626781
Moved 785.1553 400.5 530 0.09374996 0.3652262
Moved 785.1861 405.1315 531 0.1044709 0.3677982
Moved 785.2169 408.5343 532 0.1123479 0.3703703
Ended 785.2476 413.9846 532 0.1249644 0.3703703
Accept 785.309 6 cannot
Began 785.678 251 442 -0.2523148 0.1388888
Stationary 785.7088 251 442 -0.2523148 0.1388888
