are you sure you want this
are you sure you want this
Basic
0.6 0.6
432 388.8
Began 1850.938 240 336 -0.2777777 -0.1337449
Stationary 1850.957 240 336 -0.2777777 -0.1337449
Stationary 1850.969 240 336 -0.2777777 -0.1337449
Stationary 1850.984 240 336 -0.2777777 -0.1337449
Stationary 1851 240 336 -0.2777777 -0.1337449
Stationary 1851.016 240 336 -0.2777777 -0.1337449
Stationary 1851.031 240 336 -0.2777777 -0.1337449
Stationary 1851.046 240 336 -0.2777777 -0.1337449
Stationary 1851.061 240 336 -0.2777777 -0.1337449
Stationary 1851.077 240 336 -0.2777777 -0.1337449
Stationary 1851.092 240 336 -0.2777777 -0.1337449
Stationary 1851.111 240 336 -0.2777777 -0.1337449
Moved 1851.125 254.4471 336 -0.2443353 -0.1337449
Moved 1851.14 258.7672 336 -0.2343352 -0.1337449
Moved 1851.156 262.058 336 -0.2267175 -0.1337449
Moved 1851.17 265.3894 336 -0.2190061 -0.1337449
Moved 1851.186 268.2274 336 -0.2124366 -0.1337449
Moved 1851.202 271.1092 336 -0.2057657 -0.1337449
Moved 1851.217 273.9953 336 -0.199085 -0.1337449
Moved 1851.232 275.8752 336 -0.1947332 -0.1337449
Moved 1851.247 277.3766 336 -0.1912578 -0.1337449
Moved 1851.263 279.8182 336 -0.1856061 -0.1337449
Moved 1851.28 280.9427 336 -0.183003 -0.1337449
Moved 1851.294 282.3663 336 -0.1797077 -0.1337449
Moved 1851.309 283.8062 336 -0.1763744 -0.1337449
Moved 1851.325 284.5 336 -0.1747685 -0.1337449
Moved 1851.34 285.6871 336 -0.1720206 -0.1337449
Moved 1851.356 286.5 336 -0.1701389 -0.1337449
Moved 1851.37 287.5703 336 -0.1676614 -0.1337449
Moved 1851.386 288.7394 336 -0.1649552 -0.1337449
Moved 1851.401 290.0832 336 -0.1618445 -0.1337449
Moved 1851.418 291.5277 336 -0.1585007 -0.1337449
Moved 1851.433 293.9329 336 -0.1529331 -0.1337449
Moved 1851.448 299.6365 336 -0.1397303 -0.1337449
Moved 1851.464 305.4209 350.2761 -0.1263405 -0.0970265
Moved 1851.479 312.4885 358.7861 -0.1099804 -0.07513862
Moved 1851.494 318.5 364.5 -0.0960648 -0.06044246
Moved 1851.51 327.0604 377.434 -0.076249 -0.02717595
Moved 1851.525 337.0814 390.676 -0.0530524 0.006882781
Moved 1851.54 346.3589 403.5383 -0.03157666 0.03996476
Moved 1851.555 353.8312 415.3299 -0.01427968 0.0702929
Moved 1851.572 360.4343 429.0859 0.001005431 0.1056735
Moved 1851.587 365.1197 441.3192 0.01185109 0.1371378
Moved 1851.602 369.4887 448.4812 0.02196461 0.1555586
Moved 1851.618 371.5789 454.3154 0.02680292 0.1705641
Moved 1851.633 374.0352 460.0704 0.0324889 0.1853661
Moved 1851.648 375.4563 462.9126 0.03577848 0.1926764
Moved 1851.666 375.8837 466.7674 0.03676782 0.2025909
Moved 1851.68 376 469.6448 0.03703703 0.2099916
Moved 1851.695 376.7641 472.5281 0.0388057 0.2174077
Moved 1851.711 377 475.4124 0.03935188 0.224826
Moved 1851.726 377 477.5314 0.03935188 0.2302762
Moved 1851.741 377 480.5725 0.03935188 0.2380979
Moved 1851.756 377 483.4512 0.03935188 0.2455019
Moved 1851.772 377 485.6691 0.03935188 0.2512065
Moved 1851.787 377 489.3167 0.03935188 0.2605882
Moved 1851.803 377 493.6559 0.03935188 0.2717486
Moved 1851.817 377 497.9759 0.03935188 0.2828597
Moved 1851.832 368.3975 501.226 0.01943867 0.291219
Moved 1851.848 366.9096 505.6356 0.01599451 0.3025607
Moved 1851.864 365.0275 508.9449 0.01163781 0.3110723
Moved 1851.88 362.1293 511.8707 0.004928906 0.3185975
Moved 1851.895 360.296 514.704 0.000685056 0.3258848
Moved 1851.911 358.6893 516.3107 -0.003034075 0.3300172
Moved 1851.926 355.5075 518.7462 -0.01039927 0.3362813
Moved 1851.942 353.2695 519.8652 -0.01557986 0.3391595
Moved 1851.957 349.2592 522.4939 -0.02486308 0.3459204
Moved 1851.973 343.9387 523 -0.03717904 0.3472221
Moved 1851.989 338.4966 524.1259 -0.04977633 0.3501179
Moved 1852.004 334.2756 525 -0.05954723 0.3523662
Moved 1852.018 328.9411 526.0147 -0.07189567 0.354976
Moved 1852.034 324.627 527.4576 -0.08188183 0.3586873
Moved 1852.049 318.2972 527 -0.09653415 0.3575102
Moved 1852.065 312.9526 527 -0.1089061 0.3575102
Moved 1852.08 305.7466 527 -0.1255867 0.3575102
Moved 1852.095 299.4323 527 -0.140203 0.3575102
Moved 1852.112 295.0183 527 -0.1504205 0.3575102
Moved 1852.126 290.4706 527 -0.1609477 0.3575102
Moved 1852.142 287.5737 527 -0.1676535 0.3575102
Moved 1852.157 283.5 527 -0.1770833 0.3575102
Moved 1852.172 282.2595 527 -0.1799549 0.3575102
Moved 1852.187 280.82 527 -0.183287 0.3575102
Moved 1852.21 275.8733 527 -0.1947377 0.3575102
Moved 1852.225 274.5 527 -0.1979167 0.3575102
Stationary 1852.235 274.5 527 -0.1979167 0.3575102
Moved 1852.249 272.0538 527 -0.2035792 0.3575102
Moved 1852.265 270.6109 527 -0.2069192 0.3575102
Moved 1852.28 269.4766 527 -0.2095448 0.3575102
Moved 1852.296 267.062 527 -0.2151342 0.3575102
Moved 1852.313 265.5921 527 -0.2185367 0.3575102
Moved 1852.327 264.1505 527 -0.221874 0.3575102
Moved 1852.342 261.4088 527 -0.2282205 0.3575102
Moved 1852.358 258.5388 527 -0.2348639 0.3575102
Moved 1852.373 255.6694 527 -0.241506 0.3575102
Moved 1852.388 253.5984 527 -0.2463 0.3575102
Moved 1852.404 252.2852 527 -0.2493398 0.3575102
Moved 1852.419 250.839 527 -0.2526875 0.3575102
Stationary 1852.434 250.839 527 -0.2526875 0.3575102
Ended 1852.448 251 527 -0.2523148 0.3575102
Candidates 1852.649 12 after cute cure dye due she sure agree acute sue safire btw
Began 1853.325 359 364 -0.002314796 -0.06172839
Stationary 1853.361 359 364 -0.002314796 -0.06172839
Stationary 1853.375 359 364 -0.002314796 -0.06172839
Stationary 1853.389 359 364 -0.002314796 -0.06172839
Stationary 1853.404 359 364 -0.002314796 -0.06172839
Ended 1853.42 359 364 -0.002314796 -0.06172839
NextCandidatePanel 1853.525
Began 1854.064 349 318 -0.02546296 -0.1800412
Stationary 1854.084 349 318 -0.02546296 -0.1800412
Stationary 1854.098 349 318 -0.02546296 -0.1800412
Stationary 1854.112 349 318 -0.02546296 -0.1800412
Stationary 1854.128 349 318 -0.02546296 -0.1800412
Stationary 1854.144 349 318 -0.02546296 -0.1800412
Stationary 1854.161 349 318 -0.02546296 -0.1800412
Ended 1854.175 349 318 -0.02546296 -0.1800412
NextCandidatePanel 1854.234
Began 1854.928 349 321 -0.02546296 -0.1723252
