healthy food is good for you
healthy food is good for you
FixStart
0.6 0.6
432 388.8
Began 3134.54 424 376 0.1481481 -0.03086435
Stationary 3134.559 424 376 0.1481481 -0.03086435
Stationary 3134.573 424 376 0.1481481 -0.03086435
Stationary 3134.59 424 376 0.1481481 -0.03086435
Stationary 3134.605 424 376 0.1481481 -0.03086435
Stationary 3134.621 424 376 0.1481481 -0.03086435
Stationary 3134.636 424 376 0.1481481 -0.03086435
Stationary 3134.652 424 376 0.1481481 -0.03086435
Moved 3134.667 442.6903 376 0.1914127 -0.03086435
Moved 3134.682 455.4963 376 0.2210563 -0.03086435
Moved 3134.698 468.3512 368.3784 0.2508131 -0.05046711
Moved 3134.714 480.5428 366.9397 0.2790342 -0.05416752
Moved 3134.729 489.9772 365.5038 0.3008732 -0.05786071
Moved 3134.744 497.6881 364.0624 0.3187225 -0.06156795
Moved 3134.76 503.4445 364 0.3320476 -0.06172839
Moved 3134.774 504.7469 364 0.3350624 -0.06172839
Moved 3134.79 507.9291 364 0.3424285 -0.06172839
Moved 3134.808 509.368 364 0.3457593 -0.06172839
Moved 3134.821 510.8011 364 0.3490767 -0.06172839
Moved 3134.835 511.5 364 0.3506944 -0.06172839
Stationary 3134.854 511.5 364 0.3506944 -0.06172839
Moved 3134.868 511 364 0.349537 -0.06172839
Moved 3134.884 511 374.3321 0.349537 -0.03515416
Moved 3134.899 493.5163 380.8432 0.3090654 -0.01840748
Moved 3134.914 482.3828 388.3858 0.2832934 0.000992253
Moved 3134.93 469.5 397 0.2534722 0.02314815
Moved 3134.945 457.3388 402.8306 0.2253214 0.03814446
Moved 3134.96 445.8282 409.9824 0.1986764 0.05653899
Moved 3134.976 437.9579 414.3614 0.180458 0.0678018
Moved 3134.991 431.1031 418.9312 0.1645906 0.07955547
Moved 3135.007 421.0845 424.666 0.1413992 0.09430552
Moved 3135.022 412.7118 431.4306 0.122018 0.1117041
Moved 3135.036 404.2194 438.4838 0.1023597 0.1298451
Moved 3135.053 396.3082 445.6918 0.08404672 0.1483841
Moved 3135.068 386.7598 454.063 0.06194403 0.169915
Moved 3135.083 379.8973 460.4822 0.04605849 0.1864253
Moved 3135.099 374.8392 465.1608 0.03434996 0.1984588
Moved 3135.114 369.3311 470.6688 0.02159983 0.2126255
Moved 3135.13 363.5821 474.8134 0.0082919 0.2232855
Moved 3135.146 358.8792 478.0805 -0.002594441 0.2316885
Moved 3135.161 353.0665 482.4501 -0.01604979 0.2429273
Moved 3135.176 348.2299 484.8467 -0.02724548 0.2490912
Moved 3135.191 343.9132 487.7245 -0.03723801 0.2564931
Moved 3135.209 340.5 487 -0.0451389 0.2546296
Moved 3135.222 336.383 488 -0.05466893 0.2572016
Moved 3135.238 330.7559 488 -0.06769478 0.2572016
Moved 3135.253 326.74 488 -0.07699068 0.2572016
Moved 3135.269 322.4156 488 -0.08700088 0.2572016
Moved 3135.284 317.4753 488 -0.09843673 0.2572016
Moved 3135.299 311.7247 488 -0.1117484 0.2572016
Moved 3135.315 304.5 473 -0.1284722 0.2186213
Moved 3135.33 293.1548 465.777 -0.1547344 0.2000438
Moved 3135.346 279.3769 451.3076 -0.1866277 0.1628281
Moved 3135.362 265 434 -0.2199074 0.1183127
Moved 3135.376 256.3735 420.5336 -0.2398762 0.08367676
Moved 3135.392 249.0741 410.3038 -0.2567728 0.05736562
Moved 3135.408 241.0396 399.3862 -0.2753713 0.02928533
Moved 3135.422 234.9236 389.1163 -0.2895288 0.00287107
Moved 3135.438 229.6928 383.4314 -0.301637 -0.0117506
Moved 3135.454 224.7842 376.7842 -0.3129995 -0.02884735
Moved 3135.473 220.2827 369.8046 -0.3234196 -0.04679896
Moved 3135.49 213.7534 360.6301 -0.3385339 -0.070396
Moved 3135.513 211.8758 357.3137 -0.3428802 -0.07892585
Moved 3135.528 209.9995 354.9995 -0.3472233 -0.08487787
Moved 3135.544 210 353.8922 -0.3472222 -0.08772579
Moved 3135.562 208.5 352.5 -0.3506944 -0.09130666
