good jobs for those with education
good jobs for those with education
FixStart
0.6 0.6
432 388.8
Began 1189.261 441 424 0.1875 0.09259254
Stationary 1189.28 441 424 0.1875 0.09259254
Stationary 1189.293 441 424 0.1875 0.09259254
Stationary 1189.309 441 424 0.1875 0.09259254
Stationary 1189.324 441 424 0.1875 0.09259254
Moved 1189.34 422.4215 424 0.1444943 0.09259254
Moved 1189.356 413.6728 424 0.1242426 0.09259254
Moved 1189.372 402.5211 424 0.09842862 0.09259254
Moved 1189.387 394.2005 424 0.07916778 0.09259254
Moved 1189.403 377.3824 424 0.04023701 0.09259254
Moved 1189.418 362.0933 424 0.00484556 0.09259254
Moved 1189.433 350.676 424 -0.02158344 0.09259254
Moved 1189.448 341.6792 424 -0.04240925 0.09259254
Moved 1189.463 333.5185 424 -0.0612998 0.09259254
Moved 1189.481 328.2755 424 -0.07343625 0.09259254
Moved 1189.495 325.0011 424 -0.08101591 0.09259254
Moved 1189.509 320.6729 424 -0.09103492 0.09259254
Moved 1189.527 318.2409 424 -0.09666448 0.09259254
Moved 1189.541 315.3629 424 -0.1033267 0.09259254
Moved 1189.556 314.2398 424 -0.1059263 0.09259254
Moved 1189.571 312.8078 424 -0.1092412 0.09259254
Moved 1189.586 311.5 424 -0.1122685 0.09259254
Stationary 1189.602 311.5 424 -0.1122685 0.09259254
Moved 1189.617 310.6791 424 -0.1141687 0.09259254
Moved 1189.632 309.6883 424 -0.1164623 0.09259254
Moved 1189.648 308.9689 424 -0.1181276 0.09259254
Stationary 1189.663 308.9689 424 -0.1181276 0.09259254
Stationary 1189.68 308.9689 424 -0.1181276 0.09259254
Moved 1189.695 307.9054 424 -0.1205894 0.09259254
Stationary 1189.709 307.9054 424 -0.1205894 0.09259254
Stationary 1189.726 307.9054 424 -0.1205894 0.09259254
Moved 1189.74 306.9216 424 -0.1228667 0.09259254
Stationary 1189.755 306.9216 424 -0.1228667 0.09259254
Stationary 1189.773 306.9216 424 -0.1228667 0.09259254
Stationary 1189.788 306.9216 424 -0.1228667 0.09259254
Stationary 1189.804 306.9216 424 -0.1228667 0.09259254
Moved 1189.818 305.924 424 -0.125176 0.09259254
Stationary 1189.839 305.924 424 -0.125176 0.09259254
Stationary 1189.849 305.924 424 -0.125176 0.09259254
Stationary 1189.863 305.924 424 -0.125176 0.09259254
Stationary 1189.879 305.924 424 -0.125176 0.09259254
Stationary 1189.895 306 424 -0.125 0.09259254
Stationary 1189.91 306 424 -0.125 0.09259254
Stationary 1189.925 306 424 -0.125 0.09259254
Stationary 1189.941 306 424 -0.125 0.09259254
Stationary 1189.956 306 424 -0.125 0.09259254
Stationary 1189.972 306 424 -0.125 0.09259254
Moved 1189.987 311.0078 424 -0.1134079 0.09259254
Moved 1190.004 314.1667 433.3334 -0.1060956 0.1165981
Moved 1190.019 316.1967 434.1968 -0.1013964 0.1188188
Moved 1190.034 318.0426 436.0426 -0.09712353 0.1235662
Moved 1190.049 319.0852 438.1705 -0.09471008 0.1290392
Moved 1190.065 320.5525 439.5526 -0.09131362 0.1325939
Moved 1190.081 321.9909 440.991 -0.08798396 0.1362936
