come and see our new car
come and see our new car
Basic
0.6 0.6
432 388.8
Began 1531.633 263 243 -0.2245371 -0.3729424
Stationary 1531.652 263 243 -0.2245371 -0.3729424
Stationary 1531.664 263 243 -0.2245371 -0.3729424
Stationary 1531.679 263 243 -0.2245371 -0.3729424
Stationary 1531.695 263 243 -0.2245371 -0.3729424
Stationary 1531.711 263 243 -0.2245371 -0.3729424
Stationary 1531.73 263 243 -0.2245371 -0.3729424
Stationary 1531.742 263 243 -0.2245371 -0.3729424
Stationary 1531.757 263 243 -0.2245371 -0.3729424
Moved 1531.773 278.6066 255.6066 -0.1884107 -0.3405181
Moved 1531.789 289.6957 266.6957 -0.1627414 -0.3119966
Moved 1531.804 305.7079 284.3502 -0.1256762 -0.266589
Moved 1531.82 320.8316 300.9148 -0.09066752 -0.2239846
Moved 1531.835 335 318 -0.05787035 -0.1800412
Moved 1531.85 349.7987 335.2166 -0.02361412 -0.1357598
Moved 1531.866 372.8785 359.9248 0.02981146 -0.07220986
Moved 1531.882 394.7489 385.231 0.08043716 -0.007122102
Moved 1531.897 414.8867 406.8072 0.1270526 0.04837228
Moved 1531.913 429.6336 424.3603 0.1611888 0.09351914
Moved 1531.929 444.2735 441.8419 0.1950775 0.1384821
Moved 1531.944 454.6127 453.8431 0.2190109 0.1693496
Moved 1531.958 465 465.5 0.2430555 0.1993312
Moved 1531.975 473.2865 476.0961 0.2622372 0.2265845
Moved 1531.989 483.7382 487.9865 0.2864309 0.2571667
Moved 1532.004 492.0707 498.0707 0.3057192 0.2831035
Moved 1532.021 500.6865 507.8009 0.3256631 0.3081298
Moved 1532.036 507.2584 518.3876 0.340876 0.335359
Moved 1532.052 512.9794 525.9742 0.354119 0.3548719
Moved 1532.067 515.8754 533.1884 0.3608226 0.3734267
Moved 1532.084 519.0893 536.6339 0.3682622 0.3822888
Moved 1532.1 520.9835 540.9503 0.3726468 0.3933907
Moved 1532.114 522.4261 546.7045 0.3759865 0.4081905
Moved 1532.136 522 548.2968 0.375 0.4122858
Stationary 1532.146 522 548.2968 0.375 0.4122858
Stationary 1532.158 522 548 0.375 0.4115225
Stationary 1532.177 522 548 0.375 0.4115225
Stationary 1532.189 522 548 0.375 0.4115225
Moved 1532.205 504.5569 531.5157 0.3346225 0.3691247
Moved 1532.222 488.5156 508.8971 0.2974897 0.3109492
Moved 1532.237 470.5 473.5 0.2557871 0.2199073
Moved 1532.251 447.0774 415.1908 0.201568 0.06993514
Moved 1532.267 435.4663 377.5155 0.1746905 -0.02696637
Moved 1532.282 427.7173 346.869 0.1567529 -0.1057896
Moved 1532.297 422.0409 321.1882 0.1436132 -0.1718412
Moved 1532.314 419.1444 293.8715 0.1369083 -0.2421002
Moved 1532.328 417.1277 280.4047 0.1322401 -0.2767368
Moved 1532.344 417 269.8229 0.1319444 -0.3039534
Moved 1532.359 416 263.998 0.1296297 -0.3189353
Moved 1532.375 414.8182 255.9093 0.1268941 -0.3397395
Moved 1532.389 415 253.7568 0.1273148 -0.3452757
Moved 1532.405 415 252.2131 0.1273148 -0.3492461
Moved 1532.422 413.8517 250.8518 0.1246568 -0.3527474
Moved 1532.436 410.6656 251 0.1172814 -0.3523664
Moved 1532.451 395.657 265.3693 0.08253942 -0.3154081
Moved 1532.467 375.5493 286.9115 0.03599375 -0.2600013
Moved 1532.483 345.9382 322.6742 -0.03255054 -0.1680191
Moved 1532.497 322.644 354.3646 -0.08647233 -0.08651105
Moved 1532.514 307.3014 375.548 -0.1219876 -0.03202682
Moved 1532.53 290.3938 398.485 -0.1611255 0.02696759
Moved 1532.544 277.2754 415.9661 -0.1914921 0.07192921
Moved 1532.56 266.8779 434.6832 -0.2155604 0.1200697
Moved 1532.575 256.9491 454.1019 -0.2385439 0.170015
Moved 1532.591 250.3314 468.3373 -0.2538625 0.2066288
Moved 1532.606 243.1688 486.161 -0.2704425 0.2524717
Moved 1532.623 238 502 -0.2824074 0.2932098
Ended 1532.637 231 542 -0.2986111 0.3960905
Candidates 1532.742 12 cover convert come concert vibe zone choice counter count bone founder combat
Began 1533.869 291 399 -0.1597222 0.02829214
Moved 1533.887 302.1123 399 -0.1339992 0.02829214
Moved 1533.902 373.502 399 0.03125449 0.02829214
Moved 1533.917 453.1853 403.8768 0.2157066 0.04083527
Ended 1533.933 497.1931 409.6483 0.3175765 0.05567959
Accept 1533.961 2 come
Began 1534.364 136 433 -0.5185185 0.1157406
Stationary 1534.38 136 433 -0.5185185 0.1157406
Stationary 1534.395 136 433 -0.5185185 0.1157406
Stationary 1534.41 136 433 -0.5185185 0.1157406
Stationary 1534.425 136 433 -0.5185185 0.1157406
Stationary 1534.439 136 433 -0.5185185 0.1157406
Moved 1534.456 174.178 419.1521 -0.4301434 0.08012367
Moved 1534.472 211 414.5 -0.3449074 0.0681584
Moved 1534.487 232.1196 409.7695 -0.2960194 0.05599139
Moved 1534.503 308.001 385.8706 -0.1203681 -0.005476955
Moved 1534.518 328.9744 376.5128 -0.07181853 -0.02954522
Moved 1534.535 346.8958 368.6268 -0.03033385 -0.04982826
Moved 1534.549 360.1102 361.9449 0.0002552072 -0.06701425
Moved 1534.564 365.865 359.0675 0.01357645 -0.07441493
Moved 1534.581 378.3719 352.4188 0.04252752 -0.0915156
Moved 1534.595 384.3012 351.2329 0.05625278 -0.09456564
Moved 1534.61 388.1201 348.3279 0.06509284 -0.1020373
Moved 1534.625 396.5264 343.2368 0.08455177 -0.1151317
Moved 1534.641 398.3065 341.7957 0.08867233 -0.1188382
Moved 1534.658 403.5262 337.4738 0.1007551 -0.1299542
Moved 1534.672 407.4037 333.8944 0.1097309 -0.1391605
Moved 1534.687 410.2812 329.5782 0.1163917 -0.1502618
Moved 1534.703 412.3341 326.4989 0.1211437 -0.1581818
Moved 1534.718 418.6631 317.0054 0.1357942 -0.1825994
Moved 1534.733 423.3014 308.3973 0.146531 -0.2047395
Moved 1534.748 425.541 303.377 0.1517153 -0.2176519
Moved 1534.764 426.2625 301.2126 0.1533853 -0.2232186
Moved 1534.781 430.4129 295.1742 0.1629929 -0.2387496
Moved 1534.795 433.396 291.604 0.1698982 -0.2479322
Moved 1534.81 436 287.5 0.1759259 -0.2584877
Moved 1534.826 436.7642 286.4717 0.1776949 -0.2611326
Moved 1534.842 438.2127 284.7873 0.1810479 -0.2654648
Moved 1534.856 439.651 283.349 0.1843773 -0.2691642
Moved 1534.872 440 281.9119 0.1851852 -0.2728603
Moved 1534.89 440 280.5 0.1851852 -0.2764919
Moved 1534.909 428.7883 280 0.1592321 -0.2777778
Stationary 1534.921 428.7883 280 0.1592321 -0.2777778
Moved 1534.933 410.0078 292.3707 0.1157587 -0.2459602
Moved 1534.948 371.285 315.2991 0.02612273 -0.186988
Moved 1534.964 343.7449 335.3458 -0.03762747 -0.1354274
Moved 1534.98 329.7856 344.5715 -0.06994063 -0.111699
Moved 1534.996 316.6732 354.8098 -0.1002936 -0.08536586
Moved 1535.01 308.5268 360.7786 -0.1191509 -0.07001406
Moved 1535.03 301.3304 366.5356 -0.1358092 -0.05520667
Moved 1535.042 296.2567 370.5946 -0.1475539 -0.04476704
Moved 1535.059 290.3827 377.2716 -0.1611511 -0.02759368
Ended 1535.073 284.6305 386.6467 -0.1744665 -0.003480872
Candidates 1535.239 12 and end seems ends sand aand send arms adams sends smg ajc
Began 1535.762 296 392 -0.1481481 0.01028803
Moved 1535.783 296 409.2864 -0.1481481 0.05474891
Moved 1535.797 296 441.2897 -0.1481481 0.137062
Moved 1535.812 321.0751 502.0766 -0.09010383 0.2934068
Ended 1535.829 337 539.5 -0.05324075 0.3896604
Accept 1535.855 0 and
Began 1536.318 188 404 -0.3981482 0.04115226
