my watch fell in the water
my watch fell in the water
Basic
0.6 0.6
432 388.8
Began 200.5351 520 280 0.3703704 -0.2777778
Stationary 200.5546 520 280 0.3703704 -0.2777778
Stationary 200.5684 520 280 0.3703704 -0.2777778
Stationary 200.5846 520 280 0.3703704 -0.2777778
Stationary 200.6005 520 280 0.3703704 -0.2777778
Moved 200.6153 514.6161 293.6147 0.3579076 -0.2427606
Moved 200.6325 509.5668 304.1552 0.3462194 -0.2156502
Moved 200.6461 501 324 0.3263889 -0.164609
Moved 200.6622 494.8744 338.8207 0.3122093 -0.1264901
Moved 200.6778 484.2993 363.2731 0.2877299 -0.06359807
Moved 200.6913 474.6216 385.4364 0.2653277 -0.006593696
Moved 200.7071 467.8345 397.9426 0.2496168 0.0255724
Moved 200.724 460.5821 411.8359 0.2328289 0.06130615
Moved 200.7393 447.8286 428.5618 0.2033071 0.1043255
Moved 200.7533 438.983 439.8766 0.182831 0.1334274
Moved 200.7696 432.3821 449.4269 0.1675511 0.1579909
Moved 200.7856 421.5142 460.4858 0.1423939 0.1864347
Moved 200.8008 411.4511 470.8553 0.1190997 0.2131051
Moved 200.8154 401.4376 479.4821 0.09592046 0.2352933
Moved 200.8311 391.7465 487.7888 0.07348716 0.2566583
Moved 200.8472 384.7625 493.39 0.05732059 0.2710648
Moved 200.8617 377.8099 498.9521 0.04122675 0.2853706
Moved 200.8779 370 505.5 0.02314816 0.3022119
Moved 200.8934 363.3302 509.3356 0.007708769 0.312077
Moved 200.908 353.6106 515.2225 -0.0147902 0.3272184
Moved 200.9262 343.92 520.76 -0.03722236 0.3414609
Moved 200.9386 337.0053 524.4974 -0.05322843 0.3510734
Moved 200.9532 328.5932 528.7034 -0.07270087 0.3618913
Moved 200.9693 320.3573 533.8214 -0.09176552 0.3750548
Moved 200.9855 312.0626 537.9687 -0.1109662 0.3857218
Moved 201.0005 304.5347 541.1994 -0.1283918 0.3940313
Moved 201.0151 293.1726 546.9137 -0.1546931 0.4087285
Moved 201.0324 285.774 548.871 -0.1718195 0.4137629
Moved 201.0466 278.7199 551.512 -0.1881484 0.4205555
Moved 201.0614 272.7872 553.2851 -0.2018815 0.4251159
Moved 201.0789 266.9104 555.0224 -0.2154853 0.4295843
Moved 201.0923 261.4027 556.3994 -0.2282345 0.4331258
Moved 201.1088 257.6403 556.5899 -0.2369439 0.4336159
Moved 201.1246 253.4614 557.8462 -0.2466171 0.4368471
Moved 201.1383 248.0616 558 -0.2591168 0.4372427
Moved 201.1525 244.1257 559 -0.2682276 0.4398148
Moved 201.1698 240.0388 559 -0.2776879 0.4398148
Moved 201.1847 235.8053 559 -0.2874876 0.4398148
Moved 201.2008 233.4814 559 -0.2928671 0.4398148
Moved 201.2154 229.5688 559 -0.3019241 0.4398148
Moved 201.2312 228.8672 559 -0.303548 0.4398148
Moved 201.2476 225.8764 559 -0.3104712 0.4398148
Moved 201.2625 223.0988 559 -0.316901 0.4398148
Moved 201.2779 220.3139 559 -0.3233475 0.4398148
Moved 201.293 218.275 559 -0.3280671 0.4398148
Moved 201.308 216.8896 559 -0.3312741 0.4398148
Moved 201.3239 214.0101 559 -0.3379396 0.4398148
Moved 201.3383 213.5 559 -0.3391204 0.4398148
Moved 201.3532 213 559 -0.3402778 0.4398148
Moved 201.3689 211.655 559 -0.3433912 0.4398148
Stationary 201.3839 212 559 -0.3425926 0.4398148
Ended 201.4003 212 559 -0.3425926 0.4398148
Candidates 201.5211 12 more now lee le moore note bitter butter blew buyer lie blue
Began 202.3377 356 442 -0.009259283 0.1388888
Stationary 202.3559 356 442 -0.009259283 0.1388888
Stationary 202.3699 356 442 -0.009259283 0.1388888
Stationary 202.385 356 442 -0.009259283 0.1388888
Stationary 202.3999 356 442 -0.009259283 0.1388888
Stationary 202.4151 356 442 -0.009259283 0.1388888
Stationary 202.4317 356 442 -0.009259283 0.1388888
Stationary 202.4468 356 442 -0.009259283 0.1388888
Stationary 202.4618 356 442 -0.009259283 0.1388888
Ended 202.4784 356 442 -0.009259283 0.1388888
NextCandidatePanel 202.5388
Began 203.0279 372 399 0.02777775 0.02829214
Stationary 203.0479 372 399 0.02777775 0.02829214
Stationary 203.0624 372 399 0.02777775 0.02829214
Stationary 203.077 372 399 0.02777775 0.02829214
Stationary 203.0928 372 399 0.02777775 0.02829214
Stationary 203.109 372 399 0.02777775 0.02829214
Stationary 203.1236 372 399 0.02777775 0.02829214
Stationary 203.1384 372 399 0.02777775 0.02829214
Ended 203.1555 372 399 0.02777775 0.02829214
NextCandidatePanel 203.2156
Began 203.5848 375 393 0.03472219 0.01285996
Stationary 203.6027 375 393 0.03472219 0.01285996
Stationary 203.6166 375 393 0.03472219 0.01285996
Stationary 203.6335 375 393 0.03472219 0.01285996
Stationary 203.649 375 393 0.03472219 0.01285996
Stationary 203.6632 375 393 0.03472219 0.01285996
Stationary 203.6792 375 393 0.03472219 0.01285996
Ended 203.6922 375 393 0.03472219 0.01285996
Began 203.7544 368 395 0.01851857 0.01800408
NextCandidatePanel 203.7544
Stationary 203.7722 368 395 0.01851857 0.01800408
Stationary 203.7897 368 395 0.01851857 0.01800408
Stationary 203.8029 368 395 0.01851857 0.01800408
Stationary 203.8186 368 395 0.01851857 0.01800408
Ended 203.832 368 395 0.01851857 0.01800408
Cancel 203.8919
Began 204.5524 464 269 0.2407408 -0.30607
Stationary 204.5734 464 269 0.2407408 -0.30607
Stationary 204.5872 464 269 0.2407408 -0.30607
Stationary 204.6019 464 269 0.2407408 -0.30607
Stationary 204.6162 464 269 0.2407408 -0.30607
Stationary 204.6332 464 269 0.2407408 -0.30607
Stationary 204.6482 464 269 0.2407408 -0.30607
Stationary 204.6637 464 269 0.2407408 -0.30607
Stationary 204.6782 464 269 0.2407408 -0.30607
Moved 204.6939 451.6834 289.5795 0.2122302 -0.2531391
Moved 204.7101 442.8021 302.4255 0.1916715 -0.220099
Moved 204.7277 433.072 314.0606 0.169148 -0.1901734
Moved 204.7406 426.5 322 0.1539352 -0.1697531
Moved 204.7565 417.5931 330.4069 0.1333174 -0.1481305
Moved 204.772 408.0148 338.7016 0.1111453 -0.1267964
Moved 204.7871 401.0399 344.6801 0.09499967 -0.1114195
Moved 204.8017 390.7399 351.7572 0.07115722 -0.09321715
Moved 204.8172 381.0629 358.6694 0.0487566 -0.07543893
Moved 204.8339 370 365.5 0.02314816 -0.05787045
Moved 204.8562 347.5644 379.5223 -0.02878621 -0.02180492
Stationary 204.8663 347.5644 379.5223 -0.02878621 -0.02180492
Moved 204.8781 338.8513 385.7658 -0.04895528 -0.005746496
Moved 204.8949 332.9703 390.2238 -0.06256878 0.005719612
Moved 204.9109 325.2233 397.7767 -0.08050168 0.02514584
Moved 204.9271 320 404.5 -0.09259259 0.04243823
Moved 204.9419 311.4959 412.5042 -0.1122781 0.06302504
Moved 204.9567 305.8231 418.1769 -0.1254096 0.07761555
Moved 204.9722 300.2595 424.7405 -0.1382882 0.09449707
Moved 204.9879 293.6943 431.3057 -0.1534855 0.111383
Moved 205.0033 288.2086 438.2393 -0.1661839 0.1292163
Moved 205.0183 285.3511 441.7482 -0.1727984 0.1382412
Moved 205.0341 281.1896 446.8104 -0.1824315 0.1512613
Moved 205.0491 278.3688 450.9468 -0.1889612 0.1619003
Moved 205.0639 277.2865 453.427 -0.1914665 0.1682793
Moved 205.0809 275.8967 456.2066 -0.1946836 0.1754284
Moved 205.0954 274.5109 458.9781 -0.1978914 0.1825569
Moved 205.1099 274 460.7597 -0.199074 0.1871391
Moved 205.1272 274 461.9604 -0.199074 0.1902274
Moved 205.1413 274 463.3375 -0.199074 0.1937692
Moved 205.1567 274 465.7253 -0.199074 0.1999107
Moved 205.1749 274 467.1174 -0.199074 0.2034912
Moved 205.1882 274 468.5 -0.199074 0.2070472
Moved 205.203 274 469.8964 -0.199074 0.2106387
Moved 205.2183 274 470.5 -0.199074 0.2121912
Moved 205.2332 274 472.6764 -0.199074 0.217789
Stationary 205.2489 274 472.6764 -0.199074 0.217789
Moved 205.2643 274 474.1033 -0.199074 0.2214591
Moved 205.2798 284.4228 475.489 -0.1749473 0.225023
Moved 205.2954 282.8881 476.8881 -0.1784997 0.2286216
Moved 205.3104 283 478.2782 -0.1782407 0.2321969
Moved 205.3289 284.5 479.5 -0.1747685 0.2353394
Moved 205.3413 285.0262 481.0523 -0.1735505 0.239332
Moved 205.3568 286.0998 481 -0.1710653 0.2391974
Moved 205.3723 287.5 484 -0.1678241 0.2469135
Stationary 205.3881 287.5 484 -0.1678241 0.2469135
Moved 205.4018 289.2975 486.2975 -0.1636632 0.2528227
Moved 205.4239 290.6856 488.3712 -0.16045 0.2581562
Moved 205.4367 292.0713 490.0713 -0.1572424 0.262529
Moved 205.4492 293.4615 491.4615 -0.1540243 0.2661046
Moved 205.4642 294.5 492.5 -0.1516204 0.2687756
Moved 205.4801 295.9022 493.9022 -0.1483745 0.2723821
Moved 205.4951 297.2921 496.5842 -0.1451572 0.2792802
Moved 205.5115 300.3599 498.6799 -0.1380557 0.2846705
Moved 205.5275 304.2066 502.2065 -0.1291514 0.293741
Moved 205.5407 306.9094 504.9094 -0.1228948 0.3006929
Moved 205.5573 309.6971 506.6971 -0.116442 0.3052908
Moved 205.5736 313.715 509.4766 -0.1071413 0.3124398
Moved 205.5878 315.5096 510.2548 -0.1029871 0.3144411
Moved 205.6027 318.4518 512.7259 -0.09617642 0.320797
Moved 205.6185 321.2314 514.1157 -0.08974224 0.3243715
Moved 205.6357 322.5 514 -0.08680557 0.324074
Moved 205.6492 323.8929 515.8929 -0.08358135 0.3289425
Moved 205.6648 325.2859 516 -0.08035659 0.329218
Moved 205.6801 326 516 -0.07870371 0.329218
Moved 205.6959 326.8052 516 -0.07683972 0.329218
Ended 205.7106 327 516 -0.07638887 0.329218
Candidates 205.8619 12 me meet met new net mr mere mer be ne mwe nr
Began 206.8475 430 487 0.162037 0.2546296
Stationary 206.867 430 487 0.162037 0.2546296
Stationary 206.881 430 487 0.162037 0.2546296
Stationary 206.8954 430 487 0.162037 0.2546296
Ended 206.9104 430 487 0.162037 0.2546296
NextCandidatePanel 206.9709
Began 207.0188 396 481 0.08333336 0.2391974
Stationary 207.0355 396 481 0.08333336 0.2391974
Stationary 207.0493 396 481 0.08333336 0.2391974
Stationary 207.0643 396 481 0.08333336 0.2391974
Stationary 207.0845 396 481 0.08333336 0.2391974
Stationary 207.0954 396 481 0.08333336 0.2391974
Stationary 207.1112 396 481 0.08333336 0.2391974
Stationary 207.1267 396 481 0.08333336 0.2391974
Ended 207.1419 396 481 0.08333336 0.2391974
NextCandidatePanel 207.1875
Backspace 208.3407
Backspace 209.1535
Began 210.6808 505 306 0.3356481 -0.2109054
Stationary 210.6998 505 306 0.3356481 -0.2109054
Stationary 210.7139 505 306 0.3356481 -0.2109054
Stationary 210.7285 505 306 0.3356481 -0.2109054
Stationary 210.7437 505 306 0.3356481 -0.2109054
Stationary 210.7593 505 306 0.3356481 -0.2109054
Stationary 210.7759 505 306 0.3356481 -0.2109054
Stationary 210.7909 505 306 0.3356481 -0.2109054
Stationary 210.8051 505 306 0.3356481 -0.2109054
Stationary 210.8218 505 306 0.3356481 -0.2109054
Moved 210.8368 497.1804 317.6392 0.3175472 -0.1809691
Moved 210.8524 494.5812 321.6282 0.3115305 -0.1707093
Moved 210.8676 491.7983 325.8025 0.3050888 -0.159973
