the facts get in the way
the facts get in the way
Basic
0.6 0.6
432 388.8
Began 662.0434 327 520 -0.07638887 0.3395061
Stationary 662.0609 327 520 -0.07638887 0.3395061
Stationary 662.0729 327 520 -0.07638887 0.3395061
Stationary 662.091 327 520 -0.07638887 0.3395061
Stationary 662.1055 327 520 -0.07638887 0.3395061
Stationary 662.1208 327 520 -0.07638887 0.3395061
Stationary 662.136 327 520 -0.07638887 0.3395061
Stationary 662.1508 327 520 -0.07638887 0.3395061
Stationary 662.1669 327 520 -0.07638887 0.3395061
Stationary 662.1818 327 520 -0.07638887 0.3395061
Stationary 662.1969 327 520 -0.07638887 0.3395061
Moved 662.2129 321.3953 508.598 -0.08936267 0.31018
Moved 662.229 320 504.4264 -0.09259259 0.2994505
Moved 662.244 320 499.6861 -0.09259259 0.2872584
Moved 662.2585 320 494.1262 -0.09259259 0.2729582
Moved 662.2742 320 487.1701 -0.09259259 0.2550671
Moved 662.2901 320 482.5293 -0.09259259 0.2431308
Moved 662.3052 320 473.3108 -0.09259259 0.2194206
Moved 662.3209 330.4471 465.0353 -0.06840944 0.1981359
Moved 662.3353 333.6609 457.2318 -0.06097004 0.1780651
Moved 662.35 338.7898 448.3679 -0.04909764 0.155267
Moved 662.3663 344.3508 438.636 -0.03622492 0.1302367
Moved 662.3808 349.6167 424.7666 -0.02403542 0.09456426
Moved 662.3969 353.54 416.0733 -0.01495366 0.07220492
Moved 662.4125 359.9239 401.9675 -0.0001762311 0.03592448
Moved 662.4301 365.8414 390.3173 0.01352171 0.005959993
Moved 662.4441 372.7591 377.4337 0.0295349 -0.02717673
Moved 662.4597 379.6896 366.2967 0.04557769 -0.05582134
Moved 662.475 384.8962 356.9316 0.05763014 -0.07990856
Moved 662.4903 389.3584 348.2832 0.06795923 -0.1021523
Moved 662.5063 395 341.5 0.08101851 -0.1195988
Moved 662.522 397.6305 337.2826 0.08710751 -0.1304461
Moved 662.5359 401.7926 331.2766 0.09674211 -0.1458937
Moved 662.5519 404.6342 325.7316 0.1033199 -0.1601554
Moved 662.5676 408.4081 321.8878 0.1120558 -0.1700417
Moved 662.5826 411.179 316.6421 0.1184698 -0.1835338
Moved 662.5983 413.9432 314.0568 0.1248685 -0.1901832
Moved 662.6128 415.8591 312.1409 0.1293034 -0.1951108
Moved 662.6305 417.9207 311.0397 0.1340757 -0.1979433
Stationary 662.644 418 311 0.1342593 -0.1980453
Moved 662.6591 419.5 311 0.1377314 -0.1980453
Moved 662.678 419 311 0.1365741 -0.1980453
Moved 662.6902 419 327.4116 0.1365741 -0.1558344
Moved 662.705 397.4462 350.0717 0.08668105 -0.09755224
Moved 662.722 379.5011 373.5754 0.04514148 -0.03710029
Moved 662.7377 363.5 396 0.008101861 0.02057605
Moved 662.7523 344.7431 413.5359 -0.03531684 0.06567861
Moved 662.768 326.7046 431.2954 -0.07707278 0.1113564
Moved 662.7832 313.0954 446.3951 -0.1085755 0.150193
Moved 662.7979 301.0772 457.9228 -0.1363954 0.1798425
