good jobs for those with education
good jobs for those with education
Basic
0.6 0.6
432 388.8
Began 98.12916 371 320 0.025463 -0.1748972
Stationary 98.15043 371 320 0.025463 -0.1748972
Stationary 98.16633 371 320 0.025463 -0.1748972
Stationary 98.18034 371 320 0.025463 -0.1748972
Stationary 98.19575 371 320 0.025463 -0.1748972
Stationary 98.20954 371 320 0.025463 -0.1748972
Moved 98.22526 380.2147 332.6702 0.04679332 -0.1423092
Moved 98.24152 389.5 340 0.06828706 -0.1234569
Moved 98.25642 424.5688 370.4897 0.1494648 -0.04503682
Moved 98.27128 458.676 400.0634 0.2284167 0.0310271
Moved 98.28736 481.2894 419.7532 0.2807624 0.08166964
Moved 98.30387 496.5425 434.2854 0.3160705 0.1190467
Moved 98.31794 509.8832 445.8962 0.346952 0.1489099
Moved 98.33439 522.233 458.233 0.3755395 0.1806405
Moved 98.35142 529.261 463.261 0.3918078 0.1935724
Moved 98.3646 534.2689 469.9033 0.4034002 0.2106564
Moved 98.3798 537.2435 473.2435 0.4102858 0.2192476
Moved 98.39869 538.479 475.958 0.4131458 0.2262294
Moved 98.41468 539 477.8392 0.4143518 0.2310677
Moved 98.426 539 480.3935 0.4143518 0.2376375
Moved 98.43995 539 482.5587 0.4143518 0.2432065
Moved 98.45695 539 485.7668 0.4143518 0.2514578
Moved 98.4701 524.9575 489.8298 0.381846 0.2619078
Moved 98.4864 515.6884 491.4623 0.3603897 0.2661067
Moved 98.50404 500.8968 494.6753 0.3261499 0.2743705
Moved 98.51719 482.4252 495 0.2833916 0.2752057
Moved 98.53263 461.9121 495 0.2359076 0.2752057
Moved 98.54841 431.4365 495 0.1653623 0.2752057
Moved 98.56419 399.8884 484.7824 0.09233415 0.2489258
Moved 98.57908 376.0634 481.5106 0.03718386 0.2405106
Moved 98.59504 358.8993 476.3065 -0.002547999 0.2271256
Moved 98.60969 339.8038 467.4287 -0.04675041 0.2042919
Moved 98.62531 324.5753 459.132 -0.08200148 0.1829526
Moved 98.64106 309.5524 450.9377 -0.1167769 0.1618767
Moved 98.65653 297.9492 444.9746 -0.1436361 0.1465395
Moved 98.6713 291.1691 442.2676 -0.1593309 0.1395772
Moved 98.68702 284.8184 439.2728 -0.1740315 0.1318743
Moved 98.70441 281.823 436.8229 -0.1809654 0.1255733
Moved 98.71861 279.7979 435.8989 -0.1856531 0.1231968
Moved 98.7328 278.5 436 -0.1886574 0.1234567
Ended 98.7494 278 435 -0.1898148 0.1208847
Candidates 98.94779 12 boys boss floyd flood boots blood nod good note not vote fluid
Began 99.76234 426 386 0.1527777 -0.005144111
Stationary 99.78275 426 386 0.1527777 -0.005144111
Stationary 99.79642 426 386 0.1527777 -0.005144111
Stationary 99.81287 426 386 0.1527777 -0.005144111
Ended 99.82914 426 386 0.1527777 -0.005144111
NextCandidatePanel 99.87147
Began 100.44 423 392 0.1458333 0.01028803
Stationary 100.4615 423 392 0.1458333 0.01028803
Stationary 100.4742 423 392 0.1458333 0.01028803
Stationary 100.4886 423 392 0.1458333 0.01028803
Stationary 100.5041 423 392 0.1458333 0.01028803
Stationary 100.5197 423 392 0.1458333 0.01028803
Ended 100.5351 423 392 0.1458333 0.01028803
NextCandidatePanel 100.5971
Began 100.9986 415 419 0.1273148 0.07973251
Stationary 101.0139 415 419 0.1273148 0.07973251
Stationary 101.0296 415 419 0.1273148 0.07973251
Stationary 101.0447 415 419 0.1273148 0.07973251
Stationary 101.0592 415 419 0.1273148 0.07973251
Ended 101.0758 415 419 0.1273148 0.07973251
NextCandidatePanel 101.1358
Began 101.2881 408 414 0.1111111 0.06687239
Stationary 101.308 408 414 0.1111111 0.06687239
Stationary 101.3222 408 414 0.1111111 0.06687239
Stationary 101.3468 408 414 0.1111111 0.06687239
Stationary 101.3557 408 414 0.1111111 0.06687239
Ended 101.3666 408 414 0.1111111 0.06687239
NextCandidatePanel 101.4266
Began 101.5496 419 407 0.1365741 0.04886827
Stationary 101.5692 419 407 0.1365741 0.04886827
Stationary 101.5832 419 407 0.1365741 0.04886827
Moved 101.5988 419 394.9718 0.1365741 0.01793151
Moved 101.6146 419 379.5105 0.1365741 -0.02183522
Moved 101.6296 419 361.7547 0.1365741 -0.06750342
Moved 101.6457 419 345.288 0.1365741 -0.109856
Moved 101.661 419 338.5 0.1365741 -0.127315
Moved 101.6755 419 331.3569 0.1365741 -0.145687
Moved 101.6918 419 325.6234 0.1365741 -0.1604338
Moved 101.7073 419 323.074 0.1365741 -0.1669906
Moved 101.7236 419 319.1685 0.1365741 -0.1770359
Moved 101.7381 419 316.5998 0.1365741 -0.1836426
Moved 101.7539 419 315.434 0.1365741 -0.186641
Moved 101.7683 412.458 314.0654 0.1214307 -0.1901609
Moved 101.7841 412 313.0247 0.1203704 -0.1928377
Moved 101.7998 412 312.5 0.1203704 -0.1941873
Moved 101.8157 412 311.6479 0.1203704 -0.196379
Moved 101.8295 412 310.979 0.1203704 -0.1980993
Stationary 101.8463 412 310.979 0.1203704 -0.1980993
Ended 101.8628 412 311 0.1203704 -0.1980453
Accept 101.9193 7 good
Began 102.536 443 342 0.1921296 -0.1183128
Stationary 102.5563 443 342 0.1921296 -0.1183128
Stationary 102.5694 443 342 0.1921296 -0.1183128
Stationary 102.5849 443 342 0.1921296 -0.1183128
Stationary 102.6012 443 342 0.1921296 -0.1183128
Stationary 102.616 443 342 0.1921296 -0.1183128
Stationary 102.6304 443 342 0.1921296 -0.1183128
Stationary 102.6477 443 342 0.1921296 -0.1183128
Moved 102.662 452.4372 354.9761 0.2139749 -0.084938
Moved 102.6765 456.9168 362.6669 0.2243444 -0.06515738
Moved 102.6935 465.6283 377.3627 0.2445099 -0.02735923
Moved 102.7093 473.8413 388.4551 0.2635215 0.001170468
