just in time for the party
just in time for the party
Basic
0.6 0.6
432 388.8
Began 477.0324 490 366 0.300926 -0.05658444
Stationary 477.0508 490 366 0.300926 -0.05658444
Stationary 477.0639 490 366 0.300926 -0.05658444
Stationary 477.0787 490 366 0.300926 -0.05658444
Stationary 477.094 490 366 0.300926 -0.05658444
Stationary 477.1102 490 366 0.300926 -0.05658444
Stationary 477.1245 490 366 0.300926 -0.05658444
Stationary 477.1409 490 366 0.300926 -0.05658444
Stationary 477.1556 490 366 0.300926 -0.05658444
Stationary 477.1714 490 366 0.300926 -0.05658444
Stationary 477.1873 490 366 0.300926 -0.05658444
Stationary 477.2032 490 366 0.300926 -0.05658444
Stationary 477.2183 490 366 0.300926 -0.05658444
Stationary 477.2328 490 366 0.300926 -0.05658444
Stationary 477.2474 490 366 0.300926 -0.05658444
Stationary 477.2647 490 366 0.300926 -0.05658444
Stationary 477.2785 490 366 0.300926 -0.05658444
Stationary 477.2958 490 366 0.300926 -0.05658444
Stationary 477.3109 490 366 0.300926 -0.05658444
Stationary 477.3273 490 366 0.300926 -0.05658444
Stationary 477.3412 490 366 0.300926 -0.05658444
Stationary 477.3553 490 366 0.300926 -0.05658444
Stationary 477.3716 490 366 0.300926 -0.05658444
Stationary 477.3893 490 366 0.300926 -0.05658444
Stationary 477.4034 490 366 0.300926 -0.05658444
Stationary 477.4179 490 366 0.300926 -0.05658444
Stationary 477.4325 490 366 0.300926 -0.05658444
Stationary 477.4479 490 366 0.300926 -0.05658444
Stationary 477.4637 490 366 0.300926 -0.05658444
Stationary 477.4789 490 366 0.300926 -0.05658444
Stationary 477.4945 490 366 0.300926 -0.05658444
Stationary 477.5093 490 366 0.300926 -0.05658444
Stationary 477.5255 490 366 0.300926 -0.05658444
Moved 477.5423 490 375.6923 0.300926 -0.03165563
Stationary 477.558 490 375.6923 0.300926 -0.03165563
Stationary 477.5734 490 375.6923 0.300926 -0.03165563
Stationary 477.5884 490 375.6923 0.300926 -0.03165563
Stationary 477.6029 490 375.6923 0.300926 -0.03165563
Moved 477.6192 490 375 0.300926 -0.03343629
Stationary 477.6337 490 375 0.300926 -0.03343629
Stationary 477.6517 490 375 0.300926 -0.03343629
Stationary 477.6651 490 375 0.300926 -0.03343629
Moved 477.6802 490 376 0.300926 -0.03086435
Stationary 477.6956 490 376 0.300926 -0.03086435
Stationary 477.7101 490 376 0.300926 -0.03086435
Stationary 477.7259 490 376 0.300926 -0.03086435
Stationary 477.7427 490 376 0.300926 -0.03086435
Stationary 477.757 490 376 0.300926 -0.03086435
Stationary 477.7728 490 376 0.300926 -0.03086435
Stationary 477.7872 490 376 0.300926 -0.03086435
Stationary 477.8034 490 376 0.300926 -0.03086435
Moved 477.8194 490 377.1244 0.300926 -0.02797225
Stationary 477.8341 490 377 0.300926 -0.02829226
Stationary 477.8506 490 377 0.300926 -0.02829226
Stationary 477.8651 490 377 0.300926 -0.02829226
Stationary 477.8798 490 377 0.300926 -0.02829226
Stationary 477.8951 490 377 0.300926 -0.02829226
Stationary 477.9109 490 377 0.300926 -0.02829226
Stationary 477.9265 490 377 0.300926 -0.02829226
Stationary 477.9419 490 377 0.300926 -0.02829226
Stationary 477.9565 490 377 0.300926 -0.02829226
Stationary 477.9725 490 377 0.300926 -0.02829226
Stationary 477.9966 490 377 0.300926 -0.02829226
Stationary 478.0067 490 377 0.300926 -0.02829226
Moved 478.0191 490 378.5 0.300926 -0.02443423
Moved 478.0348 490 378 0.300926 -0.02572024
Stationary 478.0518 490 378 0.300926 -0.02572024
Stationary 478.0659 490 378 0.300926 -0.02572024
Stationary 478.0798 490 378 0.300926 -0.02572024
Stationary 478.095 490 378 0.300926 -0.02572024
Stationary 478.1116 490 378 0.300926 -0.02572024
Stationary 478.1266 490 378 0.300926 -0.02572024
Stationary 478.1454 490 378 0.300926 -0.02572024
Stationary 478.1599 490 378 0.300926 -0.02572024
Stationary 478.1739 490 378 0.300926 -0.02572024
Stationary 478.1884 490 378 0.300926 -0.02572024
Stationary 478.2037 490 378 0.300926 -0.02572024
Moved 478.2195 490 378.5665 0.300926 -0.0242632
Stationary 478.2353 490 379 0.300926 -0.02314815
Stationary 478.2528 490 379 0.300926 -0.02314815
Stationary 478.2665 490 379 0.300926 -0.02314815
Moved 478.281 490 380 0.300926 -0.02057613
