he is just like everyone else
he is just like everyone else
FixStart
0.6 0.6
432 388.8
Began 2514.366 372 372 0.02777775 -0.04115226
Stationary 2514.387 372 372 0.02777775 -0.04115226
Stationary 2514.4 372 372 0.02777775 -0.04115226
Stationary 2514.415 372 372 0.02777775 -0.04115226
Stationary 2514.435 372 372 0.02777775 -0.04115226
Stationary 2514.447 372 372 0.02777775 -0.04115226
Stationary 2514.462 372 372 0.02777775 -0.04115226
Stationary 2514.479 372 372 0.02777775 -0.04115226
Moved 2514.493 383.2311 372 0.05377571 -0.04115226
Moved 2514.51 387.476 372 0.06360173 -0.04115226
Moved 2514.524 395.6942 372 0.08262555 -0.04115226
Moved 2514.54 400.0872 372 0.0927944 -0.04115226
Moved 2514.555 406.2158 372 0.1069809 -0.04115226
Moved 2514.572 409.4925 372 0.114566 -0.04115226
Moved 2514.587 412 372 0.1203704 -0.04115226
Moved 2514.602 412.5 372 0.1215278 -0.04115226
Moved 2514.617 413.0926 372 0.1228995 -0.04115226
Moved 2514.632 413.6263 372 0.1241348 -0.04115226
Stationary 2514.647 414 372 0.125 -0.04115226
Stationary 2514.663 414 372 0.125 -0.04115226
Stationary 2514.679 414 372 0.125 -0.04115226
Stationary 2514.694 414 372 0.125 -0.04115226
Stationary 2514.709 414 372 0.125 -0.04115226
Moved 2514.724 399.4071 372 0.09122023 -0.04115226
Moved 2514.74 387.9382 381.679 0.06467184 -0.01625775
Moved 2514.756 377.4549 387.9088 0.04040489 -0.0002345332
Moved 2514.772 367.2267 396.52 0.01672854 0.02191343
Moved 2514.787 357.8604 405.4497 -0.004952799 0.04488089
Moved 2514.802 349.1887 413.8113 -0.0250261 0.06638695
Moved 2514.817 343.0251 417.65 -0.03929376 0.07626011
Moved 2514.833 332.0081 427.9919 -0.06479596 0.1028597
Moved 2514.848 325.5753 435.5309 -0.07968673 0.1222502
Moved 2514.863 317.2909 442.1673 -0.09886374 0.139319
Moved 2514.879 309.1166 448.9028 -0.1177857 0.156643
Moved 2514.895 300.4106 456.1578 -0.1379385 0.175303
Moved 2514.911 291.8348 460.5826 -0.1577899 0.1866835
Moved 2514.925 285.0107 464.9929 -0.1735862 0.1980269
Moved 2514.941 276.2825 469.3588 -0.1937905 0.2092559
Moved 2514.956 269.702 473.649 -0.2090231 0.2202906
Moved 2514.97 262.369 477.9786 -0.2259977 0.2314263
Ended 2514.985 255 481 -0.2430556 0.2391974
Candidates 2515.169 12 he her here hee e r hr fe jew fee free re
Began 2515.542 411 310 0.1180555 -0.2006174
Stationary 2515.557 411 310 0.1180555 -0.2006174
Stationary 2515.572 411 310 0.1180555 -0.2006174
Stationary 2515.587 411 310 0.1180555 -0.2006174
Moved 2515.602 411 329.2195 0.1180555 -0.1511843
Moved 2515.62 411 347.5151 0.1180555 -0.104128
Moved 2515.634 411 371.976 0.1180555 -0.04121419
Moved 2515.65 422.7621 397.4144 0.1452827 0.02421379
Moved 2515.665 427.0785 418.3726 0.1552742 0.07811879
Ended 2515.682 427.0785 418.3726 0.1552742 0.07811879
Accept 2515.724 0 he
Began 2515.985 402 312 0.09722222 -0.1954732
Stationary 2516.004 402 312 0.09722222 -0.1954732
Stationary 2516.019 402 312 0.09722222 -0.1954732
Stationary 2516.036 402 312 0.09722222 -0.1954732
Stationary 2516.05 402 312 0.09722222 -0.1954732
Stationary 2516.065 402 312 0.09722222 -0.1954732
Moved 2516.083 418.1734 319.9704 0.1346606 -0.1749732
Moved 2516.096 432.6635 331.9499 0.1682026 -0.1441619
Moved 2516.112 453.4572 348.5657 0.216336 -0.1014256
Moved 2516.135 489.1201 380.2967 0.298889 -0.01981303
Stationary 2516.146 489.1201 380.2967 0.298889 -0.01981303
Moved 2516.157 499.7294 390.7294 0.3234476 0.007019906
Moved 2516.173 509.4225 401.4829 0.3458855 0.03467822
Moved 2516.189 516.4953 409.9944 0.3622576 0.05656992
