if you were not so stupid
if you were not so stupid
FixStart
0.6 0.6
432 388.8
Began 3251.351 389 375 0.06712963 -0.03343629
Stationary 3251.367 389 375 0.06712963 -0.03343629
Stationary 3251.382 389 375 0.06712963 -0.03343629
Stationary 3251.398 389 375 0.06712963 -0.03343629
Stationary 3251.414 389 375 0.06712963 -0.03343629
Stationary 3251.429 389 375 0.06712963 -0.03343629
Stationary 3251.443 389 375 0.06712963 -0.03343629
Stationary 3251.46 389 375 0.06712963 -0.03343629
Stationary 3251.475 389 375 0.06712963 -0.03343629
Moved 3251.49 389 391.5 0.06712963 0.009002057
Moved 3251.506 389 399.7832 0.06712963 0.03030659
Moved 3251.522 389 411.2636 0.06712963 0.05983431
Moved 3251.538 404.9324 428.1698 0.1040101 0.1033173
Moved 3251.552 415.0751 445.5574 0.1274888 0.1480384
Moved 3251.567 429.5359 466.7145 0.1609627 0.202455
Moved 3251.583 441.6792 483.1989 0.1890722 0.2448531
Moved 3251.598 455.8708 504.3062 0.2219232 0.2991414
Moved 3251.614 465.3231 516.4846 0.2438035 0.3304645
Moved 3251.63 475.1667 529.5 0.2665895 0.3639403
Moved 3251.645 482.6028 537.2032 0.2838027 0.3837531
Moved 3251.66 490.2167 546.2601 0.3014275 0.4070474
Moved 3251.676 496.4542 553.4542 0.3158661 0.4255507
Moved 3251.692 500.0493 557.7325 0.3241883 0.4365546
Moved 3251.706 504.0445 562.0445 0.3334365 0.4476452
Moved 3251.722 506.9153 564.9153 0.3400819 0.4550291
Moved 3251.739 508.7806 566.7806 0.3443995 0.4598265
Moved 3251.753 510.3358 568.3358 0.3479995 0.4638265
Moved 3251.768 510.7783 569.7783 0.3490237 0.4675365
Moved 3251.783 512.2205 570 0.3523622 0.4681069
Moved 3251.798 512 571.5 0.3518519 0.471965
Stationary 3251.814 512 571.5 0.3518519 0.471965
Moved 3251.83 513.324 571 0.3549168 0.4706789
Stationary 3251.845 513.324 571 0.3549168 0.4706789
Stationary 3251.861 513 571 0.3541666 0.4706789
Moved 3251.876 501.6349 567.0741 0.3278586 0.4605814
Moved 3251.892 492.9969 560.9985 0.3078631 0.4449548
Moved 3251.906 473.0225 549.5843 0.2616261 0.4155973
Moved 3251.923 452.473 538.9195 0.2140579 0.3881673
Moved 3251.939 419.3828 523.1664 0.1374603 0.3476502
Moved 3251.953 394.6494 508.613 0.08020689 0.3102185
Moved 3251.968 374.8349 497.1292 0.03434002 0.2806818
Moved 3251.994 342.7686 478.7618 -0.03988738 0.2334408
Moved 3252.015 325.8181 466.3636 -0.07912467 0.2015524
Moved 3252.028 317.3283 460.8856 -0.09877707 0.1874627
Moved 3252.04 301.7728 451.5404 -0.1347853 0.1634269
Moved 3252.053 291.0565 444.326 -0.1595915 0.1448715
Stationary 3252.063 291.0565 444.326 -0.1595915 0.1448715
Moved 3252.076 284.1345 440.2807 -0.1756146 0.1344667
Moved 3252.094 277.9524 435.9643 -0.189925 0.1233648
Moved 3252.107 272.6443 433.0962 -0.2022123 0.1159881
Moved 3252.122 268.3234 430.2156 -0.2122143 0.1085792
Moved 3252.138 265.9906 428.9953 -0.2176144 0.1054405
Moved 3252.153 264.5427 427.5427 -0.220966 0.1017045
Moved 3252.172 263.1138 426.1138 -0.2242735 0.09802928
Moved 3252.191 260.2296 424 -0.2309499 0.09259254
Moved 3252.212 260 422.795 -0.2314815 0.08949322
Stationary 3252.227 260 422.795 -0.2314815 0.08949322
Moved 3252.243 259 422.2115 -0.2337963 0.08799247
Moved 3252.259 257.8456 422 -0.2364685 0.08744851
Moved 3252.275 258 420.5 -0.2361111 0.08359041
Stationary 3252.292 258 420.5 -0.2361111 0.08359041
Moved 3252.306 256.842 419.842 -0.2387916 0.08189817
Stationary 3252.321 256.842 419.842 -0.2387916 0.08189817
Moved 3252.337 257 418.6266 -0.2384259 0.078772
Moved 3252.353 257 417.6276 -0.2384259 0.0762027
Moved 3252.368 257 411.3276 -0.2384259 0.05999887
Moved 3252.385 269.1751 404.236 -0.2102427 0.04175928
Moved 3252.399 270.5965 399.6052 -0.2069525 0.02984875
Moved 3252.414 273.4739 395.2891 -0.2002918 0.01874755
Moved 3252.431 276.3553 391.2894 -0.193622 0.008460464
Moved 3252.461 282 385 -0.1805555 -0.007716127
Moved 3252.477 284.3458 381.6542 -0.1751256 -0.01632141
Moved 3252.493 286.1116 379.8884 -0.171038 -0.02086318
Moved 3252.508 287.5519 377.4481 -0.1677038 -0.02713992
Moved 3252.523 288.992 375.0161 -0.1643704 -0.033395
Moved 3252.542 290.4307 373.5693 -0.1610401 -0.03711598
Moved 3252.554 290.8698 372.1301 -0.1600235 -0.04081765
Moved 3252.57 292.312 370.688 -0.1566852 -0.04452662
Ended 3252.588 295 370 -0.150463 -0.04629637
Candidates 3252.722 12 its ita yours irs guys tours is guess hits goes gotta hours
Began 3253.37 378 406 0.04166663 0.04629618
Stationary 3253.388 378 406 0.04166663 0.04629618
Stationary 3253.405 378 406 0.04166663 0.04629618
Stationary 3253.418 378 406 0.04166663 0.04629618
Ended 3253.43 378 406 0.04166663 0.04629618
NextCandidatePanel 3253.491
Began 3253.523 382 400 0.05092591 0.03086416
Stationary 3253.54 382 400 0.05092591 0.03086416
Stationary 3253.553 382 400 0.05092591 0.03086416
Stationary 3253.57 382 400 0.05092591 0.03086416
Ended 3253.587 382 400 0.05092591 0.03086416
Cancel 3253.646
Began 3253.985 383 372 0.05324075 -0.04115226
Stationary 3254.002 383 372 0.05324075 -0.04115226
Stationary 3254.016 383 372 0.05324075 -0.04115226
Stationary 3254.033 383 372 0.05324075 -0.04115226
Stationary 3254.049 383 372 0.05324075 -0.04115226
Stationary 3254.063 383 372 0.05324075 -0.04115226
Stationary 3254.079 383 372 0.05324075 -0.04115226
Moved 3254.094 404 394.5 0.1018518 0.01671807
Moved 3254.11 418.317 407.317 0.134993 0.04968353
Moved 3254.126 438.122 425.9587 0.1808379 0.09763046
Moved 3254.143 456.532 445.1414 0.2234537 0.1469685
Moved 3254.156 472.4038 460.3635 0.2601941 0.1861199
Moved 3254.174 486.8372 476.3209 0.2936046 0.2271628
