travel at the speed of light
travel at the speed of light
FixStart
0.6 0.6
432 388.8
Began 330.6985 468 443 0.25 0.1414608
Stationary 330.7186 468 443 0.25 0.1414608
Stationary 330.7336 468 443 0.25 0.1414608
Stationary 330.7483 468 443 0.25 0.1414608
Stationary 330.7635 468 443 0.25 0.1414608
Stationary 330.7778 468 443 0.25 0.1414608
Moved 330.7937 463.501 449.7485 0.2395857 0.158818
Moved 330.8122 457.7787 460.9233 0.2263397 0.18756
Moved 330.8252 452.6519 476.0443 0.2144719 0.2264513
Moved 330.8424 449.9423 487.8176 0.2081997 0.2567324
Moved 330.8571 448.0322 498.8066 0.2037783 0.2849962
Moved 330.8716 446.5948 508.8367 0.2004508 0.310794
Moved 330.8879 445.1519 516.0885 0.1971109 0.3294456
Moved 330.903 445 525.9254 0.1967593 0.3547462
Moved 330.9183 445 534.5 0.1967593 0.3768003
Moved 330.9324 445 540.312 0.1967593 0.3917489
Moved 330.9477 445 547.4379 0.1967593 0.4100767
Moved 330.9647 445 552.228 0.1967593 0.422397
Moved 330.9791 445 557.694 0.1967593 0.4364557
Moved 330.9947 445 561.8478 0.1967593 0.4471394
Moved 331.0119 445 565.0928 0.1967593 0.4554854
Moved 331.0256 445 569.2936 0.1967593 0.4662901
Moved 331.0409 445 572.6101 0.1967593 0.4748201
Moved 331.0577 445 576.9217 0.1967593 0.4859096
Moved 331.0719 445 581.1816 0.1967593 0.4968663
Moved 331.0886 445 583.68 0.1967593 0.5032921
Moved 331.1051 445 587.8276 0.1967593 0.5139597
Moved 331.1192 445 589.4236 0.1967593 0.5180647
Moved 331.1343 445 592.3152 0.1967593 0.5255019
Moved 331.1493 445 593.1619 0.1967593 0.5276796
Moved 331.1646 444 595.321 0.1944444 0.533233
Moved 331.1807 442.8972 596 0.1918918 0.5349793
Moved 331.1963 442.4591 597.5408 0.1908776 0.5389423
Moved 331.2114 441.0233 598 0.1875539 0.5401233
Moved 331.2263 438.1666 598 0.1809412 0.5401233
Moved 331.2408 434.4373 598 0.1723085 0.5401233
Moved 331.2579 430.0709 598 0.1622012 0.5401233
Moved 331.2719 420.0833 598 0.1390818 0.5401233
Moved 331.2873 411.0879 590.3987 0.1182589 0.5205727
Moved 331.3031 401.0233 585.1528 0.09496132 0.5070802
Moved 331.3185 388.9774 574.6949 0.06707728 0.4801823
Moved 331.3343 380.0001 566.0001 0.04629642 0.457819
Moved 331.3483 371.3786 557.3786 0.02633939 0.4356445
Moved 331.3649 363.6457 548.8808 0.008439123 0.4137879
Moved 331.3798 353.0179 535.7725 -0.01616215 0.3800731
