good jobs for those with education
good jobs for those with education
FixStart
0.6 0.6
432 388.8
Began 186.4563 331 345 -0.06712963 -0.1105968
Stationary 186.4688 331 345 -0.06712963 -0.1105968
Stationary 186.4807 331 345 -0.06712963 -0.1105968
Stationary 186.4907 331 345 -0.06712963 -0.1105968
Stationary 186.5039 331 345 -0.06712963 -0.1105968
Moved 186.5195 341.3754 360.563 -0.04311258 -0.07056837
Moved 186.5352 355.6788 376.1467 -0.01000275 -0.03048704
Moved 186.5509 382.5731 401.6524 0.05225261 0.03511421
Moved 186.5679 406.9156 420.5237 0.108601 0.08365156
Moved 186.5814 423.9653 433.5617 0.1480678 0.1171854
Moved 186.5976 450.3552 450.9426 0.2091556 0.1618893
Moved 186.6127 465.2059 462.5647 0.243532 0.1917816
Moved 186.6279 481.8205 472.7892 0.2819918 0.2180791
Moved 186.6436 493.5618 479.9761 0.3091708 0.236564
Moved 186.6598 505.606 486.1145 0.3370511 0.252352
Moved 186.6739 515.3498 492.2332 0.359606 0.2680894
Moved 186.6895 523.8798 497.5499 0.3793513 0.281764
Moved 186.7052 532.1428 502.9591 0.3984786 0.2956766
Moved 186.7208 540.1873 508.1124 0.4171001 0.3089309
Moved 186.7353 544.4233 509.4744 0.4269059 0.3124341
Moved 186.7504 546.9138 511.9138 0.4326709 0.3187084
Moved 186.7665 549.7037 513.3519 0.4391289 0.3224069
Moved 186.7817 549.7781 514 0.4393011 0.324074
Moved 186.7973 550.9413 514 0.4419939 0.324074
Moved 186.8123 552.3466 515.3466 0.4452467 0.3275374
Stationary 186.8285 552.3466 515.3466 0.4452467 0.3275374
Moved 186.8492 552 516.0751 0.4444444 0.3294111
Stationary 186.8598 552 516 0.4444444 0.329218
Moved 186.8727 552 517.0587 0.4444444 0.3319409
Stationary 186.8893 552 517.0587 0.4444444 0.3319409
Moved 186.9047 535.5267 511.7687 0.4063118 0.318335
Moved 186.9209 514.2842 501.1926 0.3571394 0.291133
Moved 186.9366 489.8192 491.2197 0.3005073 0.2654826
Moved 186.9516 469.4911 483.1889 0.2534518 0.2448273
Moved 186.9674 449.1905 474.5102 0.2064594 0.2225056
Moved 186.9821 433.981 468.6096 0.1712524 0.207329
Moved 186.9971 416.493 462.831 0.1307709 0.1924665
Moved 187.0127 403.5 458 0.1006944 0.180041
Moved 187.0287 384.7101 448.1615 0.0571994 0.1547363
Moved 187.0442 365.7505 439.5002 0.01331131 0.1324594
Moved 187.0602 351.4999 431.909 -0.01967619 0.1129345
Moved 187.0744 336.8812 421.1049 -0.05351583 0.08514635
Moved 187.0904 323.5402 409.0977 -0.08439779 0.05426352
Moved 187.1055 311.9883 398.9898 -0.1111381 0.02826589
Moved 187.1216 300.4901 390.3676 -0.1377543 0.006089505
Moved 187.1354 296.9344 385.9344 -0.1459851 -0.005312672
Moved 187.1511 289.1021 378.1276 -0.1641156 -0.02539215
Moved 187.1685 280.4071 370.8393 -0.1842428 -0.04413762
Moved 187.1828 274.6837 363.8205 -0.1974913 -0.06219016
Moved 187.1973 270.0981 357.7974 -0.2081064 -0.07768152
Moved 187.213 266.5298 353.7948 -0.2163661 -0.08797641
