experience is hard to come by
experience is hard to come by
FixStart
0.6 0.6
432 388.8
Began 535.1195 434 399 0.1712963 0.02829214
Stationary 535.139 434 399 0.1712963 0.02829214
Stationary 535.1532 434 399 0.1712963 0.02829214
Stationary 535.1712 434 399 0.1712963 0.02829214
Stationary 535.1846 434 399 0.1712963 0.02829214
Stationary 535.2004 434 399 0.1712963 0.02829214
Stationary 535.2169 434 399 0.1712963 0.02829214
Moved 535.2311 416 418.5 0.1296297 0.07844638
Moved 535.2468 407.3842 429.4878 0.1096856 0.1067072
Moved 535.2629 398.5796 442.6306 0.08930455 0.1405108
Moved 535.2784 386.3384 459.2155 0.0609685 0.1831674
Moved 535.2933 376.0212 475.1096 0.03708611 0.2240474
Moved 535.3097 367.6273 491.0167 0.01765569 0.2649605
Moved 535.3243 362.5073 502.1496 0.005803903 0.2935945
Moved 535.3393 357 513 -0.006944438 0.321502
Moved 535.3562 355.2849 520.1453 -0.01091455 0.3398799
Moved 535.3712 350.9846 534.0515 -0.02086908 0.3756468
Moved 535.3859 349.5561 539.7755 -0.02417564 0.3903689
Moved 535.4011 348.1145 546.6564 -0.02751266 0.4080667
Moved 535.4168 346.6644 553.6782 -0.03086954 0.4261268
Moved 535.4325 346.2285 557.543 -0.0318785 0.4360674
Moved 535.4464 344.7862 562.855 -0.03521705 0.4497299
Moved 535.4628 345 564.4938 -0.03472224 0.4539448
Moved 535.4781 345 567.7636 -0.03472224 0.4623548
Moved 535.4941 345 570.4033 -0.03472224 0.4691442
Moved 535.5096 345 571 -0.03472224 0.4706789
Moved 535.5252 343.9151 571 -0.03723348 0.4706789
Stationary 535.5394 343.9151 571 -0.03723348 0.4706789
Stationary 535.5534 343.9151 571 -0.03723348 0.4706789
Moved 535.5712 342.989 571 -0.03937736 0.4706789
Moved 535.5859 341.5134 561.0803 -0.04279305 0.4451653
Moved 535.6022 340.0825 549.7423 -0.04610533 0.4160038
Moved 535.6178 337.2577 532.5464 -0.05264416 0.3717756
Moved 535.6324 337.1943 518.3315 -0.05279094 0.3352147
Moved 535.6477 335.7556 501.0671 -0.05612135 0.2908105
Moved 535.6629 334.3233 484.203 -0.05943681 0.2474356
Moved 535.679 332.2773 470.5248 -0.06417304 0.212255
Moved 535.6941 330.7413 453.8953 -0.06772855 0.1694836
Moved 535.7094 329.314 439.0818 -0.0710324 0.1313832
Moved 535.7256 327.8752 424.8766 -0.074363 0.09484711
Moved 535.7416 328 411.8511 -0.07407407 0.06134531
Moved 535.7562 326.9863 400.9038 -0.07642066 0.03318877
Moved 535.7705 327 389.4787 -0.07638887 0.003803159
Moved 535.786 327 379.5 -0.07638887 -0.02186214
Moved 535.8027 327 365.111 -0.07638887 -0.0588709
Moved 535.8194 327 355.1052 -0.07638887 -0.08460598
Moved 535.8335 327 346.7028 -0.07638887 -0.1062171
